Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00135917",147,15,5,-,3,14,12,41
"S00135918",120,5,1,-,8,11,11,22
"S00135919",89,9,3,-,4,14,10,18
"S00135920",126,10,-,1,7,14,8,28
"S00135921",121,8,5,-,11,11,16,19
"S00135922",135,8,3,1,1,1,5,25
"S00135923",209,3,7,-,13,12,37,28
"S00135924",99,4,1,-,3,17,9,19
"S00135925",81,4,2,-,3,8,4,12
"S00135926",97,8,10,-,4,21,7,26
"S00135927",126,19,5,1,5,18,16,30
"S00135928",86,2,-,-,6,4,16,10
"S00135929",64,6,6,-,4,8,8,20
"S00135930",140,5,2,-,3,4,3,17
"S00135931",120,4,1,-,1,11,6,16
"S00135932",103,5,5,-,12,11,9,22
"S00135933",131,8,1,1,4,13,14,25
"S00135934",121,10,1,-,9,10,20,19
"S00135935",102,9,2,-,-,14,3,22
"S00135936",118,3,4,-,7,2,16,20
"S00135937",122,5,4,-,4,5,17,15
"S00135938",117,7,3,-,8,12,5,22
"S00135939",73,3,4,-,5,4,15,10
"S00135940",94,4,6,-,7,26,21,32
"S00135941",120,4,1,-,7,3,18,13
"S00135942",142,13,8,-,3,8,6,26
"S00135943",119,5,5,1,5,4,10,23
"S00135944",170,11,5,2,10,15,18,42
"S00135945",79,10,8,-,3,7,10,18
"S00135946",173,3,2,-,12,4,12,30
"S00135947",128,7,1,1,10,13,16,30
"S00135948",134,2,4,-,11,4,12,12
"S00135949",174,8,-,-,4,2,6,19
"S00135950",77,5,3,-,7,15,4,16
"S00135951",135,2,3,-,11,6,19,13
"S00135952",78,2,-,-,3,3,5,8
"S00135953",117,7,1,-,12,6,18,21
"S00135954",151,5,3,-,5,1,4,12
"S00135955",134,12,4,-,7,19,18,33
"S00135956",115,11,4,1,4,13,10,30
"S00135957",110,6,2,-,2,4,16,18
"S00135958",81,5,4,1,8,6,8,16
"S00135959",131,10,2,-,9,9,10,16
"S00135960",165,10,2,1,4,15,16,34
"S00135961",177,6,5,3,11,10,17,31
"S00135962",100,5,4,-,8,16,11,13
"S00135963",192,15,3,-,7,5,10,32
"S00135964",114,5,4,-,12,7,22,17
"S00135965",103,5,3,-,5,7,13,19
"S00135966",86,7,4,-,5,12,13,25
"S00135967",106,7,3,-,1,6,7,13
"S00135968",158,12,4,-,10,26,16,37
"S00135969",79,1,5,-,3,2,11,10
"S00135970",102,11,2,1,7,22,13,32
"S00135971",117,7,9,2,7,14,19,24
"S00135972",94,7,7,-,6,19,16,35
"S00135973",120,6,2,-,17,14,20,29
"S00135974",96,3,2,-,3,7,8,20
"S00135975",82,1,3,-,10,7,16,19
"S00135976",112,8,4,-,12,15,29,23
"S00135977",78,4,-,-,5,3,10,19
"S00135978",117,-,1,-,9,2,24,8
"S00135979",89,12,5,6,21,19,25,22
"S00135980",106,1,1,-,1,3,7,13
"S00135981",156,4,1,-,4,8,6,23
"S00135982",82,4,4,-,9,7,23,18
"S00135983",116,4,1,2,12,6,23,20
"S00135984",117,17,6,-,6,19,13,38
"S00135985",119,-,-,-,7,15,21,22
"S00135986",126,12,11,-,8,24,22,34
"S00135987",77,5,-,1,11,2,16,14
"S00135988",69,-,1,-,1,2,-,12
"S00135989",95,10,3,3,20,15,22,24
"S00135990",69,3,1,-,2,3,4,12
"S00135991",71,2,-,-,2,2,9,5
"S00135992",99,7,2,-,11,7,13,27
"S00135993",107,2,1,-,6,4,7,18
"S00135994",175,5,1,-,6,5,11,19
"S00135995",65,2,-,-,4,2,2,6
"S00135996",176,4,1,-,2,4,6,27
"S00135997",118,27,7,4,6,32,17,42
"S00135998",93,6,2,1,6,4,10,13
"S00135999",99,2,4,-,8,3,18,16
"S00136000",131,26,9,2,7,24,12,49
"S00136001",75,13,5,-,3,16,12,24
"S00136002",108,10,4,-,7,10,20,14
"S00136003",70,1,-,1,7,2,17,5
"S00136004",76,4,-,-,8,5,8,14
"S00136005",146,11,7,2,16,10,15,32
"S00136006",66,2,1,-,4,2,12,9
"S00136007",168,13,7,-,5,16,11,27
"S00136008",78,5,1,-,3,4,9,6
"S00136009",113,10,7,1,7,23,23,30
"S00136010",131,4,3,-,5,6,8,18
"S00136011",126,4,-,-,3,19,21,32
"S00136012",110,13,4,-,12,13,25,29
"S00136013",88,3,1,-,11,2,18,12
"S00136014",121,2,-,-,3,4,12,15
"S00136015",113,5,3,-,6,18,27,25
"S00136016",114,4,3,-,9,2,15,9
"S00136017",153,13,3,-,6,11,22,25
"S00136018",154,4,2,-,12,3,15,9
"S00136019",871,13,8,-,105,29,215,97
"S00136020",134,7,3,-,5,18,14,21
"S00136021",66,2,-,-,6,2,5,3
"S00136022",133,6,-,-,8,5,17,22
"S00136023",65,19,5,-,4,18,10,26
"S00136024",88,9,3,1,8,7,9,29
"S00136025",115,7,-,-,4,6,3,19
"S00136026",139,5,3,-,16,7,29,20
"S00136027",71,2,1,-,3,-,9,10
"S00136028",62,5,-,-,1,10,13,17
"S00136029",92,3,2,-,2,3,1,19
"S00136030",143,8,10,7,13,23,42,39
"S00136031",118,7,-,2,6,13,13,19
"S00136032",108,5,8,-,15,5,22,18
"S00136033",145,8,3,-,6,8,13,25
"S00136034",108,-,1,1,9,2,23,20
"S00136035",129,5,1,-,9,-,17,18
"S00136036",109,3,1,-,7,7,17,22
"S00136037",99,6,1,-,5,11,14,16
"S00136038",81,8,1,-,7,13,16,16
"S00136039",85,5,2,-,-,6,19,19
"S00136040",84,5,2,-,6,6,8,20
"S00136041",146,7,5,-,11,7,13,28
"S00136042",113,6,2,-,2,13,9,27
"S00136043",91,10,2,-,4,13,13,23
"S00136044",63,4,2,-,4,12,12,15
"S00136045",146,8,4,1,6,14,17,36
"S00136046",90,8,2,-,4,7,11,14
"S00136047",131,5,4,-,3,8,11,21
"S00136048",107,4,1,-,2,7,9,21
"S00136049",148,8,4,-,2,6,8,32
"S00136050",143,6,1,-,9,6,-,24
"S00136051",111,4,1,-,5,9,10,29
"S00136052",64,2,-,-,4,7,8,13
"S00136053",94,2,2,-,5,11,5,26
"S00136054",118,7,-,-,5,5,26,17
"S00136055",127,14,7,-,2,17,16,30
"S00136056",94,4,1,-,4,18,18,26
"S00136057",130,11,4,1,3,14,9,36
"S00136058",249,18,8,-,15,31,53,38
"S00136059",91,9,2,-,6,13,15,28
"S00136060",100,2,3,-,9,13,16,16
"S00136061",405,5,6,-,31,6,68,40
"S00136062",90,9,-,-,3,7,6,16
"S00136063",101,6,5,1,9,20,20,17
"S00136064",142,12,-,-,10,18,19,35
"S00136065",102,8,1,-,6,10,20,19
"S00136066",58,3,-,-,4,4,11,3
"S00136067",64,4,-,-,4,4,5,14
"S00136068",123,4,1,-,12,7,21,12
"S00136069",135,5,7,-,10,19,21,31
"S00136070",76,5,1,-,1,4,9,8
"S00136071",204,5,2,1,19,6,16,22
"S00136072",78,4,2,-,7,4,17,15
"S00136073",105,3,2,-,7,2,9,13
"S00136074",96,4,1,-,5,7,15,12
"S00136075",101,1,-,-,7,3,26,7
"S00136076",124,4,4,-,13,7,37,16
"S00136077",98,4,2,-,8,3,16,15
"S00136078",204,7,1,-,10,2,13,27
"S00136079",63,2,-,-,10,2,16,14
"S00136080",140,11,4,-,3,13,13,25
"S00136081",80,2,2,-,6,3,9,11
"S00136082",73,-,4,-,3,8,12,12
"S00136083",105,-,-,-,8,1,19,9
"S00136084",97,2,4,-,5,7,10,19
"S00136085",88,4,2,-,2,11,12,24
"S00136086",90,2,2,-,7,-,20,10
"S00136087",98,8,2,-,2,5,10,30
"S00136088",84,4,3,-,9,5,18,17
"S00136089",155,22,2,-,4,9,7,46
"S00136090",106,19,6,1,2,8,4,28
"S00136091",138,12,8,2,12,13,10,27
"S00136092",173,12,3,-,13,23,25,44
"S00136093",118,8,3,-,7,11,14,8
"S00136094",89,2,2,-,8,4,7,22
"S00136095",62,3,2,-,1,6,3,17
"S00136096",153,6,2,1,4,10,29,26
"S00136097",158,1,-,1,12,3,23,11
"S00136098",94,8,3,1,2,12,11,19
"S00136099",147,9,5,-,4,13,21,39
"S00136100",195,8,2,1,17,19,51,49
"S00136101",102,7,1,-,4,17,10,32
"S00136102",109,2,3,-,2,2,26,20
"S00136103",92,5,5,2,4,18,20,18
"S00136104",102,4,2,-,9,7,15,19
"S00136105",149,3,-,-,8,8,22,7
"S00136106",110,1,5,-,9,3,13,10
"S00136107",125,4,5,-,10,1,18,5
"S00136108",154,14,8,4,7,13,11,35
"S00136109",113,11,7,-,5,19,13,29
"S00136110",85,15,5,-,3,11,6,27
"S00136111",115,6,-,-,12,3,14,15
"S00136112",139,6,1,-,5,6,7,28
"S00136113",85,6,3,1,4,16,19,35
"S00136114",159,2,3,-,18,2,22,12
"S00136115",129,2,2,-,12,6,24,19
"S00136116",87,5,1,-,3,4,7,15
"S00136117",100,6,5,-,9,9,18,19
"S00136118",84,6,2,-,4,4,11,16
"S00136119",86,5,4,-,2,9,14,19
"S00136120",90,8,1,-,4,10,6,21
"S00136121",126,4,4,-,1,5,10,20
"S00136122",121,2,2,2,10,6,26,8
"S00136123",155,8,-,-,11,8,11,20
"S00136124",82,8,2,-,5,10,9,16
"S00136125",102,6,1,-,4,13,14,26
"S00136126",88,23,12,1,7,32,19,42
"S00136127",145,16,6,1,6,17,8,39
"S00136128",70,-,1,-,7,2,15,5
"S00136129",103,4,3,-,5,16,14,31
"S00136130",74,2,1,-,1,4,10,13
"S00136131",81,-,3,-,3,10,22,18
"S00136132",84,12,4,-,4,20,5,21
"S00136133",117,4,-,-,2,4,9,17
"S00136134",92,7,-,-,2,10,9,25
"S00136135",83,4,3,-,14,9,9,23
"S00136136",74,3,-,-,4,10,13,17
"S00136137",97,9,2,-,2,19,22,29
"S00136138",83,20,11,2,3,36,10,39
"S00136139",82,27,8,-,1,38,8,42
"S00136140",121,10,4,-,5,8,12,23
"S00136141",71,2,3,-,3,1,11,14
"S00136142",120,2,2,-,10,6,19,12
"S00136143",67,3,1,-,-,2,6,7
"S00136144",141,14,5,1,7,12,11,27
"S00136145",293,1,9,1,25,7,41,27
"S00136146",112,2,2,-,10,7,19,13
"S00136147",69,3,3,-,7,6,11,9
"S00136148",97,6,-,-,3,5,7,19
"S00136149",80,4,-,-,5,15,10,23
"S00136150",113,2,2,-,2,3,11,8
"S00136151",74,7,3,-,5,13,14,22
"S00136152",84,4,3,-,5,14,12,24
"S00136153",76,2,-,-,6,-,11,7
"S00136154",116,11,3,1,11,6,23,18
"S00136155",117,13,8,-,4,23,4,38
"S00136156",123,6,2,-,1,3,1,17
"S00136157",60,-,-,-,3,3,16,10
"S00136158",133,25,13,-,6,32,18,38
"S00136159",90,3,3,-,2,8,11,22
"S00136160",77,14,5,-,4,21,10,17
"S00136161",107,7,3,-,4,10,11,25
"S00136162",124,13,1,-,7,26,27,28
"S00136163",71,9,6,1,2,13,16,15
"S00136164",84,4,2,-,6,11,15,20
"S00136165",62,2,4,-,3,6,9,15
"S00136166",66,6,-,-,6,7,9,12
"S00136167",83,21,9,2,1,37,8,34
"S00136168",106,6,2,-,3,6,12,18
"S00136169",70,1,5,-,9,4,12,9
"S00136170",72,3,-,-,8,10,22,20
"S00136171",68,3,-,-,2,5,13,9
"S00136172",83,4,5,-,15,1,12,3
"S00136173",63,3,3,-,12,4,19,9
"S00136174",131,2,-,-,11,-,13,12
"S00136175",78,4,2,-,5,4,4,10
"S00136176",139,6,-,1,8,8,11,34
"S00136177",97,5,4,-,1,13,8,17
"S00136178",104,8,1,-,7,8,17,17
"S00136179",101,3,3,2,9,7,25,21
"S00136180",128,2,2,-,13,2,22,16
"S00136181",65,1,4,-,-,1,14,6
"S00136182",120,12,4,-,9,9,17,23
"S00136183",121,4,-,-,6,6,10,17
"S00136184",125,5,5,-,5,12,15,21
"S00136185",98,4,5,-,5,1,11,10
"S00136186",103,4,3,1,19,9,28,20
"S00136187",100,8,1,-,7,16,10,25
"S00136188",61,2,1,-,3,2,13,6
"S00136189",93,4,-,-,6,8,11,16
"S00136190",80,4,1,-,2,-,11,7
"S00136191",110,1,1,-,4,5,11,7
"S00136192",146,1,2,-,5,2,12,11
"S00136193",127,2,1,-,8,6,16,17
"S00136194",137,4,7,2,27,6,26,17
"S00136195",385,7,11,1,33,10,60,30
"S00136196",76,4,-,2,2,4,17,11
"S00136197",112,2,-,-,9,6,28,21
"S00136198",119,8,6,2,5,36,21,53
"S00136199",61,1,-,-,9,1,9,6
"S00136200",66,11,1,-,5,21,12,19
"S00136201",89,3,3,-,3,2,12,11
"S00136202",83,5,4,1,2,11,8,15
"S00136203",102,9,2,2,11,12,16,19
"S00136204",124,1,1,-,13,3,26,12
"S00136205",77,4,-,1,11,4,21,18
"S00136206",101,4,2,1,10,10,31,17
"S00136207",67,1,1,-,2,3,18,16
"S00136208",88,11,1,-,8,13,16,22
"S00136209",101,7,3,-,8,8,10,24
"S00136210",166,18,4,-,4,14,13,40
"S00136211",89,1,1,-,7,5,15,11
"S00136212",89,2,1,-,5,11,12,26
"S00136213",75,1,1,-,2,8,10,20
"S00136214",118,4,2,-,10,7,19,21
"S00136215",96,8,4,-,10,12,12,25
"S00136216",115,1,2,-,11,3,15,2
"S00136217",138,12,5,1,7,19,19,34
"S00136218",195,6,7,-,7,8,27,19
"S00136219",77,1,-,-,5,1,10,8
"S00136220",113,5,3,-,6,15,23,19
"S00136221",68,1,2,-,5,-,8,4
"S00136222",61,6,1,2,3,14,21,26
"S00136223",180,11,-,-,8,13,19,31
"S00136224",81,3,2,-,8,2,15,10
"S00136225",109,6,5,-,8,13,22,17
"S00136226",102,7,5,-,3,4,9,22
"S00136227",82,1,-,-,1,4,11,11
"S00136228",177,12,5,-,4,22,20,35
"S00136229",101,8,1,1,6,28,16,36
"S00136230",93,3,4,1,9,6,21,17
"S00136231",104,6,3,-,8,17,26,37
"S00136232",158,15,1,1,9,24,21,49
"S00136233",78,2,1,-,5,3,12,10
"S00136234",97,4,-,-,12,-,21,19
"S00136235",65,6,4,-,2,3,4,12
"S00136236",450,12,11,-,61,9,86,40
"S00136237",159,-,2,-,4,9,20,17
"S00136238",130,2,3,-,5,8,17,13
"S00136239",312,5,4,-,27,10,69,39
"S00136240",101,9,-,1,-,3,8,16
"S00136241",72,-,1,-,6,3,11,3
"S00136242",109,3,-,1,5,5,7,9
"S00136243",92,1,2,-,6,2,13,11
"S00136244",141,10,4,2,4,17,12,37
"S00136245",589,34,32,5,55,31,106,69
"S00136246",78,3,2,1,1,12,12,15
"S00136247",132,7,3,-,9,9,13,29
"S00136248",127,-,4,-,5,5,13,23
"S00136249",91,4,5,-,-,12,13,12
"S00136250",95,8,3,-,2,8,9,18
"S00136251",109,7,2,-,5,5,18,10
"S00136252",90,5,3,-,6,8,12,19
"S00136253",72,5,7,-,-,4,7,15
"S00136254",136,8,2,-,9,7,18,25
"S00136255",111,4,-,-,5,2,10,13
"S00136256",104,14,2,1,2,23,7,34
"S00136257",116,4,-,-,7,2,19,10
"S00136258",105,4,2,-,3,12,13,26
"S00136259",250,9,4,-,16,5,22,31
"S00136260",74,19,10,-,2,23,7,35
"S00136261",97,2,2,-,7,8,15,12
"S00136262",106,10,-,-,6,4,15,26
"S00136263",87,2,-,-,6,7,9,18
"S00136264",108,1,-,-,7,7,14,17
"S00136265",111,-,-,-,6,-,10,8
"S00136266",88,10,5,-,4,14,1,29
"S00136267",97,7,3,-,5,2,17,15
"S00136268",117,6,6,-,5,9,26,25
"S00136269",91,4,5,1,8,8,18,20
"S00136270",85,3,4,-,4,1,13,8
"S00136271",122,5,1,-,3,4,11,14
"S00136272",121,7,3,-,6,15,18,29
"S00136273",70,3,4,-,5,4,7,17
"S00136274",93,-,2,-,8,5,21,11
"S00136275",126,3,2,-,13,6,25,20
"S00136276",107,12,6,1,11,30,17,27
"S00136277",67,-,1,-,7,3,13,10
"S00136278",104,2,3,-,4,-,12,9
"S00136279",60,-,-,-,4,6,11,10
"S00136280",106,5,3,-,6,12,10,18
"S00136281",125,8,2,-,10,7,22,14
"S00136282",62,10,6,-,4,10,9,20
"S00136283",72,4,-,-,2,6,3,14
"S00136284",149,3,1,-,12,1,19,13
"S00136285",108,1,1,-,4,12,26,17
"S00136286",102,9,2,2,5,6,4,20
"S00136287",84,5,2,-,3,4,2,13
"S00136288",144,4,2,-,8,14,21,30
"S00136289",180,18,7,-,15,19,29,35
"S00136290",149,10,4,1,7,3,14,34
"S00136291",103,5,2,-,10,1,23,7
"S00136292",119,21,3,-,8,26,20,51
"S00136293",91,5,-,-,-,4,4,22
"S00136294",97,11,3,-,12,12,8,27
"S00136295",84,8,1,-,4,17,23,19
"S00136296",81,2,1,-,8,7,15,11
"S00136297",115,5,2,-,8,12,24,22
"S00136298",134,3,2,-,10,10,26,19
"S00136299",132,10,4,-,-,7,8,27
"S00136300",112,2,-,1,5,10,14,22
"S00136301",138,5,3,1,1,10,8,19
"S00136302",133,19,4,3,7,17,10,35
"S00136303",126,4,-,-,11,5,17,21
"S00136304",88,1,-,1,8,3,22,10
"S00136305",133,1,2,-,10,7,18,14
"S00136306",91,5,-,1,5,12,12,18
"S00136307",121,3,2,-,6,3,17,16
"S00136308",184,5,2,-,4,5,10,33
"S00136309",146,15,11,-,11,18,14,30
"S00136310",191,-,-,-,17,2,34,19
"S00136311",103,6,-,-,8,4,12,16
"S00136312",125,3,1,-,4,6,10,22
"S00136313",80,4,1,-,5,2,13,13
"S00136314",91,2,-,-,6,-,15,11
"S00136315",81,2,-,-,3,9,21,15
"S00136316",101,3,4,-,8,7,9,15
"S00136317",112,6,3,-,3,7,5,25
"S00136318",96,8,2,-,2,5,8,28
"S00136319",78,7,-,-,7,1,16,13
"S00136320",66,-,5,-,2,1,6,9
"S00136321",97,2,2,-,6,4,13,13
"S00136322",73,-,2,-,5,9,10,15
"S00136323",108,10,1,-,4,12,11,22
"S00136324",75,-,2,-,9,4,10,6
"S00136325",149,7,2,-,2,5,6,27
"S00136326",87,6,-,-,6,-,13,10
"S00136327",66,4,3,-,2,6,6,17
"S00136328",60,4,2,-,2,2,12,7
"S00136329",108,11,3,1,10,19,23,28
"S00136330",148,3,2,-,8,7,23,13
"S00136331",75,3,2,-,4,2,14,8
"S00136332",101,6,1,2,1,19,11,39
"S00136333",414,8,3,-,29,4,46,36
"S00136334",117,11,5,2,8,19,23,30
"S00136335",85,5,-,-,1,1,3,9
"S00136336",110,6,5,-,4,6,14,18
"S00136337",128,8,5,-,6,12,17,27
"S00136338",97,2,1,-,9,3,12,10
"S00136339",106,11,3,1,10,20,22,27
"S00136340",86,6,3,-,7,9,10,17
"S00136341",63,2,1,-,1,5,4,10
"S00136342",74,-,1,-,4,5,16,9
"S00136343",112,-,-,-,7,-,16,10
"S00136344",64,4,2,2,5,3,7,12
"S00136345",115,17,8,-,2,16,15,25
"S00136346",89,4,1,-,2,6,6,13
"S00136347",70,1,1,-,12,6,11,12
"S00136348",121,11,5,-,7,10,13,18
"S00136349",103,1,2,-,5,3,19,12
"S00136350",88,1,2,-,5,8,13,10
"S00136351",114,4,1,-,-,4,8,22
"S00136352",65,6,7,1,7,12,23,16
"S00136353",130,12,7,-,10,22,27,35
"S00136354",83,5,5,3,17,22,15,21
"S00136355",102,2,1,-,4,7,14,12
"S00136356",61,-,2,-,4,2,8,5
"S00136357",99,9,-,-,4,4,10,15
"S00136358",132,4,5,-,1,4,12,24
"S00136359",85,19,5,1,4,14,12,20
"S00136360",84,2,2,-,4,7,5,6
"S00136361",73,3,2,-,5,5,15,8
"S00136362",127,2,2,-,14,4,13,17
"S00136363",88,-,2,-,6,5,7,22
"S00136364",79,-,1,-,2,2,14,11
"S00136365",161,5,1,1,9,17,25,33
"S00136366",126,7,2,-,9,15,23,31
"S00136367",90,1,-,-,1,-,13,10
"S00136368",80,4,2,-,4,2,8,16
"S00136369",129,7,4,-,6,17,25,37
"S00136370",162,9,1,-,15,6,23,16
"S00136371",76,6,2,-,1,8,9,19
"S00136372",122,16,5,-,3,13,6,43
"S00136373",118,-,3,-,9,9,28,19
"S00136374",160,17,4,-,4,17,21,34
"S00136375",148,11,5,-,6,12,15,28
"S00136376",112,6,2,-,6,6,12,14
"S00136377",74,-,-,-,4,3,11,13
"S00136378",94,2,2,-,7,2,13,10
"S00136379",97,1,1,-,8,1,19,7
"S00136380",116,5,1,-,4,9,13,19
"S00136381",74,4,2,-,9,1,15,11
"S00136382",124,5,-,-,5,5,6,24
"S00136383",106,6,2,-,2,4,2,13
"S00136384",79,11,4,-,10,19,7,17
"S00136385",110,6,5,-,8,8,22,16
"S00136386",85,12,1,1,2,13,11,24
"S00136387",131,4,-,1,11,11,23,17
"S00136388",84,2,3,-,7,8,15,22
"S00136389",152,11,3,-,3,4,8,25
"S00136390",94,5,3,-,5,16,28,26
"S00136391",91,1,3,-,3,2,8,9
"S00136392",74,2,-,-,2,1,13,12
"S00136393",67,19,5,-,8,29,7,39
"S00136394",76,11,-,-,3,13,9,17
"S00136395",191,7,3,-,1,6,9,30
"S00136396",65,4,1,-,11,11,25,15
"S00136397",141,3,3,1,6,2,4,21
"S00136398",78,3,1,-,13,-,12,9
"S00136399",67,8,2,-,3,16,12,23
"S00136400",77,8,1,-,3,5,1,13
"S00136401",93,4,1,-,16,9,27,23
"S00136402",113,16,10,2,6,21,13,42
"S00136403",135,-,-,-,5,1,4,13
"S00136404",77,4,5,1,3,7,11,23
"S00136405",105,4,1,-,12,7,25,6
"S00136406",84,1,2,-,10,3,17,10
"S00136407",96,4,1,-,16,10,26,21
"S00136408",177,8,3,-,4,6,10,25
"S00136409",112,6,5,2,10,18,15,31
"S00136410",160,1,2,-,8,2,7,13
"S00136411",74,-,1,-,4,2,6,13
"S00136412",65,1,-,-,-,2,10,8
"S00136413",72,1,1,-,3,1,14,6
"S00136414",121,6,2,2,8,9,11,23
"S00136415",95,1,-,-,-,4,8,19
"S00136416",145,9,-,-,3,6,8,28
"S00136417",90,3,1,-,3,2,8,9
"S00136418",91,3,1,-,-,4,3,14
"S00136419",121,12,3,-,5,22,6,27
"S00136420",89,14,3,-,1,13,7,25
"S00136421",62,5,1,-,5,4,13,18
"S00136422",165,7,4,-,1,7,20,26
"S00136423",107,9,-,-,1,4,2,13
"S00136424",129,4,2,-,8,12,15,14
"S00136425",103,1,2,-,7,2,28,17
"S00136426",78,1,-,-,4,2,20,11
"S00136427",94,5,1,-,7,7,6,15
"S00136428",112,2,-,1,11,7,23,14
"S00136429",143,5,2,1,9,2,9,27
"S00136430",80,2,1,-,6,8,15,9
"S00136431",159,13,1,-,8,8,13,38
"S00136432",110,1,4,-,5,-,16,10
"S00136433",113,10,4,-,6,4,8,28
"S00136434",65,2,-,-,5,-,12,13
"S00136435",77,9,5,-,3,14,5,26
"S00136436",115,10,1,1,7,17,22,28
"S00136437",184,1,-,-,4,-,8,26
"S00136438",135,2,1,-,14,2,23,16
"S00136439",159,4,3,-,10,14,20,33
"S00136440",76,-,3,-,9,1,20,8
"S00136441",96,12,2,1,1,7,8,22
"S00136442",86,1,2,-,3,4,11,12
"S00136443",75,19,2,1,-,14,6,28
"S00136444",90,6,1,1,13,20,28,27
"S00136445",103,5,1,-,9,11,22,17
"S00136446",121,12,4,1,-,9,10,18
"S00136447",96,3,5,-,11,3,21,16
"S00136448",62,16,12,2,2,21,7,30
"S00136449",117,4,1,-,7,3,7,20
"S00136450",73,6,2,-,11,8,13,18
"S00136451",108,9,4,-,3,3,5,22
"S00136452",95,8,4,-,4,10,11,12
"S00136453",96,10,5,2,15,24,24,34
"S00136454",64,4,1,-,1,5,16,9
"S00136455",117,7,1,-,3,7,7,20
"S00136456",102,1,1,-,2,6,6,16
"S00136457",96,2,-,-,5,3,20,15
"S00136458",112,1,1,-,9,1,13,18
"S00136459",63,-,-,-,6,1,4,7
"S00136460",90,5,-,-,6,-,11,11
"S00136461",169,14,4,-,2,13,3,34
"S00136462",86,11,3,-,2,7,4,26
"S00136463",168,4,4,-,5,6,7,22
"S00136464",75,6,2,-,7,2,14,19
"S00136465",90,6,2,-,6,-,6,17
"S00136466",82,1,2,-,6,-,11,3
"S00136467",96,34,11,-,1,36,10,38
"S00136468",167,11,4,-,7,7,11,21
"S00136469",93,3,1,-,4,4,22,12
"S00136470",95,3,2,-,5,6,20,19
"S00136471",74,1,2,-,3,-,12,4
"S00136472",64,-,2,-,6,-,15,1
"S00136473",71,2,-,-,2,2,6,6
"S00136474",81,-,2,-,7,2,15,13
"S00136475",98,11,2,-,-,5,1,28
"S00136476",72,-,2,-,5,1,8,12
"S00136477",87,-,-,-,3,3,6,10
"S00136478",68,1,1,-,5,2,13,7
"S00136479",123,1,3,-,-,1,7,10
"S00136480",109,2,3,-,8,10,28,10
"S00136481",83,-,-,1,21,9,17,14
"S00136482",137,10,5,-,10,6,8,28
"S00136483",100,6,-,-,2,3,8,18
"S00136484",113,8,5,-,7,6,22,33
"S00136485",101,3,1,-,5,4,11,18
"S00136486",105,4,4,1,12,6,17,18
"S00136487",91,8,3,-,4,12,15,17
"S00136488",87,2,2,-,5,-,12,6
"S00136489",74,1,1,-,8,-,8,10
"S00136490",112,3,-,-,3,3,4,12
"S00136491",93,6,3,-,2,5,3,13
"S00136492",107,2,-,-,3,7,4,8
"S00136493",123,7,4,-,10,9,19,15
"S00136494",179,19,5,-,6,11,9,38
"S00136495",78,-,-,-,3,2,9,11
"S00136496",86,11,6,-,4,10,4,20
"S00136497",95,2,1,-,2,1,5,13
"S00136498",97,1,3,-,8,5,17,10
"S00136499",132,8,4,-,1,2,2,14
"S00136500",109,8,3,-,2,5,16,19
"S00136501",77,6,2,-,-,4,6,14
"S00136502",136,7,3,-,5,6,4,20
"S00136503",89,1,-,-,6,-,14,9
"S00136504",117,4,-,-,7,4,11,10
"S00136505",132,17,2,-,4,6,8,33
"S00136506",109,3,-,-,10,12,12,19
"S00136507",99,12,6,1,4,3,8,21
"S00136508",131,4,-,-,4,3,13,19
"S00136509",158,8,5,-,6,6,7,21
"S00136510",95,1,1,1,4,3,23,13
"S00136511",73,7,1,-,-,3,6,20
"S00136512",59,1,1,-,4,4,12,8
"S00136513",132,7,1,-,5,3,5,26
"S00136514",178,7,4,-,3,5,3,22
"S00136515",111,7,8,-,8,8,5,26
"S00136516",112,1,-,-,7,1,15,13
"S00136517",97,6,-,-,-,3,7,11
"S00136518",195,11,9,1,18,22,30,27
"S00136519",96,21,9,-,5,36,16,33
"S00136520",185,16,3,1,6,8,8,43
"S00136521",108,8,1,-,4,6,11,10
"S00136522",105,9,1,1,6,7,8,21
"S00136523",111,13,5,1,3,8,5,19
"S00136524",87,1,1,-,3,1,3,10
"S00136525",98,3,-,-,7,4,12,15
"S00136526",78,1,1,-,4,3,5,2
"S00136527",111,4,3,-,3,6,18,13
"S00136528",62,2,-,-,2,5,15,8
"S00136529",87,6,1,1,4,2,4,4
"S00136530",102,15,5,1,1,6,3,24
"S00136531",84,11,5,-,7,10,10,22
"S00136532",148,9,5,-,8,15,19,29
"S00136533",99,4,1,-,4,4,5,14
"S00136534",116,5,1,-,8,-,26,12
"S00136535",64,2,1,-,2,3,10,5
"S00136536",96,6,4,1,4,5,1,22
"S00136537",100,11,1,-,1,2,6,14
"S00136538",140,-,-,-,2,1,11,8
"S00136539",111,6,1,-,4,3,5,24
"S00136540",65,1,1,-,4,4,12,3
"S00136541",92,6,-,-,2,2,1,19
"S00136542",70,2,2,-,-,-,6,7
"S00136543",135,14,2,-,2,6,7,23
"S00136544",63,2,1,-,3,2,10,6
"S00136545",104,7,1,1,3,1,4,24
