Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV602 - Economic activity of Household Reference Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Household Reference Persons aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Household Reference Persons aged 16 and over,Economically Active (full-time students) - Total,Economically Active (full-time students) - Employee - Total,Economically Active (full-time students) - Employee - Part-time,Economically Active (full-time students) - Employee - Full-time,Economically Active (full-time students) - Self-employed with employees - Total,Economically Active (full-time students) - Self-employed with employees - Part-time,Economically Active (full-time students) - Self-employed with employees - Full-time,Economically Active (full-time students) - Self-employed without employees - Total,Economically Active (full-time students) - Self-employed without employees - Part-time,Economically Active (full-time students) - Self-employed without employees - Full-time,Economically Active (full-time students) - Unemployed - Available for work,Economically Active Full-time student - Total,Economically Active Full-time student - Employee - Total,Economically Active Full-time student - Employee - Part-time,Economically Active full-time student - Employee - Full-time,Economically Active Full-time student - Self-employed with employees - Total,Economically Active Full-time student - Self-employed with employees - Part-time,Economically Active Full-time student - Self-employed with employees - Full-time,Economically Active Full-time student - Self-employed without employees - Total,Economically Active Full-time student - Self-employed without employees - Part-time,Economically Active Full-time student - Self-employed without employees - Full-time,Economically Active Full-time student - Unemployed - Available for work,Economically inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00135402,51,41,35,1,31,-,-,-,5,-,5,1,1,-,-,-,-,-,-,1,1,-,-,10,7,-,1,-,-
S00135403,58,47,45,6,39,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-
S00135404,47,29,33,4,27,-,-,-,1,-,1,-,1,1,1,-,-,-,-,-,-,-,-,8,8,-,-,-,-
S00135405,76,47,36,7,29,1,-,1,9,3,9,-,-,-,-,-,-,-,-,-,-,-,-,30,23,2,2,3,-
S00135406,71,52,44,4,39,-,-,-,4,-,3,-,-,-,-,-,-,-,-,-,-,-,-,23,20,-,1,1,-
S00135407,60,37,30,3,28,2,-,2,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,23,21,-,1,1,-
S00135408,73,39,33,7,26,1,1,-,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,34,28,-,-,6,-
S00135409,36,18,21,6,8,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,18,17,1,-,-,-
S00135410,59,53,44,6,40,1,-,1,4,-,4,2,2,2,2,-,-,-,-,-,-,-,-,9,9,-,-,-,-
S00135411,95,77,73,5,67,-,-,-,4,-,4,-,3,2,2,1,-,-,-,-,-,-,-,15,14,-,-,2,-
S00135412,54,24,22,-,20,-,-,-,2,2,-,-,1,1,1,-,-,-,-,-,-,-,-,26,25,-,-,1,-
S00135413,59,32,28,5,23,1,-,1,4,-,4,-,4,1,-,1,-,-,-,-,-,-,1,25,25,-,-,-,-
S00135414,39,19,17,5,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,18,19,-,-,1,-
S00135415,40,28,24,5,19,2,-,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,-,2
S00135416,80,54,45,6,39,4,-,4,3,1,4,2,-,-,-,-,-,-,-,-,-,-,-,26,25,-,1,-,-
S00135417,64,52,50,5,45,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,11,7,-,-,3,3
S00135418,67,56,48,1,45,-,-,-,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,11,8,2,-,-,-
S00135419,57,49,39,5,32,-,-,-,5,2,3,3,-,-,-,-,-,-,-,-,-,-,-,9,8,-,-,1,-
S00135420,75,41,33,3,28,-,-,-,10,-,10,-,-,-,-,-,-,-,-,-,-,-,-,32,30,-,-,-,-
S00135421,56,44,37,2,35,-,-,-,5,-,5,2,-,-,-,-,-,-,-,-,-,-,-,12,11,1,-,-,-
S00135422,61,47,42,4,38,-,-,-,2,-,2,3,3,3,2,1,-,-,-,-,-,-,-,13,10,-,-,-,-
S00135423,70,48,42,6,32,3,-,3,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,22,21,1,-,-,-
S00135424,62,29,27,5,23,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,21,-,2,4,2
S00135425,63,35,35,6,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,21,-,-,5,1
S00135426,55,38,35,4,35,1,1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,17,15,1,1,-,-
S00135427,67,22,20,7,16,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,45,44,-,-,1,-
S00135428,27,20,13,1,15,-,-,-,2,1,1,1,1,-,-,-,-,-,-,1,-,1,-,6,6,-,-,-,-
S00135429,37,14,9,-,8,1,-,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,23,22,-,-,-,-
S00135430,47,30,26,7,19,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,17,16,-,2,-,-
S00135431,45,31,28,3,25,-,-,-,3,2,1,-,2,1,1,-,-,-,-,-,-,-,1,13,12,-,-,-,2
S00135432,59,24,21,3,18,1,-,1,6,2,2,-,2,2,-,2,-,-,-,-,-,-,-,28,28,-,2,1,-
S00135433,59,33,26,9,20,-,-,-,5,-,5,2,-,-,-,-,-,-,-,-,-,-,-,24,24,-,-,-,-
S00135434,60,22,18,7,11,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,38,34,-,-,2,1
S00135435,41,17,14,1,13,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,24,24,-,-,-,-
S00135436,49,30,27,3,21,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,19,18,-,-,-,1
S00135437,60,49,45,10,35,-,-,-,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,11,6,-,2,5,-
S00135438,41,28,22,4,18,2,-,2,3,-,3,2,-,-,-,-,-,-,-,-,-,-,-,13,12,-,-,1,-
S00135439,47,23,20,4,16,-,-,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,24,23,-,-,-,1
S00135440,59,33,29,9,20,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,26,24,-,-,-,-
S00135441,58,31,27,1,26,-,-,-,6,4,6,-,-,-,-,-,-,-,-,-,-,-,-,23,23,-,-,-,-
S00135442,52,10,3,-,3,-,-,-,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,45,38,-,-,6,-
S00135443,52,35,28,2,27,-,-,-,3,-,3,-,2,2,1,1,-,-,-,-,-,-,-,15,14,-,-,1,-
S00135444,34,33,31,1,30,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
S00135445,64,40,34,8,26,2,-,2,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,24,23,-,-,-,-
S00135446,76,34,27,3,24,2,-,2,2,1,2,3,2,-,-,-,-,-,-,2,-,2,-,38,35,-,-,-,1
S00135447,57,43,37,1,35,1,-,1,5,4,1,-,3,3,3,-,-,-,-,-,-,-,-,11,9,2,-,-,-
S00135448,61,63,54,1,51,1,-,1,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-
S00135449,72,13,11,1,8,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,60,53,-,-,6,1
S00135450,47,21,15,1,13,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,29,28,-,-,1,-
