Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00135534",76,-,7,3,-,-,6,14,5,2,1,1,-,5,4,10,5,9,3,4,-,-
"S00135535",76,-,11,6,-,-,4,2,2,-,3,3,-,4,2,10,8,15,3,1,-,-
"S00135536",104,-,17,10,2,-,1,10,7,2,5,4,-,6,5,6,6,17,2,5,-,-
"S00135537",74,1,4,5,-,-,8,4,9,5,3,1,-,7,2,5,5,10,2,3,-,-
"S00135538",34,-,2,1,1,-,3,2,-,2,2,-,-,4,2,2,6,4,-,5,-,-
"S00135539",38,-,2,1,-,-,1,4,2,-,-,2,1,1,-,6,8,5,1,3,-,-
"S00135540",65,1,5,7,-,-,5,6,3,2,-,1,-,7,-,5,7,10,2,3,-,-
"S00135541",30,-,6,1,-,-,1,1,1,2,1,-,-,8,3,-,-,7,-,2,-,-
"S00135542",110,-,15,10,2,-,8,5,6,5,-,2,2,6,6,10,4,25,3,3,-,-
"S00135543",120,-,14,9,2,-,3,6,7,5,5,5,-,12,4,9,5,22,5,7,-,-
"S00135544",36,-,5,6,-,-,7,2,4,1,-,-,-,1,1,2,2,6,1,2,-,-
"S00135545",70,-,10,5,-,-,3,10,2,1,4,2,-,2,3,4,6,12,-,7,-,1
"S00135546",33,-,4,1,1,-,1,2,2,1,1,4,-,4,-,3,3,3,1,3,-,-
"S00135547",94,-,17,3,4,1,4,5,3,5,1,6,1,9,3,3,8,12,2,4,-,-
"S00135548",41,-,5,2,-,-,2,9,1,-,1,-,-,5,1,2,1,7,3,2,-,-
"S00135549",29,-,1,2,-,-,3,-,2,-,1,-,-,1,4,3,1,6,1,-,-,-
"S00135550",45,1,4,1,-,-,1,6,10,5,2,1,-,-,3,6,3,3,-,2,-,-
"S00135551",71,-,12,5,2,-,4,1,2,2,1,1,3,2,7,8,9,9,5,1,-,-
"S00135552",84,-,7,6,4,1,5,8,7,2,-,1,-,8,8,5,4,6,-,3,-,-
"S00135553",100,-,17,3,2,1,2,8,4,2,3,1,1,16,6,8,8,11,4,5,-,-
"S00135554",35,-,2,2,-,-,5,2,2,1,-,1,-,3,2,4,3,7,1,1,-,-
"S00135555",92,-,17,5,-,-,8,13,3,-,1,-,2,12,4,4,11,11,3,1,-,-
"S00135556",73,-,6,6,-,2,6,15,1,4,2,1,1,5,5,2,5,6,3,2,-,-
"S00135557",36,-,2,8,-,1,2,8,-,6,-,-,-,1,-,4,4,6,-,-,-,-
"S00135558",76,1,5,7,3,-,3,10,5,3,2,1,1,4,9,6,2,9,6,2,-,-
"S00135559",67,1,4,7,1,-,2,4,7,2,1,3,-,6,5,5,6,6,1,3,-,-
"S00135560",59,-,4,6,1,1,4,6,3,1,1,1,-,7,3,6,5,5,1,2,-,-
"S00135561",42,-,2,4,2,-,2,5,5,5,-,4,-,4,1,-,4,4,2,5,-,-
"S00135562",52,-,2,6,-,1,-,7,9,4,-,2,2,2,3,8,-,3,1,4,-,-
"S00135563",27,-,-,2,-,1,2,5,-,3,1,-,-,1,1,2,3,3,-,4,-,-
"S00135564",37,-,7,9,-,-,-,1,2,1,-,-,-,1,4,5,3,4,-,1,-,-
"S00135565",26,-,3,4,-,-,3,-,3,1,-,-,-,3,-,2,3,4,1,-,-,-
"S00135566",44,-,4,3,-,-,-,8,5,2,1,-,1,6,3,-,2,6,-,1,-,-
"S00135567",63,-,5,7,-,-,9,5,-,4,-,-,1,6,1,2,4,7,1,3,-,-
"S00135568",83,1,9,6,-,1,3,9,2,7,-,2,-,5,4,10,9,11,4,1,-,-
"S00135569",47,-,2,6,1,-,4,2,2,4,-,-,-,2,3,5,2,8,-,-,-,-
"S00135570",51,-,5,3,-,-,-,5,4,-,-,-,-,8,4,4,1,8,4,5,-,-
"S00135571",59,-,2,8,-,-,-,7,6,1,1,2,-,4,8,2,7,12,1,3,-,-
"S00135572",62,-,3,6,-,-,5,8,2,5,-,3,-,4,4,3,3,8,-,4,-,-
"S00135573",52,-,-,4,-,1,5,6,3,2,2,2,-,4,2,4,2,9,3,2,-,-
"S00135574",42,-,1,1,-,-,1,11,6,2,-,-,-,2,4,6,3,5,1,-,-,-
"S00135575",74,-,2,7,-,1,10,6,5,9,-,1,2,2,7,6,3,13,3,1,-,-
"S00135576",60,-,8,5,-,-,3,5,4,2,1,1,-,3,2,7,5,12,1,1,-,-
"S00135577",90,-,8,10,4,-,6,6,8,4,3,1,3,8,5,5,6,11,1,5,-,-
"S00135578",63,-,13,5,1,1,3,3,1,3,3,1,1,4,3,4,5,5,1,1,1,-
"S00135579",44,-,2,1,-,2,1,-,2,-,3,4,-,5,3,8,7,5,1,1,-,-
"S00135580",76,1,8,10,2,-,6,11,3,7,-,2,-,2,9,1,6,8,4,1,-,-
"S00135581",58,-,8,4,-,-,1,-,3,4,2,1,2,3,5,4,7,5,-,1,-,-
"S00135582",57,-,2,8,-,-,3,4,4,6,4,2,-,4,-,6,5,6,-,2,-,-
"S00135583",74,-,6,4,3,1,5,3,1,3,-,4,1,6,6,6,7,12,3,2,-,-
"S00135584",67,-,4,5,-,1,3,10,2,6,2,-,-,3,5,5,6,10,-,5,-,-
"S00135585",66,-,8,8,-,-,2,6,1,4,2,2,-,7,4,5,4,9,-,2,-,-
"S00135586",53,-,12,7,-,2,2,2,1,5,-,-,1,4,3,1,2,5,-,1,-,-
"S00135587",51,-,7,4,-,-,2,4,4,6,3,1,2,4,3,1,6,4,-,3,-,-
"S00135588",50,1,5,3,1,-,2,3,2,6,-,1,-,5,1,4,3,9,-,2,-,-
"S00135589",46,-,5,4,-,-,3,3,3,3,2,-,-,2,7,2,5,7,-,3,-,-
"S00135590",53,-,8,3,2,-,2,4,1,6,2,-,1,5,-,4,-,12,1,2,-,-
"S00135591",50,-,1,7,1,-,2,6,-,5,2,-,-,2,2,4,5,10,-,1,-,-
"S00135592",74,-,11,4,1,-,3,6,11,6,-,-,3,8,3,5,5,9,1,-,-,-
"S00135593",49,-,6,5,1,-,-,3,4,8,-,1,-,1,2,5,3,9,-,-,-,-
"S00135594",57,-,7,3,-,-,3,6,1,2,1,2,1,3,2,4,6,13,-,5,-,-
"S00135595",61,-,4,3,-,-,6,1,5,6,1,-,2,4,3,5,3,7,1,-,-,-
"S00135596",105,-,14,10,1,-,3,5,-,3,1,4,-,7,14,11,10,15,1,3,-,-
"S00135597",55,-,6,8,-,-,2,8,1,4,4,-,-,2,4,4,6,6,2,-,-,-
"S00135598",40,-,5,1,-,-,1,5,3,3,2,-,1,2,-,1,4,9,-,2,-,-
"S00135599",89,-,6,7,-,-,9,5,8,7,5,3,-,1,9,10,5,12,-,3,-,-
"S00135600",18,-,3,-,1,-,5,-,2,1,-,-,-,-,2,3,-,3,-,-,-,-
"S00135601",80,-,10,3,1,1,4,4,6,1,10,3,-,10,7,5,2,6,1,3,-,1
"S00135602",70,2,2,8,-,-,4,5,8,9,1,-,-,4,5,2,5,8,1,3,-,-
"S00135603",37,-,4,3,-,-,1,4,4,-,1,-,-,3,-,-,6,4,1,3,-,-
"S00135604",72,-,4,5,-,-,9,8,8,3,1,1,-,-,3,10,2,14,3,-,-,-
"S00135605",51,1,7,8,-,-,2,6,5,2,-,-,-,1,3,5,5,7,-,2,-,-
"S00135606",104,-,17,3,-,-,3,3,5,3,-,3,2,9,10,2,8,16,2,4,-,-
"S00135607",436,-,5,14,2,-,5,131,11,108,15,9,1,14,10,15,36,23,27,16,2,-
"S00135608",53,1,6,4,1,-,5,5,3,4,2,-,-,2,3,6,3,11,2,-,-,-
"S00135609",46,-,3,3,2,-,6,8,-,2,-,2,-,3,1,4,9,1,1,5,-,-
"S00135610",49,-,1,5,-,-,2,8,3,7,1,-,-,1,4,3,4,7,1,1,-,-
"S00135611",36,-,2,-,-,-,3,7,2,-,1,1,1,-,4,2,2,2,-,4,-,-
"S00135612",102,-,8,7,1,1,4,10,5,6,3,4,-,8,12,4,9,15,1,2,-,-
"S00135613",72,-,6,9,-,-,6,4,1,7,2,1,1,11,4,2,7,7,-,-,-,-
"S00135614",50,-,8,4,-,-,5,4,5,4,2,-,-,2,3,3,4,5,-,1,-,-
"S00135615",112,-,23,10,-,-,5,6,5,-,2,4,1,12,1,8,10,18,3,-,-,-
"S00135616",49,-,7,6,1,-,1,2,-,4,3,1,-,4,4,2,4,8,1,4,-,-
"S00135617",59,2,3,4,-,-,2,10,3,2,1,1,2,8,1,2,7,9,1,4,-,-
"S00135618",30,-,4,1,-,-,6,4,3,2,2,-,-,4,-,2,-,-,1,1,-,-
"S00135619",26,-,6,4,-,-,1,2,3,-,2,-,-,-,1,-,-,7,-,2,-,-
"S00135620",56,-,4,5,-,-,5,8,3,2,-,-,-,4,8,-,8,11,-,2,-,1
"S00135621",50,-,1,6,-,1,5,4,7,7,-,4,-,1,6,-,3,3,2,1,-,-
"S00135622",69,1,7,6,-,-,2,4,5,4,3,2,-,6,5,6,8,12,-,3,-,-
"S00135623",77,-,10,8,-,2,5,6,5,6,2,2,-,9,5,6,3,9,4,-,-,-
"S00135624",48,-,6,7,-,-,1,4,8,2,-,-,-,5,3,3,-,6,-,2,-,-
"S00135625",68,-,11,3,-,-,3,4,2,5,-,5,-,12,1,6,5,9,-,4,1,-
"S00135626",37,1,3,5,-,-,3,5,-,1,3,1,1,4,-,1,4,2,-,-,-,4
"S00135627",72,1,6,6,-,1,7,10,7,4,1,2,-,5,3,4,3,10,-,3,-,-
"S00135628",81,1,7,9,-,-,7,13,6,11,-,2,-,2,5,6,1,3,1,3,-,-
"S00135629",104,-,16,12,-,-,7,7,14,4,3,3,2,3,8,6,7,15,-,3,-,-
"S00135630",51,-,1,4,-,1,3,6,1,5,2,2,1,-,9,-,9,7,2,-,-,-
"S00135631",78,-,4,4,-,1,1,17,3,6,1,1,-,6,4,5,7,16,2,1,-,-
"S00135632",60,1,3,5,-,1,1,1,9,6,-,-,1,-,11,2,2,15,-,2,-,-
"S00135633",26,2,1,3,-,-,1,3,-,3,-,1,-,2,1,1,4,4,-,2,-,-
"S00135634",64,-,7,6,-,-,4,5,6,-,3,3,-,4,-,4,7,5,2,4,-,-
"S00135635",74,-,3,5,-,-,7,9,5,6,2,3,-,2,4,9,4,8,1,4,-,-
"S00135636",56,-,5,6,-,-,2,6,5,11,-,2,-,4,2,2,1,6,1,4,-,-
"S00135637",60,1,7,7,-,-,5,4,7,4,-,2,-,4,7,-,4,12,-,1,-,-
"S00135638",34,-,-,2,-,-,1,6,2,7,-,-,-,-,-,-,8,5,1,1,-,-
"S00135639",54,-,4,2,-,-,4,3,5,-,1,-,-,2,4,6,2,9,1,7,-,-
"S00135640",62,-,3,6,-,-,5,6,2,3,1,-,1,3,8,7,6,10,-,4,-,-
"S00135641",32,-,3,5,-,2,1,2,2,7,1,-,-,-,2,4,-,7,-,1,-,-
"S00135642",90,-,6,9,-,-,4,9,4,3,2,-,-,6,10,6,8,15,4,5,-,-
"S00135643",41,-,3,2,-,2,2,7,2,5,-,-,-,1,-,2,2,10,-,2,-,-
"S00135644",31,-,-,3,-,1,4,3,1,-,1,-,-,1,-,6,5,6,1,-,-,-
"S00135645",33,-,2,7,1,1,1,4,-,1,-,-,-,-,3,1,-,5,1,1,-,-
"S00135646",26,1,4,-,-,-,4,2,-,3,-,-,-,4,-,2,-,7,-,3,-,-
"S00135647",74,2,5,4,-,-,5,11,10,2,1,-,-,2,3,7,5,18,2,2,-,-
"S00135648",66,-,4,6,-,1,6,9,4,9,-,-,-,-,14,1,3,8,1,3,-,-
"S00135649",42,-,1,8,-,-,5,4,2,4,1,2,-,1,6,1,2,6,1,1,-,-
"S00135650",53,-,2,1,-,1,6,9,5,10,1,-,-,2,1,7,-,5,4,2,-,-
"S00135651",67,-,6,-,1,-,2,7,2,4,-,1,2,6,6,3,14,14,3,1,-,-
"S00135652",40,2,2,4,-,1,1,4,-,-,1,1,1,5,1,5,5,5,-,3,-,-
"S00135653",40,-,3,4,-,-,4,4,3,2,1,-,-,4,2,4,3,5,-,2,-,-
"S00135654",48,-,1,2,-,2,4,7,6,6,2,-,-,-,6,6,-,6,-,2,-,-
"S00135655",62,-,7,3,1,-,5,9,3,4,2,-,-,4,4,5,6,8,-,2,-,-
"S00135656",55,1,4,9,-,1,-,6,5,2,2,-,-,2,8,2,-,6,1,1,-,-
"S00135657",44,-,-,9,-,1,2,10,1,9,-,-,-,-,6,1,4,2,-,-,-,-
"S00135658",44,-,3,-,-,-,2,10,4,7,1,-,1,3,2,4,3,5,-,2,-,-
"S00135659",75,-,-,9,-,1,3,8,9,14,-,1,-,2,7,3,5,12,1,3,-,-
"S00135660",62,-,3,8,-,-,4,6,3,4,-,1,-,1,11,1,3,9,3,2,-,-
"S00135661",31,-,3,3,-,-,2,6,-,1,-,-,-,3,-,2,4,3,-,3,-,-
"S00135662",76,-,4,9,-,-,13,9,2,3,-,3,-,6,7,5,5,10,2,1,-,-
"S00135663",45,-,5,-,-,1,2,6,4,11,-,1,-,2,4,3,-,10,-,-,-,-
"S00135664",94,-,1,13,-,3,6,7,5,16,3,1,-,4,6,7,2,15,2,2,-,-
"S00135665",29,-,2,1,-,-,5,6,1,-,2,-,-,1,3,-,1,6,-,1,-,-
"S00135666",30,-,3,-,-,-,-,-,4,4,2,-,-,-,6,2,1,4,-,2,-,-
"S00135667",71,-,3,2,-,-,9,6,8,6,-,-,-,-,10,3,7,16,-,-,2,-
"S00135668",60,-,2,8,1,-,3,6,3,4,-,-,1,3,7,8,4,9,1,3,-,-
"S00135669",70,-,3,7,-,-,6,8,7,9,-,1,-,4,7,2,3,12,1,1,-,-
"S00135670",92,-,5,8,1,2,4,14,8,6,3,-,-,4,13,4,5,10,3,1,-,-
"S00135671",34,-,3,4,1,-,4,1,1,3,-,1,1,2,3,4,1,4,-,1,-,-
"S00135672",60,-,4,3,1,1,4,8,-,12,2,2,-,3,6,2,-,5,2,1,-,-
"S00135673",30,1,4,2,2,-,2,2,1,6,-,-,-,-,1,3,1,5,-,-,-,-
"S00135674",53,-,-,3,1,-,6,5,3,3,1,-,1,1,5,5,6,10,-,4,-,-
"S00135675",62,1,3,5,-,-,2,9,8,6,-,1,1,4,3,1,2,12,2,4,-,-
"S00135676",41,-,-,-,-,-,1,5,3,4,2,4,-,1,2,3,3,11,1,1,-,-
"S00135677",32,-,1,9,-,1,4,3,-,4,-,3,-,-,2,2,1,2,-,2,-,-
"S00135678",61,-,3,4,-,-,4,6,2,5,-,2,-,7,3,5,8,9,-,3,-,-
"S00135679",47,1,7,1,1,-,2,3,2,5,2,-,1,3,5,-,11,-,1,1,-,-
"S00135680",54,-,2,3,-,1,1,4,10,1,-,-,2,-,7,6,4,10,-,2,-,-
"S00135681",71,-,-,6,-,-,-,5,6,5,-,2,1,4,11,7,7,13,1,3,-,-
"S00135682",45,-,4,4,-,-,3,5,3,3,3,-,-,3,3,5,2,7,-,3,-,-
"S00135683",42,-,-,7,-,-,1,1,6,5,-,1,-,2,5,2,1,10,1,-,-,-
"S00135684",33,-,2,7,-,-,-,5,1,8,1,-,-,2,1,2,-,6,-,-,-,-
"S00135685",72,1,1,5,-,-,12,12,5,7,3,-,-,1,5,4,4,13,1,-,-,-
"S00135686",16,-,-,1,-,-,-,-,1,3,-,-,-,-,-,1,-,5,1,-,-,-
"S00135687",73,-,6,7,-,2,7,7,6,11,-,-,-,5,8,6,4,10,-,-,-,-
"S00135688",46,-,3,4,-,-,1,4,4,2,1,-,-,1,7,3,7,6,2,2,-,-
"S00135689",49,-,2,3,-,-,3,7,5,2,-,-,-,2,5,5,4,6,5,4,-,-
"S00135690",58,-,3,6,2,-,1,16,7,4,1,-,-,2,3,2,5,8,-,-,-,-
"S00135691",67,2,2,7,-,-,2,11,4,4,1,-,-,4,15,3,-,10,3,1,-,-
"S00135692",40,-,-,5,-,-,4,4,2,-,1,-,-,1,1,3,6,9,4,-,-,-
"S00135693",65,-,2,5,-,-,-,8,6,6,-,-,-,-,12,7,2,10,-,2,-,-
"S00135694",43,-,1,7,-,-,2,9,4,2,-,-,-,5,1,3,4,4,2,1,-,-
"S00135695",41,-,-,6,2,-,3,5,3,2,2,-,-,3,1,1,4,9,-,-,-,-
"S00135696",40,-,4,4,-,-,3,8,-,2,-,-,-,5,1,3,7,5,-,2,-,-
"S00135697",72,-,4,1,-,-,5,7,2,13,2,2,-,7,4,6,4,14,2,3,2,-
"S00135698",70,-,-,10,-,-,3,11,6,10,-,-,-,-,6,3,7,12,3,1,-,-
"S00135699",88,-,4,9,-,1,6,12,7,4,-,-,1,6,11,4,6,13,2,2,-,1
"S00135700",32,-,2,1,-,-,2,5,-,6,-,-,-,2,2,3,-,11,-,1,-,-
"S00135701",39,-,1,3,-,-,-,6,3,5,2,-,-,1,-,1,5,8,4,-,-,-
"S00135702",46,1,1,6,-,1,-,9,5,5,-,-,1,-,2,1,1,9,2,1,-,-
"S00135703",34,-,1,4,1,1,-,6,1,7,-,-,-,1,4,-,1,8,2,-,-,-
"S00135704",22,-,5,3,-,1,1,6,-,-,1,-,-,1,-,-,1,6,-,1,-,-
"S00135705",47,-,-,3,-,-,7,4,1,8,-,2,1,2,5,3,-,6,-,1,-,-
"S00135706",62,-,-,-,-,1,4,7,3,11,-,1,-,-,8,6,4,16,2,1,-,-
"S00135707",34,-,-,3,-,1,1,4,3,1,-,-,-,1,6,1,-,9,-,2,-,-
"S00135708",53,-,1,10,-,-,2,4,3,11,2,-,-,1,6,2,2,5,2,4,-,-
"S00135709",44,-,-,3,-,2,1,5,3,4,-,-,-,-,9,3,1,11,1,-,-,-
"S00135710",27,-,2,2,-,-,2,-,1,3,-,1,-,1,3,-,1,5,-,3,-,-
"S00135711",48,-,-,4,-,1,-,6,7,7,1,-,-,1,5,3,5,6,2,3,-,-
"S00135712",64,-,2,2,-,-,7,7,6,4,1,-,-,4,5,1,6,12,2,1,1,-
"S00135713",43,-,1,4,-,-,3,3,2,9,-,1,-,3,4,-,8,5,-,1,-,-
"S00135714",73,-,1,4,-,2,9,9,6,3,-,-,-,1,8,5,2,13,3,5,-,-
"S00135715",58,-,4,8,-,-,5,6,5,9,-,3,-,2,5,2,1,7,3,2,2,-
"S00135716",56,-,-,2,-,1,4,9,4,2,2,2,-,7,6,6,3,8,-,3,-,-
"S00135717",56,-,4,4,1,-,4,6,2,4,1,1,2,4,-,5,3,12,2,2,-,-
"S00135718",40,-,1,3,-,-,1,7,5,8,-,-,-,1,4,-,5,6,1,-,-,-
"S00135719",60,1,-,10,-,-,3,7,3,7,2,1,-,1,14,3,4,3,-,2,-,-
"S00135720",92,-,8,7,-,-,10,7,6,9,-,2,-,4,5,7,7,17,1,5,1,-
"S00135721",89,-,-,8,-,2,9,7,3,10,-,-,-,2,4,5,2,24,2,-,-,-
"S00135722",33,-,-,1,-,-,2,1,7,4,-,3,-,4,2,-,5,3,-,-,-,-
"S00135723",24,-,-,1,-,-,2,2,1,3,4,-,1,1,3,-,1,3,-,1,-,-
"S00135724",35,-,-,-,-,2,1,5,1,5,-,2,1,1,3,1,2,10,-,2,-,-
"S00135725",40,-,-,4,-,-,2,7,4,2,1,-,1,2,6,1,-,8,-,1,-,-
"S00135726",75,1,2,6,-,-,4,14,6,7,2,-,-,2,10,6,1,14,-,3,-,-
"S00135727",73,-,6,3,-,-,-,5,7,7,1,-,-,3,8,5,12,11,-,2,-,-
"S00135728",47,-,2,8,-,-,5,5,3,1,1,-,-,-,2,4,2,8,-,2,-,-
"S00135729",33,-,8,1,-,2,-,5,-,4,-,-,-,-,-,1,3,4,2,2,-,-
"S00135730",53,1,1,4,-,2,5,7,3,6,-,-,-,6,2,2,2,17,2,-,-,-
"S00135731",46,-,3,2,-,2,4,4,3,3,1,1,-,3,3,3,1,15,-,2,-,-
"S00135732",57,-,4,5,-,-,9,5,8,6,-,2,-,2,3,2,1,5,3,1,-,-
"S00135733",36,-,4,4,-,-,2,-,4,6,-,2,-,-,3,2,1,5,-,1,-,-
"S00135734",68,-,1,2,-,-,-,8,2,13,2,2,2,4,6,6,8,10,3,3,-,-
"S00135735",55,-,2,2,-,2,8,7,-,3,2,1,-,3,5,5,8,5,1,4,-,-
"S00135736",32,1,-,2,-,-,2,1,1,4,-,-,-,-,-,6,7,5,1,2,-,-
"S00135737",52,1,1,5,-,1,2,12,2,5,1,2,-,-,6,3,3,5,-,2,-,-
"S00135738",80,-,5,3,1,-,7,7,7,8,3,-,2,2,5,6,2,17,1,2,-,1
"S00135739",48,-,1,8,-,-,4,7,4,7,-,2,-,1,7,1,1,3,-,4,-,-
"S00135740",45,-,-,4,-,-,4,10,2,1,1,-,-,3,3,4,4,5,1,5,-,-
"S00135741",33,-,2,7,-,-,1,5,-,2,1,1,-,-,1,3,-,8,-,1,-,-
"S00135742",46,-,3,1,-,-,4,4,5,3,-,-,-,2,6,2,3,10,1,2,-,-
"S00135743",37,-,3,2,-,-,1,3,4,3,-,-,2,-,4,3,1,11,-,-,-,-
"S00135744",46,-,4,8,-,-,2,7,4,1,-,-,-,-,4,4,3,9,-,1,-,-
"S00135745",66,-,1,3,2,2,4,13,2,6,-,-,2,3,8,5,-,12,2,1,1,-
"S00135746",31,1,1,-,-,-,2,8,2,1,-,-,-,4,2,2,1,4,3,4,-,-
"S00135747",47,-,3,4,-,2,4,6,5,5,1,-,-,1,3,3,1,10,-,2,-,-
"S00135748",64,-,6,2,-,-,4,4,5,6,1,-,-,1,11,4,5,14,1,1,1,-
"S00135749",34,-,3,2,-,-,3,3,4,7,-,-,-,4,1,-,1,3,3,-,-,-
"S00135750",62,-,4,4,-,1,6,7,3,4,-,-,-,1,10,6,2,10,2,3,-,-
"S00135751",47,2,4,5,-,-,3,4,1,2,-,-,2,1,10,3,3,4,3,1,-,-
"S00135752",50,-,5,5,-,-,3,10,1,7,-,1,-,2,5,1,4,4,2,-,-,-
"S00135753",50,-,2,4,-,-,-,6,2,13,3,2,-,-,5,4,2,1,1,1,-,-
"S00135754",37,-,1,3,1,-,2,2,3,13,-,2,-,-,2,1,1,6,-,-,-,-
"S00135755",71,-,-,15,-,1,3,5,4,10,2,1,-,1,10,7,7,8,-,4,-,-
"S00135756",43,-,2,5,-,-,-,4,7,4,2,3,1,1,2,4,1,5,2,3,-,-
"S00135757",48,-,-,5,-,1,-,4,4,9,-,-,-,2,3,3,5,6,-,3,1,-
"S00135758",27,-,-,5,-,-,-,1,2,8,1,1,-,-,2,3,-,1,3,1,-,-
"S00135759",32,-,-,5,-,-,1,5,1,8,-,-,-,-,2,5,-,4,-,-,-,-
"S00135760",34,-,-,4,-,1,5,7,2,-,-,-,-,1,5,-,-,3,1,2,-,-
"S00135761",46,-,3,3,-,-,4,7,4,4,-,-,-,-,4,3,3,9,-,1,-,-
"S00135762",56,-,4,1,-,-,1,12,2,5,1,-,-,5,7,7,2,9,-,2,-,-
"S00135763",40,-,-,2,1,-,4,3,1,5,-,2,-,-,1,5,4,11,-,1,-,-
"S00135764",48,2,-,2,-,-,2,7,3,7,-,-,-,2,7,2,3,12,-,1,1,-
"S00135765",78,1,2,7,1,1,10,8,-,10,1,2,-,2,6,7,3,13,-,5,-,-
"S00135766",51,-,2,4,-,-,5,9,3,10,-,-,-,3,1,3,3,8,2,-,-,-
"S00135767",57,-,2,8,-,-,1,5,7,2,-,-,1,1,9,7,5,11,1,1,-,-
"S00135768",78,-,2,6,-,3,5,8,3,12,-,-,-,2,14,7,3,14,4,-,-,-
"S00135769",71,-,1,6,-,3,11,10,4,9,-,-,-,2,4,2,4,14,1,2,-,-
"S00135770",51,-,-,5,-,3,4,5,3,10,-,1,1,-,8,2,4,6,2,1,-,-
"S00135771",47,-,-,6,1,-,3,6,3,6,-,-,-,5,2,3,1,9,-,2,-,-
"S00135772",89,-,5,9,1,2,8,17,6,6,-,-,-,-,8,4,6,11,-,4,-,-
"S00135773",76,-,-,8,-,-,4,5,6,5,-,1,-,5,15,8,3,12,3,2,-,-
"S00135774",36,-,-,2,1,1,1,5,3,3,-,-,-,-,3,6,2,10,-,2,-,-
"S00135775",86,1,1,10,-,-,6,9,5,8,-,1,-,2,14,7,5,16,2,2,-,-
"S00135776",52,-,5,5,-,-,6,4,1,8,2,-,1,3,2,2,5,9,1,2,-,-
"S00135777",49,-,1,5,1,-,2,9,4,9,1,-,-,2,3,6,3,-,2,-,-,-
"S00135778",32,-,2,2,-,2,2,3,2,5,-,1,-,-,6,-,3,4,1,1,1,-
"S00135779",56,-,-,3,-,1,1,6,5,2,-,-,1,3,5,5,7,11,-,2,-,-
"S00135780",54,-,2,6,-,2,2,4,2,9,-,-,-,2,9,-,-,12,1,3,-,-
"S00135781",63,-,1,4,-,-,4,11,6,6,4,-,-,2,8,3,5,9,2,3,1,-
"S00135782",49,-,7,-,-,1,4,3,-,-,1,1,-,2,4,5,3,14,-,1,-,-
"S00135783",78,1,1,7,-,-,9,5,11,9,1,1,-,2,10,1,2,9,4,3,1,-
"S00135784",42,-,-,1,-,-,3,7,1,7,2,-,-,-,2,2,1,18,2,-,-,-
"S00135785",33,-,-,4,-,-,2,8,3,3,-,-,-,1,2,-,2,5,-,-,-,-
"S00135786",65,1,2,3,-,1,4,2,2,9,3,1,-,3,10,-,6,16,-,3,-,-
"S00135787",31,-,-,2,-,-,2,4,3,2,1,4,1,2,2,4,1,4,1,1,-,-
"S00135788",55,1,-,5,2,2,8,8,3,6,-,2,1,6,7,5,3,3,-,1,-,-
"S00135789",43,-,2,4,-,1,9,3,3,4,-,-,-,2,1,-,5,7,1,3,-,-
"S00135790",59,-,2,7,-,1,6,5,5,6,-,3,-,3,4,7,1,9,1,-,-,-
"S00135791",85,-,3,4,-,1,3,11,6,16,-,-,-,8,11,7,3,8,3,3,-,-
"S00135792",39,-,-,4,-,-,-,3,-,4,-,-,2,-,5,1,3,9,2,3,-,-
"S00135793",57,-,1,5,-,-,7,1,4,1,2,1,1,1,7,2,6,7,2,5,-,1
"S00135794",87,1,16,-,-,-,6,11,4,3,1,1,1,11,8,7,9,9,-,2,-,-
"S00135795",51,-,-,3,-,-,2,7,2,7,2,-,-,1,5,5,5,5,-,5,-,-
"S00135796",51,1,2,1,-,-,4,5,1,4,2,-,-,3,2,1,6,14,-,3,-,-
"S00135797",94,-,1,3,-,1,3,7,2,14,5,-,-,5,6,5,20,18,5,2,-,-
"S00135798",39,-,1,4,-,-,3,5,4,6,-,2,-,2,3,1,2,8,-,2,-,-
"S00135799",79,-,-,6,-,-,1,16,7,9,-,-,-,2,7,9,5,18,-,4,-,-
"S00135800",47,1,2,6,-,-,1,2,-,5,1,-,-,2,4,1,7,11,3,-,-,-
"S00135801",39,-,1,4,-,-,8,2,1,5,-,3,-,-,4,4,1,7,-,1,-,-
"S00135802",33,-,-,1,-,-,-,4,3,3,1,-,-,2,3,3,2,3,1,3,-,-
"S00135803",49,-,3,6,-,-,2,6,6,2,1,-,-,-,3,3,4,9,-,-,1,-
"S00135804",50,-,2,7,-,-,4,8,1,4,-,2,-,2,3,-,6,10,2,1,-,-
"S00135805",21,-,1,2,-,-,-,2,2,3,-,-,-,1,2,1,2,3,1,-,-,-
