Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00135452",31,-,5,2,-,-,-,3,-,2,1,-,2,-,4,1,1,5,1,1,-,-
"S00135453",70,-,8,2,-,-,6,6,9,-,-,1,-,5,10,2,6,7,-,2,-,-
"S00135454",80,1,21,6,-,-,2,1,5,4,5,1,-,6,4,4,5,7,5,1,-,-
"S00135455",58,-,10,4,1,-,4,7,3,2,-,1,-,5,-,6,5,8,-,4,1,1
"S00135456",48,-,5,8,-,2,3,7,5,2,-,1,-,3,2,1,2,9,1,-,-,-
"S00135457",29,-,5,-,1,1,2,5,1,-,-,-,2,-,2,3,1,5,1,2,-,-
"S00135458",53,-,3,6,1,-,3,4,-,6,2,3,1,5,2,5,2,10,-,1,-,-
"S00135459",57,-,4,1,-,2,4,15,3,4,2,-,1,2,1,3,3,7,-,1,-,-
"S00135460",49,-,5,4,-,-,3,6,1,4,3,-,-,5,1,4,4,6,-,3,-,-
"S00135461",64,-,6,7,1,1,3,7,5,-,-,1,-,4,2,10,4,8,4,2,-,-
"S00135462",76,-,14,2,1,2,3,6,-,8,1,-,-,6,7,4,6,9,3,2,-,-
"S00135463",70,-,2,11,-,1,7,4,8,3,3,-,2,4,3,6,6,11,-,2,-,-
"S00135464",62,-,11,3,1,-,7,3,4,6,-,-,1,5,-,5,8,3,1,1,1,-
"S00135465",51,1,3,4,-,2,2,3,9,3,-,-,-,-,1,2,10,10,3,-,-,-
"S00135466",62,-,7,6,-,-,2,5,7,1,-,2,6,3,6,6,3,8,-,1,-,-
"S00135467",55,-,4,4,-,-,-,10,2,4,-,1,-,4,4,4,4,9,2,1,-,-
"S00135468",62,-,10,8,-,-,4,3,3,-,-,1,-,5,5,5,4,11,3,5,-,-
"S00135469",42,-,2,3,-,1,4,5,1,1,2,-,1,4,1,5,4,6,1,1,-,-
"S00135470",77,-,8,7,2,-,3,3,3,3,1,2,-,8,4,8,12,2,4,1,-,-
"S00135471",79,-,2,8,-,-,4,7,3,3,2,-,-,6,7,8,6,13,1,4,-,-
"S00135472",69,-,5,6,-,2,4,7,8,1,2,-,1,6,3,6,9,9,2,5,1,-
"S00135473",64,-,5,7,-,-,5,8,3,1,1,4,-,-,2,2,8,15,1,1,-,-
"S00135474",69,-,8,8,-,-,3,12,5,3,1,-,-,6,3,4,5,8,-,3,-,-
"S00135475",54,-,6,4,-,1,3,4,4,3,1,-,-,4,-,4,5,7,1,2,2,-
"S00135476",49,-,3,5,-,-,4,8,3,4,2,-,-,2,5,3,7,7,3,-,-,-
"S00135477",77,-,14,5,1,2,4,3,3,3,3,2,-,8,8,4,6,9,-,1,-,1
"S00135478",19,-,-,-,-,-,2,2,1,2,2,-,-,3,1,1,1,4,-,-,-,-
"S00135479",69,-,8,6,1,-,4,5,6,-,1,2,-,10,3,3,10,8,1,1,-,-
"S00135480",70,1,10,5,-,-,4,10,6,-,-,-,-,4,2,4,8,12,-,1,-,-
"S00135481",46,1,8,-,-,-,2,7,-,-,3,2,1,2,1,2,3,6,4,2,-,-
"S00135482",28,-,-,2,-,-,-,4,-,-,-,1,-,4,-,1,6,8,-,-,-,-
"S00135483",49,-,3,4,-,-,5,10,6,4,-,-,-,4,1,2,3,6,-,1,-,-
"S00135484",33,-,2,1,-,-,-,5,1,-,-,1,-,4,2,1,10,5,-,2,-,-
"S00135485",76,-,8,7,-,-,5,9,5,3,1,3,-,3,3,5,12,8,1,3,-,-
"S00135486",58,-,11,7,4,2,6,3,5,2,2,1,-,8,1,1,2,4,-,2,-,-
"S00135487",76,6,7,2,-,2,2,7,6,8,4,1,-,8,3,2,1,10,3,2,-,-
"S00135488",57,-,8,7,-,-,4,7,3,4,2,2,1,3,-,5,8,9,2,-,-,-
"S00135489",73,1,2,3,-,-,3,4,8,6,-,2,1,4,4,12,6,13,-,-,-,-
"S00135490",63,-,6,5,-,-,7,5,8,1,1,-,1,5,5,4,3,11,2,2,-,-
"S00135491",83,-,19,3,1,-,2,7,2,11,2,2,-,11,4,4,8,7,-,4,-,-
"S00135492",64,-,4,2,-,1,3,10,2,-,2,-,-,8,5,3,6,9,5,4,-,-
"S00135493",105,1,9,4,-,-,6,18,11,3,6,1,-,7,7,10,3,22,-,4,-,-
"S00135494",46,-,5,5,-,-,4,-,-,3,-,1,-,3,2,4,5,12,1,1,-,-
