Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00135810",129,121,110,12,-,11,11,-,-,-
"S00135811",182,31,-,14,15,151,150,1,-,-
"S00135812",117,10,4,-,3,107,107,-,-,-
"S00135813",113,-,-,-,-,113,113,-,-,-
"S00135814",71,-,-,-,-,71,71,-,-,-
"S00135815",70,8,-,4,2,65,64,-,1,-
"S00135816",106,5,-,5,1,100,100,-,-,-
"S00135817",122,114,5,56,53,6,6,-,-,-
"S00135818",102,40,2,11,27,62,61,1,-,-
"S00135819",116,105,3,69,33,12,12,-,-,-
"S00135820",190,65,6,51,8,125,121,4,-,-
"S00135821",77,42,1,29,12,35,26,11,-,-
"S00135822",141,15,13,-,5,126,121,5,-,-
"S00135823",182,12,1,3,8,170,166,4,-,-
"S00135824",187,181,-,59,118,8,8,-,-,-
"S00135825",107,97,5,39,53,10,1,7,-,-
"S00135826",100,15,6,6,-,88,88,-,-,-
"S00135827",62,62,-,34,28,-,-,-,-,-
"S00135828",139,20,-,5,12,119,106,13,-,-
"S00135829",85,4,-,-,4,81,81,-,-,-
"S00135830",68,8,-,6,6,56,48,4,4,-
"S00135831",115,104,-,27,77,11,8,3,-,-
"S00135832",171,7,3,2,-,166,160,6,-,-
"S00135833",118,109,6,68,31,9,9,-,-,-
"S00135834",104,57,9,46,4,47,33,11,4,-
"S00135835",155,11,4,1,6,144,142,2,-,-
"S00135836",110,108,3,97,8,3,3,-,-,-
"S00135837",143,131,4,41,86,12,7,-,5,-
"S00135838",109,76,28,22,25,33,23,9,1,-
"S00135839",166,17,3,7,8,148,138,10,-,-
"S00135840",166,40,13,-,25,126,120,6,-,-
"S00135841",62,56,3,51,6,5,5,-,-,-
"S00135842",86,5,3,1,4,78,78,-,-,-
"S00135843",80,1,1,-,-,83,77,4,-,-
"S00135844",69,45,2,14,30,24,24,-,-,-
"S00135845",79,79,3,31,44,4,4,-,-,-
"S00135846",113,29,-,22,7,84,84,-,-,-
"S00135847",62,17,5,12,-,45,34,8,-,-
"S00135848",119,30,-,13,16,89,89,-,-,-
"S00135849",68,3,-,4,-,61,62,2,-,-
"S00135850",87,87,83,6,2,-,-,-,-,-
"S00135851",126,81,-,24,58,44,40,1,-,-
"S00135852",71,-,-,-,-,71,65,6,-,-
"S00135853",78,3,-,3,-,73,71,1,2,-
"S00135854",75,71,6,53,12,4,4,-,-,-
"S00135855",94,9,2,2,6,89,87,2,-,-
"S00135856",64,1,-,1,-,63,61,2,-,-
"S00135857",62,36,8,25,3,26,26,-,-,-
"S00135858",64,61,-,49,13,2,2,-,-,-
"S00135859",75,8,6,4,-,67,67,-,-,-
"S00135860",139,37,5,19,13,102,102,-,-,-
"S00135861",101,83,8,19,59,17,17,-,-,-
"S00135862",84,83,-,29,50,1,1,-,-,-
"S00135863",95,96,6,21,67,3,3,-,-,-
"S00135864",90,55,11,19,26,35,23,16,-,-
"S00135865",94,53,3,6,41,41,24,17,-,-
"S00135866",106,5,-,-,5,101,95,6,-,-
"S00135867",104,54,5,33,20,46,23,23,-,-
"S00135868",118,54,11,14,29,68,58,5,-,-
"S00135869",77,66,10,53,3,5,5,-,-,6
"S00135870",74,19,-,17,2,56,53,1,-,-
"S00135871",185,24,12,3,11,156,151,5,-,4
"S00135872",92,27,2,4,21,66,63,2,-,-
"S00135873",119,117,6,28,86,2,2,-,-,-
"S00135874",118,43,11,16,16,76,76,-,-,-
"S00135875",131,131,2,45,82,-,-,-,-,-
"S00135876",107,104,2,92,7,8,2,3,-,-
"S00135877",160,159,4,58,94,1,1,-,-,-
"S00135878",156,73,10,28,35,80,79,-,-,-
"S00135879",86,86,3,20,62,-,-,-,-,-
"S00135880",129,32,13,7,12,93,72,21,2,-
"S00135881",118,118,4,43,70,-,-,-,-,-
"S00135882",107,95,5,81,10,9,8,1,-,-
"S00135883",75,75,-,52,23,-,-,-,-,-
"S00135884",71,71,-,22,49,-,-,-,-,-
"S00135885",80,-,-,-,-,80,79,1,-,-
"S00135886",86,10,2,8,2,76,76,-,-,-
"S00135887",65,26,1,19,6,40,39,1,-,-
"S00135888",106,10,-,10,-,96,93,5,-,-
"S00135889",75,71,68,-,3,4,4,-,-,-
"S00135890",91,91,-,54,37,-,-,-,-,-
"S00135891",82,81,7,36,38,1,-,1,-,-
"S00135892",116,113,5,108,-,3,-,3,-,-
"S00135893",110,44,6,26,10,66,47,21,-,-
"S00135894",114,114,10,35,70,-,-,-,-,-
"S00135895",164,6,3,2,-,158,156,-,3,-
"S00135896",148,4,2,2,-,144,140,1,3,-
"S00135897",147,8,-,6,3,139,139,-,-,-
"S00135898",115,112,5,105,6,3,3,-,-,-
"S00135899",94,14,-,7,7,80,78,2,-,-
"S00135900",117,14,8,7,-,105,102,3,-,-
"S00135901",109,75,5,61,6,34,31,2,1,-
"S00135902",89,64,-,21,43,25,25,-,-,-
"S00135903",117,6,2,4,2,111,111,-,-,-
"S00135904",77,70,13,35,18,11,10,1,-,-
"S00135905",78,62,18,12,34,20,20,-,-,-
"S00135906",64,24,5,19,-,40,40,-,-,-
"S00135907",97,17,2,3,12,78,44,34,-,-
"S00135908",109,100,11,38,48,10,5,6,-,-
"S00135909",70,68,1,14,53,2,-,2,-,-
"S00135910",74,42,3,37,2,32,32,-,-,-
"S00135911",121,98,5,27,68,18,9,12,-,-
"S00135912",120,4,-,2,1,116,116,-,-,-
"S00135913",127,41,35,6,-,86,87,1,-,-
"S00135914",121,79,37,18,27,42,42,-,-,-
"S00135915",131,90,15,58,22,40,24,17,-,-
"S00135916",103,17,11,6,1,86,84,-,-,-
"S00135917",147,147,4,43,98,2,1,1,-,-
"S00135918",120,115,7,48,59,7,7,-,-,-
"S00135919",89,38,4,30,-,51,51,-,-,-
"S00135920",126,125,3,84,38,1,-,-,1,-
"S00135921",121,113,7,66,40,8,8,-,-,-
"S00135922",135,130,122,8,-,5,5,-,-,-
"S00135923",122,-,-,-,-,122,111,7,-,-
"S00135924",99,67,3,25,34,30,30,-,-,-
"S00135925",81,81,4,55,22,-,-,-,-,-
"S00135926",97,31,1,10,17,66,64,2,-,-
"S00135927",126,89,20,66,3,37,36,1,-,-
"S00135928",86,22,8,-,14,64,37,27,-,-
"S00135929",64,17,16,4,2,47,47,-,-,-
"S00135930",140,140,127,9,3,2,2,-,-,-
"S00135931",120,112,6,62,44,11,4,4,-,-
"S00135932",103,66,2,10,50,37,37,-,-,-
"S00135933",131,59,26,23,4,74,74,-,-,-
"S00135934",121,46,3,16,29,75,72,1,-,-
"S00135935",102,99,6,81,8,1,1,-,-,-
"S00135936",118,-,-,-,-,118,112,6,-,-
"S00135937",122,110,9,76,25,12,4,8,-,-
"S00135938",117,116,-,46,69,5,5,-,-,-
"S00135939",73,17,1,10,6,56,39,17,-,-
"S00135940",77,76,2,48,27,1,1,-,-,-
"S00135941",120,5,5,-,-,120,110,5,2,-
"S00135942",142,136,3,128,5,6,6,-,-,-
"S00135943",119,117,34,79,4,2,2,-,-,-
"S00135944",170,163,2,160,5,7,7,-,-,-
"S00135945",79,69,1,25,40,15,11,4,-,-
"S00135946",173,167,45,118,4,6,6,-,-,-
"S00135947",128,52,18,24,8,76,76,-,-,-
"S00135948",130,10,4,-,6,120,120,-,-,-
"S00135949",174,174,93,78,2,-,-,-,-,-
"S00135950",77,77,4,31,43,-,-,-,-,-
"S00135951",135,9,-,2,4,129,129,-,-,-
"S00135952",78,48,-,44,4,30,30,-,-,-
"S00135953",117,66,7,21,39,48,32,13,2,-
"S00135954",151,144,136,4,4,4,4,-,-,-
"S00135955",134,134,1,19,111,-,-,-,-,-
"S00135956",115,83,7,9,67,35,31,4,-,-
"S00135957",110,28,6,23,-,80,80,-,-,-
"S00135958",81,77,2,39,36,4,4,-,-,-
"S00135959",131,52,39,16,1,75,75,-,-,-
"S00135960",165,158,3,18,133,8,8,-,-,-
"S00135961",177,175,6,52,113,6,6,-,-,-
"S00135962",100,11,-,4,5,89,83,10,2,-
"S00135963",192,188,188,-,-,4,4,-,-,-
"S00135964",114,67,5,16,46,44,38,9,-,-
"S00135965",103,35,10,15,9,69,60,9,-,-
"S00135966",86,86,2,44,35,-,-,-,-,-
"S00135967",106,89,7,46,32,20,20,-,-,-
"S00135968",158,156,8,43,106,2,2,-,-,-
"S00135969",79,-,-,-,-,76,58,18,-,-
"S00135970",102,100,6,53,45,5,5,-,-,-
"S00135971",117,7,-,1,6,110,106,3,2,-
"S00135972",94,-,-,-,-,94,94,-,-,-
"S00135973",120,89,-,1,86,31,31,-,-,-
"S00135974",96,50,6,27,17,46,42,4,-,-
"S00135975",82,6,3,-,2,80,80,-,-,-
"S00135976",112,7,2,-,6,101,98,5,-,-
"S00135977",78,37,-,14,23,41,41,-,-,-
"S00135978",71,-,-,-,-,71,71,-,-,-
"S00135979",84,45,17,27,1,35,35,-,-,-
"S00135980",106,103,43,54,3,3,3,-,-,-
"S00135981",156,152,143,11,-,4,4,-,-,-
"S00135982",82,3,-,3,-,79,82,-,1,-
"S00135983",116,55,8,5,43,57,36,23,-,-
"S00135984",117,115,4,29,81,3,3,-,-,-
"S00135985",119,38,1,22,15,78,78,-,-,-
"S00135986",126,99,7,36,59,27,26,1,-,-
"S00135987",77,15,-,4,11,62,48,14,-,-
"S00135988",69,45,7,28,4,29,13,13,-,-
"S00135989",95,7,7,-,-,85,81,4,-,-
"S00135990",69,69,37,13,19,-,-,-,-,-
"S00135991",71,7,6,2,-,67,63,1,-,-
"S00135992",99,94,8,58,31,2,2,-,-,-
"S00135993",107,107,25,79,3,-,-,-,-,-
"S00135994",175,161,136,9,24,17,17,-,-,-
"S00135995",65,36,7,9,16,28,13,16,-,-
"S00135996",176,170,98,65,4,5,-,5,-,-
"S00135997",118,92,-,39,52,26,25,1,-,-
"S00135998",93,42,1,27,14,51,22,33,-,-
"S00135999",99,11,4,7,-,88,68,20,-,-
"S00136000",131,49,40,6,1,82,82,-,-,-
"S00136001",75,-,-,-,-,73,75,2,-,-
"S00136002",108,24,5,10,9,81,81,2,-,-
"S00136003",70,-,-,-,-,70,71,3,-,-
"S00136004",76,38,-,8,30,39,39,-,-,-
"S00136005",146,93,-,19,74,53,53,-,-,-
"S00136006",66,2,2,-,-,64,64,-,-,-
"S00136007",168,159,17,32,110,10,10,-,-,-
"S00136008",78,3,-,2,1,75,75,-,-,-
"S00136009",113,5,-,1,4,104,104,-,-,-
"S00136010",131,131,40,84,1,-,-,-,-,-
"S00136011",126,6,2,3,-,120,120,-,-,-
"S00136012",110,10,-,4,6,100,100,-,-,-
"S00136013",88,6,2,2,1,83,75,8,-,-
"S00136014",121,46,-,19,30,79,78,1,-,-
"S00136015",113,23,3,13,6,89,85,2,4,-
"S00136016",114,52,32,12,8,63,48,9,2,3
"S00136017",153,59,2,29,30,90,54,32,2,-
"S00136018",150,28,3,24,1,125,115,7,-,-
"S00136019",89,4,-,4,-,85,83,1,1,-
"S00136020",134,126,2,33,91,8,8,-,-,-
"S00136021",66,12,2,4,4,54,56,2,-,-
"S00136022",133,58,6,7,47,75,71,1,-,-
"S00136023",65,25,-,17,10,40,40,-,-,-
"S00136024",88,83,-,17,64,5,1,-,3,-
"S00136025",115,111,-,47,65,4,4,-,-,-
"S00136026",139,15,-,9,6,125,77,48,-,-
"S00136027",71,24,-,4,18,47,23,24,-,-
"S00136028",62,19,7,4,11,43,39,4,-,-
"S00136029",92,92,75,13,4,-,-,-,-,-
"S00136030",93,81,9,75,-,8,8,-,-,-
"S00136031",118,5,-,5,-,110,110,-,-,3
"S00136032",108,26,1,19,6,83,51,32,-,-
"S00136033",145,61,5,5,51,84,84,-,-,-
"S00136034",108,23,3,8,12,83,76,6,-,-
"S00136035",129,7,2,3,2,122,122,-,-,-
"S00136036",109,32,17,11,-,76,74,2,-,-
"S00136037",99,34,-,3,31,65,65,-,-,-
"S00136038",81,76,11,24,44,4,4,-,-,-
"S00136039",85,-,-,-,-,85,85,-,-,-
"S00136040",84,78,-,37,41,6,6,-,-,-
"S00136041",146,78,10,63,5,68,68,-,-,-
"S00136042",113,100,6,33,67,7,7,-,-,-
"S00136043",91,72,1,28,49,18,18,-,-,-
"S00136044",63,7,-,2,5,56,54,-,-,-
"S00136045",146,140,2,55,80,6,3,3,-,-
"S00136046",90,84,7,28,49,6,6,-,-,-
"S00136047",131,92,10,7,75,39,39,-,-,-
"S00136048",107,105,-,42,66,2,2,-,-,-
"S00136049",148,115,32,61,22,33,27,6,-,-
"S00136050",143,143,140,7,-,-,-,-,-,-
"S00136051",111,111,2,41,68,-,-,-,-,-
"S00136052",64,28,-,5,23,36,31,5,-,-
"S00136053",94,86,4,25,64,2,2,-,-,-
"S00136054",118,2,-,-,2,116,116,-,-,-
"S00136055",127,9,-,-,8,118,117,2,-,-
"S00136056",94,17,1,10,6,77,76,-,-,-
"S00136057",130,126,18,15,93,4,4,-,-,-
"S00136058",87,3,-,3,-,85,85,-,-,-
"S00136059",91,90,1,7,80,1,1,-,-,-
"S00136060",100,7,6,2,-,93,91,2,-,-
"S00136061",150,28,5,23,-,122,120,2,-,-
"S00136062",90,87,6,4,78,5,5,-,-,-
"S00136063",91,13,-,-,13,80,78,2,-,-
"S00136064",142,106,2,24,84,38,38,-,-,-
"S00136065",102,14,6,8,-,88,88,-,-,-
"S00136066",58,2,2,-,-,62,62,-,-,-
"S00136067",64,42,2,34,7,25,25,-,-,-
"S00136068",123,19,1,12,4,106,103,3,-,-
"S00136069",135,39,4,23,12,96,92,4,-,-
"S00136070",76,62,15,35,11,14,14,-,-,-
"S00136071",204,11,-,7,2,194,189,3,-,-
"S00136072",78,6,4,-,2,72,67,5,-,-
"S00136073",105,90,6,72,12,15,15,-,-,-
"S00136074",96,-,-,-,-,96,92,1,-,-
"S00136075",101,-,-,-,-,101,101,-,-,-
"S00136076",124,14,3,5,6,110,107,3,-,-
"S00136077",98,58,-,39,19,44,19,20,-,-
"S00136078",204,204,188,19,-,-,-,-,-,-
"S00136079",63,13,-,5,5,50,41,5,3,-
"S00136080",140,134,4,57,79,4,4,-,-,-
"S00136081",80,19,9,9,2,63,52,11,-,-
"S00136082",73,17,-,4,13,50,50,-,-,-
"S00136083",105,1,-,1,-,104,104,-,-,-
"S00136084",97,94,-,25,69,3,3,-,-,-
"S00136085",88,80,-,17,66,5,2,2,-,-
"S00136086",90,-,-,-,-,90,90,-,-,-
"S00136087",98,30,-,4,23,68,55,16,-,-
"S00136088",84,7,5,-,3,77,70,7,-,-
"S00136089",155,149,141,8,-,5,5,-,-,-
"S00136090",106,96,57,27,12,10,10,-,-,-
"S00136091",138,128,3,43,85,10,10,-,-,-
"S00136092",173,147,-,30,120,26,26,-,-,-
"S00136093",118,9,-,2,6,109,109,-,-,-
"S00136094",89,9,-,6,3,83,83,-,-,-
"S00136095",62,62,2,9,49,-,-,-,-,-
"S00136096",116,-,-,-,-,116,105,10,-,-
"S00136097",158,1,-,1,-,161,161,-,-,-
"S00136098",94,87,-,27,60,6,6,-,-,-
"S00136099",147,56,4,15,38,91,91,-,-,-
"S00136100",133,2,-,2,-,132,130,2,-,-
"S00136101",102,56,-,15,41,49,49,-,-,-
"S00136102",109,2,2,-,-,107,107,-,-,-
"S00136103",92,5,4,2,-,87,87,-,-,-
"S00136104",102,21,3,14,6,81,63,13,5,-
"S00136105",127,9,-,6,3,118,106,12,-,-
"S00136106",110,5,-,-,5,102,93,11,-,-
"S00136107",125,3,1,-,3,122,122,-,-,-
"S00136108",154,137,54,62,24,11,11,-,-,-
"S00136109",113,113,4,22,84,-,-,-,-,-
"S00136110",85,80,14,64,4,5,5,-,-,-
"S00136111",115,12,5,2,7,105,98,7,-,-
"S00136112",139,139,-,25,113,-,-,-,-,-
"S00136113",85,82,-,25,56,3,1,2,-,-
"S00136114",159,6,6,-,-,152,152,-,-,-
"S00136115",129,15,-,4,9,118,104,10,-,-
"S00136116",87,27,11,10,6,60,53,8,-,-
"S00136117",100,4,-,-,4,96,90,6,-,-
"S00136118",84,84,-,17,64,-,-,-,-,-
"S00136119",86,44,11,3,32,42,42,-,-,-
"S00136120",90,87,-,25,62,5,5,-,-,-
"S00136121",126,85,-,4,81,44,39,3,-,-
"S00136122",121,-,-,-,-,121,109,12,-,-
"S00136123",155,91,26,49,16,64,63,2,-,-
"S00136124",82,75,1,27,47,10,2,2,-,-
"S00136125",102,102,-,9,90,-,-,-,-,-
"S00136126",88,31,3,9,17,57,56,-,1,-
"S00136127",145,107,2,40,65,38,38,-,-,-
"S00136128",70,8,-,4,3,63,58,3,-,-
"S00136129",103,34,2,12,23,69,69,-,-,-
"S00136130",74,74,-,22,52,-,-,-,-,-
"S00136131",81,-,-,-,-,80,79,1,-,-
"S00136132",84,31,2,10,21,53,53,-,-,-
"S00136133",117,117,25,91,1,-,-,-,-,-
"S00136134",92,85,4,47,36,4,5,4,-,-
"S00136135",83,25,6,12,7,55,54,1,-,-
"S00136136",74,22,1,6,14,52,49,4,-,-
"S00136137",97,6,-,3,2,92,89,3,1,-
"S00136138",83,37,2,9,25,45,45,2,-,-
"S00136139",82,6,-,6,-,76,75,2,-,-
"S00136140",121,119,11,43,65,2,2,-,-,-
"S00136141",71,24,2,6,12,49,46,9,-,-
"S00136142",120,2,-,-,2,120,115,3,-,-
"S00136143",67,-,-,-,-,67,67,-,-,-
"S00136144",141,113,8,22,83,28,25,3,-,-
"S00136145",115,8,5,-,2,108,106,2,3,-
"S00136146",112,10,5,-,5,102,100,1,-,-
"S00136147",69,14,-,2,9,57,53,-,1,-
"S00136148",97,97,2,24,72,-,-,-,-,-
"S00136149",80,69,6,20,43,11,9,4,-,-
"S00136150",113,66,24,-,42,47,45,2,-,-
"S00136151",74,70,3,24,43,4,4,-,-,-
"S00136152",84,45,1,7,37,39,39,-,-,-
"S00136153",76,-,-,-,-,76,76,-,-,-
"S00136154",116,8,4,3,-,109,107,3,-,-
"S00136155",117,117,81,13,23,-,-,-,-,-
"S00136156",123,105,-,6,99,18,11,9,-,-
"S00136157",60,1,-,-,1,59,43,10,6,-
"S00136158",133,101,6,18,71,33,33,7,-,1
"S00136159",90,82,-,20,66,4,4,-,-,-
"S00136160",77,42,3,25,14,34,34,-,-,-
"S00136161",107,60,-,37,22,48,48,-,-,-
"S00136162",124,20,6,8,5,104,104,-,-,-
"S00136163",71,12,-,2,10,59,59,-,-,-
"S00136164",84,1,-,-,1,87,82,-,1,-
"S00136165",62,5,-,2,3,57,57,-,-,-
"S00136166",66,10,-,10,2,56,54,-,-,-
"S00136167",83,4,-,-,2,79,79,-,-,-
"S00136168",106,29,-,8,21,75,73,4,-,-
"S00136169",70,18,-,5,9,51,51,-,-,-
"S00136170",72,2,-,-,2,70,70,-,-,-
"S00136171",68,1,1,-,-,66,65,1,-,-
"S00136172",83,-,-,-,-,83,81,-,-,-
"S00136173",63,-,-,-,-,63,59,4,-,-
"S00136174",131,2,-,2,-,129,128,1,-,-
"S00136175",78,58,4,15,39,20,20,-,-,-
"S00136176",139,139,-,36,103,-,-,-,-,-
"S00136177",97,92,7,26,59,5,2,3,-,-
"S00136178",104,7,3,3,-,97,97,-,-,-
"S00136179",101,7,-,7,-,92,92,-,-,-
"S00136180",128,-,-,-,-,128,128,-,-,-
"S00136181",65,5,3,2,-,59,52,7,-,-
"S00136182",120,93,1,29,62,27,27,-,-,-
"S00136183",121,114,3,32,80,7,4,3,-,-
"S00136184",125,116,6,31,79,9,9,-,-,-
"S00136185",98,1,1,-,-,97,92,3,-,-
"S00136186",103,2,-,3,2,98,98,-,-,-
"S00136187",100,95,2,44,47,5,-,5,-,-
"S00136188",61,2,-,-,2,58,58,-,-,-
"S00136189",93,-,-,-,-,93,89,4,-,-
"S00136190",80,1,-,1,-,75,75,-,-,-
"S00136191",82,7,-,7,-,75,72,-,-,-
"S00136192",146,10,6,4,-,136,130,6,-,-
"S00136193",127,-,-,-,-,127,127,-,-,-
"S00136194",137,5,-,4,1,132,131,1,-,-
"S00136195",85,12,-,-,12,73,72,-,-,-
"S00136196",76,10,-,-,10,65,65,-,-,-
"S00136197",112,3,-,4,2,106,104,1,-,-
"S00136198",119,61,1,34,26,58,54,3,1,-
"S00136199",61,1,1,-,-,64,64,-,-,-
"S00136200",66,66,5,19,42,-,-,-,-,-
"S00136201",89,6,2,5,-,84,84,-,-,-
"S00136202",83,23,15,8,-,62,62,-,-,-
"S00136203",102,97,2,12,86,3,3,-,-,-
"S00136204",124,11,7,-,4,113,111,5,-,-
"S00136205",77,-,-,-,-,77,71,4,-,-
"S00136206",101,1,1,-,-,100,99,1,-,-
"S00136207",67,8,2,-,4,59,59,-,-,-
"S00136208",88,86,1,24,57,2,2,-,-,-
"S00136209",101,72,3,20,47,29,29,-,-,-
"S00136210",166,164,129,30,5,2,2,-,-,-
"S00136211",89,1,1,-,-,85,68,16,1,-
"S00136212",89,82,4,34,44,7,7,-,-,-
"S00136213",75,73,2,14,57,4,4,-,-,-
"S00136214",114,4,-,-,4,110,110,-,-,-
"S00136215",96,89,-,32,57,7,3,4,-,-
"S00136216",115,-,-,-,-,115,113,-,-,-
"S00136217",138,110,5,32,73,28,28,-,-,-
"S00136218",77,10,2,1,3,67,50,11,9,-
"S00136219",77,7,-,3,2,70,65,6,-,-
"S00136220",113,3,-,-,3,111,106,3,-,-
"S00136221",68,3,-,2,2,65,65,-,-,-
"S00136222",61,11,2,4,4,50,50,-,-,-
"S00136223",180,170,123,46,2,11,5,3,-,-
"S00136224",81,3,-,-,3,78,75,3,-,-
"S00136225",109,44,1,18,23,67,67,-,-,-
"S00136226",102,102,7,23,72,-,-,-,-,-
"S00136227",82,7,-,1,6,75,75,-,-,-
"S00136228",177,174,12,79,87,4,4,-,-,-
"S00136229",101,25,2,11,11,76,74,-,-,-
"S00136230",93,5,-,5,-,90,88,-,-,-
"S00136231",104,5,1,-,2,99,99,-,-,-
"S00136232",158,112,1,9,98,46,44,4,-,-
"S00136233",78,7,7,-,-,68,68,-,-,-
"S00136234",97,35,4,20,11,62,41,27,-,-
"S00136235",65,65,58,3,4,-,-,-,-,-
"S00136236",125,4,-,1,6,122,115,1,-,-
"S00136237",159,28,3,1,26,131,130,1,-,-
"S00136238",130,-,-,-,-,130,128,3,-,-
"S00136239",67,1,1,-,-,66,64,-,2,-
"S00136240",101,99,4,38,57,2,2,-,-,-
"S00136241",72,1,-,-,1,71,71,-,-,-
"S00136242",109,25,-,-,25,83,75,8,-,-
"S00136243",92,17,2,4,7,77,77,-,-,-
"S00136244",141,141,2,46,97,-,-,-,-,-
"S00136245",81,1,1,-,-,76,76,-,-,-
"S00136246",78,2,-,2,-,76,71,-,5,-
"S00136247",132,129,1,75,53,3,3,-,-,-
"S00136248",127,67,6,60,2,60,60,-,-,-
"S00136249",91,90,-,42,48,1,1,-,-,-
"S00136250",95,89,2,26,61,5,5,-,-,-
"S00136251",109,4,3,-,1,105,99,4,4,-
"S00136252",90,4,-,3,1,86,79,4,-,-
"S00136253",72,1,-,1,-,71,66,2,-,-
"S00136254",124,49,5,23,21,75,61,14,-,-
"S00136255",111,104,5,19,78,9,9,-,-,-
"S00136256",104,101,-,49,51,3,3,-,-,-
"S00136257",116,17,5,4,10,99,99,-,-,-
"S00136258",105,91,2,12,77,14,14,-,-,-
"S00136259",250,239,95,131,13,7,10,5,-,-
"S00136260",74,5,2,2,1,64,64,-,-,-
"S00136261",97,2,2,-,-,95,95,-,-,-
"S00136262",106,52,3,6,40,54,29,25,-,-
"S00136263",87,2,-,-,2,85,81,4,-,-
"S00136264",108,1,-,-,1,107,106,2,2,-
"S00136265",111,3,-,3,-,108,108,-,-,-
"S00136266",84,84,82,1,4,-,-,-,-,-
"S00136267",97,15,11,1,4,81,66,15,-,-
"S00136268",117,9,-,8,2,108,107,-,1,-
"S00136269",91,1,-,1,-,92,91,1,-,-
"S00136270",65,2,-,-,2,67,63,-,-,-
"S00136271",122,60,3,19,37,62,36,26,-,-
"S00136272",121,95,9,29,57,26,26,-,-,-
"S00136273",70,47,1,17,29,25,25,-,-,-
"S00136274",93,20,4,1,15,73,65,8,-,-
"S00136275",126,-,-,-,-,126,125,1,-,-
"S00136276",107,61,9,30,22,47,45,2,-,-
"S00136277",64,18,9,1,8,46,43,6,-,-
"S00136278",104,31,1,1,27,73,67,6,-,-
"S00136279",60,12,-,1,11,44,47,-,1,-
"S00136280",106,105,-,40,65,-,-,-,-,1
"S00136281",125,39,-,14,29,82,74,8,-,-
"S00136282",62,36,-,12,26,24,24,-,-,-
"S00136283",72,3,1,-,1,69,67,1,-,-
"S00136284",149,-,-,-,-,149,149,-,-,-
"S00136285",108,-,-,-,-,108,108,-,-,-
"S00136286",102,88,10,2,76,14,8,3,-,-
"S00136287",84,31,-,6,25,53,35,17,-,-
"S00136288",144,1,2,1,-,143,135,-,8,-
"S00136289",180,122,5,65,53,58,58,-,-,-
"S00136290",149,101,4,46,54,48,21,27,-,-
"S00136291",103,-,-,-,-,103,91,2,7,-
"S00136292",119,116,5,44,68,4,2,2,-,-
"S00136293",91,43,-,2,40,45,38,5,-,-
"S00136294",97,92,8,35,43,3,3,-,-,-
"S00136295",84,6,-,7,1,76,76,-,-,-
"S00136296",81,5,-,4,4,73,71,1,-,-
"S00136297",115,11,6,2,3,106,106,-,-,-
"S00136298",134,8,-,5,3,124,118,3,1,-
"S00136299",132,75,6,25,43,57,46,11,-,-
"S00136300",112,49,-,41,8,63,57,6,-,-
"S00136301",138,19,4,7,8,121,117,4,-,-
"S00136302",133,90,-,31,58,44,42,-,-,-
"S00136303",126,23,4,6,15,103,66,35,2,-
"S00136304",88,-,-,-,-,87,82,2,2,-
"S00136305",133,7,-,-,7,126,122,6,-,-
"S00136306",91,10,-,-,10,81,81,-,-,-
"S00136307",121,7,2,2,4,113,113,-,-,-
"S00136308",184,151,10,73,71,33,32,2,-,-
"S00136309",146,112,15,22,68,34,30,4,-,-
"S00136310",156,9,5,5,-,147,132,1,14,-
"S00136311",103,87,17,68,4,19,11,10,-,-
"S00136312",125,78,4,19,57,49,34,10,1,-
"S00136313",80,6,2,4,-,74,71,2,1,-
"S00136314",91,-,-,-,-,91,85,6,-,-
"S00136315",81,2,-,-,2,79,79,-,-,-
"S00136316",101,22,-,8,13,76,76,-,-,-
"S00136317",112,105,56,42,7,7,4,3,-,-
"S00136318",96,90,20,60,10,6,4,2,-,-
"S00136319",78,-,-,-,-,78,74,5,-,-
"S00136320",66,-,-,-,-,66,57,5,1,-
"S00136321",97,6,-,3,3,91,91,-,-,-
"S00136322",73,9,3,1,5,64,62,1,-,-
"S00136323",108,108,20,75,14,-,-,-,-,-
"S00136324",75,10,-,8,2,67,67,-,-,-
"S00136325",149,88,-,12,71,61,40,21,-,-
"S00136326",87,1,-,-,1,86,82,2,3,-
"S00136327",66,47,1,13,33,19,19,-,-,-
"S00136328",60,3,-,-,-,57,57,-,-,-
"S00136329",108,39,5,26,8,73,73,-,-,-
"S00136330",148,4,-,2,2,144,144,-,-,-
"S00136331",75,5,3,-,3,70,69,1,-,-
"S00136332",101,67,2,21,44,34,34,-,-,-
"S00136333",66,5,-,5,-,61,61,-,-,-
"S00136334",117,32,3,14,15,83,78,8,-,-
"S00136335",85,7,2,1,-,79,79,-,-,-
"S00136336",110,11,8,1,4,100,96,-,3,-
"S00136337",128,115,2,26,87,13,10,-,2,-
"S00136338",97,4,-,1,3,93,83,7,1,-
