Scotland's Census 2022 - National Records of Scotland
Table UV211 - British Sign Language (BSL) skills
All people aged 3 and over

,"All people aged 3 and over","BSL User","Not a BSL user"
"S00167414",97,2,94
"S00167415",135,6,130
"S00167416",74,2,69
"S00167417",109,1,108
"S00167418",148,5,144
"S00167419",136,12,126
"S00167420",153,5,148
"S00167421",128,2,130
"S00167422",90,5,85
"S00167423",67,1,66
"S00167424",144,6,138
"S00167425",93,2,91
"S00167426",102,2,100
"S00167427",87,-,87
"S00167428",182,1,181
"S00167429",89,-,89
"S00167430",159,1,158
"S00167431",96,1,95
"S00167432",108,5,103
"S00167433",98,3,95
"S00167434",124,2,122
"S00167435",117,9,112
"S00167436",107,2,103
"S00167437",154,4,155
"S00167438",228,12,215
"S00167439",117,1,114
"S00167440",197,8,189
"S00167441",163,5,158
"S00167442",61,6,57
"S00167443",163,2,158
"S00167444",101,6,95
"S00167445",119,4,120
"S00167446",114,1,113
"S00167447",124,-,124
"S00167448",108,3,102
"S00167449",80,-,80
"S00167450",159,2,157
"S00167451",146,4,142
"S00167452",111,4,107
"S00167453",117,5,112
"S00167454",77,3,78
"S00167455",109,2,108
"S00167456",86,4,81
"S00167457",128,-,128
"S00167458",108,2,110
"S00167459",90,-,90
"S00167460",135,2,133
"S00167461",188,3,186
"S00167462",118,1,116
"S00167463",196,4,194
"S00167464",148,5,143
"S00167465",112,10,102
"S00167466",162,5,155
"S00167467",166,1,163
"S00167468",105,3,102
"S00167469",114,7,110
"S00167470",114,6,109
"S00167471",97,2,96
"S00167472",134,3,131
"S00167473",96,2,91
"S00167474",85,-,87
"S00167475",68,1,67
"S00167476",82,-,82
"S00167477",93,2,91
"S00167478",87,7,83
"S00167479",77,5,74
"S00167480",99,1,96
"S00167481",90,-,90
"S00167482",130,-,130
"S00167483",114,3,111
"S00167484",71,2,69
"S00167485",113,3,111
"S00167486",140,4,136
"S00167487",105,2,104
"S00167488",63,-,63
"S00167489",91,2,90
"S00167490",203,11,195
"S00167491",81,4,78
"S00167492",112,2,109
"S00167493",97,3,95
"S00167494",84,2,82
"S00167495",108,1,107
"S00167496",74,-,74
"S00167497",110,2,109
"S00167498",134,4,134
"S00167499",85,2,83
"S00167500",94,1,92
"S00167501",154,2,152
"S00167502",202,4,196
"S00167503",97,2,97
"S00167504",137,5,136
"S00167505",108,1,106
"S00167506",90,4,86
"S00167507",115,4,108
"S00167508",105,2,101
"S00167509",130,1,129
"S00167510",116,4,107
"S00167511",99,2,97
"S00167512",115,4,111
"S00167513",86,3,86
"S00167514",173,4,173
"S00167515",91,2,89
"S00167516",174,8,166
"S00167517",126,5,121
"S00167518",143,2,141
"S00167519",112,5,107
"S00167520",86,4,84
"S00167521",106,4,101
"S00167522",100,2,98
"S00167523",67,-,67
"S00167524",116,4,114
"S00167525",180,2,178
"S00167526",93,4,86
"S00167527",129,2,127
"S00167528",131,9,120
"S00167529",83,5,78
"S00167530",87,2,85
"S00167531",129,3,126
"S00167532",129,1,128
"S00167533",141,2,139
"S00167534",157,3,154
"S00167535",104,1,107
"S00167536",169,5,164
"S00167537",76,-,75
"S00167538",84,-,84
"S00167539",93,2,91
"S00167540",157,3,154
"S00167541",142,1,141
"S00167542",135,4,131
"S00167543",92,-,92
"S00167544",92,3,89
"S00167545",99,3,99
"S00167546",183,9,173
"S00167547",91,1,90
"S00167548",102,6,96
"S00167549",108,4,104
"S00167550",103,5,98
"S00167551",107,3,104
"S00167552",120,3,117
"S00167553",149,2,146
"S00167554",64,3,61
"S00167555",86,5,82
"S00167556",90,3,87
"S00167557",135,4,131
"S00167558",140,7,133
"S00167559",115,7,110
"S00167560",122,5,117
"S00167561",83,6,75
"S00167562",137,-,137
"S00167563",98,-,98
"S00167564",59,-,59
"S00167565",93,2,91
"S00167566",123,8,115
"S00167567",145,6,139
"S00167568",91,2,89
"S00167569",137,7,130
"S00167570",132,4,128
"S00167571",87,4,83
"S00167572",60,3,58
"S00167573",145,8,137
"S00167574",83,4,79
"S00167575",67,2,67
"S00167576",85,5,80
"S00167577",102,5,97
"S00167578",121,1,120
"S00167579",156,5,151
"S00167580",90,11,82
"S00167581",147,9,138
"S00167582",85,5,80
"S00167583",99,-,99
"S00167584",64,1,59
"S00167585",70,3,66
"S00167586",122,1,121
"S00167587",131,1,129
"S00167588",126,5,114
"S00167589",78,1,80
"S00167590",127,2,124
"S00167591",147,7,141
"S00167592",74,-,74
"S00167593",104,2,102
"S00167594",99,5,94
"S00167595",179,13,163
"S00167596",114,9,101
"S00167597",160,11,149
"S00167598",97,5,94
"S00167599",81,8,73
"S00167600",96,2,91
"S00167601",143,3,140
"S00167602",77,2,77
"S00167603",178,10,169
"S00167604",66,2,64
"S00167605",157,6,149
"S00167606",88,-,88
"S00167607",168,12,161
"S00167608",136,14,122
"S00167609",87,3,82
"S00167610",134,3,133
"S00167611",70,1,69
"S00167612",105,5,102
"S00167613",76,1,75
"S00167614",114,2,112
"S00167615",92,1,91
"S00167616",135,2,133
"S00167617",114,9,104
"S00167618",159,12,147
"S00167619",103,10,93
"S00167620",103,2,101
"S00167621",93,6,87
"S00167622",85,9,79
"S00167623",77,1,79
"S00167624",98,1,97
"S00167625",73,1,71
"S00167626",156,1,155
"S00167627",95,1,94
"S00167628",125,6,123
"S00167629",119,12,114
"S00167630",102,1,101
"S00167631",108,2,105
"S00167632",151,17,137
"S00167633",111,1,108
"S00167634",82,1,77
"S00167635",89,4,85
"S00167636",103,5,95
"S00167637",70,1,71
"S00167638",155,6,149
"S00167639",106,7,100
"S00167640",128,4,124
"S00167641",86,5,81
"S00167642",115,2,113
"S00167643",114,-,114
"S00167644",92,1,91
"S00167645",85,2,86
"S00167646",82,4,78
"S00167647",105,9,96
"S00167648",137,6,131
"S00167649",141,6,135
"S00167650",190,14,176
"S00167651",94,1,93
"S00167652",98,-,98
"S00167653",114,8,110
"S00167654",142,16,126
"S00167655",66,1,65
"S00167656",60,-,60
"S00167657",71,1,70
"S00167658",90,-,89
"S00167659",97,8,89
"S00167660",114,4,107
"S00167661",108,3,102
"S00167662",96,1,95
"S00167663",65,1,68
"S00167664",132,8,125
"S00167665",71,5,66
"S00167666",181,3,177
"S00167667",91,5,84
"S00167668",158,-,158
"S00167669",128,10,121
"S00167670",116,6,110
"S00167671",132,1,131
"S00167672",164,6,157
"S00167673",135,6,129
"S00167674",93,2,92
"S00167675",70,1,69
"S00167676",116,-,116
"S00167677",68,2,67
"S00167678",121,1,120
"S00167679",66,1,68
"S00167680",109,1,107
"S00167681",118,6,112
"S00167682",127,7,120
"S00167683",120,5,116
"S00167684",75,6,69
"S00167685",71,1,70
"S00167686",65,2,63
"S00167687",97,2,95
"S00167688",188,11,177
"S00167689",98,1,99
"S00167690",73,2,71
"S00167691",81,3,78
"S00167692",125,-,125
"S00167693",93,6,88
"S00167694",94,3,92
"S00167695",107,9,102
"S00167696",123,4,119
"S00167697",154,5,149
"S00167698",125,-,123
"S00167699",164,6,158
"S00167700",95,6,89
"S00167701",108,3,108
"S00167702",160,4,157
"S00167703",76,3,73
"S00167704",100,3,98
"S00167705",133,3,130
"S00167706",144,4,140
"S00167707",159,2,156
"S00167708",86,1,85
"S00167709",116,7,109
"S00167710",60,6,56
"S00167711",104,4,102
"S00167712",82,1,81
"S00167713",192,5,187
"S00167714",159,3,153
"S00167715",262,9,251
"S00167716",184,3,181
"S00167717",149,2,147
"S00167718",83,1,82
"S00167719",140,4,136
"S00167720",150,1,150
"S00167721",170,4,166
"S00167722",60,1,55
"S00167723",70,3,68
"S00167724",155,6,149
"S00167725",63,-,63
"S00167726",136,-,136
"S00167727",93,2,94
"S00167728",130,-,130
"S00167729",157,2,155
"S00167730",85,-,80
"S00167731",68,1,67
"S00167732",121,1,120
"S00167733",156,1,155
"S00167734",105,4,102
"S00167735",129,4,125
"S00167736",100,1,99
"S00167737",102,1,101
"S00167738",92,4,90
"S00167739",65,-,65
"S00167740",107,2,105
"S00167741",171,2,169
"S00167742",98,1,97
"S00167743",72,1,71
"S00167744",109,-,109
"S00167745",122,1,121
"S00167746",105,1,103
"S00167747",121,-,120
"S00167748",69,-,69
"S00167749",97,-,96
"S00167750",71,-,71
"S00167751",117,1,114
"S00167752",66,2,64
"S00167753",124,3,121
"S00167754",81,1,78
"S00167755",124,3,121
"S00167756",105,2,106
"S00167757",153,1,152
"S00167758",80,2,78
"S00167759",118,5,115
"S00167760",84,3,82
"S00167761",178,4,176
"S00167762",174,3,171
"S00167763",101,-,101
"S00167764",144,-,144
"S00167765",145,1,142
"S00167766",138,1,132
"S00167767",125,-,125
"S00167768",178,2,174
"S00167769",87,2,85
"S00167770",106,-,106
"S00167771",57,-,56
"S00167772",234,4,230
"S00167773",186,1,185
"S00167774",122,2,120
"S00167775",82,-,82
"S00167776",72,1,71
"S00167777",151,-,151
"S00167778",73,4,73
"S00167779",137,1,134
"S00167780",141,4,137
"S00167781",138,4,134
"S00167782",144,5,140
"S00167783",166,5,161
"S00167784",152,3,145
"S00167785",113,5,108
"S00167786",157,-,157
"S00167787",131,4,129
"S00167788",84,-,84
"S00167789",136,1,135
"S00167790",60,1,58
"S00167791",61,1,60
"S00167792",129,-,129
"S00167793",78,3,75
"S00167794",75,-,75
"S00167795",64,-,64
"S00167796",97,-,97
"S00167797",145,4,141
"S00167798",93,-,93
"S00167799",189,4,183
"S00167800",97,4,93
"S00167801",127,1,126
"S00167802",76,-,74
"S00167803",159,2,157
"S00167804",104,2,102
"S00167805",134,3,129
"S00167806",73,-,73
"S00167807",101,1,100
"S00167808",60,-,61
"S00167809",85,-,85
"S00167810",205,4,201
"S00167811",68,1,68
"S00167812",153,-,153
"S00167813",142,1,141
"S00167814",143,2,139
"S00167815",162,5,157
"S00167816",116,4,109
"S00167817",62,2,60
"S00167818",75,2,71
"S00167819",187,4,183
"S00167820",116,2,114
"S00167821",114,3,111
"S00167822",126,2,125
"S00167823",106,-,106
"S00167824",93,-,92
"S00167825",80,3,77
"S00167826",125,2,123
"S00167827",170,6,164
"S00167828",77,-,77
"S00167829",94,5,89
"S00167830",157,1,155
"S00167831",114,-,114
"S00167832",118,2,115
"S00167833",93,2,92
"S00167834",92,-,92
"S00167835",117,2,114
"S00167836",176,-,176
"S00167837",63,5,58
"S00167838",134,1,130
"S00167839",60,4,57
"S00167840",175,3,173
"S00167841",151,6,144
"S00167842",111,5,107
"S00167843",116,6,108
"S00167844",74,1,72
"S00167845",67,2,65
"S00167846",77,1,76
"S00167847",122,1,116
"S00167848",79,2,73
"S00167849",65,1,63
"S00167850",108,-,108
"S00167851",87,-,87
"S00167852",80,4,75
"S00167853",103,1,100
"S00167854",75,1,74
"S00167855",119,4,113
"S00167856",102,5,97
"S00167857",84,4,80
"S00167858",108,4,101
"S00167859",121,3,118
"S00167860",208,6,202
"S00167861",168,1,167
"S00167862",73,-,73
"S00167863",121,4,118
"S00167864",194,-,192
"S00167865",137,1,135
"S00167866",106,1,105
"S00167867",115,4,112
"S00167868",141,-,140
"S00167869",139,-,138
"S00167870",144,-,144
"S00167871",121,4,117
"S00167872",176,-,176
"S00167873",85,-,85
"S00167874",102,-,102
"S00167875",126,4,122
"S00167876",69,-,69
"S00167877",128,4,124
"S00167878",71,-,71
"S00167879",75,-,75
"S00167880",151,2,145
"S00167881",157,3,154
"S00167882",195,5,190
"S00167883",114,-,114
"S00167884",184,3,181
"S00167885",160,1,159
"S00167886",231,3,229
"S00167887",79,1,76
"S00167888",96,1,95
"S00167889",87,2,85
"S00167890",120,2,119
"S00167891",127,1,126
"S00167892",116,2,113
"S00167893",124,4,120
"S00167894",65,2,63
"S00167895",239,7,228
"S00167896",104,2,103
"S00167897",88,-,88
"S00167898",146,9,135
"S00167899",80,1,75
"S00167900",101,2,97
"S00167901",116,-,114
"S00167902",172,6,168
"S00167903",126,3,123
"S00167904",96,-,96
"S00167905",146,-,145
"S00167906",255,9,250
"S00167907",152,3,149
"S00167908",114,2,112
"S00167909",155,1,154
"S00167910",136,1,135
"S00167911",201,2,199
"S00167912",229,4,225
"S00167913",127,2,129
"S00167914",95,3,92
"S00167915",143,2,140
"S00167916",150,2,148
"S00167917",67,-,67
"S00167918",87,1,86
"S00167919",98,-,98
"S00167920",142,1,141
"S00167921",129,1,128
"S00167922",54,1,55
"S00167923",129,4,125
"S00167924",180,1,178
"S00167925",92,-,92
"S00167926",144,2,142
"S00167927",139,2,137
"S00167928",141,1,140
"S00167929",92,2,90
"S00167930",144,6,139
"S00167931",60,2,58
"S00167932",114,1,113
"S00167933",201,4,197
"S00167934",87,2,86
"S00167935",70,-,70
"S00167936",64,6,58
"S00167937",101,5,98
"S00167938",156,1,155
"S00167939",68,-,68
"S00167940",164,3,161
"S00167941",140,5,136
"S00167942",139,4,135
"S00167943",128,3,127
"S00167944",144,-,138
"S00167945",106,3,104
"S00167946",68,1,67
"S00167947",145,3,142
"S00167948",90,2,88
"S00167949",127,1,124
"S00167950",159,2,156
"S00167951",149,4,145
"S00167952",96,1,95
"S00167953",61,-,60
"S00167954",89,6,83
"S00167955",177,2,175
"S00167956",93,1,91
"S00167957",216,2,216
"S00167958",81,3,78
"S00167959",115,1,112
"S00167960",127,4,123
"S00167961",166,5,161
"S00167962",69,1,65
"S00167963",108,2,106
"S00167964",73,1,72
"S00167965",127,2,125
"S00167966",138,6,132
"S00167967",105,8,102
"S00167968",168,3,165
"S00167969",174,2,172
"S00167970",133,2,131
"S00167971",186,5,180
"S00167972",171,1,170
"S00167973",133,1,132
"S00167974",126,-,126
"S00167975",100,3,97
"S00167976",128,4,124
"S00167977",131,-,128
"S00167978",80,-,77
"S00167979",99,-,99
"S00167980",153,3,151
"S00167981",80,2,80
"S00167982",66,1,65
"S00167983",101,1,97
"S00167984",139,4,136
"S00167985",129,2,127
"S00167986",75,2,77
"S00167987",77,1,76
"S00167988",70,-,70
"S00167989",196,3,193
"S00167990",185,9,176
"S00167991",88,4,84
"S00167992",122,2,120
"S00167993",130,-,130
"S00167994",84,1,80
"S00167995",82,2,77
"S00167996",67,-,67
"S00167997",105,6,99
"S00167998",167,1,166
"S00167999",81,3,78
"S00168000",91,3,88
"S00168001",75,4,72
"S00168002",124,1,123
"S00168003",122,3,119
"S00168004",154,4,149
"S00168005",128,4,127
"S00168006",164,2,162
"S00168007",130,-,130
"S00168008",76,-,73
"S00168009",139,2,137
"S00168010",97,2,95
"S00168011",83,6,79
"S00168012",80,-,80
"S00168013",189,8,179
"S00168014",118,6,112
"S00168015",107,4,103
"S00168016",181,7,176
"S00168017",141,6,135
"S00168018",102,-,102
"S00168019",86,7,76
"S00168020",65,2,63
"S00168021",95,2,93
"S00168022",112,4,108
"S00168023",77,1,76
"S00168024",80,2,78
"S00168025",269,5,264
"S00168026",155,2,153
"S00168027",176,4,172
"S00168028",97,2,93
"S00168029",75,4,73
"S00168030",177,9,168
"S00168031",121,4,117
"S00168032",65,3,62
"S00168033",94,-,94
"S00168034",66,1,64
"S00168035",66,1,65
"S00168036",104,-,104
"S00168037",78,-,78
"S00168038",203,7,196
"S00168039",154,-,153
"S00168040",90,-,90
"S00168041",160,3,158
"S00168042",101,3,98
"S00168043",163,5,160
"S00168044",174,2,171
"S00168045",101,2,99
"S00168046",98,5,95
"S00168047",84,-,84
"S00168048",68,-,68
"S00168049",153,-,154
"S00168050",150,4,146
"S00168051",136,4,134
"S00168052",110,3,107
"S00168053",147,6,141
"S00168054",83,3,80
"S00168055",160,4,156
"S00168056",131,3,131
"S00168057",80,2,79
"S00168058",102,2,100
"S00168059",110,-,110
"S00168060",110,4,105
"S00168061",122,1,121
"S00168062",178,5,173
"S00168063",88,3,85
"S00168064",94,3,91
"S00168065",97,3,94
"S00168066",111,2,109
"S00168067",243,2,242
"S00168068",137,6,131
"S00168069",109,2,107
"S00168070",95,-,94
"S00168071",136,4,132
"S00168072",156,2,155
"S00168073",71,-,71
"S00168074",81,-,81
"S00168075",67,4,65
"S00168076",99,1,98
"S00168077",101,1,100
"S00168078",127,5,122
"S00168079",141,-,141
"S00168080",91,3,84
"S00168081",109,6,102
"S00168082",119,1,118
"S00168083",181,5,176
"S00168084",76,-,76
"S00168085",114,-,112
"S00168086",111,-,114
"S00168087",80,-,80
"S00168088",86,-,86
"S00168089",154,1,153
"S00168090",163,-,163
"S00168091",73,1,72
"S00168092",82,2,80
"S00168093",75,2,73
"S00168094",111,1,109
"S00168095",109,7,102
"S00168096",126,5,123
"S00168097",158,4,154
"S00168098",106,3,103
"S00168099",98,-,98
"S00168100",81,1,80
"S00168101",168,1,163
"S00168102",98,3,95
"S00168103",126,6,120
"S00168104",111,3,108
"S00168105",119,2,121
"S00168106",106,4,105
"S00168107",124,1,123
"S00168108",113,1,112
"S00168109",93,2,92
"S00168110",162,-,162
"S00168111",131,2,129
"S00168112",177,6,173
"S00168113",201,6,195
"S00168114",132,9,121
"S00168115",152,-,152
"S00168116",166,4,162
"S00168117",90,1,89
"S00168118",78,-,78
"S00168119",74,4,72
"S00168120",59,-,59
"S00168121",80,-,80
"S00168122",169,7,162
"S00168123",106,3,103
"S00168124",212,5,207
"S00168125",63,-,63
"S00168126",99,3,97
"S00168127",97,5,94
"S00168128",85,1,84
"S00168129",154,5,149
"S00168130",76,3,77
"S00168131",118,4,115
"S00168132",145,6,139
"S00168133",156,1,155
"S00168134",96,-,96
"S00168135",174,4,172
"S00168136",165,2,164
"S00168137",82,-,82
"S00168138",78,-,78
"S00168139",130,5,129
"S00168140",94,2,92
"S00168141",96,-,94
"S00168142",152,5,147
"S00168143",163,2,157
"S00168144",121,2,122
"S00168145",152,3,152
"S00168146",162,5,157
"S00168147",95,1,95
"S00168148",90,5,85
"S00168149",124,4,122
"S00168150",124,2,124
"S00168151",207,4,204
"S00168152",84,5,79
"S00168153",80,-,80
"S00168154",133,-,133
"S00168155",138,4,134
"S00168156",151,4,147
"S00168157",64,-,64
"S00168158",153,2,151
"S00168159",143,4,143
"S00168160",96,-,95
"S00168161",76,3,73
"S00168162",124,1,123
"S00168163",142,-,142
"S00168164",112,2,109
"S00168165",135,3,133
"S00168166",98,8,94
"S00168167",100,1,99
"S00168168",214,2,213
"S00168169",145,-,145
"S00168170",98,-,98
"S00168171",113,-,113
"S00168172",74,2,72
"S00168173",69,1,68
"S00168174",90,2,88
"S00168175",58,3,57
"S00168176",124,2,122
"S00168177",121,4,117
"S00168178",148,-,148
"S00168179",93,-,93
"S00168180",105,1,103
"S00168181",160,3,157
"S00168182",61,-,61
"S00168183",133,3,130
"S00168184",112,6,106
"S00168185",143,1,142
"S00168186",76,2,72
"S00168187",152,4,152
"S00168188",90,4,89
"S00168189",156,4,152
"S00168190",78,-,78
"S00168191",114,4,112
"S00168192",122,2,120
"S00168193",99,3,96
"S00168194",86,-,85
"S00168195",85,-,85
"S00168196",115,1,112
"S00168197",154,3,151
"S00168198",131,1,133
"S00168199",126,1,129
"S00168200",88,5,83
"S00168201",97,4,95
"S00168202",77,-,77
"S00168203",175,7,168
"S00168204",147,1,146
"S00168205",95,1,93
"S00168206",132,6,123
"S00168207",135,1,130
"S00168208",158,1,158
"S00168209",59,-,59
"S00168210",147,-,147
"S00168211",108,-,107
"S00168212",102,5,97
"S00168213",119,-,118
"S00168214",119,-,119
"S00168215",151,2,149
"S00168216",117,3,114
"S00168217",161,1,160
"S00168218",115,5,108
"S00168219",117,4,113
"S00168220",137,3,134
"S00168221",95,-,95
"S00168222",122,1,121
"S00168223",113,1,112
"S00168224",122,2,120
"S00168225",167,2,163
"S00168226",93,3,89
"S00168227",62,2,61
"S00168228",160,1,160
"S00168229",115,2,116
"S00168230",125,7,121
"S00168231",123,1,122
"S00168232",101,8,93
"S00168233",75,-,75
"S00168234",81,2,79
"S00168235",86,2,84
"S00168236",120,-,120
"S00168237",171,10,164
"S00168238",189,4,185
"S00168239",138,1,138
"S00168240",102,1,98
"S00168241",78,-,78
"S00168242",60,3,58
"S00168243",140,3,137
"S00168244",132,2,130
"S00168245",140,2,142
"S00168246",164,4,160
"S00168247",103,3,100
"S00168248",146,1,147
"S00168249",89,3,86
"S00168250",128,2,127
"S00168251",72,1,69
"S00168252",144,-,144
"S00168253",91,4,87
"S00168254",123,6,117
"S00168255",70,-,70
"S00168256",108,1,107
"S00168257",127,1,130
"S00168258",142,-,145
"S00168259",189,11,179
"S00168260",117,1,116
"S00168261",80,3,79
"S00168262",77,2,74
"S00168263",225,3,223
"S00168264",130,3,127
"S00168265",109,1,108
"S00168266",79,-,79
"S00168267",90,2,93
"S00168268",242,7,235
"S00168269",71,-,71
"S00168270",67,-,67
"S00168271",107,2,109
"S00168272",113,-,113
"S00168273",91,1,90
"S00168274",177,1,174
"S00168275",100,2,99
"S00168276",123,1,121
"S00168277",121,4,117
"S00168278",90,4,87
"S00168279",136,-,134
"S00168280",129,-,128
"S00168281",80,1,79
"S00168282",90,1,89
"S00168283",118,2,117
"S00168284",83,-,83
"S00168285",172,2,174
"S00168286",178,2,180
"S00168287",85,5,80
"S00168288",124,3,121
"S00168289",89,1,88
"S00168290",143,4,141
"S00168291",86,1,86
"S00168292",110,1,109
"S00168293",82,-,82
"S00168294",110,-,110
"S00168295",70,3,67
"S00168296",151,-,151
"S00168297",145,2,143
"S00168298",168,3,166
"S00168299",144,3,142
"S00168300",112,2,110
"S00168301",145,5,140
"S00168302",132,-,132
"S00168303",217,3,214
"S00168304",133,3,131
"S00168305",133,2,131
"S00168306",83,1,82
"S00168307",82,-,82
"S00168308",105,1,104
"S00168309",107,-,107
"S00168310",149,3,146
"S00168311",95,2,91
"S00168312",124,-,124
"S00168313",131,1,130
"S00168314",117,2,116
"S00168315",101,1,100
"S00168316",91,1,90
"S00168317",114,1,113
"S00168318",185,5,180
"S00168319",129,2,128
"S00168320",82,3,83
"S00168321",97,3,94
"S00168322",66,1,69
"S00168323",86,-,86
"S00168324",80,2,75
"S00168325",125,1,128
"S00168326",128,-,128
"S00168327",130,-,130
"S00168328",210,9,201
"S00168329",122,2,124
"S00168330",156,1,153
"S00168331",156,4,153
"S00168332",111,-,109
"S00168333",89,2,83
"S00168334",102,2,100
"S00168335",122,3,116
"S00168336",61,-,61
"S00168337",83,2,81
"S00168338",219,3,217
"S00168339",84,2,82
"S00168340",180,-,180
"S00168341",78,-,78
"S00168342",92,2,94
"S00168343",164,2,161
"S00168344",83,1,82
"S00168345",102,-,102
"S00168346",116,5,111
"S00168347",110,3,108
"S00168348",117,4,113
"S00168349",103,1,100
"S00168350",134,3,131
"S00168351",82,2,80
"S00168352",79,-,79
"S00168353",128,4,124
"S00168354",94,2,98
"S00168355",95,2,93
"S00168356",120,4,118
"S00168357",65,2,64
"S00168358",109,2,107
"S00168359",87,1,86
"S00168360",140,2,138
"S00168361",96,-,96
"S00168362",92,2,91
"S00168363",100,1,99
"S00168364",84,-,84
"S00168365",157,2,153
"S00168366",135,1,137
"S00168367",196,5,191
"S00168368",73,-,73
"S00168369",154,2,152
"S00168370",113,2,112
"S00168371",116,1,115
"S00168372",131,1,129
"S00168373",67,-,66
"S00168374",107,8,99
"S00168375",113,-,111
"S00168376",163,4,163
"S00168377",105,-,105
"S00168378",105,2,103
"S00168379",104,-,104
"S00168380",102,-,102
"S00168381",125,2,123
"S00168382",85,3,82
"S00168383",96,-,96
"S00168384",82,-,82
"S00168385",100,4,96
"S00168386",79,-,79
"S00168387",115,3,112
"S00168388",91,-,89
"S00168389",161,2,160
"S00168390",103,4,99
"S00168391",176,4,172
"S00168392",69,-,68
"S00168393",154,5,149
"S00168394",100,4,92
"S00168395",94,-,94
"S00168396",87,-,87
"S00168397",104,4,102
"S00168398",62,1,61
"S00168399",87,2,82
"S00168400",126,2,119
"S00168401",152,7,146
"S00168402",71,-,71
"S00168403",207,8,199
"S00168404",67,4,60
"S00168405",190,7,183
"S00168406",162,4,159
"S00168407",101,2,99
"S00168408",101,-,101
"S00168409",101,-,101
"S00168410",138,4,132
"S00168411",95,4,93
"S00168412",176,6,169
"S00168413",116,4,112
"S00168414",99,7,96
"S00168415",198,6,192
"S00168416",130,-,130
"S00168417",98,1,101
"S00168418",200,6,194
"S00168419",140,7,133
"S00168420",95,3,93
"S00168421",192,1,189
"S00168422",183,3,179
"S00168423",97,-,97
"S00168424",58,1,57
"S00168425",140,9,131
"S00168426",176,3,172
"S00168427",102,2,101
"S00168428",130,7,123
"S00168429",86,4,81
"S00168430",137,1,136
"S00168431",112,3,109
"S00168432",69,1,68
"S00168433",125,4,121
"S00168434",214,2,212
"S00168435",94,3,91
"S00168436",137,6,133
"S00168437",140,3,137
"S00168438",72,3,72
"S00168439",152,1,154
"S00168440",75,3,72
"S00168441",107,1,106
"S00168442",99,3,96
"S00168443",88,3,86
"S00168444",115,1,113
"S00168445",110,3,109
"S00168446",83,-,83
"S00168447",111,1,108
"S00168448",129,7,127
"S00168449",107,4,105
"S00168450",95,3,92
"S00168451",116,1,113
"S00168452",205,3,202
"S00168453",148,4,144
"S00168454",164,4,160
"S00168455",135,2,133
"S00168456",105,1,104
"S00168457",108,2,106
"S00168458",169,4,165
"S00168459",94,-,92
"S00168460",217,5,216
"S00168461",111,4,109
"S00168462",166,2,168
"S00168463",155,1,150
"S00168464",106,7,99
"S00168465",87,1,83
"S00168466",115,2,109
"S00168467",76,1,78
"S00168468",115,2,113
"S00168469",148,2,147
"S00168470",235,1,231
"S00168471",116,2,118
"S00168472",184,7,177
"S00168473",162,1,161
"S00168474",172,4,168
"S00168475",165,2,163
"S00168476",174,1,173
"S00168477",74,-,74
"S00168478",131,6,129
"S00168479",66,3,63
"S00168480",155,4,153
"S00168481",98,1,94
"S00168482",60,1,59
"S00168483",154,5,149
"S00168484",121,4,117
"S00168485",122,4,120
"S00168486",165,-,165
"S00168487",81,-,81
"S00168488",172,4,170
"S00168489",77,2,75
"S00168490",71,5,71
"S00168491",104,-,104
"S00168492",129,2,124
"S00168493",149,2,147
"S00168494",107,1,106
"S00168495",139,3,136
"S00168496",125,1,124
"S00168497",86,1,82
"S00168498",91,1,90
"S00168499",179,2,175
"S00168500",123,6,117
"S00168501",145,3,142
"S00168502",136,2,133
"S00168503",86,2,89
"S00168504",123,-,122
"S00168505",114,2,112
"S00168506",235,-,235
"S00168507",113,3,113
"S00168508",127,-,127
"S00168509",63,5,60
"S00168510",227,5,223
"S00168511",107,-,107
"S00168512",114,9,105
"S00168513",105,-,106
"S00168514",69,2,67
"S00168515",252,2,254
"S00168516",74,5,73
"S00168517",88,1,91
"S00168518",103,2,99
"S00168519",136,6,126
"S00168520",104,4,98
"S00168521",78,1,77
"S00168522",185,2,183
"S00168523",98,10,88
"S00168524",106,5,101
"S00168525",145,-,145
"S00168526",66,1,65
"S00168527",112,4,108
"S00168528",129,1,128
"S00168529",103,1,98
"S00168530",214,7,207
"S00168531",178,2,176
"S00168532",131,3,128
"S00168533",121,-,121
"S00168534",120,-,120
"S00168535",120,2,118
"S00168536",67,-,67
"S00168537",182,2,180
"S00168538",132,3,129
"S00168539",68,-,68
"S00168540",92,2,87
"S00168541",112,2,111
"S00168542",78,1,77
"S00168543",87,1,86
"S00168544",194,3,191
"S00168545",130,4,128
"S00168546",123,-,122
"S00168547",79,2,77
"S00168548",224,10,214
"S00168549",107,1,104
"S00168550",81,1,80
"S00168551",100,6,91
"S00168552",107,4,105
"S00168553",64,3,59
"S00168554",134,-,134
"S00168555",134,2,132
"S00168556",132,5,127
"S00168557",143,5,138
"S00168558",151,3,150
"S00168559",138,2,136
"S00168560",140,2,136
"S00168561",189,5,185
"S00168562",128,1,127
"S00168563",140,2,141
"S00168564",94,1,93
"S00168565",106,-,106
"S00168566",105,1,107
"S00168567",169,2,166
"S00168568",123,2,121
"S00168569",74,1,76
"S00168570",247,7,238
"S00168571",102,-,101
"S00168572",135,1,138
"S00168573",181,4,175
