Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00135967",42,42,-
"S00135968",73,68,5
"S00135969",52,51,1
"S00135970",49,41,5
"S00135971",74,66,8
"S00135972",69,63,6
"S00135973",55,51,3
"S00135974",51,49,2
"S00135975",55,54,5
"S00135976",76,72,6
"S00135977",35,32,2
"S00135978",43,43,-
"S00135979",46,46,-
"S00135980",40,39,1
"S00135981",55,53,-
"S00135982",54,54,-
"S00135983",54,54,-
"S00135984",65,59,5
"S00135985",68,68,-
"S00135986",66,64,5
"S00135987",44,42,2
"S00135988",30,28,-
"S00135989",63,61,2
"S00135990",28,27,1
"S00135991",43,43,-
"S00135992",49,48,1
"S00135993",51,51,-
"S00135994",66,57,5
"S00135995",27,24,3
"S00135996",62,58,9
"S00135997",77,70,7
"S00135998",48,47,1
"S00135999",69,66,3
"S00136000",79,72,10
"S00136001",59,57,5
"S00136002",59,61,1
"S00136003",53,49,4
"S00136004",35,36,3
"S00136005",61,51,6
"S00136006",43,43,-
"S00136007",65,58,6
"S00136008",38,36,-
"S00136009",75,71,4
"S00136010",60,57,-
"S00136011",79,78,-
"S00136012",72,69,4
"S00136013",57,57,4
"S00136014",56,52,2
"S00136015",78,72,6
"S00136016",61,61,-
"S00136017",79,77,4
"S00136018",81,79,2
"S00136019",62,62,-
"S00136020",65,55,6
"S00136021",35,34,1
"S00136022",56,48,5
"S00136023",41,38,4
"S00136024",40,36,4
"S00136025",49,43,8
"S00136026",62,62,-
"S00136027",35,34,1
"S00136028",50,42,5
"S00136029",35,33,2
"S00136030",43,42,-
"S00136031",63,61,-
"S00136032",67,65,3
"S00136033",70,66,4
"S00136034",65,65,-
"S00136035",88,83,1
"S00136036",61,57,2
"S00136037",44,44,-
"S00136038",41,35,3
"S00136039",50,48,4
"S00136040",39,35,4
"S00136041",63,54,5
"S00136042",46,40,4
"S00136043",38,36,3
"S00136044",41,42,3
"S00136045",62,61,3
"S00136046",40,37,3
"S00136047",62,58,4
"S00136048",52,49,3
"S00136049",67,64,3
"S00136050",57,54,1
"S00136051",47,42,2
"S00136052",34,31,3
"S00136053",38,36,3
