Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00136428",53,53,-
"S00136429",72,69,2
"S00136430",68,68,-
"S00136431",73,69,4
"S00136432",81,81,-
"S00136433",49,47,2
"S00136434",55,55,-
"S00136435",55,54,1
"S00136436",64,66,2
"S00136437",82,80,2
"S00136438",69,71,2
"S00136439",96,88,4
"S00136440",49,49,-
"S00136441",43,39,4
"S00136442",71,69,2
"S00136443",55,47,9
"S00136444",63,61,2
"S00136445",75,73,2
"S00136446",48,47,1
"S00136447",68,65,3
"S00136448",54,44,10
"S00136449",63,63,-
"S00136450",42,44,2
"S00136451",50,52,1
"S00136452",39,39,-
"S00136453",57,56,3
"S00136454",49,48,1
"S00136455",53,53,-
"S00136456",49,48,-
"S00136457",69,68,-
"S00136458",66,66,-
"S00136459",47,45,2
"S00136460",52,51,2
"S00136461",73,69,4
"S00136462",40,38,2
"S00136463",60,58,2
"S00136464",52,52,-
"S00136465",40,35,5
"S00136466",49,48,-
"S00136467",80,63,11
"S00136468",70,67,2
"S00136469",68,68,-
"S00136470",61,59,2
"S00136471",49,46,3
"S00136472",61,61,-
"S00136473",41,40,1
"S00136474",62,61,1
"S00136475",47,43,6
"S00136476",36,36,-
"S00136477",49,51,2
"S00136478",64,65,2
"S00136479",61,56,3
"S00136480",79,77,1
"S00136481",55,54,1
"S00136482",63,59,6
"S00136483",41,41,-
"S00136484",68,66,2
"S00136485",63,63,-
"S00136486",58,58,-
"S00136487",48,47,1
"S00136488",51,50,1
"S00136489",57,55,2
"S00136490",42,42,-
"S00136491",44,41,1
"S00136492",53,53,-
"S00136493",82,79,3
"S00136494",78,78,1
"S00136495",43,43,-
"S00136496",43,38,5
"S00136497",48,48,3
"S00136498",63,63,-
"S00136499",54,51,2
"S00136500",67,65,2
"S00136501",46,43,3
"S00136502",69,68,1
"S00136503",53,51,3
"S00136504",37,36,2
"S00136505",67,61,6
"S00136506",76,75,1
"S00136507",47,47,3
"S00136508",80,76,1
"S00136509",67,66,5
"S00136510",77,74,3
"S00136511",32,30,2
"S00136512",51,50,1
"S00136513",57,57,-
"S00136514",57,49,5
"S00136515",58,53,5
"S00136516",68,68,-
"S00136517",40,40,-
"S00136518",106,98,8
"S00136519",78,73,5
"S00136520",74,71,1
"S00136521",67,67,-
"S00136522",59,55,2
"S00136523",44,42,2
"S00136524",58,58,-
"S00136525",69,69,-
"S00136526",44,44,-
"S00136527",73,73,-
"S00136528",42,40,2
"S00136529",35,35,-
"S00136530",50,47,3
"S00136531",43,40,2
"S00136532",80,78,2
"S00136533",47,42,-
"S00136534",90,85,2
"S00136535",44,47,1
"S00136536",48,48,-
"S00136537",47,45,5
"S00136538",65,63,3
"S00136539",52,50,2
"S00136540",44,43,1
"S00136541",41,40,1
"S00136542",39,37,1
"S00136543",54,51,4
"S00136544",33,35,1
"S00136545",46,44,2
"S00136546",55,50,2
"S00136547",50,51,1
"S00136548",41,41,2
"S00136549",73,72,1
"S00136550",75,75,-
"S00136551",62,61,1
"S00136552",51,46,5
"S00136553",68,63,5
"S00136554",68,62,2
"S00136555",57,56,1
"S00136556",38,36,1
"S00136557",37,37,2
"S00136558",62,55,2
"S00136559",43,39,5
"S00136560",56,53,3
"S00136561",47,45,2
"S00136562",41,41,-
"S00136563",40,43,1
"S00136564",80,72,5
"S00136565",57,48,5
"S00136566",37,35,2
"S00136567",45,42,3
"S00136568",43,41,2
"S00136569",67,60,8
"S00136570",51,50,1
"S00136571",39,38,1
"S00136572",42,41,1
"S00136573",55,52,3
"S00136574",44,41,3
"S00136575",54,42,9
"S00136576",68,68,-
"S00136577",41,41,-
"S00136578",48,47,1
"S00136579",58,57,-
"S00136580",69,65,-
"S00136581",44,46,2
"S00136582",69,65,4
"S00136583",41,40,-
"S00136584",45,45,-
"S00136585",50,50,-
"S00136586",35,33,2
"S00136587",45,44,1
"S00136588",50,46,1
"S00136589",51,50,2
"S00136590",74,73,1
"S00136591",49,51,2
"S00136592",77,73,5
"S00136593",64,62,2
"S00136594",48,48,-
"S00136595",65,64,1
"S00136596",43,42,1
"S00136597",55,53,-
"S00136598",49,44,4
"S00136599",64,65,2
"S00136600",73,73,1
"S00136601",60,62,1
"S00136602",66,62,4
"S00136603",81,79,-
"S00136604",30,30,-
"S00136605",89,88,1
"S00136606",78,80,1
"S00136607",57,54,3
"S00136608",62,62,-
"S00136609",59,54,5
"S00136610",33,33,-
"S00136611",48,46,2
"S00136612",47,47,-
"S00136613",45,42,1
"S00136614",43,43,-
"S00136615",37,39,2
"S00136616",75,68,4
"S00136617",54,54,1
"S00136618",56,55,2
"S00136619",35,34,1
"S00136620",67,62,5
"S00136621",81,78,1
"S00136622",71,71,2
"S00136623",49,50,-
"S00136624",46,38,7
"S00136625",41,41,-
"S00136626",52,50,3
"S00136627",65,64,1
"S00136628",46,45,2
"S00136629",45,44,1
"S00136630",83,82,1
"S00136631",55,55,-
"S00136632",49,54,4
"S00136633",47,43,4
"S00136634",45,47,3
"S00136635",58,57,1
"S00136636",75,72,1
"S00136637",67,62,2
"S00136638",68,66,3
"S00136639",62,62,-
"S00136640",60,54,6
"S00136641",73,71,2
"S00136642",74,77,1
"S00136643",55,55,-
"S00136644",57,56,1
"S00136645",58,58,-
"S00136646",71,71,-
"S00136647",83,78,4
"S00136648",66,64,2
"S00136649",50,50,1
"S00136650",85,91,1
"S00136651",65,63,2
"S00136652",48,46,-
"S00136653",39,38,1
"S00136654",69,69,-
"S00136655",80,77,4
"S00136656",37,35,2
"S00136657",80,77,3
"S00136658",41,41,-
"S00136659",72,72,-
"S00136660",47,44,3
"S00136661",54,52,4
"S00136662",47,45,2
"S00136663",68,69,-
"S00136664",46,42,4
"S00136665",68,66,2
"S00136666",47,45,3
"S00136667",52,49,1
"S00136668",62,62,-
"S00136669",58,56,2
"S00136670",65,58,4
"S00136671",32,37,2
"S00136672",47,47,-
"S00136673",71,66,3
"S00136674",47,50,2
"S00136675",64,63,1
"S00136676",36,32,1
"S00136677",75,76,2
"S00136678",57,54,5
"S00136679",69,66,2
"S00136680",80,76,6
"S00136681",75,75,-
"S00136682",75,74,2
"S00136683",49,44,5
"S00136684",38,38,-
"S00136685",76,75,1
"S00136686",59,58,1
"S00136687",62,62,-
"S00136688",64,57,3
"S00136689",67,67,-
"S00136690",47,47,-
"S00136691",57,52,1
"S00136692",73,63,10
"S00136693",65,62,4
"S00136694",58,55,5
"S00136695",52,45,7
"S00136696",67,65,3
"S00136697",63,60,3
"S00136698",59,59,-
"S00136699",43,42,1
"S00136700",62,60,-
"S00136701",45,44,1
"S00136702",47,45,2
"S00136703",70,69,1
"S00136704",42,40,3
"S00136705",34,34,-
"S00136706",46,46,-
"S00136707",53,53,-
"S00136708",45,44,1
"S00136709",76,67,5
"S00136710",54,50,4
"S00136711",68,67,2
"S00136712",65,62,3
"S00136713",68,61,7
"S00136714",46,45,-
"S00136715",71,69,2
"S00136716",76,74,2
"S00136717",55,53,3
"S00136718",50,49,2
"S00136719",61,58,3
"S00136720",80,75,2
"S00136721",85,84,1
"S00136722",64,57,3
"S00136723",50,49,2
"S00136724",71,70,1
"S00136725",42,42,-
"S00136726",64,56,6
"S00136727",39,32,3
"S00136728",61,60,2
"S00136729",67,62,7
"S00136730",48,48,-
"S00136731",52,52,-
"S00136732",33,33,-
"S00136733",57,53,4
"S00136734",81,75,4
"S00136735",61,60,1
"S00136736",45,42,6
"S00136737",80,74,6
"S00136738",48,48,-
"S00136739",45,45,3
"S00136740",75,70,5
"S00136741",53,45,11
"S00136742",62,56,6
"S00136743",27,26,-
"S00136744",75,73,2
"S00136745",67,62,5
"S00136746",79,73,6
"S00136747",39,36,3
"S00136748",42,41,1
"S00136749",55,54,1
"S00136750",67,65,-
"S00136751",41,34,3
"S00136752",80,75,2
"S00136753",61,58,1
"S00136754",48,48,-
"S00136755",55,52,3
"S00136756",64,58,6
"S00136757",60,58,2
"S00136758",41,39,2
"S00136759",42,35,7
"S00136760",48,45,3
"S00136761",56,56,-
"S00136762",82,81,-
"S00136763",46,45,1
"S00136764",58,53,5
"S00136765",63,63,-
"S00136766",76,72,4
"S00136767",46,43,1
"S00136768",69,69,-
"S00136769",64,63,1
"S00136770",63,61,2
"S00136771",46,46,-
"S00136772",73,70,2
"S00136773",66,63,3
"S00136774",34,27,4
"S00136775",52,45,8
"S00136776",60,59,4
"S00136777",42,42,-
"S00136778",48,47,1
"S00136779",69,68,-
"S00136780",80,71,9
"S00136781",63,61,1
"S00136782",62,61,1
"S00136783",54,53,4
"S00136784",53,52,1
"S00136785",66,63,2
"S00136786",65,60,5
"S00136787",49,47,-
"S00136788",55,49,2
"S00136789",76,76,-
"S00136790",80,72,8
"S00136791",48,47,1
"S00136792",31,31,-
"S00136793",37,37,-
"S00136794",60,54,6
"S00136795",51,52,2
"S00136796",70,67,5
"S00136797",70,70,-
"S00136798",59,58,1
"S00136799",43,41,2
"S00136800",52,44,4
"S00136801",42,39,3
"S00136802",38,35,2
"S00136803",54,49,1
"S00136804",81,76,5
"S00136805",74,74,3
"S00136806",29,29,-
"S00136807",34,32,2
"S00136808",58,56,4
"S00136809",81,77,2
"S00136810",84,84,-
"S00136811",72,70,-
"S00136812",52,50,2
"S00136813",55,55,-
"S00136814",59,55,5
"S00136815",52,51,6
"S00136816",31,25,3
"S00136817",82,76,6
"S00136818",65,61,2
"S00136819",47,45,2
"S00136820",45,42,3
"S00136821",65,60,1
"S00136822",50,46,1
"S00136823",54,48,1
"S00136824",48,49,2
"S00136825",46,42,4
"S00136826",52,54,2
"S00136827",61,60,1
"S00136828",73,71,1
"S00136829",76,74,-
"S00136830",67,64,3
"S00136831",49,47,3
"S00136832",78,73,5
"S00136833",41,39,2
"S00136834",56,54,2
"S00136835",60,59,1
"S00136836",53,49,4
"S00136837",56,53,3
"S00136838",42,42,-
"S00136839",42,35,3
"S00136840",43,42,2
"S00136841",75,74,1
"S00136842",63,58,3
"S00136843",56,54,2
"S00136844",71,65,5
"S00136845",55,52,6
"S00136846",47,46,7
"S00136847",45,45,-
"S00136848",68,64,4
"S00136849",75,75,-
"S00136850",31,26,6
"S00136851",48,47,1
"S00136852",35,31,4
"S00136853",47,47,-
"S00136854",66,63,7
"S00136855",31,31,-
"S00136856",47,43,3
"S00136857",38,32,7
"S00136858",68,67,1
"S00136859",38,37,-
"S00136860",46,41,5
"S00136861",51,48,3
"S00136862",44,44,-
"S00136863",45,43,1
"S00136864",44,44,-
"S00136865",40,35,5
"S00136866",63,62,1
"S00136867",49,45,7
"S00136868",51,47,4
"S00136869",59,57,2
"S00136870",50,47,1
"S00136871",52,48,4
"S00136872",70,59,11
"S00136873",77,71,6
"S00136874",53,53,-
"S00136875",48,48,-
"S00136876",50,51,2
"S00136877",46,49,2
"S00136878",47,43,2
"S00136879",29,28,1
"S00136880",72,65,7
"S00136881",65,58,7
"S00136882",53,48,5
"S00136883",62,60,4
"S00136884",50,49,3
"S00136885",47,45,2
"S00136886",54,53,5
"S00136887",60,59,1
"S00136888",41,39,3
"S00136889",39,37,-
"S00136890",56,54,2
"S00136891",45,42,3
"S00136892",55,53,4
"S00136893",64,66,1
"S00136894",42,42,-
"S00136895",72,69,3
"S00136896",40,40,-
"S00136897",49,48,1
"S00136898",54,48,5
"S00136899",46,38,3
"S00136900",66,60,6
"S00136901",36,35,1
"S00136902",70,66,4
"S00136903",49,43,3
"S00136904",40,40,-
"S00136905",40,34,6
"S00136906",41,40,1
"S00136907",57,55,2
"S00136908",68,64,4
"S00136909",41,38,3
"S00136910",76,73,3
"S00136911",53,48,6
"S00136912",26,19,3
"S00136913",50,47,3
"S00136914",80,79,2
"S00136915",45,44,1
"S00136916",58,54,4
"S00136917",77,71,6
"S00136918",80,78,2
"S00136919",75,72,3
"S00136920",43,41,2
"S00136921",67,63,3
"S00136922",38,38,2
"S00136923",68,66,4
"S00136924",39,36,1
"S00136925",32,30,-
"S00136926",46,44,2
"S00136927",45,45,-
"S00136928",57,55,2
"S00136929",41,39,2
"S00136930",55,55,-
"S00136931",41,38,3
"S00136932",77,74,3
"S00136933",61,58,3
"S00136934",56,46,10
"S00136935",62,55,4
"S00136936",61,60,5
"S00136937",49,45,4
"S00136938",70,67,4
"S00136939",65,65,-
"S00136940",72,70,4
"S00136941",82,73,10
"S00136942",44,41,3
"S00136943",34,31,3
"S00136944",80,72,8
"S00136945",49,47,1
"S00136946",47,46,-
"S00136947",65,60,5
"S00136948",73,69,4
"S00136949",77,68,7
"S00136950",69,67,2
"S00136951",38,37,1
"S00136952",47,47,-
"S00136953",77,77,-
"S00136954",52,45,8
"S00136955",67,63,4
"S00136956",56,52,4
"S00136957",47,46,1
"S00136958",87,80,9
"S00136959",45,40,5
"S00136960",49,49,-
"S00136961",66,65,-
"S00136962",54,53,1
"S00136963",57,55,2
"S00136964",48,44,3
"S00136965",46,42,4
"S00136966",62,56,6
"S00136967",49,45,3
"S00136968",66,60,6
"S00136969",65,61,4
"S00136970",71,73,-
"S00136971",62,61,1
"S00136972",47,42,4
"S00136973",73,73,-
"S00136974",68,65,1
"S00136975",54,52,5
"S00136976",48,45,3
"S00136977",68,62,5
"S00136978",56,55,3
"S00136979",77,71,6
"S00136980",64,61,3
"S00136981",46,40,4
"S00136982",63,56,7
"S00136983",80,75,9
"S00136984",76,71,5
"S00136985",59,57,2
"S00136986",78,77,4
"S00136987",38,37,4
"S00136988",48,46,2
"S00136989",39,36,3
"S00136990",58,52,6
"S00136991",70,70,-
"S00136992",46,43,3
"S00136993",48,44,4
"S00136994",26,21,5
"S00136995",70,64,6
"S00136996",40,36,1
"S00136997",34,32,2
"S00136998",73,72,1
"S00136999",45,42,4
"S00137000",38,38,-
"S00137001",53,50,3
"S00137002",46,45,4
"S00137003",56,53,3
"S00137004",53,51,3
"S00137005",36,36,-
"S00137006",73,74,2
"S00137007",42,39,3
"S00137008",46,45,2
"S00137009",67,64,3
"S00137010",51,51,-
"S00137011",71,70,2
"S00137012",76,70,6
"S00137013",64,62,5
"S00137014",51,45,6
"S00137015",39,39,-
"S00137016",65,61,4
"S00137017",43,40,3
"S00137018",47,47,-
"S00137019",70,64,6
"S00137020",41,39,2
"S00137021",39,35,2
"S00137022",44,41,3
"S00137023",41,39,2
"S00137024",72,69,3
"S00137025",67,67,2
"S00137026",42,35,4
"S00137027",54,47,4
"S00137028",50,51,3
"S00137029",44,40,4
"S00137030",70,65,5
"S00137031",56,52,4
"S00137032",60,57,4
"S00137033",58,57,3
"S00137034",36,34,2
"S00137035",76,66,10
"S00137036",41,39,4
"S00137037",38,39,1
"S00137038",41,35,6
"S00137039",48,40,8
"S00137040",49,47,2
"S00137041",59,50,6
"S00137042",57,55,2
"S00137043",60,58,1
"S00137044",49,49,-
"S00137045",36,34,1
"S00137046",62,61,1
"S00137047",26,25,1
"S00137048",43,41,4
"S00137049",50,48,2
"S00137050",66,62,4
"S00137051",38,36,2
"S00137052",45,43,2
"S00137053",65,62,1
"S00137054",61,56,2
"S00137055",56,52,5
"S00137056",49,45,4
"S00137057",45,44,3
"S00137058",34,32,4
"S00137059",78,72,6
"S00137060",28,28,-
"S00137061",66,62,4
"S00137062",72,67,6
"S00137063",51,46,5
"S00137064",75,70,5
"S00137065",78,76,-
"S00137066",43,41,2
"S00137067",77,76,2
"S00137068",53,50,2
"S00137069",60,59,1
"S00137070",80,75,5
"S00137071",29,26,2
"S00137072",57,52,7
"S00137073",68,62,6
"S00137074",64,59,5
"S00137075",37,31,4
"S00137076",73,69,4
"S00137077",73,69,4
"S00137078",31,30,1
"S00137079",34,33,1
"S00137080",44,42,2
"S00137081",60,60,-
"S00137082",60,57,3
"S00137083",64,62,4
"S00137084",45,46,3
"S00137085",63,58,3
"S00137086",68,61,5
"S00137087",61,54,12
"S00137088",44,43,1
"S00137089",32,32,-
"S00137090",49,46,4
"S00137091",44,42,2
"S00137092",58,50,7
"S00137093",66,62,4
"S00137094",43,41,2
"S00137095",47,42,5
"S00137096",42,38,4
"S00137097",35,35,-
"S00137098",59,57,2
"S00137099",34,31,3
"S00137100",64,58,6
"S00137101",88,76,14
"S00137102",49,47,2
"S00137103",71,70,4
"S00137104",70,67,4
"S00137105",58,57,1
"S00137106",62,58,4
"S00137107",73,63,10
"S00137108",42,40,4
"S00137109",44,40,4
"S00137110",53,45,7
"S00137111",41,39,3
"S00137112",43,37,6
"S00137113",40,37,3
"S00137114",40,43,1
"S00137115",51,48,3
"S00137116",48,42,6
"S00137117",40,38,2
"S00137118",41,38,3
"S00137119",73,70,3
"S00137120",41,38,2
"S00137121",46,45,1
"S00137122",56,53,7
"S00137123",44,41,4
"S00137124",60,54,6
"S00137125",46,42,4
"S00137126",47,41,6
"S00137127",71,69,2
"S00137128",27,24,4
"S00137129",50,48,2
"S00137130",30,26,4
"S00137131",36,31,2
"S00137132",55,53,1
"S00137133",48,41,7
"S00137134",45,43,4
"S00137135",43,40,4
"S00137136",25,25,-
"S00137137",40,38,2
"S00137138",39,35,4
"S00137139",55,51,2
"S00137140",37,36,1
"S00137141",75,71,4
"S00137142",69,64,5
"S00137143",48,46,-
"S00137144",47,46,1
"S00137145",58,46,12
"S00137146",71,71,-
"S00137147",39,36,3
"S00137148",34,29,2
"S00137149",29,25,1
"S00137150",78,69,9
"S00137151",79,77,2
"S00137152",47,43,4
"S00137153",51,50,1
"S00137154",35,33,2
"S00137155",45,40,5
"S00137156",31,31,-
"S00137157",55,50,6
"S00137158",65,60,5
"S00137159",63,61,2
"S00137160",37,38,2
"S00137161",65,60,6
"S00137162",51,45,6
"S00137163",59,55,4
"S00137164",62,58,4
"S00137165",55,57,2
"S00137166",34,27,4
"S00137167",55,53,2
"S00137168",73,66,6
"S00137169",47,46,1
"S00137170",77,74,3
"S00137171",33,28,5
"S00137172",54,54,-
"S00137173",64,60,4
"S00137174",62,61,-
"S00137175",86,81,4
"S00137176",66,63,3
"S00137177",49,46,3
"S00137178",37,35,-
"S00137179",81,78,1
"S00137180",80,75,5
"S00137181",51,46,6
"S00137182",42,41,1
"S00137183",72,66,6
"S00137184",35,35,2
"S00137185",65,63,2
"S00137186",78,74,4
"S00137187",79,72,8
"S00137188",56,50,2
"S00137189",32,29,4
"S00137190",49,47,2
"S00137191",59,58,-
"S00137192",84,79,5
"S00137193",41,43,2
"S00137194",45,45,-
"S00137195",51,49,2
"S00137196",71,70,1
"S00137197",76,72,1
"S00137198",65,64,2
"S00137199",46,49,1
"S00137200",60,58,3
"S00137201",61,57,4
"S00137202",48,43,4
"S00137203",69,68,2
"S00137204",40,37,3
"S00137205",74,71,5
"S00137206",58,54,4
"S00137207",40,35,5
"S00137208",37,30,7
"S00137209",41,41,-
"S00137210",58,56,4
"S00137211",68,63,5
"S00137212",45,40,3
"S00137213",82,77,3
"S00137214",64,60,4
"S00137215",38,32,6
"S00137216",45,43,1
"S00137217",51,49,6
"S00137218",55,53,3
"S00137219",35,35,3
"S00137220",32,32,-
"S00137221",40,38,4
"S00137222",26,26,-
"S00137223",44,41,3
"S00137224",39,37,2
"S00137225",37,33,3
"S00137226",46,43,4
"S00137227",44,44,-
"S00137228",57,51,3
"S00137229",51,49,-
"S00137230",58,51,7
"S00137231",51,46,3
"S00137232",54,52,2
"S00137233",61,60,2
"S00137234",39,39,1
"S00137235",48,44,4
"S00137236",51,48,3
"S00137237",44,42,2
"S00137238",34,32,2
"S00137239",30,30,-
"S00137240",50,48,2
"S00137241",49,46,3
"S00137242",55,54,-
"S00137243",35,32,1
"S00137244",66,62,4
"S00137245",44,43,1
"S00137246",65,66,3
"S00137247",55,50,5
"S00137248",56,56,-
"S00137249",34,32,2
"S00137250",64,63,1
"S00137251",90,90,2
"S00137252",61,56,4
"S00137253",58,58,-
"S00137254",49,44,2
"S00137255",50,42,5
"S00137256",52,45,5
"S00137257",59,60,2
"S00137258",74,72,3
"S00137259",64,61,3
"S00137260",52,51,1
"S00137261",35,31,3
"S00137262",39,36,1
"S00137263",51,48,3
"S00137264",48,44,4
"S00137265",77,75,5
"S00137266",57,55,1
"S00137267",52,46,3
"S00137268",35,35,-
"S00137269",45,42,1
"S00137270",64,55,11
"S00137271",44,39,5
"S00137272",43,37,3
"S00137273",49,45,1
"S00137274",34,30,4
"S00137275",67,59,9
"S00137276",61,57,4
"S00137277",79,75,3
"S00137278",65,64,2
"S00137279",71,64,7
"S00137280",86,81,8
"S00137281",59,54,5
"S00137282",41,38,3
"S00137283",45,36,7
"S00137284",78,73,7
"S00137285",31,30,3
"S00137286",61,58,3
"S00137287",56,51,5
"S00137288",69,64,5
"S00137289",66,64,2
"S00137290",73,68,5
"S00137291",60,60,-
"S00137292",48,44,4
"S00137293",72,66,6
"S00137294",65,65,-
"S00137295",71,72,1
"S00137296",69,62,7
"S00137297",56,52,4
"S00137298",46,43,3
"S00137299",47,47,-
"S00137300",48,44,3
"S00137301",70,67,5
"S00137302",61,60,2
"S00137303",42,42,1
"S00137304",56,50,2
"S00137305",52,52,-
"S00137306",73,70,3
"S00137307",72,68,4
"S00137308",48,41,2
"S00137309",80,80,-
"S00137310",63,58,5
"S00137311",59,56,1
"S00137312",72,71,2
"S00137313",45,44,1
"S00137314",66,59,3
"S00137315",39,39,-
"S00137316",66,66,-
"S00137317",47,45,4
"S00137318",59,57,2
"S00137319",72,70,2
"S00137320",63,57,6
"S00137321",79,76,1
"S00137322",53,52,1
"S00137323",25,24,1
"S00137324",52,48,4
"S00137325",60,56,6
"S00137326",93,89,6
"S00137327",83,70,9
"S00137328",56,54,2
"S00137329",27,27,-
"S00137330",67,56,12
"S00137331",70,65,7
"S00137332",75,73,2
"S00137333",54,49,5
"S00137334",67,60,7
"S00137335",68,63,5
"S00137336",43,42,-
"S00137337",73,66,7
"S00137338",61,57,4
"S00137339",54,49,7
"S00137340",60,56,4
"S00137341",72,71,1
"S00137342",37,34,3
"S00137343",93,83,10
"S00137344",40,39,2
"S00137345",71,67,2
"S00137346",65,60,4
"S00137347",51,47,5
"S00137348",53,49,2
"S00137349",54,51,3
"S00137350",42,39,3
"S00137351",29,25,4
"S00137352",50,41,9
"S00137353",33,28,5
"S00137354",36,33,3
"S00137355",32,34,1
"S00137356",58,61,1
"S00137357",47,43,4
"S00137358",68,62,9
"S00137359",57,52,5
"S00137360",66,62,4
"S00137361",41,39,3
"S00137362",76,77,3
"S00137363",56,55,-
"S00137364",56,47,6
"S00137365",66,68,1
"S00137366",50,45,5
"S00137367",70,70,-
"S00137368",30,26,-
"S00137369",68,68,-
"S00137370",43,37,6
"S00137371",27,27,-
"S00137372",72,65,10
"S00137373",72,68,4
"S00137374",33,33,-
"S00137375",64,58,6
"S00137376",45,45,1
"S00137377",59,55,3
"S00137378",61,59,2
"S00137379",58,58,1
"S00137380",77,69,9
"S00137381",41,37,5
"S00137382",49,42,7
"S00137383",82,81,1
"S00137384",63,59,4
"S00137385",50,46,4
"S00137386",71,73,2
"S00137387",72,64,8
"S00137388",89,82,4
"S00137389",38,37,5
"S00137390",42,38,1
"S00137391",70,64,6
"S00137392",52,48,4
"S00137393",68,62,6
"S00137394",39,37,-
"S00137395",71,68,3
"S00137396",32,26,6
"S00137397",31,27,2
"S00137398",42,33,5
"S00137399",65,60,5
"S00137400",81,79,2
"S00137401",69,61,8
"S00137402",55,54,1
"S00137403",61,58,3
"S00137404",50,45,5
"S00137405",36,35,1
"S00137406",39,36,2
"S00137407",40,40,-
"S00137408",39,34,4
"S00137409",41,37,6
"S00137410",71,65,6
"S00137411",75,65,10
"S00137412",67,60,7
"S00137413",33,36,1
"S00137414",45,45,-
"S00137415",74,71,3
"S00137416",51,50,4
"S00137417",29,31,2
"S00137418",39,35,-
"S00137419",73,63,6
"S00137420",79,74,5
"S00137421",50,46,5
"S00137422",69,69,-
"S00137423",52,49,5
"S00137424",54,50,4
"S00137425",26,26,-
"S00137426",65,60,5
"S00137427",61,57,4
"S00137428",41,38,3
"S00137429",42,42,-
"S00137430",65,63,1
"S00137431",38,36,2
"S00137432",55,55,-
"S00137433",56,55,1
"S00137434",84,73,11
"S00137435",51,47,4
"S00137436",53,50,2
"S00137437",85,82,3
"S00137438",65,60,5
"S00137439",33,33,-
"S00137440",50,45,5
"S00137441",26,26,-
