Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00156268",69,8,17,7,6,18,13
"S00156269",77,4,7,6,12,13,37
"S00156270",112,30,23,13,6,15,22
"S00156271",58,12,11,6,8,10,14
"S00156272",89,6,28,13,9,17,15
"S00156273",73,11,17,12,7,10,16
"S00156274",95,27,23,9,7,21,11
"S00156275",105,10,32,14,11,22,16
"S00156276",80,17,18,6,6,12,21
"S00156277",71,11,14,7,13,12,14
"S00156278",71,20,14,7,11,8,6
"S00156279",101,7,17,8,6,18,44
"S00156280",92,9,23,13,11,16,20
"S00156281",112,18,17,10,13,17,37
"S00156282",81,8,24,8,16,18,14
"S00156283",153,9,17,15,14,21,75
"S00156284",137,14,33,12,17,17,47
"S00156285",62,18,12,2,7,12,14
"S00156286",106,8,9,12,9,19,49
"S00156287",73,6,12,5,9,10,31
"S00156288",92,22,26,7,5,14,21
"S00156289",73,5,11,7,7,12,33
"S00156290",110,8,15,16,5,11,56
"S00156291",143,19,35,12,8,23,48
"S00156292",68,6,13,14,7,16,11
"S00156293",66,13,14,7,10,4,22
"S00156294",120,4,25,15,2,24,49
"S00156295",72,4,11,12,8,24,22
"S00156296",81,10,16,16,7,10,26
"S00156297",100,35,22,6,9,15,11
"S00156298",117,18,34,20,6,25,18
"S00156299",99,9,14,12,4,9,50
"S00156300",105,4,17,8,4,17,53
"S00156301",123,18,21,15,15,20,35
"S00156302",85,6,14,16,9,13,30
"S00156303",59,2,-,12,2,8,34
"S00156304",130,21,35,14,11,17,29
"S00156305",75,9,13,12,4,6,25
"S00156306",66,5,7,7,5,11,30
"S00156307",125,18,37,14,12,16,31
"S00156308",172,6,39,28,20,26,55
"S00156309",91,5,13,13,15,15,34
"S00156310",143,18,25,22,18,26,34
"S00156311",75,19,20,7,7,12,13
"S00156312",83,12,11,6,10,18,26
"S00156313",66,12,15,6,5,6,22
"S00156314",64,-,2,9,2,8,41
"S00156315",156,13,35,24,18,32,37
"S00156316",89,7,15,7,4,15,41
"S00156317",141,34,39,10,10,16,31
"S00156318",95,12,17,7,16,13,33
"S00156319",79,5,9,8,6,14,36
"S00156320",122,27,10,13,7,11,57
"S00156321",62,8,16,9,5,11,11
"S00156322",154,11,36,20,8,28,47
"S00156323",129,14,14,11,7,20,65
"S00156324",56,5,23,7,4,7,11
"S00156325",146,12,20,22,9,14,71
"S00156326",95,7,19,9,13,12,35
"S00156327",199,5,32,29,10,27,93
"S00156328",115,15,16,13,11,13,47
"S00156329",71,11,23,4,5,11,17
"S00156330",157,7,25,23,6,29,68
"S00156331",71,9,12,12,8,8,25
"S00156332",66,7,21,4,7,14,7
"S00156333",90,10,10,7,9,19,35
"S00156334",64,10,11,5,6,12,17
"S00156335",93,9,22,12,19,14,21
"S00156336",66,5,14,4,11,6,21
"S00156337",95,7,15,20,11,13,31
"S00156338",123,16,22,10,15,26,40
"S00156339",73,8,8,6,5,10,36
"S00156340",87,10,11,12,8,20,32
"S00156341",173,43,55,10,13,21,31
"S00156342",179,11,20,16,2,35,93
"S00156343",143,40,39,8,15,20,25
"S00156344",87,15,15,7,13,13,21
"S00156345",111,6,18,19,6,15,54
"S00156346",138,20,24,2,13,12,66
"S00156347",100,16,19,10,13,15,27
"S00156348",126,7,15,13,7,23,53
"S00156349",78,5,12,13,4,16,28
"S00156350",126,43,31,5,17,12,19
"S00156351",121,6,17,15,6,12,66
"S00156352",109,6,27,13,10,15,36
"S00156353",88,4,9,10,7,14,44
"S00156354",94,6,21,10,9,16,32
"S00156355",107,16,25,11,14,20,21
"S00156356",97,9,19,11,15,12,31
"S00156357",88,11,12,6,15,17,35
"S00156358",124,21,28,14,8,19,27
"S00156359",168,15,30,28,11,22,59
"S00156360",147,11,25,20,12,26,51
"S00156361",154,13,25,31,20,17,51
"S00156362",104,13,12,12,11,19,34
"S00156363",123,6,18,18,3,22,53
"S00156364",123,15,28,12,10,22,33
"S00156365",73,11,15,5,9,10,23
"S00156366",90,9,14,13,10,16,28
"S00156367",97,6,26,8,3,21,31
"S00156368",85,7,14,10,6,10,45
"S00156369",88,18,12,13,13,11,24
"S00156370",142,7,21,17,14,29,54
"S00156371",127,7,21,18,6,16,60
"S00156372",104,7,19,9,9,13,51
"S00156373",129,3,19,10,8,20,69
"S00156374",106,5,20,12,2,9,57
"S00156375",60,11,13,5,9,5,15
"S00156376",114,8,19,19,3,22,41
"S00156377",122,11,15,7,13,18,58
"S00156378",86,4,12,6,13,17,31
"S00156379",137,9,29,21,5,16,57
"S00156380",74,-,8,11,1,5,47
"S00156381",63,2,10,10,3,11,27
"S00156382",99,25,12,6,9,18,30
"S00156383",79,5,16,5,9,16,28
"S00156384",128,10,25,13,9,24,50
"S00156385",69,9,18,11,7,11,13
"S00156386",106,26,20,5,6,21,24
"S00156387",129,17,22,17,13,19,40
"S00156388",73,15,9,10,10,8,21
"S00156389",65,7,15,4,11,10,18
"S00156390",138,18,31,15,15,22,38
"S00156391",150,15,23,16,14,24,54
"S00156392",129,18,25,13,9,17,40
"S00156393",150,9,14,33,10,26,57
"S00156394",140,8,16,17,10,19,66
"S00156395",94,12,24,12,8,14,25
"S00156396",79,22,13,6,4,8,22
"S00156397",85,15,14,9,10,14,23
"S00156398",61,2,12,7,7,11,22
"S00156399",94,15,38,6,3,16,16
"S00156400",96,12,20,7,10,16,31
"S00156401",116,21,20,13,8,22,33
"S00156402",111,17,28,13,5,14,33
"S00156403",126,10,12,15,7,20,61
"S00156404",78,6,10,10,3,3,46
"S00156405",56,5,21,5,2,5,16
"S00156406",94,10,15,15,11,12,34
"S00156407",147,29,53,26,14,14,11
"S00156408",109,6,16,7,4,8,72
"S00156409",74,18,15,8,3,11,15
"S00156410",93,11,25,8,18,13,20
"S00156411",77,14,21,8,7,10,15
"S00156412",154,10,38,15,12,20,63
"S00156413",80,3,3,6,1,7,60
"S00156414",133,14,22,18,4,20,52
"S00156415",95,7,13,5,2,19,57
"S00156416",69,16,8,6,6,11,16
"S00156417",79,13,8,11,8,9,28
"S00156418",187,4,29,28,8,23,92
"S00156419",77,18,19,13,3,16,9
"S00156420",84,6,19,14,1,8,35
"S00156421",116,6,21,11,8,24,47
"S00156422",131,10,18,23,4,24,51
"S00156423",110,5,24,12,5,13,48
"S00156424",103,7,18,10,11,10,50
"S00156425",136,3,18,13,12,24,65
"S00156426",90,1,15,14,1,9,50
"S00156427",94,9,11,13,2,23,35
"S00156428",64,4,3,9,6,10,34
"S00156429",138,10,7,7,6,10,94
"S00156430",161,12,24,17,11,23,81
"S00156431",116,9,13,5,1,12,71
"S00156432",144,8,28,18,8,21,61
"S00156433",48,2,8,6,4,12,16
"S00156434",109,1,15,12,2,23,56
"S00156435",65,9,5,5,3,9,37
"S00156436",91,-,8,10,8,22,43
"S00156437",116,7,16,11,9,23,52
"S00156438",117,7,18,11,7,14,60
"S00156439",131,7,24,9,7,21,63
"S00156440",77,4,8,11,10,11,32
"S00156441",89,2,19,11,5,19,36
"S00156442",63,10,8,7,7,5,24
"S00156443",144,-,21,27,12,14,71
"S00156444",67,4,3,12,4,13,34
"S00156445",86,4,6,4,6,2,64
"S00156446",76,2,12,9,2,15,32
"S00156447",57,7,4,3,-,2,41
"S00156448",96,5,11,10,6,16,48
"S00156449",143,27,39,15,9,24,29
"S00156450",87,-,8,6,4,6,67
"S00156451",183,10,27,21,9,28,86
"S00156452",153,8,15,20,8,26,75
"S00156453",133,7,26,15,2,13,66
"S00156454",137,4,22,22,4,27,57
"S00156455",92,-,7,15,5,7,57
"S00156456",96,19,16,16,5,26,13
"S00156457",71,5,17,8,3,5,33
"S00156458",107,7,19,7,15,21,38
"S00156459",117,10,21,10,6,16,51
"S00156460",88,6,6,9,-,8,62
"S00156461",177,13,24,30,8,32,74
"S00156462",74,6,19,11,1,12,17
"S00156463",113,3,10,21,6,12,59
"S00156464",115,12,18,16,4,22,43
"S00156465",106,12,25,14,9,21,25
"S00156466",110,23,30,13,9,13,16
"S00156467",111,17,36,12,11,10,25
"S00156468",81,13,19,3,11,20,17
"S00156469",112,18,34,10,8,22,25
"S00156470",58,9,11,6,6,14,15
"S00156471",70,17,18,7,9,8,9
"S00156472",88,21,21,12,8,6,19
"S00156473",88,24,19,10,10,12,10
"S00156474",156,9,21,34,13,21,54
"S00156475",94,23,19,12,7,15,18
"S00156476",107,22,30,5,13,17,16
"S00156477",65,10,13,11,4,14,13
"S00156478",104,19,30,7,16,19,19
"S00156479",67,7,16,6,10,12,12
"S00156480",111,34,25,6,14,19,13
"S00156481",106,20,35,12,7,17,15
"S00156482",71,11,15,6,12,8,19
"S00156483",111,12,27,9,14,27,22
"S00156484",98,5,19,13,7,17,37
"S00156485",96,22,30,7,11,15,14
"S00156486",93,17,18,13,9,13,23
"S00156487",77,24,13,8,11,10,7
"S00156488",75,13,17,7,15,13,10
"S00156489",126,19,29,13,16,19,28
"S00156490",127,11,17,13,7,18,58
"S00156491",81,19,18,11,5,16,16
"S00156492",55,6,15,7,7,11,10
"S00156493",103,24,27,8,13,17,19
"S00156494",103,31,40,8,4,16,7
"S00156495",112,21,24,5,11,25,26
"S00156496",89,20,22,12,8,15,15
"S00156497",150,27,39,18,11,22,30
"S00156498",95,13,18,10,12,22,16
"S00156499",164,15,47,24,19,32,28
"S00156500",117,9,16,18,9,23,47
"S00156501",140,23,26,17,14,19,41
"S00156502",56,10,11,7,8,11,9
"S00156503",82,14,22,13,13,15,8
"S00156504",60,10,16,6,7,6,11
"S00156505",122,12,22,19,8,16,45
"S00156506",124,7,17,11,11,15,58
"S00156507",68,13,22,8,10,10,6
"S00156508",110,11,33,18,11,17,21
"S00156509",107,23,31,16,5,21,19
"S00156510",104,25,28,17,3,20,12
"S00156511",128,16,16,11,13,22,45
"S00156512",82,12,23,10,10,7,18
"S00156513",97,25,27,5,6,18,12
"S00156514",80,16,19,7,10,10,19
"S00156515",64,6,8,8,7,11,24
"S00156516",104,16,29,16,3,16,24
"S00156517",111,23,21,12,7,14,38
"S00156518",67,10,19,-,8,15,14
"S00156519",85,6,8,7,4,15,40
"S00156520",63,9,12,9,5,11,19
"S00156521",94,12,13,4,3,9,50
"S00156522",79,15,14,5,13,11,24
"S00156523",121,19,23,13,12,26,28
"S00156524",106,12,13,14,5,13,50
"S00156525",64,5,20,8,6,11,14
"S00156526",113,19,29,14,13,24,14
"S00156527",111,23,37,11,6,18,10
"S00156528",53,13,12,7,2,12,10
"S00156529",59,12,7,1,1,8,30
"S00156530",70,9,11,14,11,10,17
"S00156531",115,17,17,8,14,12,48
"S00156532",54,7,10,-,15,7,21
"S00156533",98,24,24,5,9,10,23
"S00156534",80,15,20,5,3,20,19
"S00156535",83,16,16,12,5,13,17
"S00156536",174,16,28,27,7,20,76
"S00156537",126,24,41,10,14,20,17
"S00156538",134,17,24,16,9,27,43
"S00156539",99,4,9,13,6,20,47
"S00156540",99,24,31,12,10,12,10
"S00156541",69,12,17,8,14,11,8
"S00156542",87,13,22,10,5,14,20
"S00156543",119,7,15,13,7,22,57
"S00156544",106,13,18,9,12,16,38
"S00156545",78,19,22,6,8,19,10
"S00156546",120,9,23,31,14,25,24
"S00156547",78,10,20,10,7,23,12
"S00156548",87,14,21,16,8,14,15
"S00156549",60,8,8,5,8,8,24
"S00156550",81,8,20,1,7,9,33
"S00156551",79,13,23,6,6,15,15
"S00156552",89,19,23,13,9,14,11
"S00156553",116,21,24,10,14,17,31
"S00156554",113,27,31,7,11,18,19
"S00156555",61,8,11,6,1,12,17
"S00156556",59,7,10,10,10,7,14
"S00156557",110,17,13,9,7,17,51
"S00156558",107,6,19,11,12,19,40
"S00156559",131,12,30,25,17,19,25
"S00156560",92,22,21,11,8,15,13
"S00156561",132,19,39,12,11,29,22
"S00156562",95,9,9,8,3,14,46
"S00156563",71,3,13,12,5,15,23
"S00156564",130,11,17,15,10,9,67
"S00156565",104,10,25,9,12,15,32
"S00156566",207,15,30,51,16,32,63
"S00156567",105,12,26,11,4,13,39
"S00156568",130,6,19,16,12,22,55
"S00156569",88,16,17,13,7,11,24
"S00156570",87,11,9,4,5,18,34
"S00156571",66,9,17,8,4,8,18
"S00156572",89,4,15,10,3,13,38
"S00156573",114,13,26,13,10,15,34
"S00156574",50,2,11,9,3,10,15
"S00156575",98,48,25,6,3,7,8
"S00156576",110,3,16,15,5,12,59
"S00156577",60,16,7,6,6,10,9
"S00156578",77,21,18,7,12,8,9
"S00156579",78,28,14,8,10,9,9
"S00156580",72,15,23,8,8,11,11
"S00156581",53,12,23,-,5,8,4
"S00156582",82,1,8,13,8,10,45
"S00156583",94,3,17,16,7,11,37
"S00156584",122,5,18,18,6,16,58
"S00156585",123,45,28,8,11,16,17
"S00156586",113,8,23,15,15,16,33
"S00156587",78,19,26,10,4,12,8
"S00156588",98,29,30,8,4,15,18
"S00156589",59,10,14,8,11,13,12
"S00156590",104,8,6,13,1,17,56
"S00156591",84,7,14,11,6,20,26
"S00156592",94,5,6,5,4,10,61
"S00156593",130,15,31,21,6,13,44
"S00156594",63,12,10,9,6,5,23
"S00156595",89,7,18,10,5,13,36
"S00156596",114,25,33,12,10,23,14
"S00156597",137,24,46,15,8,22,17
"S00156598",88,7,6,10,2,16,47
"S00156599",76,4,6,10,5,8,43
"S00156600",72,4,8,9,6,4,41
"S00156601",74,6,14,8,6,18,22
"S00156602",57,2,7,5,3,5,35
"S00156603",77,19,21,4,10,10,13
"S00156604",105,10,21,11,2,21,41
"S00156605",184,10,34,23,15,28,76
"S00156606",123,29,30,9,13,19,23
"S00156607",112,11,17,25,12,16,31
"S00156608",94,-,17,7,4,10,51
"S00156609",105,6,16,18,3,10,52
"S00156610",99,31,21,9,9,15,14
"S00156611",123,17,20,17,10,13,50
"S00156612",179,14,44,23,10,30,60
"S00156613",89,2,16,19,10,15,27
"S00156614",72,11,21,8,4,12,13
"S00156615",94,23,26,14,11,11,10
"S00156616",115,10,18,13,3,18,53
"S00156617",54,4,9,6,12,8,16
"S00156618",124,27,36,11,13,14,21
"S00156619",130,29,31,15,17,17,21
"S00156620",106,19,21,11,8,10,37
"S00156621",66,8,16,7,4,9,24
"S00156622",98,10,17,10,7,22,32
"S00156623",127,7,23,12,6,18,57
"S00156624",89,16,28,15,6,9,11
"S00156625",66,6,14,10,4,13,19
"S00156626",72,12,20,6,3,13,14
"S00156627",89,7,16,13,2,8,41
"S00156628",137,9,30,25,14,11,52
"S00156629",90,11,20,10,8,19,23
"S00156630",69,6,10,8,2,6,41
"S00156631",116,15,27,8,7,17,42
"S00156632",127,24,21,15,17,23,32
"S00156633",86,11,14,11,8,15,27
"S00156634",74,8,14,15,8,15,14
"S00156635",79,15,19,10,9,12,14
"S00156636",83,5,23,11,8,13,27
"S00156637",117,27,43,12,7,15,12
"S00156638",95,22,18,9,17,12,21
"S00156639",150,25,64,17,7,16,21
"S00156640",56,12,17,6,2,10,7
"S00156641",145,16,42,27,13,32,19
"S00156642",90,20,17,13,4,17,13
"S00156643",78,9,6,6,4,4,53
"S00156644",73,5,13,9,7,16,25
"S00156645",106,17,26,9,7,21,26
"S00156646",103,20,33,14,6,8,18
"S00156647",99,23,27,11,10,19,14
"S00156648",123,3,19,16,6,28,51
"S00156649",139,2,23,13,8,26,64
"S00156650",134,6,13,21,8,16,78
"S00156651",83,16,19,7,5,12,19
"S00156652",107,13,12,12,5,18,46
"S00156653",50,4,10,10,5,5,15
"S00156654",61,9,6,5,6,4,32
"S00156655",90,30,15,3,18,13,15
"S00156656",98,11,19,7,8,19,34
"S00156657",162,14,29,23,10,34,50
"S00156658",140,16,25,13,11,16,58
"S00156659",164,32,20,18,13,23,60
"S00156660",68,24,13,6,5,8,12
"S00156661",55,19,13,6,2,8,8
"S00156662",94,18,20,17,5,7,27
"S00156663",121,20,37,11,13,17,22
"S00156664",111,7,29,11,14,14,37
"S00156665",61,3,10,6,3,13,28
"S00156666",84,24,28,4,4,10,18
"S00156667",139,31,38,15,10,14,31
"S00156668",142,30,41,15,12,25,19
"S00156669",149,9,12,15,7,31,74
"S00156670",110,16,28,9,13,23,22
"S00156671",72,7,13,10,7,18,16
"S00156672",72,15,22,8,8,9,7
"S00156673",93,34,13,3,10,10,23
"S00156674",88,19,9,13,10,11,29
"S00156675",103,19,35,12,4,15,18
"S00156676",113,15,29,16,9,25,19
"S00156677",71,9,13,-,5,12,19
"S00156678",89,23,15,6,5,18,12
"S00156679",45,6,13,1,3,10,12
"S00156680",58,5,12,10,3,13,13
"S00156681",91,7,10,16,5,12,40
"S00156682",69,29,19,2,3,7,9
"S00156683",73,8,11,4,8,10,30
"S00156684",114,25,27,13,7,17,25
"S00156685",103,22,33,12,9,11,16
"S00156686",86,21,17,16,5,10,17
"S00156687",68,9,15,11,4,12,19
"S00156688",106,7,7,12,6,16,54
"S00156689",66,12,11,2,8,15,17
"S00156690",88,2,9,10,4,15,45
"S00156691",78,3,13,13,9,6,36
"S00156692",50,11,14,8,4,6,7
"S00156693",68,18,22,6,5,6,11
"S00156694",187,9,27,18,10,23,96
"S00156695",49,12,8,10,6,8,9
"S00156696",123,8,16,12,7,13,67
"S00156697",96,15,16,13,7,12,34
"S00156698",110,6,20,9,6,11,52
"S00156699",63,5,8,9,3,8,29
"S00156700",83,7,13,10,5,14,34
"S00156701",100,8,32,8,7,15,33
"S00156702",82,28,24,3,5,9,9
"S00156703",64,6,7,12,8,10,22
"S00156704",76,2,7,9,-,8,49
"S00156705",125,31,34,17,10,18,14
"S00156706",103,12,26,14,7,20,23
"S00156707",109,5,11,13,2,6,75
"S00156708",139,15,20,13,2,23,64
"S00156709",93,3,13,9,2,8,57
"S00156710",110,39,20,11,11,12,16
"S00156711",102,20,19,10,6,22,26
"S00156712",96,6,6,10,6,7,61
"S00156713",81,8,7,5,6,8,47
"S00156714",119,17,22,12,9,13,43
"S00156715",124,13,14,16,7,12,68
"S00156716",74,1,7,8,2,2,48
"S00156717",112,26,16,8,9,13,41
"S00156718",72,-,6,6,4,6,47
"S00156719",125,12,19,11,8,16,63
"S00156720",64,8,5,12,3,6,35
"S00156721",64,6,5,4,2,9,35
"S00156722",114,26,24,11,10,20,20
"S00156723",85,6,29,9,10,16,19
"S00156724",95,27,30,13,1,17,10
"S00156725",113,47,28,10,2,13,6
"S00156726",150,48,41,13,7,29,17
"S00156727",104,40,29,10,-,17,4
"S00156728",116,52,25,8,3,12,17
"S00156729",167,30,49,23,19,26,23
"S00156730",88,41,22,3,7,11,7
"S00156731",128,48,33,16,8,18,11
"S00156732",136,38,29,18,12,17,22
"S00156733",68,20,20,3,6,7,11
"S00156734",66,36,14,2,-,6,7
"S00156735",114,41,31,12,-,15,14
"S00156736",58,9,19,10,2,4,8
"S00156737",128,44,42,8,11,10,9
"S00156738",75,36,15,5,3,9,8
"S00156739",104,33,32,12,3,9,15
"S00156740",96,12,33,17,15,9,15
"S00156741",61,22,16,2,2,13,8
"S00156742",121,37,29,10,21,12,13
"S00156743",78,41,15,6,5,7,4
"S00156744",81,21,27,9,6,7,9
"S00156745",125,14,27,13,13,27,28
"S00156746",102,31,33,11,6,10,11
"S00156747",90,32,29,7,1,11,14
"S00156748",71,6,14,14,6,12,16
"S00156749",89,41,16,3,10,6,10
"S00156750",105,33,25,5,4,18,20
"S00156751",101,42,20,5,8,15,15
"S00156752",123,30,27,11,11,24,20
"S00156753",68,33,8,6,1,9,5
"S00156754",64,19,16,6,4,11,9
"S00156755",70,29,21,4,3,8,9
"S00156756",66,35,10,4,6,4,6
"S00156757",90,9,26,8,7,21,19
"S00156758",59,13,18,7,2,8,11
"S00156759",104,7,25,14,8,19,30
"S00156760",108,40,26,7,7,10,19
"S00156761",84,44,15,6,4,8,5
"S00156762",81,56,7,4,5,5,3
"S00156763",107,31,28,19,7,13,6
"S00156764",98,30,31,8,6,15,10
"S00156765",128,25,38,15,9,24,16
"S00156766",73,34,16,7,3,7,5
"S00156767",135,49,37,9,4,21,12
"S00156768",93,37,20,10,6,10,11
"S00156769",80,22,27,6,7,9,10
"S00156770",59,15,13,4,2,11,12
"S00156771",54,17,16,8,-,5,7
"S00156772",68,27,12,3,3,10,15
"S00156773",50,16,9,-,2,3,12
"S00156774",70,21,25,4,4,13,3
"S00156775",61,17,22,6,1,7,8
"S00156776",121,32,26,11,3,26,26
"S00156777",108,17,27,17,11,14,21
"S00156778",102,31,29,6,4,8,23
"S00156779",108,45,30,7,2,10,20
"S00156780",118,34,37,20,1,12,11
"S00156781",98,21,34,11,2,15,11
"S00156782",109,33,27,13,7,19,10
"S00156783",99,33,35,4,1,13,13
"S00156784",91,17,17,8,12,14,22
"S00156785",127,47,24,10,5,19,21
"S00156786",72,26,16,8,4,6,12
"S00156787",73,31,11,4,1,16,14
"S00156788",80,22,21,11,8,14,10
"S00156789",159,36,35,16,13,27,32
"S00156790",96,35,32,10,10,10,3
"S00156791",89,28,24,8,3,11,13
"S00156792",57,30,12,3,2,6,4
"S00156793",56,15,14,5,3,6,10
"S00156794",63,15,19,6,-,7,15
"S00156795",86,23,41,5,3,9,4
"S00156796",84,34,21,6,6,10,4
"S00156797",128,44,40,6,2,18,22
"S00156798",45,11,22,4,1,3,4
"S00156799",63,18,17,6,3,12,10
"S00156800",84,26,21,13,1,13,10
"S00156801",60,23,12,5,2,9,9
"S00156802",82,24,26,6,5,16,5
"S00156803",48,21,12,2,4,4,6
"S00156804",70,22,15,5,5,8,19
"S00156805",52,17,22,4,2,4,3
"S00156806",57,16,20,5,5,6,7
"S00156807",51,21,13,-,5,9,3
"S00156808",57,22,16,3,3,4,11
"S00156809",61,21,12,2,5,17,7
"S00156810",119,36,36,6,2,20,20
"S00156811",97,28,28,11,4,7,17
"S00156812",119,25,26,10,16,22,17
"S00156813",52,8,21,1,1,4,13
"S00156814",65,23,14,5,4,8,9
"S00156815",65,21,19,5,9,5,6
"S00156816",84,19,26,12,4,11,18
"S00156817",82,30,20,3,1,13,16
"S00156818",95,21,25,11,12,8,19
"S00156819",78,24,26,5,9,9,6
"S00156820",65,25,8,8,5,8,12
"S00156821",117,26,32,10,5,23,25
"S00156822",121,28,20,11,18,18,20
"S00156823",71,22,12,9,6,8,14
"S00156824",88,27,17,11,11,18,6
"S00156825",264,115,35,21,16,25,55
"S00156826",91,25,17,5,-,28,20
"S00156827",106,31,17,11,7,16,23
"S00156828",73,15,16,9,5,6,22
"S00156829",99,32,26,10,7,12,13
"S00156830",87,19,14,12,3,20,20
"S00156831",137,20,23,14,10,17,53
"S00156832",129,6,20,15,6,27,55
"S00156833",94,5,9,8,10,11,51
"S00156834",94,9,19,16,8,22,16
"S00156835",145,11,40,9,15,21,49
"S00156836",175,22,37,21,16,24,59
"S00156837",151,17,29,25,15,18,54
"S00156838",113,32,30,5,1,19,17
"S00156839",312,27,48,104,1,41,93
"S00156840",98,22,17,11,12,17,18
"S00156841",85,33,17,7,6,9,13
"S00156842",75,22,11,7,5,8,22
"S00156843",120,21,22,13,15,15,34
"S00156844",91,22,21,12,9,10,15
"S00156845",133,18,28,12,17,22,34
"S00156846",125,18,31,13,13,14,30
"S00156847",93,23,12,17,10,14,19
"S00156848",104,8,18,10,9,14,43
"S00156849",104,20,33,13,12,14,9
"S00156850",131,24,30,15,8,18,35
"S00156851",78,19,11,8,12,9,19
"S00156852",71,16,15,13,4,7,19
"S00156853",56,17,11,6,6,8,12
"S00156854",87,15,11,6,14,7,37
"S00156855",70,27,10,3,7,9,12
"S00156856",79,24,18,9,6,8,16
"S00156857",74,25,10,11,-,12,16
"S00156858",91,20,26,10,8,12,19
"S00156859",129,47,36,7,12,19,11
"S00156860",86,21,22,6,11,8,15
"S00156861",88,25,18,4,9,14,19
"S00156862",57,14,14,5,7,10,4
"S00156863",121,30,29,13,17,12,24
"S00156864",97,18,27,9,6,16,22
"S00156865",111,36,24,7,12,18,18
"S00156866",100,22,13,7,7,12,39
"S00156867",76,25,13,7,4,9,18
"S00156868",86,20,14,4,4,13,26
"S00156869",119,29,21,11,14,19,30
"S00156870",103,22,22,10,11,17,21
"S00156871",99,26,21,11,4,16,17
"S00156872",87,19,21,8,9,8,21
"S00156873",56,16,17,1,6,7,9
"S00156874",54,14,7,8,1,10,11
"S00156875",98,10,16,12,12,16,36
"S00156876",133,21,30,18,12,25,27
"S00156877",163,52,31,17,14,21,30
"S00156878",63,8,22,4,2,13,14
"S00156879",109,21,17,5,19,17,33
"S00156880",132,32,26,10,16,23,23
"S00156881",116,21,21,4,9,25,31
"S00156882",80,15,19,12,5,15,18
"S00156883",71,28,15,3,6,14,5
"S00156884",95,25,19,9,5,16,16
"S00156885",102,29,15,13,12,11,22
"S00156886",85,16,14,13,9,17,20
"S00156887",129,34,30,9,12,16,28
"S00156888",97,19,28,17,8,16,12
"S00156889",123,32,16,11,7,28,32
"S00156890",71,20,25,4,5,7,10
"S00156891",58,12,8,4,8,12,9
"S00156892",83,16,15,7,9,12,24
"S00156893",116,23,24,16,12,25,18
"S00156894",125,34,27,11,9,12,38
"S00156895",94,18,20,5,6,21,29
"S00156896",80,34,14,6,4,14,11
"S00156897",108,34,31,6,4,18,17
"S00156898",86,11,20,12,9,11,23
"S00156899",85,23,12,6,4,11,29
"S00156900",151,29,33,21,17,28,20
"S00156901",102,16,10,8,17,16,35
"S00156902",80,15,19,11,8,6,20
"S00156903",81,32,21,5,2,9,9
"S00156904",89,26,25,5,15,9,9
"S00156905",59,16,16,8,5,7,10
"S00156906",104,23,14,8,7,17,38
"S00156907",72,14,11,11,5,11,22
"S00156908",121,18,26,10,4,19,43
"S00156909",65,14,14,12,7,13,8
"S00156910",81,34,14,6,4,5,15
"S00156911",66,6,15,3,2,11,26
"S00156912",80,16,13,6,7,15,22
"S00156913",80,25,22,3,7,8,22
"S00156914",94,30,24,6,5,14,15
"S00156915",87,28,18,5,3,15,16
"S00156916",106,33,27,8,8,11,22
"S00156917",73,13,16,11,4,7,19
"S00156918",72,10,15,9,11,10,24
"S00156919",85,16,17,11,6,17,20
"S00156920",81,12,12,18,5,10,24
"S00156921",110,6,10,14,7,18,51
"S00156922",85,35,14,4,6,11,13
"S00156923",69,23,18,6,4,10,8
"S00156924",56,11,10,8,4,9,16
"S00156925",116,37,36,8,8,14,13
"S00156926",116,31,25,9,13,13,25
"S00156927",90,32,23,10,3,12,10
"S00156928",63,14,21,6,2,8,10
"S00156929",92,10,25,7,18,7,24
"S00156930",66,7,10,5,7,10,25
"S00156931",126,54,36,10,4,19,10
"S00156932",109,26,22,12,19,13,17
"S00156933",78,14,12,8,6,12,26
"S00156934",83,21,9,3,7,8,36
"S00156935",92,23,17,8,5,4,35
"S00156936",110,12,13,13,11,17,45
"S00156937",90,13,28,8,7,10,21
"S00156938",116,29,21,13,9,13,27
"S00156939",65,18,14,7,5,11,8
"S00156940",73,24,23,4,5,9,10
"S00156941",89,28,26,6,3,10,7
"S00156942",69,23,17,4,10,4,18
"S00156943",105,3,5,14,3,7,73
"S00156944",95,23,20,15,10,10,17
"S00156945",68,21,16,7,4,9,8
"S00156946",113,23,16,8,12,23,34
"S00156947",104,32,25,3,14,10,22
"S00156948",78,16,19,12,6,14,15
"S00156949",109,9,9,14,3,7,64
"S00156950",102,39,22,5,6,16,11
"S00156951",95,32,19,11,5,15,13
"S00156952",120,34,25,10,11,21,19
"S00156953",139,36,23,13,18,17,33
"S00156954",76,16,20,14,4,10,11
"S00156955",88,29,18,4,6,13,16
"S00156956",107,18,26,4,11,12,39
"S00156957",76,35,12,2,9,10,16
"S00156958",87,9,8,10,4,7,49
