Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00135782",7,3,-,4,-,-,-,-,-,-,-
"S00135783",23,4,10,10,2,-,-,-,-,-,-
"S00135784",26,8,10,3,4,-,-,-,-,-,-
"S00135785",11,4,5,2,1,-,-,-,-,-,-
"S00135786",49,17,22,6,3,-,-,-,-,-,1
"S00135787",17,5,6,4,3,-,-,-,-,-,-
"S00135788",14,4,6,4,-,-,-,-,-,-,-
"S00135789",18,2,12,4,-,-,-,-,-,-,-
"S00135790",30,10,15,2,-,-,-,-,-,-,-
"S00135791",22,9,13,2,1,-,-,-,-,-,-
"S00135792",30,8,9,9,4,-,-,-,-,-,-
"S00135793",25,1,18,4,2,-,-,-,-,-,-
"S00135794",33,-,10,16,6,-,-,-,-,-,-
"S00135795",21,5,16,1,-,-,-,-,-,-,-
"S00135796",22,1,5,11,3,-,-,-,-,-,-
"S00135797",129,20,86,12,9,-,-,-,-,1,1
"S00135798",22,3,9,4,3,-,-,-,-,-,-
"S00135799",64,15,25,22,2,-,-,-,-,-,-
"S00135800",27,1,6,10,4,2,2,-,-,-,-
"S00135801",14,5,8,1,-,-,-,-,-,-,-
"S00135802",29,12,10,6,4,-,-,-,-,-,-
"S00135803",24,6,10,6,3,-,-,-,-,-,-
"S00135804",21,4,14,5,2,-,-,-,-,-,-
"S00135805",16,6,9,-,-,-,-,-,-,-,1
"S00135806",37,11,20,11,-,-,-,-,-,-,-
"S00135807",28,10,13,3,-,-,-,-,-,-,-
"S00135808",31,10,17,2,2,-,-,-,-,-,-
"S00135809",22,4,10,7,3,-,-,-,-,-,-
"S00135810",47,6,9,17,13,1,2,-,-,-,-
"S00135811",60,20,24,10,3,4,-,-,-,-,1
"S00135812",31,8,15,8,-,-,-,-,-,-,-
"S00135813",38,7,12,17,3,-,-,-,-,3,-
"S00135814",9,2,4,2,2,-,-,-,-,-,-
"S00135815",8,5,3,-,-,-,-,-,-,-,-
"S00135816",13,2,6,3,4,-,-,-,-,-,-
"S00135817",26,14,9,6,-,-,-,-,-,-,-
"S00135818",21,4,15,4,-,-,-,-,-,-,-
"S00135819",33,7,10,7,3,-,-,-,-,-,-
"S00135820",51,14,17,17,3,-,-,-,-,-,-
"S00135821",8,2,-,2,4,-,-,-,-,-,-
"S00135822",57,18,24,13,2,-,-,-,-,-,-
"S00135823",67,26,28,11,3,-,-,-,1,-,2
"S00135824",42,6,27,7,-,-,-,-,-,-,-
"S00135825",30,5,20,2,2,-,-,-,-,1,-
"S00135826",36,18,8,4,6,-,-,-,-,-,-
"S00135827",12,3,5,2,1,-,-,-,-,2,-
"S00135828",21,6,11,3,-,-,1,-,-,-,-
"S00135829",8,-,3,2,3,-,-,-,-,-,-
"S00135830",7,-,2,3,-,-,-,-,-,-,-
"S00135831",21,4,5,8,4,-,-,-,-,-,-
"S00135832",24,2,9,16,-,-,-,-,-,-,-
"S00135833",20,10,5,7,-,-,-,-,-,-,-
"S00135834",27,6,14,5,1,-,-,-,-,2,-
"S00135835",24,7,11,6,-,-,-,-,-,-,-
"S00135836",22,6,10,8,1,-,-,-,-,-,-
"S00135837",36,8,25,4,-,-,-,-,-,-,-
"S00135838",78,10,49,13,4,-,-,-,-,-,2
"S00135839",157,24,122,8,3,-,-,-,-,-,2
"S00135840",38,11,13,12,3,-,-,-,-,-,-
"S00135841",3,-,-,3,-,-,-,-,-,-,-
"S00135842",18,6,5,6,1,-,-,-,-,-,-
"S00135843",11,-,6,5,-,-,-,-,-,-,-
"S00135844",17,1,11,3,2,-,-,-,-,-,-
"S00135845",12,5,4,2,1,1,-,-,-,-,-
"S00135846",16,3,9,4,2,-,-,-,-,-,-
"S00135847",163,27,130,2,5,-,-,-,-,-,1
"S00135848",23,7,12,4,-,-,-,-,-,-,-
"S00135849",6,4,2,2,-,-,-,-,-,-,-
"S00135850",24,-,12,7,3,1,-,-,-,-,-
"S00135851",34,8,11,13,4,-,-,-,-,-,-
"S00135852",16,6,11,2,-,-,-,-,-,-,-
"S00135853",3,1,-,1,-,-,-,-,-,-,-
"S00135854",15,3,5,8,-,-,-,-,-,-,-
"S00135855",17,5,11,-,-,-,-,-,-,-,1
"S00135856",10,2,5,1,2,-,-,-,-,-,2
"S00135857",14,3,6,4,1,-,-,-,-,-,-
"S00135858",10,1,-,1,8,-,1,-,-,-,-
"S00135859",13,1,11,-,1,-,-,-,-,-,-
"S00135860",57,17,25,14,-,-,-,-,-,-,-
"S00135861",10,1,7,-,3,-,-,-,-,-,-
"S00135862",14,-,7,5,-,-,-,-,-,-,-
"S00135863",19,5,8,4,-,-,2,-,-,1,-
"S00135864",28,3,16,8,1,-,-,-,-,-,-
"S00135865",28,3,15,4,2,-,-,-,-,-,-
"S00135866",52,16,28,6,2,-,1,-,-,-,-
"S00135867",24,-,17,1,5,-,-,-,-,1,-
"S00135868",24,3,14,5,3,-,-,-,-,-,-
"S00135869",19,7,7,4,-,2,-,-,-,-,-
"S00135870",13,3,10,1,2,-,-,-,-,-,-
"S00135871",77,24,40,9,5,-,-,-,1,1,2
"S00135872",6,5,-,3,-,-,-,-,-,-,-
"S00135873",21,4,10,5,1,-,-,-,-,-,-
"S00135874",34,8,13,10,2,-,-,-,-,-,-
"S00135875",31,5,18,4,5,-,-,-,-,-,-
"S00135876",22,6,9,3,2,-,-,-,-,-,-
"S00135877",30,7,14,9,1,-,-,-,-,-,-
"S00135878",50,11,16,19,3,-,-,-,-,1,-
"S00135879",16,5,4,7,-,-,-,-,-,-,-
"S00135880",124,22,86,8,4,-,-,-,-,-,2
"S00135881",20,6,6,6,2,-,-,-,-,-,-
"S00135882",27,4,9,10,3,-,-,-,-,-,-
"S00135883",12,3,5,3,1,-,-,-,-,-,-
"S00135884",13,3,6,3,-,-,-,-,-,-,-
"S00135885",12,1,7,2,1,-,-,-,-,-,-
"S00135886",11,3,4,4,-,-,-,-,-,-,-
"S00135887",25,10,8,4,2,-,-,-,-,-,1
"S00135888",37,7,26,3,1,-,-,-,-,-,-
"S00135889",22,2,4,1,19,-,-,-,-,-,-
"S00135890",17,6,7,3,1,-,-,-,-,-,-
"S00135891",16,3,9,3,-,-,-,-,-,-,-
"S00135892",18,7,6,4,-,-,-,-,-,-,-
"S00135893",32,6,15,8,2,-,1,-,-,-,-
"S00135894",16,8,3,2,3,-,-,-,-,-,-
"S00135895",22,3,19,1,4,-,-,-,-,-,-
"S00135896",23,6,7,7,-,-,-,-,-,-,-
"S00135897",30,9,13,5,2,-,-,-,-,2,2
"S00135898",19,5,11,6,-,-,-,-,-,-,-
"S00135899",41,7,19,4,3,4,-,-,-,-,1
"S00135900",49,13,25,2,1,3,-,-,-,2,-
"S00135901",29,5,14,4,1,-,-,-,-,-,-
"S00135902",16,3,10,2,-,-,-,-,-,-,-
"S00135903",47,15,25,4,3,-,-,-,-,-,-
"S00135904",23,1,12,7,1,-,-,-,-,-,-
"S00135905",7,1,-,5,-,-,-,-,-,-,-
"S00135906",12,1,11,-,-,-,-,-,-,-,-
"S00135907",42,8,27,2,1,-,-,-,-,1,-
"S00135908",15,4,4,8,1,-,-,-,-,2,-
"S00135909",14,3,8,-,1,-,-,-,-,-,-
"S00135910",9,1,4,1,-,-,-,-,-,-,-
"S00135911",36,6,19,11,-,-,-,-,-,1,-
"S00135912",47,6,23,7,4,-,-,-,-,-,-
"S00135913",38,10,13,12,2,-,-,-,-,1,-
"S00135914",38,6,14,11,5,-,-,-,-,1,1
"S00135915",26,9,9,2,4,-,1,-,-,-,1
"S00135916",25,6,11,7,4,-,-,-,-,-,-
"S00135917",30,7,13,4,-,-,-,-,-,-,1
"S00135918",30,11,7,11,1,-,-,-,-,-,-
"S00135919",17,5,11,4,1,-,-,-,-,-,-
"S00135920",21,3,12,6,-,-,-,-,-,-,-
"S00135921",25,6,11,6,1,1,-,-,-,-,-
"S00135922",35,3,13,11,9,-,-,-,-,-,-
"S00135923",141,14,93,8,21,-,-,-,-,2,5
"S00135924",15,3,4,4,4,-,-,-,-,-,-
"S00135925",24,-,13,6,2,-,-,-,-,-,-
"S00135926",15,2,3,10,2,-,-,-,-,1,-
"S00135927",17,2,6,7,1,-,-,-,-,-,-
"S00135928",48,12,27,5,3,-,-,-,-,-,-
"S00135929",9,2,4,2,-,-,-,-,-,-,-
"S00135930",30,1,11,13,7,-,-,-,-,-,-
"S00135931",23,5,10,9,-,-,-,-,-,-,-
"S00135932",48,10,21,11,4,-,-,-,-,1,-
"S00135933",15,4,6,4,-,-,-,-,-,-,-
"S00135934",38,8,22,5,5,-,-,-,-,-,-
"S00135935",9,-,4,4,-,-,-,-,-,-,-
"S00135936",48,10,32,1,3,1,-,-,-,-,-
"S00135937",37,9,18,8,4,-,-,-,-,-,-
"S00135938",24,8,6,6,1,-,-,-,-,-,-
"S00135939",26,5,14,1,2,-,-,-,-,1,-
"S00135940",15,5,5,5,-,-,-,-,-,-,-
"S00135941",48,5,39,2,1,-,-,-,-,-,1
"S00135942",32,7,9,14,-,-,-,-,-,-,-
"S00135943",25,-,9,9,5,2,-,-,-,-,-
"S00135944",35,8,15,10,3,-,-,-,-,-,-
"S00135945",19,5,11,-,2,-,-,-,-,-,-
"S00135946",48,11,20,15,4,-,-,-,-,-,-
"S00135947",27,2,5,12,4,-,-,-,-,-,-
"S00135948",55,14,32,4,4,-,-,-,-,-,-
"S00135949",44,4,19,19,9,-,-,-,-,-,-
"S00135950",20,5,4,11,1,-,-,-,-,1,-
"S00135951",68,20,40,4,3,-,-,-,-,-,1
"S00135952",22,4,13,1,4,-,-,-,-,2,-
"S00135953",55,14,33,4,5,-,-,-,-,-,1
"S00135954",38,6,10,9,13,-,-,-,-,-,-
"S00135955",21,4,8,9,-,-,-,-,-,-,-
"S00135956",19,4,10,7,-,-,-,-,-,-,-
"S00135957",27,4,19,4,4,-,-,-,-,-,-
"S00135958",19,1,11,3,2,-,-,-,-,-,-
"S00135959",22,5,10,2,3,-,1,-,-,1,-
"S00135960",41,9,15,16,-,-,-,-,-,-,-
"S00135961",43,11,20,8,4,-,-,-,-,-,-
"S00135962",35,6,24,4,2,-,-,-,-,-,-
"S00135963",50,5,18,13,15,-,-,-,-,-,-
"S00135964",50,9,32,4,1,2,-,-,1,-,2
"S00135965",52,11,34,3,-,-,-,-,-,4,1
"S00135966",8,2,2,5,-,-,-,-,-,-,-
"S00135967",28,7,10,4,4,-,-,-,-,-,-
"S00135968",25,5,18,1,1,-,-,-,-,-,-
"S00135969",32,11,21,1,-,-,-,-,-,-,-
"S00135970",24,6,14,2,2,-,-,-,-,-,-
"S00135971",35,14,12,1,4,-,-,-,-,-,2
"S00135972",13,5,8,-,-,-,-,-,-,-,-
"S00135973",23,3,10,10,-,-,-,-,-,-,-
"S00135974",16,6,8,1,2,-,-,-,-,-,-
"S00135975",18,7,6,1,2,-,-,-,-,-,-
"S00135976",44,24,21,2,2,-,-,-,-,-,-
"S00135977",15,8,4,2,-,-,-,-,-,-,-
"S00135978",74,11,48,12,3,-,-,-,-,-,-
"S00135979",17,3,6,5,3,-,-,-,-,-,-
"S00135980",25,-,11,7,10,-,-,-,-,-,-
"S00135981",39,-,14,11,12,1,-,-,-,-,-
"S00135982",13,5,6,-,1,-,-,-,-,-,-
"S00135983",54,14,31,5,2,-,-,-,-,1,-
"S00135984",10,2,6,2,-,-,-,-,-,-,-
"S00135985",23,4,5,6,5,-,-,-,-,3,1
"S00135986",28,4,9,14,3,-,-,-,-,-,-
"S00135987",35,9,21,4,2,-,-,-,-,-,1
"S00135988",25,10,10,1,3,-,-,-,-,-,1
"S00135989",13,4,5,4,2,-,-,-,-,-,-
"S00135990",14,2,2,9,2,-,-,-,-,-,-
"S00135991",46,10,35,-,1,-,-,-,-,-,-
"S00135992",14,2,6,3,1,-,-,-,-,-,-
"S00135993",19,3,2,5,8,-,-,-,-,-,-
"S00135994",54,8,20,17,10,-,-,-,-,-,-
"S00135995",45,10,31,-,5,-,-,-,-,-,-
"S00135996",41,-,12,14,8,-,3,-,-,-,-
"S00135997",10,3,5,2,-,-,-,-,-,-,-
"S00135998",38,7,21,3,4,-,-,-,-,-,1
"S00135999",26,9,10,-,2,-,-,-,-,1,-
"S00136000",13,2,9,2,-,-,-,-,-,-,-
"S00136001",10,2,6,-,3,-,-,-,-,-,-
"S00136002",30,6,20,-,3,-,-,-,-,-,-
"S00136003",24,1,25,1,-,-,-,-,-,-,-
"S00136004",11,1,7,3,-,-,-,-,-,-,-
"S00136005",38,19,16,4,1,-,-,-,-,-,-
"S00136006",16,1,9,-,5,-,-,-,-,-,-
"S00136007",28,6,7,12,3,-,-,-,-,-,-
"S00136008",21,3,9,4,2,-,-,-,-,1,-
"S00136009",20,5,5,5,2,-,-,-,-,-,-
"S00136010",30,3,12,9,6,-,-,-,-,-,-
"S00136011",19,-,13,3,2,-,-,-,-,-,-
"S00136012",12,4,4,3,1,-,-,-,-,-,-
"S00136013",25,8,9,-,8,-,-,-,-,-,-
"S00136014",28,2,14,6,2,-,-,-,-,1,4
"S00136015",46,7,28,3,1,-,-,-,-,-,1
"S00136016",73,11,62,1,2,-,-,-,-,-,-
"S00136017",55,11,34,6,3,-,-,-,-,-,-
"S00136018",71,17,39,5,6,1,-,-,-,-,4
"S00136019",791,129,535,21,87,-,-,-,-,5,17
"S00136020",24,5,15,4,-,-,-,-,-,-,-
"S00136021",20,2,20,-,1,-,-,-,-,-,-
"S00136022",32,8,13,9,2,-,-,-,-,-,-
"S00136023",9,4,4,-,1,-,-,-,-,-,-
"S00136024",11,-,8,3,-,-,-,-,-,-,-
"S00136025",25,10,8,3,2,-,-,-,-,-,-
"S00136026",89,22,52,8,3,-,-,-,-,4,-
"S00136027",27,9,15,-,-,-,-,-,-,-,1
"S00136028",12,5,6,3,-,-,-,-,-,-,-
"S00136029",22,4,11,5,2,-,-,-,-,-,-
"S00136030",9,-,8,-,2,-,-,-,-,-,-
"S00136031",33,8,16,8,1,-,-,-,-,-,-
"S00136032",38,10,20,2,5,-,-,-,-,-,2
"S00136033",29,13,9,3,7,-,-,-,-,-,-
"S00136034",43,14,22,3,2,-,-,-,-,-,-
"S00136035",46,12,31,-,3,-,-,-,-,-,-
"S00136036",36,6,26,-,3,-,-,-,-,1,-
"S00136037",21,2,15,3,-,-,-,-,-,1,-
"S00136038",14,4,7,3,1,-,-,-,-,-,-
"S00136039",21,2,10,6,1,-,-,-,-,-,-
"S00136040",13,-,15,5,-,-,-,-,-,-,-
"S00136041",26,7,14,2,1,-,-,-,-,-,-
"S00136042",18,4,11,2,-,-,-,-,-,2,-
"S00136043",12,-,6,3,-,-,-,-,-,-,-
"S00136044",7,-,8,2,1,-,-,-,-,-,-
"S00136045",31,10,10,11,-,-,-,-,-,-,-
"S00136046",14,-,6,8,-,-,-,-,-,-,-
"S00136047",26,9,8,3,4,-,-,-,-,-,2
"S00136048",17,6,10,2,-,-,-,-,-,-,-
"S00136049",47,4,33,9,4,-,-,-,-,-,-
"S00136050",33,-,10,11,8,-,-,-,-,-,-
"S00136051",13,2,8,4,-,-,-,-,-,2,-
"S00136052",12,4,4,1,4,-,-,-,-,-,-
"S00136053",18,6,2,4,-,-,-,-,-,-,-
"S00136054",23,4,14,4,2,-,-,-,-,-,-
"S00136055",28,9,2,11,1,-,-,-,-,1,-
"S00136056",21,2,16,-,-,-,-,-,-,-,-
"S00136057",29,9,9,10,2,-,-,-,-,-,-
"S00136058",155,14,112,2,25,-,-,-,-,-,2
"S00136059",15,-,7,5,3,-,-,-,-,-,-
"S00136060",29,5,17,-,4,-,-,-,-,1,-
"S00136061",314,44,204,15,45,2,-,-,1,-,3
"S00136062",25,4,11,9,-,-,-,-,-,-,-
"S00136063",13,-,7,3,1,-,-,-,-,-,-
"S00136064",27,6,8,13,3,-,-,-,-,-,-
"S00136065",17,2,7,5,-,-,-,-,-,-,1
"S00136066",13,6,5,2,-,-,-,-,-,-,-
"S00136067",12,3,2,8,1,-,-,-,-,-,-
"S00136068",42,2,29,1,2,-,-,-,-,1,1
"S00136069",33,7,10,16,-,-,-,-,-,-,-
"S00136070",9,1,-,-,5,-,-,-,-,-,-
"S00136071",89,15,50,18,2,1,-,-,-,2,1
"S00136072",26,7,14,-,2,-,-,-,-,-,2
"S00136073",44,10,29,2,3,-,-,-,-,-,-
"S00136074",15,11,6,1,-,-,-,-,-,-,-
"S00136075",34,14,14,1,3,-,-,-,-,-,-
"S00136076",43,13,24,2,7,-,-,-,-,-,-
"S00136077",38,11,22,6,1,-,-,-,-,-,-
"S00136078",51,7,18,9,19,-,-,-,-,1,-
"S00136079",22,6,13,1,2,-,-,-,-,-,-
"S00136080",17,6,2,5,1,-,-,-,-,-,-
"S00136081",52,13,32,3,3,-,-,-,-,1,-
"S00136082",8,4,1,3,-,-,-,-,-,-,-
"S00136083",30,6,19,1,3,-,-,-,-,-,-
"S00136084",10,3,6,2,1,-,-,-,-,-,-
"S00136085",9,-,7,5,-,-,-,-,-,-,-
"S00136086",51,17,27,1,3,-,-,-,-,1,-
"S00136087",13,-,6,4,1,-,-,-,-,-,-
"S00136088",48,9,31,4,7,-,-,-,-,-,-
"S00136089",17,1,7,4,4,-,-,-,-,1,-
"S00136090",15,2,9,3,-,-,-,-,-,-,-
"S00136091",29,12,14,6,-,-,-,-,-,-,-
"S00136092",34,6,19,6,2,-,-,-,-,2,-
"S00136093",26,8,5,11,-,-,-,-,-,-,-
"S00136094",40,13,20,1,1,-,-,-,-,-,-
"S00136095",12,-,4,4,4,1,-,-,-,-,-
"S00136096",35,12,12,9,-,-,-,-,-,1,1
"S00136097",61,15,34,7,8,-,-,-,-,-,-
"S00136098",6,1,6,1,-,-,-,-,-,-,-
"S00136099",27,7,20,2,-,-,-,-,-,-,-
"S00136100",33,6,21,7,-,-,-,-,-,-,1
"S00136101",12,6,1,1,4,-,-,-,-,-,-
"S00136102",39,8,9,12,10,-,-,-,-,-,-
"S00136103",10,2,8,1,-,-,-,-,-,-,-
"S00136104",28,7,17,-,3,-,-,-,-,-,3
"S00136105",65,11,37,10,6,1,-,-,-,-,-
"S00136106",33,11,17,2,1,-,-,-,-,-,-
"S00136107",58,13,35,1,10,-,-,-,-,1,-
"S00136108",29,9,8,12,-,-,-,-,-,-,-
"S00136109",19,-,10,7,2,-,-,-,-,-,-
"S00136110",11,1,6,5,1,-,-,-,-,-,-
"S00136111",49,17,33,4,2,-,-,-,-,-,-
"S00136112",34,5,17,8,4,-,-,-,-,-,-
"S00136113",10,1,7,4,1,-,-,-,-,-,-
"S00136114",63,11,41,6,5,-,-,-,-,-,-
"S00136115",50,4,38,5,4,-,-,-,-,1,-
"S00136116",33,7,20,3,4,-,-,-,-,-,-
"S00136117",23,10,6,4,4,-,-,-,-,-,-
"S00136118",20,1,12,9,2,-,-,-,-,-,-
"S00136119",13,1,7,5,-,-,-,-,-,-,-
"S00136120",12,-,7,1,2,-,-,-,-,1,-
"S00136121",19,3,12,4,-,-,-,-,-,-,-
"S00136122",28,9,15,4,1,-,-,-,-,-,1
"S00136123",38,6,12,17,-,-,-,-,-,-,-
"S00136124",15,8,4,3,-,-,-,-,-,-,-
"S00136125",13,-,11,2,3,-,-,-,-,-,-
"S00136126",2,-,2,-,-,-,-,-,-,-,-
"S00136127",27,5,16,6,1,-,-,-,-,-,-
"S00136128",19,6,7,-,6,-,-,-,-,-,-
"S00136129",13,1,7,5,-,-,-,-,-,-,-
"S00136130",9,3,4,-,-,-,-,-,-,-,-
"S00136131",17,4,7,2,4,-,-,-,-,-,1
"S00136132",8,-,4,5,-,-,-,-,-,-,-
"S00136133",22,-,8,10,5,-,-,-,-,1,-
"S00136134",15,-,13,2,-,-,-,-,-,-,-
"S00136135",19,5,13,2,2,-,-,-,-,-,-
"S00136136",12,-,7,4,1,-,-,-,-,-,-
"S00136137",16,3,9,4,-,-,-,-,-,-,-
"S00136138",-,-,-,-,-,-,-,-,-,-,-
"S00136139",-,-,-,-,-,-,-,-,-,-,-
"S00136140",10,2,5,4,-,-,-,-,-,-,-
"S00136141",19,7,6,4,1,-,-,-,-,-,-
"S00136142",58,12,29,7,7,1,-,-,-,1,1
"S00136143",4,2,-,3,-,-,-,-,-,-,-
"S00136144",16,2,2,7,4,-,-,-,-,-,-
"S00136145",218,34,112,9,53,-,-,-,-,2,7
"S00136146",32,9,15,5,2,-,-,-,-,1,-
"S00136147",12,-,2,7,-,-,-,-,-,-,1
"S00136148",19,5,7,6,4,-,-,-,-,-,-
"S00136149",10,5,4,2,-,-,-,-,-,-,-
"S00136150",29,-,20,5,4,-,-,-,-,-,-
"S00136151",8,2,6,-,1,-,-,-,-,-,-
"S00136152",14,10,4,3,-,-,-,-,-,-,-
"S00136153",34,8,19,-,8,-,-,-,-,-,-
"S00136154",32,13,17,2,-,-,-,-,-,-,-
"S00136155",20,1,3,5,10,-,-,-,-,-,-
"S00136156",27,4,18,6,-,-,-,-,-,1,-
"S00136157",21,8,9,4,1,-,-,-,-,-,-
"S00136158",17,3,9,2,3,-,-,-,-,-,-
"S00136159",9,4,5,-,-,-,-,-,-,-,-
"S00136160",4,3,1,-,-,-,-,-,-,-,-
"S00136161",21,5,7,7,3,-,-,-,-,-,-
"S00136162",15,2,8,5,-,-,-,-,-,-,-
"S00136163",9,3,6,-,-,-,-,-,-,1,-
"S00136164",14,1,3,5,-,-,-,-,-,-,-
"S00136165",10,2,8,2,-,-,-,-,-,-,-
"S00136166",9,-,10,3,-,-,-,-,-,-,-
"S00136167",-,-,-,-,-,-,-,-,-,-,-
"S00136168",21,7,13,1,-,-,-,-,-,-,-
"S00136169",13,2,10,-,-,-,2,-,-,-,-
"S00136170",26,9,17,-,-,-,-,-,-,-,-
"S00136171",11,5,2,6,-,-,-,-,-,-,-
"S00136172",30,6,16,5,2,-,-,-,-,-,1
"S00136173",15,5,10,-,-,-,-,-,-,-,-
"S00136174",22,3,7,1,8,-,-,-,-,-,-
"S00136175",14,4,7,-,-,-,-,-,-,-,1
"S00136176",30,10,19,2,-,-,-,-,-,-,-
"S00136177",19,1,7,3,2,-,-,-,-,2,-
"S00136178",23,5,13,4,-,-,-,-,-,-,-
"S00136179",13,5,4,-,1,-,-,-,-,-,-
"S00136180",15,1,9,4,1,-,-,-,-,-,-
"S00136181",12,-,10,5,1,-,-,-,-,-,-
"S00136182",23,9,11,5,-,-,-,-,-,-,-
"S00136183",21,5,6,9,1,-,-,-,-,-,-
"S00136184",23,9,6,6,-,-,-,-,-,-,-
"S00136185",48,11,26,5,4,-,-,-,-,2,-
"S00136186",30,4,16,5,5,-,-,-,-,-,1
"S00136187",22,4,10,8,4,-,-,-,-,-,-
"S00136188",19,1,10,3,4,-,-,-,-,-,-
"S00136189",31,10,13,3,7,-,-,-,-,-,-
"S00136190",26,6,13,3,1,-,-,-,-,1,-
"S00136191",60,16,27,10,4,-,-,-,-,-,3
"S00136192",48,10,27,9,2,-,-,-,-,-,-
"S00136193",48,12,25,6,2,-,-,-,-,1,-
"S00136194",30,4,21,4,2,-,-,-,-,-,-
"S00136195",328,26,226,21,45,-,-,-,-,-,6
"S00136196",19,1,6,-,8,-,-,-,-,-,-
"S00136197",45,16,17,12,-,-,-,-,-,-,-
"S00136198",12,3,4,3,1,-,-,-,-,-,1
"S00136199",13,2,3,1,10,-,-,-,-,-,-
"S00136200",7,1,5,-,1,-,-,-,-,-,-
"S00136201",11,3,6,4,4,-,-,-,-,-,-
"S00136202",19,8,3,4,3,-,-,-,-,-,1
"S00136203",16,1,5,10,-,-,-,-,-,-,-
"S00136204",33,12,12,1,4,-,-,-,-,1,1
"S00136205",15,3,8,4,4,-,-,-,-,-,-
"S00136206",32,15,11,8,1,-,-,-,-,-,-
"S00136207",17,2,11,-,2,-,-,-,-,-,2
"S00136208",22,2,11,5,1,-,-,-,-,-,-
"S00136209",11,3,5,3,-,-,-,-,-,-,-
"S00136210",24,5,4,9,6,-,-,-,-,-,-
"S00136211",43,11,20,3,5,-,-,-,-,-,-
"S00136212",17,4,6,4,-,-,-,-,-,-,-
"S00136213",10,-,7,5,-,-,-,-,-,-,-
"S00136214",34,11,18,8,-,-,-,-,-,-,-
"S00136215",18,6,7,7,1,-,-,-,-,-,-
"S00136216",62,15,35,4,3,-,-,-,-,2,-
"S00136217",21,5,11,4,1,-,-,-,-,-,-
"S00136218",139,17,51,33,30,-,-,-,-,6,4
"S00136219",24,9,5,10,-,-,-,-,-,-,-
"S00136220",29,4,12,4,7,-,1,-,-,2,-
"S00136221",13,5,6,-,1,-,-,-,-,-,-
"S00136222",1,-,1,-,-,-,-,-,-,-,-
"S00136223",26,5,8,8,3,-,-,-,-,-,-
"S00136224",37,10,21,3,4,-,-,-,-,-,2
"S00136225",29,2,17,6,-,-,-,-,-,-,-
"S00136226",15,4,5,-,2,-,-,-,-,-,-
"S00136227",15,9,4,2,-,-,-,-,-,-,-
"S00136228",30,9,10,6,2,-,-,-,-,-,-
"S00136229",18,5,10,3,-,-,-,-,-,-,-
"S00136230",42,9,16,11,8,-,-,-,-,1,-
"S00136231",11,2,4,2,1,-,-,1,-,-,-
"S00136232",31,9,14,6,-,-,-,-,-,2,-
"S00136233",30,9,11,4,5,-,-,-,-,-,4
"S00136234",22,7,7,2,5,1,-,-,-,-,-
"S00136235",7,1,4,-,5,-,-,-,-,-,-
"S00136236",359,75,65,143,49,-,-,-,-,21,5
"S00136237",33,7,9,13,3,-,-,-,-,1,-
"S00136238",43,11,20,9,2,-,-,-,-,-,-
"S00136239",245,32,112,25,75,-,-,-,2,-,-
"S00136240",23,1,15,2,3,-,-,-,-,-,1
"S00136241",35,8,17,3,4,-,-,-,-,-,-
"S00136242",27,9,10,8,-,-,-,-,-,-,-
"S00136243",24,5,4,6,8,-,-,-,-,-,-
"S00136244",21,10,8,4,2,-,-,-,-,-,-
"S00136245",469,72,270,79,37,-,-,-,-,7,4
"S00136246",13,6,7,-,-,-,-,-,-,-,-
"S00136247",30,5,13,10,1,-,-,-,-,1,-
"S00136248",24,2,15,4,2,-,-,-,-,-,-
"S00136249",17,1,14,-,-,-,-,-,-,-,-
"S00136250",18,3,7,6,-,-,-,-,-,-,-
"S00136251",29,8,10,6,1,-,-,-,-,2,-
"S00136252",13,7,7,-,-,-,-,-,-,-,-
"S00136253",29,9,7,12,2,-,-,-,-,-,-
"S00136254",21,4,10,5,2,-,-,-,-,1,-
"S00136255",9,1,4,-,3,2,-,-,-,-,-
"S00136256",9,1,5,3,-,-,-,-,-,-,-
"S00136257",44,8,23,10,5,-,-,-,-,1,-
"S00136258",24,8,8,6,-,-,-,-,-,1,-
"S00136259",98,15,22,34,23,-,-,-,-,1,-
"S00136260",-,-,-,-,-,-,-,-,-,-,-
"S00136261",25,6,10,4,4,-,-,-,-,-,2
"S00136262",18,1,11,10,-,-,-,-,-,-,-
"S00136263",16,4,10,-,-,-,-,-,-,-,-
"S00136264",21,4,4,5,6,-,-,-,-,-,-
"S00136265",37,12,6,17,5,-,-,-,-,1,-
"S00136266",-,-,-,-,-,-,-,-,-,-,-
"S00136267",30,4,9,13,-,-,-,-,-,2,-
"S00136268",30,8,14,7,1,-,-,-,-,-,-
"S00136269",32,8,9,10,5,-,-,-,-,3,-
"S00136270",38,14,10,10,4,-,-,-,-,-,-
"S00136271",30,1,26,3,-,-,-,-,-,-,-
"S00136272",21,5,4,9,1,-,-,-,-,-,-
"S00136273",10,-,3,5,-,-,-,-,-,-,-
"S00136274",25,3,5,16,1,-,-,-,-,-,-
