Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00144954",112,78,13,-,13,5
"S00144955",98,31,26,4,12,23
"S00144956",114,18,87,-,4,5
"S00144957",76,39,26,-,9,2
"S00144958",83,23,39,4,11,9
"S00144959",61,30,23,1,2,2
"S00144960",64,31,16,3,11,2
"S00144961",80,43,20,6,7,4
"S00144962",129,63,38,3,20,4
"S00144963",114,42,48,1,11,7
"S00144964",160,40,90,6,7,14
"S00144965",74,14,56,2,1,2
"S00144966",94,33,50,2,4,6
"S00144967",100,51,33,-,8,7
"S00144968",168,54,83,2,8,18
"S00144969",82,16,41,3,10,10
"S00144970",132,65,45,7,13,-
"S00144971",113,24,84,-,1,4
"S00144972",70,42,27,2,4,-
"S00144973",145,36,62,-,7,40
"S00144974",78,16,58,-,-,4
"S00144975",108,39,56,-,8,8
"S00144976",107,62,28,4,12,4
"S00144977",63,34,14,3,10,3
"S00144978",81,7,65,2,2,6
"S00144979",61,22,29,2,4,4
"S00144980",52,31,17,1,2,1
"S00144981",109,67,27,7,7,-
"S00144982",54,26,13,3,8,1
"S00144983",85,29,39,2,8,3
"S00144984",68,42,16,4,6,-
"S00144985",88,33,24,5,16,10
"S00144986",52,28,8,-,9,4
"S00144987",80,14,57,-,8,1
"S00144988",158,65,64,6,9,14
"S00144989",82,30,49,3,2,-
"S00144990",71,31,34,-,3,2
"S00144991",114,25,82,-,2,8
"S00144992",134,34,87,2,7,8
"S00144993",61,21,26,1,7,6
"S00144994",92,21,59,-,7,5
"S00144995",100,43,33,3,13,8
"S00144996",92,21,53,-,6,12
"S00144997",102,25,68,3,2,5
"S00144998",71,39,24,3,6,-
"S00144999",58,21,13,2,14,11
"S00145000",150,88,40,3,11,4
"S00145001",101,22,63,2,5,11
"S00145002",71,28,20,-,8,10
"S00145003",144,68,50,5,14,7
"S00145004",131,41,73,2,4,11
"S00145005",91,59,16,4,13,-
"S00145006",60,28,15,1,10,3
"S00145007",131,37,78,4,4,9
"S00145008",122,48,44,9,14,3
"S00145009",88,33,36,4,9,6
"S00145010",107,47,39,5,10,4
"S00145011",104,41,45,2,4,10
"S00145012",87,39,29,4,11,4
"S00145013",109,37,61,3,7,2
"S00145014",98,58,14,6,14,6
"S00145015",96,61,9,1,16,6
"S00145016",109,53,33,2,17,6
"S00145017",97,34,46,1,6,4
"S00145018",88,13,69,-,2,4
"S00145019",112,57,26,7,15,7
"S00145020",79,19,49,1,2,7
"S00145021",74,35,24,2,8,4
"S00145022",75,9,50,2,7,9
"S00145023",65,28,20,1,9,3
"S00145024",88,42,27,-,15,4
"S00145025",73,23,28,1,7,14
"S00145026",116,67,29,4,10,7
"S00145027",146,29,64,-,11,45
"S00145028",94,33,46,2,11,2
"S00145029",99,40,42,1,10,3
"S00145030",97,24,51,-,8,10
"S00145031",157,38,103,1,3,12
"S00145032",83,14,62,-,4,3
"S00145033",81,43,14,3,16,5
"S00145034",77,42,20,1,10,4
"S00145035",77,25,8,7,25,14
"S00145036",64,34,18,-,6,1
"S00145037",86,16,58,-,4,8
"S00145038",107,56,35,1,15,-
"S00145039",91,30,51,1,5,2
"S00145040",75,20,42,-,7,3
"S00145041",89,43,35,1,6,5
"S00145042",146,79,45,-,10,12
"S00145043",92,21,65,-,2,5
"S00145044",56,26,26,1,2,2
"S00145045",105,25,60,1,10,7
"S00145046",110,63,27,8,12,4
"S00145047",117,30,62,2,11,12
"S00145048",182,40,57,4,12,73
"S00145049",99,19,66,2,10,6
"S00145050",127,48,50,3,13,6
"S00145051",105,23,70,2,2,8
"S00145052",100,62,22,5,8,4
"S00145053",74,37,15,4,10,1
"S00145054",87,12,65,1,4,2
"S00145055",73,13,49,-,6,7
"S00145056",105,13,80,-,5,6
"S00145057",88,41,30,2,12,5
"S00145058",96,35,34,6,12,10
"S00145059",127,34,76,3,8,4
"S00145060",103,47,39,1,10,6
"S00145061",108,24,65,3,6,7
"S00145062",127,50,69,3,6,6
"S00145063",85,18,53,2,6,8
"S00145064",70,37,22,1,10,1
"S00145065",84,33,30,3,13,4
"S00145066",93,47,27,3,15,1
"S00145067",71,14,47,1,5,6
"S00145068",92,10,73,2,2,4
"S00145069",61,10,48,1,2,1
"S00145070",106,23,66,3,3,12
"S00145071",61,37,10,1,10,3
"S00145072",91,47,34,1,4,5
"S00145073",74,7,47,-,3,14
"S00145074",99,52,28,3,11,5
"S00145075",79,20,43,-,7,9
"S00145076",81,43,28,-,7,2
"S00145077",127,40,66,3,5,5
"S00145078",155,82,53,1,17,3
"S00145079",76,4,44,3,14,11
"S00145080",153,50,91,3,6,10
"S00145081",79,14,53,1,5,4
"S00145082",87,38,32,2,13,2
"S00145083",160,59,87,4,9,6
"S00145084",101,31,54,3,7,5
"S00145085",81,28,40,1,7,4
"S00145086",108,25,74,-,3,7
"S00145087",56,15,32,1,5,3
"S00145088",87,20,50,3,4,13
"S00145089",90,18,63,-,6,2
"S00145090",95,30,44,4,7,9
"S00145091",91,15,71,-,-,5
"S00145092",101,28,57,-,9,6
"S00145093",122,69,37,3,10,4
"S00145094",103,35,42,4,12,8
"S00145095",102,33,49,2,10,8
"S00145096",143,53,72,3,11,4
"S00145097",95,21,58,1,13,7
"S00145098",88,46,18,6,12,6
"S00145099",67,15,48,1,2,2
"S00145100",89,18,61,-,5,5
"S00145101",81,42,24,2,7,3
"S00145102",57,22,25,-,6,4
"S00145103",96,23,58,3,6,6
"S00145104",85,51,16,2,12,4
"S00145105",111,15,85,2,4,10
"S00145106",50,19,16,1,6,8
"S00145107",156,28,125,1,1,1
"S00145108",66,42,12,2,9,1
"S00145109",76,28,35,1,5,7
"S00145110",136,46,55,4,11,16
"S00145111",75,43,7,2,16,6
"S00145112",107,62,18,2,15,9
"S00145113",132,36,84,1,5,6
"S00145114",113,40,42,7,6,12
"S00145115",98,16,64,-,7,7
"S00145116",96,28,50,1,12,6
"S00145117",116,29,68,3,6,10
"S00145118",102,39,39,7,10,7
"S00145119",106,23,72,-,5,8
"S00145120",83,17,55,2,4,6
"S00145121",85,23,50,-,8,7
"S00145122",42,20,17,2,5,3
"S00145123",94,25,56,-,5,8
"S00145124",78,11,54,2,2,9
"S00145125",114,42,47,1,19,5
"S00145126",61,26,25,1,5,2
"S00145127",61,29,23,-,6,-
"S00145128",79,40,23,6,7,4
"S00145129",125,51,61,3,6,4
"S00145130",113,35,54,3,11,10
"S00145131",62,29,19,3,8,6
"S00145132",126,68,39,2,10,7
"S00145133",72,48,11,1,10,2
"S00145134",139,24,100,5,3,7
"S00145135",81,15,5,3,25,35
"S00145136",149,40,88,4,7,4
"S00145137",63,36,5,-,12,6
"S00145138",93,20,58,-,8,7
"S00145139",158,23,102,9,17,7
"S00145140",138,32,96,1,6,6
"S00145141",116,16,76,1,8,11
"S00145142",76,36,25,-,9,5
"S00145143",81,30,32,1,10,9
"S00145144",103,54,29,3,8,11
"S00145145",83,20,54,-,3,1
"S00145146",69,12,50,-,6,7
"S00145147",138,35,95,1,4,9
"S00145148",70,38,12,3,14,1
"S00145149",98,53,17,4,16,8
"S00145150",166,54,82,-,14,15
"S00145151",169,55,58,3,13,42
"S00145152",123,44,52,4,13,15
"S00145153",136,33,88,-,2,12
"S00145154",104,47,33,3,10,11
"S00145155",101,17,70,1,4,11
"S00145156",88,39,31,3,11,4
"S00145157",88,17,66,-,3,6
"S00145158",102,33,55,-,7,7
"S00145159",114,47,50,4,10,7
"S00145160",76,15,53,1,4,1
"S00145161",76,34,29,2,5,10
"S00145162",71,41,18,2,8,2
"S00145163",77,34,27,-,12,6
"S00145164",90,22,26,-,23,23
"S00145165",80,36,20,2,10,10
"S00145166",121,22,84,2,3,7
"S00145167",134,33,84,1,9,2
"S00145168",71,37,22,3,5,4
"S00145169",131,24,55,2,7,44
"S00145170",55,12,34,2,6,3
"S00145171",115,30,73,-,5,7
"S00145172",143,58,58,8,12,7
"S00145173",102,19,68,3,5,7
"S00145174",96,15,67,2,11,4
"S00145175",92,41,33,3,6,6
"S00145176",92,48,31,1,5,7
"S00145177",71,21,31,1,8,10
"S00145178",111,35,58,2,11,-
"S00145179",65,20,39,-,3,1
"S00145180",53,29,16,1,6,3
"S00145181",60,6,22,-,3,29
"S00145182",52,21,17,1,8,3
"S00145183",67,14,47,-,2,4
"S00145184",97,23,60,1,4,7
"S00145185",139,20,102,1,7,9
"S00145186",85,39,25,2,11,6
"S00145187",102,40,37,1,15,11
"S00145188",105,16,84,3,1,2
"S00145189",68,26,33,2,5,2
"S00145190",98,44,38,-,9,4
"S00145191",75,15,44,1,1,11
"S00145192",79,8,66,-,5,2
"S00145193",127,48,48,4,25,6
"S00145194",69,33,24,-,8,3
"S00145195",119,19,88,2,5,3
"S00145196",98,31,56,1,1,9
"S00145197",102,16,67,2,9,8
"S00145198",103,18,79,-,3,6
"S00145199",94,39,49,4,2,3
"S00145200",81,36,34,5,2,5
"S00145201",70,35,23,4,2,7
"S00145202",72,35,34,-,7,3
"S00145203",105,38,58,1,4,4
"S00145204",82,34,28,-,12,5
"S00145205",95,20,70,-,3,1
"S00145206",117,28,79,1,6,3
"S00145207",84,56,8,3,17,5
"S00145208",121,51,56,1,5,8
"S00145209",94,21,54,2,13,7
"S00145210",96,23,50,5,12,6
"S00145211",59,13,38,1,4,2
"S00145212",88,18,66,1,6,2
"S00145213",114,48,52,2,7,5
"S00145214",109,44,47,6,11,4
"S00145215",96,25,56,2,4,9
"S00145216",66,31,18,3,10,4
"S00145217",92,33,32,1,15,11
"S00145218",109,33,67,-,7,3
"S00145219",94,46,44,2,7,2
"S00145220",132,33,82,3,10,5
"S00145221",122,43,55,4,8,12
"S00145222",54,27,14,2,10,2
"S00145223",77,28,30,3,7,9
"S00145224",96,21,60,-,10,4
"S00145225",64,14,44,-,3,7
"S00145226",140,37,75,2,14,12
"S00145227",114,56,46,1,6,6
"S00145228",91,13,64,1,6,6
"S00145229",86,42,28,1,12,4
"S00145230",85,9,64,1,7,8
"S00145231",93,34,39,5,10,6
"S00145232",160,18,97,1,4,41
"S00145233",85,13,60,-,2,10
"S00145234",60,16,28,2,6,4
"S00145235",113,40,59,4,8,3
"S00145236",106,51,28,7,11,5
"S00145237",108,55,32,3,12,5
"S00145238",105,17,72,1,9,3
"S00145239",105,41,50,1,6,7
"S00145240",107,42,60,-,4,1
"S00145241",99,35,53,1,5,5
"S00145242",97,15,70,-,5,7
"S00145243",101,42,23,4,13,19
"S00145244",148,45,84,-,7,12
"S00145245",51,30,14,2,1,4
"S00145246",57,12,35,2,3,5
"S00145247",134,80,41,1,11,2
"S00145248",68,23,27,2,4,11
"S00145249",74,33,24,3,8,5
"S00145250",92,32,50,-,2,8
"S00145251",82,46,10,6,12,8
"S00145252",146,32,97,2,5,10
"S00145253",145,106,23,4,11,1
"S00145254",91,43,37,4,5,6
"S00145255",71,21,30,6,5,9
"S00145256",157,48,86,-,15,5
"S00145257",121,15,100,-,6,-
"S00145258",99,21,58,-,6,8
"S00145259",230,59,97,2,14,56
"S00145260",73,33,20,-,11,7
"S00145261",117,35,59,3,10,10
"S00145262",123,69,36,3,8,7
"S00145263",125,33,84,-,6,5
"S00145264",109,44,46,1,6,6
"S00145265",124,34,78,2,2,5
"S00145266",97,9,76,-,8,4
"S00145267",72,30,16,2,13,7
"S00145268",103,23,64,1,4,11
"S00145269",116,48,34,2,18,11
"S00145270",96,49,35,4,3,5
"S00145271",98,23,71,-,3,7
"S00145272",98,34,53,5,4,2
"S00145273",82,18,58,1,2,3
"S00145274",120,26,79,3,8,4
"S00145275",74,31,30,-,7,6
"S00145276",61,31,22,-,10,2
"S00145277",103,42,37,3,15,6
"S00145278",112,55,52,2,2,1
"S00145279",149,66,58,5,10,10
"S00145280",85,39,28,-,6,6
"S00145281",119,38,56,2,9,9
"S00145282",82,25,34,4,11,8
"S00145283",463,375,64,3,13,8
"S00145284",118,39,68,-,6,4
"S00145285",85,20,56,1,6,4
"S00145286",99,19,77,-,3,2
"S00145287",102,22,51,2,11,17
"S00145288",103,23,64,1,7,7
"S00145289",103,39,50,-,12,6
"S00145290",114,44,61,-,5,4
"S00145291",141,23,102,1,5,9
"S00145292",91,26,48,2,7,9
"S00145293",64,26,29,-,6,5
"S00145294",86,45,30,2,5,4
"S00145295",102,43,36,4,12,6
"S00145296",71,32,27,2,5,6
"S00145297",114,57,35,5,11,8
"S00145298",99,31,51,1,13,4
"S00145299",105,51,33,-,10,7
"S00145300",113,30,66,4,7,8
"S00145301",65,6,51,-,3,4
"S00145302",124,53,47,2,16,6
"S00145303",63,17,18,1,10,12
"S00145304",67,9,41,1,6,10
"S00145305",138,26,97,2,7,6
"S00145306",82,15,51,1,5,8
"S00145307",114,59,29,4,19,1
"S00145308",109,41,41,4,9,18
"S00145309",57,9,42,-,2,5
"S00145310",105,51,38,4,7,-
"S00145311",76,26,38,1,8,3
"S00145312",97,21,64,1,3,8
"S00145313",93,16,73,-,3,5
"S00145314",134,72,38,4,12,8
"S00145315",80,20,44,-,7,9
"S00145316",71,33,26,2,2,8
"S00145317",63,17,13,1,17,11
"S00145318",65,15,44,-,2,6
"S00145319",132,31,85,3,7,6
"S00145320",100,51,35,3,6,6
"S00145321",87,23,53,3,4,5
"S00145322",84,8,65,-,2,7
"S00145323",55,22,22,-,5,5
"S00145324",75,26,48,-,6,1
"S00145325",73,35,20,3,7,5
"S00145326",59,25,23,-,5,6
"S00145327",93,48,26,9,13,1
"S00145328",101,15,71,-,5,10
"S00145329",97,17,75,-,1,5
"S00145330",84,7,65,-,4,8
"S00145331",92,25,60,2,3,1
"S00145332",118,17,92,1,1,4
"S00145333",139,34,91,-,5,9
"S00145334",161,47,94,3,12,2
"S00145335",95,47,31,3,6,4
"S00145336",81,24,52,1,1,-
"S00145337",72,13,46,1,6,7
"S00145338",75,37,27,1,7,-
"S00145339",100,16,78,3,2,1
"S00145340",78,28,35,2,9,3
"S00145341",88,39,34,3,7,8
"S00145342",121,59,39,4,10,7
"S00145343",105,36,43,7,14,4
"S00145344",97,15,76,-,2,5
"S00145345",72,34,24,2,6,4
"S00145346",74,28,28,2,6,10
"S00145347",56,23,18,2,9,7
"S00145348",81,21,41,-,6,12
"S00145349",61,18,26,1,8,6
"S00145350",109,53,37,2,10,6
"S00145351",104,18,68,-,8,7
"S00145352",94,18,60,-,6,10
"S00145353",54,30,7,3,7,5
"S00145354",64,28,23,-,5,6
"S00145355",59,21,25,1,5,7
"S00145356",109,45,38,4,12,11
"S00145357",78,28,34,2,6,8
"S00145358",91,13,64,2,5,8
"S00145359",131,69,49,3,6,1
"S00145360",81,23,37,-,5,14
"S00145361",95,18,63,2,1,11
"S00145362",77,9,62,-,-,4
"S00145363",61,34,20,-,5,-
"S00145364",100,29,66,2,7,2
"S00145365",84,17,56,1,5,5
"S00145366",89,46,26,6,8,5
"S00145367",127,59,52,2,12,1
"S00145368",93,20,67,-,1,5
"S00145369",99,34,44,11,7,6
"S00145370",89,14,68,-,2,6
"S00145371",114,13,90,1,4,5
"S00145372",124,24,84,-,5,11
"S00145373",56,21,22,3,5,5
"S00145374",113,57,29,7,14,6
"S00145375",120,25,76,3,8,2
"S00145376",121,40,51,4,18,11
"S00145377",125,17,96,4,6,10
"S00145378",109,21,80,1,4,5
"S00145379",76,21,31,-,10,12
"S00145380",116,16,85,2,2,9
"S00145381",106,58,42,4,6,2
"S00145382",148,49,68,3,16,14
"S00145383",78,22,58,1,1,-
"S00145384",78,19,48,-,8,6
"S00145385",95,20,64,2,8,-
"S00145386",121,17,95,1,-,7
"S00145387",152,18,122,-,7,6
"S00145388",131,20,91,4,9,9
"S00145389",59,14,30,-,8,7
"S00145390",74,25,24,3,14,11
"S00145391",132,20,91,1,5,15
"S00145392",121,27,68,3,11,12
"S00145393",96,31,46,5,6,5
"S00145394",73,15,49,2,3,8
"S00145395",99,44,39,2,9,7
"S00145396",104,19,68,-,8,9
"S00145397",57,19,26,3,8,4
"S00145398",106,47,19,15,15,14
"S00145399",78,13,58,-,4,3
"S00145400",83,12,56,1,5,9
"S00145401",106,27,66,1,6,8
"S00145402",87,35,31,5,5,9
"S00145403",88,16,64,2,2,4
"S00145404",83,23,46,3,8,3
"S00145405",102,26,64,1,5,8
"S00145406",99,37,45,3,9,5
"S00145407",127,41,51,4,15,16
"S00145408",93,41,44,-,4,4
"S00145409",119,19,92,-,6,2
"S00145410",136,26,91,4,12,1
"S00145411",75,14,44,1,7,9
"S00145412",75,20,38,5,7,7
"S00145413",78,16,54,2,2,5
"S00145414",98,30,62,-,5,3
"S00145415",100,64,26,2,8,7
"S00145416",120,53,47,2,12,6
"S00145417",71,16,41,-,8,7
"S00145418",75,8,54,1,1,11
"S00145419",133,30,83,4,9,10
"S00145420",203,66,122,4,4,7
"S00145421",88,20,57,-,8,8
"S00145422",136,41,88,1,8,2
"S00145423",66,22,40,-,-,-
"S00145424",77,30,35,2,4,5
"S00145425",115,48,52,1,11,6
"S00145426",79,15,50,4,-,13
"S00145427",105,50,50,-,2,-
"S00145428",83,21,52,1,5,6
"S00145429",78,10,57,1,4,7
"S00145430",104,20,69,1,7,7
"S00145431",90,11,55,1,5,15
"S00145432",87,38,40,-,4,1
"S00145433",111,53,26,7,18,3
"S00145434",108,15,88,-,1,5
"S00145435",122,33,70,2,10,5
"S00145436",74,12,44,-,5,11
"S00145437",100,43,44,4,6,6
"S00145438",96,25,54,2,7,11
"S00145439",102,58,19,5,9,11
"S00145440",110,50,46,1,9,4
"S00145441",119,51,56,4,4,2
"S00145442",102,21,64,2,4,13
"S00145443",59,21,25,3,5,5
"S00145444",141,52,57,7,11,10
"S00145445",118,24,75,6,7,7
"S00145446",84,23,48,-,9,4
"S00145447",72,19,46,-,3,2
"S00145448",89,21,57,1,7,4
"S00145449",94,33,46,3,10,2
"S00145450",77,31,40,1,7,2
"S00145451",110,56,36,-,13,2
"S00145452",85,14,48,1,8,9
"S00145453",80,9,59,1,2,10
"S00145454",110,26,64,1,10,9
"S00145455",96,19,66,-,6,6
"S00145456",111,24,82,2,4,-
"S00145457",104,51,49,1,5,2
"S00145458",114,35,74,1,3,1
"S00145459",95,9,71,-,4,11
"S00145460",83,38,31,-,9,6
"S00145461",84,34,36,2,5,2
"S00145462",96,29,46,4,7,8
"S00145463",78,30,34,-,5,11
"S00145464",91,30,44,3,4,13
"S00145465",89,26,54,-,4,4
"S00145466",86,17,56,-,8,5
"S00145467",50,31,12,4,5,-
"S00145468",125,25,77,1,7,15
"S00145469",82,31,34,2,8,3
"S00145470",110,59,28,4,14,3
"S00145471",118,34,68,1,5,12
"S00145472",119,46,56,3,7,7
"S00145473",77,42,20,4,8,4
"S00145474",56,18,24,2,9,5
"S00145475",111,17,78,-,5,11
"S00145476",149,36,91,-,7,15
"S00145477",95,23,58,1,6,2
"S00145478",120,46,60,1,6,7
"S00145479",93,43,45,1,4,-
"S00145480",113,35,68,2,5,5
"S00145481",127,30,85,2,7,-
"S00145482",119,48,57,3,7,6
"S00145483",111,35,54,4,15,2
"S00145484",115,19,90,-,-,6
"S00145485",68,23,35,4,5,1
"S00145486",108,12,84,1,4,9
"S00145487",85,27,42,-,6,7
"S00145488",88,53,23,2,5,3
"S00145489",162,68,57,1,23,13
"S00145490",93,32,42,2,6,8
"S00145491",78,15,52,1,8,5
"S00145492",126,35,60,-,16,11
"S00145493",135,66,48,6,13,4
"S00145494",88,47,36,1,4,-
"S00145495",64,15,38,6,4,1
"S00145496",111,63,32,4,9,6
"S00145497",63,18,33,1,5,6
"S00145498",116,64,38,3,9,2
"S00145499",55,18,32,3,2,-
"S00145500",152,58,74,3,10,5
"S00145501",118,43,66,-,3,4
"S00145502",67,16,46,2,1,2
"S00145503",130,51,66,2,3,6
"S00145504",144,43,95,-,6,1
"S00145505",80,42,30,1,10,-
"S00145506",81,23,58,-,1,1
"S00145507",102,22,69,2,7,3
"S00145508",90,17,71,-,-,-
"S00145509",160,70,67,9,7,8
"S00145510",114,31,68,2,9,4
"S00145511",107,41,54,1,7,-
"S00145512",108,25,76,2,3,3
"S00145513",79,24,38,1,11,5
"S00145514",82,29,46,1,2,8
"S00145515",96,45,44,-,6,1
"S00145516",95,31,52,1,6,4
"S00145517",61,25,32,-,3,1
"S00145518",151,64,53,6,21,4
"S00145519",86,39,31,5,12,2
"S00145520",108,13,80,-,5,9
"S00145521",79,24,44,-,4,9
"S00145522",70,32,32,-,2,-
"S00145523",94,14,72,1,3,4
"S00145524",85,35,37,1,4,8
"S00145525",59,22,28,3,5,1
"S00145526",110,26,61,2,7,15
"S00145527",110,35,69,-,8,-
"S00145528",77,24,32,3,14,6
"S00145529",95,19,62,2,6,4
"S00145530",101,45,34,3,9,7
"S00145531",155,65,79,2,7,1
"S00145532",124,43,49,6,14,12
"S00145533",59,21,34,1,2,-
"S00145534",140,40,85,4,5,2
"S00145535",98,53,35,-,6,2
"S00145536",117,23,77,-,6,15
"S00145537",100,16,64,3,5,5
"S00145538",105,17,67,-,13,8
"S00145539",60,21,19,1,9,6
"S00145540",77,27,46,-,6,-
"S00145541",119,45,64,2,7,3
"S00145542",130,60,54,3,9,4
"S00145543",112,27,72,1,12,-
"S00145544",177,24,133,-,2,16
"S00145545",78,23,44,1,4,6
"S00145546",105,61,34,3,4,3
"S00145547",158,29,118,2,6,1
"S00145548",122,19,95,4,9,-
"S00145549",134,21,95,-,4,14
"S00145550",117,16,90,4,4,1
"S00145551",85,40,39,3,5,1
"S00145552",105,19,73,-,8,2
"S00145553",145,27,111,1,4,2
"S00145554",132,37,80,2,7,6
"S00145555",103,17,76,-,3,4
"S00145556",66,21,27,1,5,10
"S00145557",91,13,44,1,10,22
"S00145558",70,30,17,2,10,10
"S00145559",56,11,26,5,6,8
"S00145560",74,9,54,3,2,5
"S00145561",84,32,41,-,6,6
"S00145562",89,19,64,4,1,2
"S00145563",97,39,43,4,8,5
"S00145564",125,21,90,1,2,8
"S00145565",148,33,98,1,14,4
"S00145566",61,21,30,2,3,5
"S00145567",60,9,46,2,-,3
"S00145568",99,45,36,1,9,8
"S00145569",86,29,40,1,5,11
"S00145570",131,29,86,-,3,12
"S00145571",82,29,36,1,10,3
"S00145572",58,25,21,1,7,4
"S00145573",70,19,37,-,8,3
"S00145574",126,16,104,1,3,2
"S00145575",126,28,69,6,14,12
"S00145576",159,38,101,2,7,11
"S00145577",113,28,68,-,4,10
"S00145578",158,48,84,5,11,8
"S00145579",108,31,54,3,12,9
"S00145580",99,23,52,1,13,6
"S00145581",110,22,70,5,8,11
"S00145582",75,17,48,2,5,6
"S00145583",111,23,74,-,5,8
"S00145584",74,26,36,3,4,3
"S00145585",160,35,104,3,12,7
"S00145586",100,27,56,1,3,10
"S00145587",69,11,51,-,5,2
"S00145588",113,20,78,-,7,10
"S00145589",94,12,67,1,5,6
"S00145590",149,26,92,3,11,17
"S00145591",121,28,73,1,8,6
"S00145592",88,15,60,4,2,6
"S00145593",81,16,55,-,6,7
"S00145594",82,23,48,4,6,-
"S00145595",132,29,91,1,7,6
"S00145596",97,26,51,6,3,13
"S00145597",146,20,118,-,6,6
"S00145598",126,49,56,4,13,9
"S00145599",64,14,33,5,6,4
"S00145600",115,19,73,1,11,10
"S00145601",86,19,48,4,5,9
"S00145602",60,22,34,-,2,6
"S00145603",158,28,100,4,11,14
"S00145604",119,17,88,3,-,9
"S00145605",124,19,90,1,10,6
"S00145606",116,36,67,-,3,9
"S00145607",106,29,51,6,15,5
"S00145608",82,14,54,2,6,6
"S00145609",120,26,67,3,15,9
"S00145610",102,26,62,-,9,6
"S00145611",78,26,24,1,11,13
"S00145612",59,11,37,1,3,7
"S00145613",87,12,60,2,3,4
"S00145614",123,26,84,-,8,5
"S00145615",59,24,27,3,2,3
"S00145616",115,17,85,-,9,3
"S00145617",131,43,71,3,10,10
"S00145618",133,37,86,1,3,4
"S00145619",75,7,50,-,10,9
"S00145620",119,45,47,1,14,12
"S00145621",71,15,36,2,11,5
"S00145622",96,19,54,1,13,10
"S00145623",81,31,32,4,8,8
"S00145624",104,27,50,1,11,9
"S00145625",87,24,42,6,9,3
"S00145626",83,37,25,6,15,3
"S00145627",106,20,72,4,6,6
"S00145628",126,27,64,2,10,25
"S00145629",140,27,83,4,11,14
"S00145630",107,29,48,6,16,7
"S00145631",91,37,38,-,12,4
"S00145632",117,28,77,-,7,6
"S00145633",96,26,57,2,3,8
"S00145634",81,31,28,3,15,2
"S00145635",80,25,39,4,5,7
"S00145636",73,16,39,2,10,6
"S00145637",85,17,59,1,2,1
"S00145638",60,12,43,-,3,3
"S00145639",63,25,26,2,9,8
"S00145640",66,21,27,2,8,9
"S00145641",63,7,43,2,3,8
"S00145642",67,22,31,-,8,6
"S00145643",106,40,46,4,7,6
"S00145644",90,16,56,1,10,4
"S00145645",91,22,56,1,9,5
"S00145646",93,25,49,4,6,15
"S00145647",92,24,46,7,10,3
"S00145648",98,42,30,3,13,7
"S00145649",103,18,73,1,5,6
"S00145650",73,30,26,1,7,5
"S00145651",88,21,45,2,6,14
"S00145652",85,32,36,1,11,5
"S00145653",111,24,67,3,8,9
"S00145654",80,30,32,1,10,6
"S00145655",115,25,76,1,5,8
"S00145656",80,29,33,3,6,7
"S00145657",88,43,16,5,19,5
"S00145658",64,28,19,1,10,6
"S00145659",106,19,73,3,10,4
"S00145660",93,16,27,6,26,18
"S00145661",71,17,46,1,3,4
"S00145662",72,20,38,-,3,10
"S00145663",96,44,38,1,10,3
"S00145664",123,41,62,4,7,11
"S00145665",86,24,53,-,5,8
"S00145666",136,46,59,5,19,8
"S00145667",61,28,18,5,6,3
"S00145668",72,18,31,-,8,11
"S00145669",53,33,10,2,5,1
"S00145670",70,39,12,4,10,2
"S00145671",88,27,39,5,11,9
"S00145672",101,48,18,3,18,15
"S00145673",79,29,30,3,10,7
"S00145674",75,28,16,3,14,12
"S00145675",82,26,33,1,9,10
"S00145676",82,30,26,4,14,11
"S00145677",108,57,32,2,14,4
"S00145678",82,25,26,7,15,12
"S00145679",84,47,14,5,14,6
"S00145680",63,23,17,4,14,5
"S00145681",80,28,32,2,7,7
"S00145682",58,21,16,5,15,5
"S00145683",82,46,20,4,6,9
"S00145684",84,31,41,1,5,2
"S00145685",124,36,63,2,14,11
"S00145686",57,22,21,1,6,5
"S00145687",78,28,21,4,12,10
"S00145688",120,34,58,6,10,9
"S00145689",106,31,53,1,9,12
"S00145690",96,29,54,-,11,2
"S00145691",55,34,8,-,7,7
"S00145692",97,23,53,-,12,7
"S00145693",96,31,44,-,12,7
"S00145694",86,25,49,3,5,7
"S00145695",78,29,32,3,6,5
"S00145696",123,34,53,3,15,19
"S00145697",63,34,13,1,9,6
"S00145698",55,16,22,-,7,11
"S00145699",92,34,34,4,12,10
"S00145700",103,45,38,2,12,6
"S00145701",80,27,34,2,12,8
"S00145702",48,16,20,4,7,2
"S00145703",121,16,84,-,10,7
"S00145704",82,39,31,1,8,3
"S00145705",92,20,58,-,6,6
"S00145706",125,76,25,2,17,3
"S00145707",78,28,23,7,10,13
"S00145708",80,23,46,3,2,9
"S00145709",83,28,35,2,9,11
"S00145710",78,31,24,6,12,6
"S00145711",100,18,71,-,4,6
"S00145712",84,51,15,6,6,6
"S00145713",69,11,42,-,2,7
"S00145714",100,36,40,3,17,7
"S00145715",109,29,52,2,14,12
"S00145716",52,22,11,5,14,5
"S00145717",89,42,26,-,9,10
"S00145718",57,22,22,-,5,8
"S00145719",82,34,24,7,11,6
"S00145720",53,12,33,-,4,8
"S00145721",75,24,31,-,4,10
"S00145722",70,13,47,-,6,2
