Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00135783",135,58,41,3,27,4
"S00135784",64,30,21,4,6,3
"S00135785",55,30,21,2,7,2
"S00135786",114,55,37,6,10,6
"S00135787",51,24,16,1,5,2
"S00135788",93,30,42,2,14,6
"S00135789",80,22,31,2,23,4
"S00135790",91,50,19,3,14,3
"S00135791",143,82,20,4,31,9
"S00135792",70,35,23,-,9,2
"S00135793",76,36,29,3,12,2
"S00135794",117,34,70,1,9,6
"S00135795",78,40,25,3,7,3
"S00135796",88,38,30,4,10,7
"S00135797",194,132,49,1,3,4
"S00135798",72,45,16,3,4,5
"S00135799",141,68,52,2,13,9
"S00135800",88,38,28,4,6,9
"S00135801",65,33,18,2,6,3
"S00135802",68,31,19,4,6,7
"S00135803",83,44,23,2,7,13
"S00135804",92,30,35,2,11,10
"S00135805",66,36,15,-,11,6
"S00135806",90,44,38,2,8,2
"S00135807",85,53,10,8,8,6
"S00135808",99,37,30,5,11,16
"S00135809",81,37,22,3,13,8
"S00135810",94,25,58,-,7,2
"S00135811",125,54,48,5,12,3
"S00135812",92,47,20,5,14,6
"S00135813",89,53,23,3,7,3
"S00135814",57,36,11,3,7,-
"S00135815",66,16,15,6,19,10
"S00135816",91,35,39,4,11,2
"S00135817",94,40,36,-,10,11
"S00135818",91,50,25,3,17,3
"S00135819",89,37,38,1,9,4
"S00135820",126,58,47,2,13,6
"S00135821",68,23,34,1,4,6
"S00135822",88,57,21,4,7,5
"S00135823",122,68,34,7,10,3
"S00135824",142,57,63,5,5,12
"S00135825",75,28,28,6,9,4
"S00135826",69,37,22,1,8,1
"S00135827",50,19,20,-,4,8
"S00135828",111,64,32,6,13,5
"S00135829",81,29,13,5,26,11
"S00135830",60,21,19,1,10,7
"S00135831",96,37,47,2,4,6
"S00135832",148,65,46,10,21,4
"S00135833",97,33,44,3,9,4
"S00135834",86,42,35,5,4,1
"S00135835",130,65,31,4,17,11
"S00135836",84,29,46,-,7,1
"S00135837",106,49,39,3,14,4
"S00135838",155,98,40,1,8,7
"S00135839",225,176,31,6,9,4
"S00135840",128,57,58,2,8,1
"S00135841",59,21,22,1,7,8
"S00135842",75,32,27,1,8,7
"S00135843",72,21,12,2,16,20
"S00135844",55,27,13,1,10,10
"S00135845",66,23,28,4,3,4
"S00135846",102,32,48,4,11,7
"S00135847",214,180,14,5,6,9
"S00135848",89,55,19,2,12,-
"S00135849",68,25,18,2,14,6
"S00135850",69,24,41,-,3,4
"S00135851",91,42,42,4,4,1
"S00135852",63,46,10,2,2,-
"S00135853",78,23,14,1,13,27
"S00135854",65,19,34,2,5,2
"S00135855",96,45,27,1,13,14
"S00135856",60,33,18,4,5,4
"S00135857",50,18,28,2,2,1
"S00135858",55,16,31,-,3,4
"S00135859",69,36,15,7,5,5
"S00135860",86,47,28,3,6,3
"S00135861",90,20,41,3,6,20
"S00135862",72,29,22,7,7,7
"S00135863",73,26,40,-,6,2
"S00135864",73,26,35,3,5,4
"S00135865",89,42,31,-,13,6
"S00135866",73,39,27,3,7,-
"S00135867",89,41,30,1,10,7
"S00135868",102,52,40,3,6,2
"S00135869",62,14,41,2,3,1
"S00135870",74,49,20,-,3,5
"S00135871",137,80,52,-,6,4
"S00135872",86,23,17,3,19,28
"S00135873",98,28,49,-,8,7
"S00135874",101,59,33,1,5,1
"S00135875",98,33,50,2,1,4
"S00135876",85,42,26,1,6,10
"S00135877",124,42,59,3,16,7
"S00135878",131,69,48,5,7,2
"S00135879",72,20,38,2,5,8
"S00135880",173,138,20,5,6,4
"S00135881",99,39,43,1,8,8
"S00135882",85,34,37,3,8,3
"S00135883",61,20,30,2,-,7
"S00135884",59,13,32,2,6,6
"S00135885",80,45,15,3,9,8
"S00135886",76,36,22,2,12,4
"S00135887",65,37,17,1,4,4
"S00135888",86,55,22,1,5,1
"S00135889",60,14,41,-,3,1
"S00135890",74,27,35,-,1,7
"S00135891",67,23,28,2,8,6
"S00135892",98,34,52,3,7,5
"S00135893",95,48,41,-,5,1
"S00135894",100,29,54,2,13,4
"S00135895",126,62,31,8,20,9
"S00135896",134,72,27,3,23,7
"S00135897",129,76,22,7,16,4
"S00135898",98,39,50,2,5,5
"S00135899",72,36,25,2,8,1
"S00135900",115,78,18,2,11,6
"S00135901",92,34,36,-,10,15
"S00135902",72,25,30,-,13,4
"S00135903",89,51,25,3,8,2
"S00135904",64,29,20,2,6,7
"S00135905",69,27,14,3,13,8
"S00135906",51,24,18,-,5,3
"S00135907",99,76,14,2,3,-
"S00135908",90,33,40,-,10,7
"S00135909",54,25,19,2,5,4
"S00135910",67,29,21,2,9,5
"S00135911",87,28,49,2,2,6
"S00135912",110,74,30,3,2,2
"S00135913",104,57,44,-,3,-
"S00135914",93,35,46,3,6,3
"S00135915",128,59,54,1,5,6
"S00135916",82,37,33,-,9,2
"S00135917",118,45,52,2,12,13
"S00135918",91,36,35,1,8,12
"S00135919",73,27,33,2,3,6
"S00135920",100,26,48,1,13,14
"S00135921",98,36,53,1,8,2
"S00135922",103,23,66,3,7,4
"S00135923",200,155,25,1,15,1
"S00135924",82,29,38,2,14,6
"S00135925",60,26,18,2,10,2
"S00135926",86,22,22,5,12,22
"S00135927",113,37,55,2,7,12
"S00135928",70,39,27,-,3,1
"S00135929",62,34,11,3,6,5
"S00135930",113,23,78,-,4,2
"S00135931",97,27,52,3,10,5
