Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00135509",123,21,3,37,28,34,-,-,-,-,-,-,121,21,3,37,28,35
"S00135510",108,8,12,30,27,31,2,-,-,-,2,-,105,8,12,30,24,31
"S00135511",118,5,6,58,27,23,-,-,-,-,-,-,117,5,6,58,25,23
"S00135512",118,8,11,33,34,32,8,2,-,3,3,1,110,6,11,31,31,31
"S00135513",111,14,10,30,20,37,4,5,-,1,-,-,107,11,10,29,20,37
"S00135514",112,13,12,39,22,26,4,-,1,1,-,-,108,12,11,42,21,26
"S00135515",160,17,16,32,28,64,-,-,-,-,-,-,159,17,16,32,27,64
"S00135516",143,35,13,78,13,3,2,2,-,-,1,-,138,33,13,78,12,3
"S00135517",111,12,11,53,25,10,-,-,-,-,-,-,111,12,11,53,25,10
"S00135518",82,6,11,26,15,24,-,-,-,-,-,-,82,6,11,26,15,24
"S00135519",137,8,18,29,51,31,2,-,-,1,-,1,135,8,18,28,51,30
"S00135520",141,18,11,54,39,25,4,1,-,1,-,-,143,15,11,53,39,25
"S00135521",115,12,17,63,18,6,3,-,2,2,-,-,113,12,15,62,18,6
"S00135522",89,5,5,36,21,23,2,-,-,-,2,-,87,5,5,36,19,23
"S00135523",67,2,4,9,10,43,1,-,-,-,-,1,66,2,4,9,10,42
"S00135524",110,3,4,38,29,35,4,-,-,1,3,-,106,3,4,37,26,35
"S00135525",102,15,-,79,8,-,1,-,-,1,-,-,101,15,-,78,8,-
"S00135526",104,8,12,25,23,36,3,1,-,1,3,-,99,7,12,24,21,36
"S00135527",65,13,-,17,20,21,3,1,-,1,1,-,65,9,-,19,19,21
"S00135528",166,14,14,38,36,64,3,-,-,-,-,1,163,14,14,38,35,66
"S00135529",139,7,6,29,45,50,1,-,-,-,1,-,134,7,6,29,44,50
"S00135530",85,12,4,23,18,27,4,-,-,1,1,1,82,12,4,22,18,26
"S00135531",97,11,7,26,22,27,2,-,-,2,1,-,95,11,7,25,25,27
"S00135532",97,19,10,45,9,6,2,-,1,1,-,-,95,19,12,46,9,6
"S00135533",125,15,7,53,36,17,6,2,2,2,3,-,120,14,6,51,30,17
"S00135534",111,14,13,41,34,10,2,-,-,-,2,-,109,14,13,41,31,10
"S00135535",223,25,15,54,25,107,1,-,-,-,-,1,222,25,15,54,25,106
"S00135536",183,57,12,92,18,2,8,1,-,5,4,-,173,56,12,87,16,2
"S00135537",144,15,6,30,41,49,3,1,-,-,2,-,145,13,6,30,42,49
"S00135538",91,9,4,13,21,42,4,-,-,1,2,2,86,9,4,13,19,41
"S00135539",84,12,6,24,17,25,1,-,-,1,-,-,83,12,6,23,17,25
"S00135540",143,18,10,40,34,44,5,3,1,-,1,-,138,16,8,40,30,44
"S00135541",78,4,3,12,20,37,-,-,-,-,-,-,78,4,3,12,20,37
"S00135542",171,47,11,103,8,2,4,2,-,3,-,-,169,45,11,101,8,2
"S00135543",162,31,10,114,5,-,2,1,-,4,-,-,158,30,10,110,5,-
"S00135544",96,14,6,24,21,33,3,2,-,-,1,-,96,11,6,24,20,33
"S00135545",132,7,9,45,35,36,1,-,-,1,-,-,131,7,9,44,35,36
"S00135546",86,10,5,22,23,26,4,1,-,2,2,-,82,9,5,21,21,26
"S00135547",175,33,11,63,42,30,8,1,-,4,2,1,171,32,11,59,40,29
"S00135548",85,14,6,25,20,23,-,-,-,-,-,-,85,14,6,25,20,23
"S00135549",64,9,1,15,18,18,-,-,-,-,-,-,64,9,1,15,18,18
"S00135550",118,21,15,37,24,21,8,-,2,5,2,-,112,21,11,34,23,21
"S00135551",122,18,4,55,30,14,3,-,1,1,-,-,115,18,2,54,29,14
"S00135552",127,21,20,73,6,5,4,-,1,2,-,-,117,20,19,71,6,5
"S00135553",202,27,15,51,48,61,3,-,-,2,2,-,198,27,15,50,46,61
"S00135554",84,14,4,24,13,29,5,3,-,-,1,2,79,11,4,24,12,28
"S00135555",163,20,15,42,46,41,4,1,-,-,-,-,159,19,15,41,43,41
"S00135556",100,2,12,45,26,15,4,-,-,2,-,-,96,2,11,43,26,14
"S00135557",82,13,-,29,17,27,3,-,-,-,3,-,83,13,-,28,16,27
"S00135558",146,19,13,42,37,29,5,-,-,-,-,2,143,22,13,42,37,27
"S00135559",104,10,13,48,16,18,1,-,-,-,1,-,103,10,13,48,15,18
"S00135560",104,13,6,30,29,28,-,-,-,-,-,-,104,13,6,30,29,28
"S00135561",90,17,12,33,14,14,2,2,-,-,-,-,89,16,12,33,14,14
"S00135562",89,10,7,39,18,11,1,1,-,-,-,-,84,9,7,39,18,11
"S00135563",59,15,5,28,8,3,2,-,2,-,-,-,61,15,4,28,8,3
"S00135564",103,9,4,20,23,47,3,-,-,-,-,3,100,9,4,20,23,44
"S00135565",70,11,-,19,16,24,1,-,-,-,1,-,69,11,-,19,15,24
"S00135566",97,10,9,26,24,32,4,2,-,-,-,1,93,8,8,26,24,27
"S00135567",124,25,10,37,22,30,5,1,1,1,-,2,119,24,9,36,22,28
"S00135568",147,14,10,63,26,37,2,-,-,2,-,-,148,14,10,61,26,37
"S00135569",100,11,15,28,27,17,1,-,-,-,1,-,99,11,15,28,23,17
"S00135570",111,10,13,23,18,50,1,-,-,-,-,1,110,10,13,23,18,49
"S00135571",102,11,10,43,22,16,6,-,-,5,-,2,96,11,9,40,22,14
"S00135572",115,12,14,28,25,36,-,1,-,-,-,-,113,11,14,27,25,36
"S00135573",105,19,8,29,32,18,1,-,-,-,1,-,104,19,8,29,30,18
"S00135574",94,25,5,27,14,23,2,2,-,1,-,-,88,27,5,26,14,23
