Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00135908",101,8,38,10,6,-,-,39
"S00135909",68,12,29,4,1,-,-,23
"S00135910",73,14,21,4,6,2,-,28
"S00135911",117,13,31,6,5,4,-,57
"S00135912",113,7,12,2,2,4,-,85
"S00135913",124,13,14,-,2,1,2,91
"S00135914",116,9,18,1,5,6,-,75
"S00135915",129,19,20,7,15,8,-,64
"S00135916",93,10,12,1,-,4,-,71
"S00135917",140,33,53,-,6,1,-,45
"S00135918",118,21,34,4,2,-,-,57
"S00135919",89,12,23,6,-,3,1,41
"S00135920",121,26,29,12,3,2,-,48
"S00135921",117,17,33,7,2,1,2,55
"S00135922",131,25,17,10,5,6,-,73
"S00135923",206,33,32,4,4,10,-,122
"S00135924",95,21,26,12,4,1,-,32
"S00135925",80,4,27,4,1,3,-,46
"S00135926",96,12,28,4,3,2,2,42
"S00135927",124,16,29,16,5,4,-,54
"S00135928",86,12,5,-,1,9,-,59
"S00135929",64,5,26,3,4,3,-,26
"S00135930",140,19,15,4,9,8,-,85
"S00135931",117,19,37,17,11,4,2,28
"S00135932",99,17,26,6,-,-,1,49
"S00135933",128,30,23,7,2,1,-,62
"S00135934",119,13,14,3,2,9,1,77
"S00135935",102,26,27,8,5,6,-,31
"S00135936",116,8,14,5,-,2,2,86
"S00135937",118,19,20,6,2,11,-,61
"S00135938",112,17,32,10,7,-,-,42
"S00135939",70,7,13,5,2,3,-,42
"S00135940",93,17,21,1,4,2,-,44
"S00135941",120,19,19,3,5,7,-,62
"S00135942",140,16,45,8,4,5,-,62
"S00135943",115,31,30,3,4,4,-,49
"S00135944",169,40,56,3,3,2,2,59
"S00135945",80,9,16,5,3,2,-,47
"S00135946",167,23,22,6,11,6,2,99
"S00135947",126,14,40,8,7,10,-,53
"S00135948",129,15,21,3,3,4,-,84
"S00135949",167,16,35,10,6,6,1,93
"S00135950",77,16,10,4,1,2,-,42
"S00135951",133,18,15,2,2,7,1,83
"S00135952",72,9,6,3,3,-,-,55
"S00135953",113,16,17,2,1,9,-,68
"S00135954",143,22,14,1,8,-,-,96
"S00135955",130,24,43,3,1,1,-,53
"S00135956",115,25,36,3,9,2,1,46
"S00135957",103,10,21,2,2,4,-,62
"S00135958",80,18,15,10,1,3,3,27
"S00135959",127,23,30,16,8,4,2,46
"S00135960",161,25,54,11,7,1,-,62
"S00135961",171,29,48,4,4,3,-,82
"S00135962",98,16,15,6,10,5,1,43
"S00135963",191,20,34,9,8,8,-,110
"S00135964",109,22,17,2,1,5,-,62
"S00135965",101,10,9,-,4,6,-,71
"S00135966",82,6,24,6,4,1,-,42
"S00135967",106,22,9,5,8,-,-,59
"S00135968",150,16,64,6,6,-,2,55
"S00135969",74,11,8,-,3,5,1,43
"S00135970",103,16,29,12,6,-,-,43
"S00135971",115,20,26,2,2,2,1,60
"S00135972",92,14,24,3,2,3,-,45
"S00135973",120,7,31,7,6,-,-,67
"S00135974",95,23,31,1,4,5,-,33
"S00135975",82,15,27,2,5,-,-,34
"S00135976",112,14,11,3,8,7,-,67
"S00135977",75,12,29,8,2,1,-,24
"S00135978",120,10,21,8,8,9,-,63
"S00135979",88,9,45,7,-,1,1,25
"S00135980",102,16,16,4,-,3,1,62
"S00135981",149,17,26,7,5,7,-,91
"S00135982",88,21,12,2,-,2,-,47
"S00135983",116,14,20,5,4,7,-,66
"S00135984",112,19,32,8,4,-,-,50
"S00135985",113,15,23,2,4,4,-,65
"S00135986",125,8,46,3,1,3,2,62
"S00135987",77,15,12,1,6,8,-,32
"S00135988",69,12,11,2,4,4,-,33
"S00135989",93,13,22,5,4,3,1,45
"S00135990",65,8,9,4,11,11,-,23
"S00135991",71,6,11,1,5,2,-,46
"S00135992",94,23,40,8,6,1,-,16
"S00135993",100,10,21,7,12,4,1,45
"S00135994",171,30,30,3,8,5,-,95
"S00135995",64,6,6,1,1,1,-,49
"S00135996",169,23,30,3,3,8,-,102
"S00135997",118,18,36,5,5,3,-,48
"S00135998",93,16,11,4,4,3,-,59
"S00135999",93,18,18,4,3,4,4,45
"S00136000",125,22,27,8,5,4,-,63
"S00136001",75,4,16,5,2,3,1,45
"S00136002",100,17,16,11,5,2,-,48
"S00136003",70,2,12,-,-,18,-,36
"S00136004",73,16,22,2,1,-,-,30
"S00136005",138,27,27,12,3,2,-,65
"S00136006",62,5,10,-,4,-,-,41
"S00136007",162,17,46,7,5,2,2,84
"S00136008",76,7,17,4,2,2,-,46
"S00136009",109,20,35,3,3,-,1,47
"S00136010",131,28,26,1,12,4,1,63
"S00136011",122,21,32,14,7,-,-,48
"S00136012",108,11,31,4,4,2,-,53
"S00136013",87,16,14,2,2,-,-,51
"S00136014",119,17,25,10,3,-,-,62
"S00136015",112,24,27,2,4,4,-,51
"S00136016",116,12,12,3,3,9,-,77
"S00136017",146,22,18,4,9,11,1,84
"S00136018",150,19,11,1,4,11,-,104
"S00136019",870,102,114,12,18,92,1,531
"S00136020",132,20,44,6,7,2,2,51
"S00136021",63,11,10,2,-,3,-,36
"S00136022",124,17,35,1,5,1,-,62
"S00136023",65,12,24,5,3,1,-,19
"S00136024",84,9,17,3,7,-,-,51
"S00136025",108,16,38,6,8,2,-,37
"S00136026",139,14,20,2,8,11,-,85
"S00136027",70,6,16,3,5,6,-,34
"S00136028",65,5,11,5,2,4,-,30
"S00136029",89,10,15,6,3,6,-,49
"S00136030",140,8,19,4,5,6,-,98
"S00136031",117,24,25,10,5,7,-,49
"S00136032",108,23,15,5,2,5,1,62
"S00136033",140,16,29,4,6,4,-,81
"S00136034",108,13,21,1,5,4,-,61
"S00136035",128,9,19,5,4,7,-,83
"S00136036",106,18,21,3,1,9,-,55
"S00136037",92,24,19,1,3,-,-,49
"S00136038",79,15,28,2,-,4,-,29
"S00136039",82,10,21,-,1,10,-,40
"S00136040",82,18,29,2,-,-,-,34
"S00136041",142,12,39,19,9,-,1,61
"S00136042",112,22,40,7,7,1,1,29
"S00136043",84,11,34,1,-,1,-,36
"S00136044",62,6,15,6,3,2,-,29
"S00136045",145,26,55,5,6,3,1,49
"S00136046",88,8,36,8,-,5,-,32
"S00136047",124,25,20,2,1,-,-,70
"S00136048",104,14,41,6,6,-,-,37
"S00136049",144,20,19,7,8,7,-,83
"S00136050",143,14,17,5,10,-,-,94
"S00136051",110,22,28,11,4,4,-,41
"S00136052",62,19,5,6,2,3,-,24
"S00136053",91,10,28,6,3,1,2,41
"S00136054",115,10,32,2,9,7,-,53
"S00136055",123,16,47,8,4,3,1,44
"S00136056",93,20,26,3,4,2,-,35
"S00136057",127,10,36,2,7,4,-,69
"S00136058",249,38,37,7,8,11,-,145
"S00136059",90,20,31,11,5,1,-,23
"S00136060",98,14,24,7,4,7,-,43
"S00136061",400,33,46,7,7,34,-,271
"S00136062",83,17,13,5,-,1,-,48
"S00136063",101,13,32,4,4,2,2,45
"S00136064",140,15,26,4,6,3,-,87
"S00136065",99,20,18,2,6,-,-,58
"S00136066",61,14,17,2,4,3,-,18
"S00136067",63,15,12,1,4,1,-,35
"S00136068",118,23,15,6,4,7,2,61
"S00136069",134,31,47,4,3,-,1,48
"S00136070",75,17,14,2,5,5,2,33
"S00136071",191,16,33,8,5,5,-,123
"S00136072",77,13,15,5,-,4,-,40
"S00136073",100,10,24,4,4,4,-,51
"S00136074",88,13,27,5,2,-,1,40
"S00136075",96,11,11,2,5,7,-,58
"S00136076",118,13,19,1,4,5,3,75
"S00136077",97,13,21,2,4,6,-,49
"S00136078",205,34,37,8,19,7,-,99
"S00136079",62,12,14,2,2,1,-,30
"S00136080",138,14,52,12,5,4,-,52
"S00136081",81,9,8,-,-,7,-,61
"S00136082",66,13,12,3,2,1,-,35
"S00136083",100,19,20,1,2,3,-,53
"S00136084",95,13,33,5,6,5,-,33
"S00136085",82,14,25,8,1,2,-,37
"S00136086",89,16,7,2,5,5,-,51
"S00136087",97,17,16,4,6,7,1,46
"S00136088",84,11,16,6,6,4,-,45
"S00136089",156,31,46,7,9,6,-,57
"S00136090",103,18,32,-,5,2,-,46
"S00136091",131,13,36,5,5,-,-,71
"S00136092",168,33,57,8,8,1,2,56
"S00136093",116,19,24,8,4,2,-,59
"S00136094",91,18,14,8,3,1,-,48
"S00136095",62,12,30,3,3,-,-,14
"S00136096",151,23,7,3,4,3,-,112
"S00136097",150,18,24,2,4,10,2,89
"S00136098",91,17,38,7,3,-,-,26
"S00136099",143,31,48,13,7,3,-,42
"S00136100",190,16,19,7,4,10,4,132
"S00136101",102,27,25,7,5,-,-,40
"S00136102",105,18,20,-,11,-,-,55
"S00136103",91,17,24,7,1,1,1,39
"S00136104",102,9,16,6,5,4,1,57
"S00136105",141,30,15,2,4,2,-,88
"S00136106",91,18,10,-,3,-,-,59
"S00136107",121,14,14,3,2,3,1,89
"S00136108",148,21,36,5,6,4,2,72
"S00136109",105,21,30,4,6,3,-,38
"S00136110",84,10,29,2,8,1,-,30
"S00136111",116,14,16,3,5,7,-,71
"S00136112",137,15,41,4,7,1,-,65
"S00136113",84,19,29,3,2,2,-,29
"S00136114",153,18,22,9,4,7,1,93
"S00136115",128,12,13,1,8,15,-,76
"S00136116",83,9,10,-,5,-,-,59
"S00136117",99,9,19,4,2,5,-,57
"S00136118",78,10,28,-,3,1,-,35
"S00136119",81,18,25,5,3,-,4,26
"S00136120",88,9,28,14,7,-,-,30
"S00136121",122,15,24,10,8,4,-,60
"S00136122",119,15,18,2,3,2,-,79
"S00136123",154,23,16,2,10,6,-,97
"S00136124",79,10,27,3,7,1,-,30
"S00136125",97,10,35,6,8,3,-,35
"S00136126",88,9,26,-,5,-,-,51
"S00136127",144,13,44,13,7,-,-,64
"S00136128",69,9,13,4,2,1,1,37
"S00136129",103,9,30,4,3,4,-,53
"S00136130",73,6,23,1,2,5,-,36
"S00136131",81,13,19,1,6,6,-,36
"S00136132",80,4,37,3,4,-,1,27
"S00136133",114,26,9,7,6,2,2,62
"S00136134",88,10,26,2,3,4,-,42
"S00136135",79,15,23,5,2,3,-,31
"S00136136",72,12,20,3,2,2,-,33
"S00136137",94,8,30,9,-,2,-,44
"S00136138",83,20,34,8,1,-,-,20
"S00136139",81,10,43,2,1,-,-,22
"S00136140",119,11,53,6,-,4,-,44
"S00136141",70,13,13,-,5,4,-,35
"S00136142",114,7,17,-,3,9,-,78
"S00136143",64,6,15,2,2,8,-,31
"S00136144",138,29,36,3,14,10,-,46
"S00136145",285,34,46,9,7,14,-,177
"S00136146",111,11,12,1,2,5,-,80
"S00136147",65,12,19,1,-,4,-,30
"S00136148",97,22,24,5,4,1,-,38
"S00136149",80,12,39,5,4,2,-,18
"S00136150",111,10,14,3,2,10,1,74
"S00136151",71,17,21,2,1,-,-,29
"S00136152",81,11,25,2,9,1,-,32
"S00136153",75,5,13,-,2,5,-,45
"S00136154",113,10,15,6,3,6,-,71
"S00136155",115,19,23,8,9,7,1,50
"S00136156",117,3,14,1,-,10,-,89
"S00136157",60,6,9,-,1,5,-,42
"S00136158",132,21,38,13,4,6,-,50
"S00136159",86,14,23,10,2,-,1,37
"S00136160",77,16,25,3,7,-,1,27
"S00136161",100,20,32,5,4,2,-,40
"S00136162",124,23,45,9,-,-,2,44
"S00136163",70,15,23,1,4,3,-,24
"S00136164",84,12,23,1,4,-,-,44
"S00136165",61,7,26,-,1,3,-,23
"S00136166",66,10,15,4,1,5,-,30
"S00136167",83,12,37,4,-,1,-,25
"S00136168",103,10,21,3,3,4,-,58
"S00136169",63,9,15,-,4,1,1,35
"S00136170",72,6,23,3,1,4,1,34
"S00136171",63,3,15,-,4,3,-,37
"S00136172",83,8,8,2,6,4,1,54
"S00136173",63,8,22,2,-,2,-,25
"S00136174",127,24,21,-,4,10,-,67
"S00136175",75,9,25,3,6,4,-,28
"S00136176",137,27,42,14,11,1,-,43
"S00136177",95,13,35,3,3,2,1,39
"S00136178",102,15,23,8,3,3,-,52
"S00136179",98,13,28,5,3,4,-,45
"S00136180",128,25,16,3,4,5,-,72
"S00136181",63,4,16,1,4,4,-,34
"S00136182",118,25,33,5,6,-,-,51
"S00136183",117,18,38,6,7,-,1,46
"S00136184",123,9,36,3,9,2,-,61
"S00136185",98,7,9,-,3,6,-,74
"S00136186",100,12,22,1,-,4,-,59
"S00136187",97,17,37,1,4,1,-,37
"S00136188",57,7,10,1,1,-,-,37
"S00136189",87,13,18,6,-,3,2,48
"S00136190",80,17,17,-,2,7,-,37
"S00136191",107,16,11,-,1,5,1,75
"S00136192",141,18,12,2,1,4,1,104
"S00136193",122,18,17,4,6,7,-,73
"S00136194",131,15,21,8,2,5,-,78
"S00136195",385,46,48,6,9,36,1,240
"S00136196",76,8,13,2,6,12,-,36
"S00136197",107,13,18,2,3,10,-,60
"S00136198",118,19,47,7,5,1,-,43
"S00136199",64,4,18,2,3,3,1,38
"S00136200",66,4,22,3,5,-,1,31
"S00136201",88,11,28,-,2,8,-,38
"S00136202",78,16,18,1,3,1,1,38
"S00136203",96,8,26,8,10,2,-,41
"S00136204",122,19,13,6,8,15,2,63
"S00136205",75,20,10,3,-,4,-,39
"S00136206",101,16,24,5,3,-,-,53
"S00136207",67,10,5,4,1,3,-,44
"S00136208",87,11,20,5,5,1,-,40
"S00136209",97,8,29,6,7,2,-,42
"S00136210",164,35,27,4,13,5,-,78
"S00136211",85,8,14,3,4,1,-,58
"S00136212",89,9,30,9,4,2,2,29
"S00136213",75,8,22,1,1,2,-,40
"S00136214",111,25,26,1,1,2,-,53
"S00136215",94,17,35,4,6,2,3,27
"S00136216",113,10,14,-,2,8,-,81
"S00136217",130,10,46,16,6,1,-,47
"S00136218",192,23,19,5,6,7,-,129
"S00136219",74,12,5,8,7,2,-,39
"S00136220",105,3,19,9,5,6,4,58
"S00136221",66,16,10,1,5,5,-,31
"S00136222",60,14,22,4,-,1,-,19
"S00136223",180,32,33,12,11,8,-,86
"S00136224",78,5,15,2,3,7,-,44
"S00136225",107,8,34,7,8,5,-,46
"S00136226",101,9,34,14,4,2,-,38
"S00136227",75,10,20,4,4,-,-,43
"S00136228",171,33,72,4,1,3,1,51
"S00136229",97,12,31,4,4,-,-,40
"S00136230",93,16,23,7,4,7,-,42
"S00136231",104,18,41,7,6,5,-,29
"S00136232",156,25,36,8,8,3,2,77
"S00136233",72,14,14,-,3,2,-,41
"S00136234",95,15,22,3,6,4,-,47
"S00136235",61,14,12,1,4,3,-,26
"S00136236",450,63,74,11,15,28,1,258
"S00136237",154,17,26,2,2,8,1,97
"S00136238",119,16,18,2,2,4,-,79
"S00136239",310,35,48,9,4,27,-,186
"S00136240",98,29,23,6,4,2,-,37
"S00136241",72,5,16,2,-,6,1,42
"S00136242",107,13,19,5,-,5,-,65
"S00136243",83,11,12,-,2,7,2,53
"S00136244",138,30,48,12,6,-,1,42
"S00136245",589,76,102,13,16,37,1,344
"S00136246",76,16,13,2,2,1,2,39
"S00136247",128,17,58,9,6,4,-,37
"S00136248",122,28,27,3,3,9,1,52
"S00136249",89,11,30,6,6,4,-,30
"S00136250",95,24,26,4,3,4,-,37
"S00136251",108,10,13,3,4,7,-,71
"S00136252",88,10,29,2,2,-,-,48
"S00136253",72,4,10,2,3,4,-,48
"S00136254",131,21,16,-,1,7,-,86
"S00136255",104,15,21,10,2,10,-,52
"S00136256",103,15,48,9,3,-,-,28
"S00136257",114,6,21,10,7,2,3,71
"S00136258",103,19,34,2,2,1,-,49
"S00136259",244,55,55,12,2,3,-,119
"S00136260",74,9,20,6,3,1,-,31
"S00136261",95,12,23,5,-,4,-,55
"S00136262",106,15,16,-,4,3,-,67
"S00136263",85,13,15,6,-,2,-,46
"S00136264",102,9,15,-,4,2,-,65
"S00136265",107,9,11,3,4,1,-,78
"S00136266",88,20,19,3,7,4,-,35
"S00136267",96,12,10,3,2,12,-,56
"S00136268",114,16,38,1,1,4,-,52
"S00136269",92,12,17,1,7,4,-,54
"S00136270",83,8,14,3,3,5,-,48
"S00136271",119,16,12,3,7,5,1,72
"S00136272",119,28,38,6,3,-,-,45
"S00136273",66,12,19,2,2,-,-,30
"S00136274",91,12,17,3,4,2,-,54
"S00136275",125,19,24,4,7,9,-,68
"S00136276",107,22,36,6,3,1,-,39
"S00136277",67,15,6,4,4,4,-,34
"S00136278",96,19,10,1,2,5,-,58
"S00136279",58,1,14,1,-,8,-,35
"S00136280",103,10,41,3,3,-,1,43
"S00136281",123,28,16,5,5,12,2,59
"S00136282",62,4,28,6,-,2,1,17
"S00136283",68,15,14,3,2,-,-,34
"S00136284",143,14,33,4,4,6,2,80
"S00136285",108,15,23,-,-,12,-,55
"S00136286",102,18,15,2,2,6,-,57
"S00136287",82,17,20,1,5,4,-,35
"S00136288",135,20,28,4,8,3,-,79
"S00136289",171,36,50,11,4,6,1,65
"S00136290",148,30,21,8,9,10,-,70
"S00136291",98,16,10,1,5,3,2,61
"S00136292",118,30,35,10,5,2,-,36
"S00136293",84,15,10,2,7,12,-,38
"S00136294",93,29,20,12,2,9,-,26
"S00136295",83,11,25,-,2,1,-,44
"S00136296",80,14,14,4,2,7,1,44
"S00136297",115,21,28,4,4,3,3,53
"S00136298",129,18,31,5,4,8,-,66
"S00136299",127,22,19,-,12,13,-,61
"S00136300",102,20,32,11,3,4,-,39
"S00136301",131,19,25,1,3,7,-,77
"S00136302",130,21,29,1,6,1,-,76
"S00136303",124,31,22,6,8,6,-,47
"S00136304",87,13,15,2,4,1,-,52
"S00136305",125,16,13,-,2,7,2,84
"S00136306",89,9,19,8,3,3,-,42
"S00136307",115,13,13,1,3,3,1,81
"S00136308",180,37,23,6,8,14,-,91
"S00136309",143,12,35,1,3,3,-,89
"S00136310",189,22,21,7,3,8,-,128
"S00136311",104,24,18,4,3,1,-,52
"S00136312",124,18,14,2,6,9,-,77
"S00136313",79,5,20,3,2,2,-,46
"S00136314",89,10,17,3,7,5,3,49
"S00136315",81,6,14,2,-,8,-,53
"S00136316",98,10,19,2,4,-,-,64
"S00136317",105,14,20,6,9,2,2,53
"S00136318",95,14,22,2,6,2,-,49
"S00136319",78,9,13,3,1,5,-,46
"S00136320",66,5,9,8,5,4,-,37
"S00136321",92,13,7,3,4,8,-,55
"S00136322",72,9,29,6,3,1,-,22
"S00136323",106,7,36,6,10,6,-,40
"S00136324",75,12,10,4,1,6,-,46
"S00136325",141,11,19,3,9,12,-,80
"S00136326",86,17,8,1,6,6,-,47
"S00136327",61,5,32,1,1,-,-,24
"S00136328",63,17,13,3,5,5,1,16
"S00136329",109,12,45,7,4,2,1,34
"S00136330",143,14,30,2,2,6,-,85
"S00136331",74,14,16,5,3,4,-,33
"S00136332",99,13,35,5,4,2,-,44
"S00136333",417,58,44,8,16,30,-,261
"S00136334",113,20,22,3,3,6,-,58
"S00136335",79,7,7,-,2,2,-,61
"S00136336",102,16,20,4,6,4,3,49
"S00136337",127,19,38,-,6,2,1,60
"S00136338",94,8,15,4,-,2,-,69
"S00136339",104,14,31,10,7,1,1,40
"S00136340",81,11,14,1,6,6,1,47
"S00136341",58,5,13,-,1,5,3,33
"S00136342",74,10,9,4,1,5,-,40
"S00136343",110,16,25,1,3,4,3,60
"S00136344",63,8,8,2,4,3,-,38
"S00136345",113,18,17,4,4,7,2,60
"S00136346",89,24,10,4,3,5,-,45
"S00136347",70,11,17,3,2,2,2,34
"S00136348",117,26,33,4,5,2,1,50
"S00136349",102,13,25,-,3,4,-,56
"S00136350",84,15,19,4,2,-,-,41
"S00136351",110,18,12,3,8,9,-,61
"S00136352",65,11,17,3,2,1,-,35
"S00136353",124,23,41,3,6,-,1,52
"S00136354",79,14,21,5,9,2,-,28
"S00136355",99,11,23,4,1,2,-,56
"S00136356",56,6,9,-,-,4,-,33
"S00136357",97,19,21,4,3,4,2,44
"S00136358",129,9,27,1,1,4,1,86
"S00136359",78,15,19,-,3,4,2,42
"S00136360",74,18,15,2,3,3,-,34
"S00136361",68,10,11,1,2,4,1,41
"S00136362",127,7,15,2,4,9,-,83
"S00136363",87,18,15,1,5,6,-,42
"S00136364",78,11,11,-,3,7,-,48
"S00136365",157,22,69,3,4,3,-,55
"S00136366",124,27,32,5,-,1,-,54
"S00136367",85,17,14,2,3,4,-,45
"S00136368",77,16,20,4,3,1,-,35
"S00136369",123,26,51,7,3,1,-,35
"S00136370",160,13,19,3,2,12,-,107
"S00136371",73,13,10,2,4,3,-,40
"S00136372",119,17,48,6,3,-,-,42
"S00136373",116,12,31,2,8,7,2,56
"S00136374",154,21,50,4,4,6,2,61
"S00136375",147,24,43,8,-,5,1,66
"S00136376",107,12,18,1,7,5,-,61
"S00136377",71,9,10,4,4,3,-,41
"S00136378",93,26,8,1,-,1,1,55
"S00136379",89,12,10,5,-,2,-,58
"S00136380",112,21,32,-,5,4,-,54
"S00136381",74,10,6,1,-,2,1,53
"S00136382",122,21,21,1,2,2,-,75
"S00136383",102,11,16,2,8,6,1,59
"S00136384",78,7,21,3,1,1,-,45
"S00136385",111,14,20,5,2,6,-,69
"S00136386",85,14,31,6,6,-,-,30
"S00136387",127,17,22,4,5,6,-,73
"S00136388",84,6,20,1,4,3,-,50
"S00136389",149,37,22,8,3,9,-,70
"S00136390",94,16,20,-,5,3,1,46
"S00136391",82,17,19,4,3,4,-,35
"S00136392",74,15,20,2,1,5,-,31
"S00136393",67,11,40,3,2,-,-,16
"S00136394",78,13,22,5,-,1,-,36
"S00136395",185,29,30,5,6,8,1,106
"S00136396",64,6,19,5,-,4,-,30
"S00136397",140,19,24,2,7,4,2,83
"S00136398",77,11,11,4,3,5,-,44
"S00136399",67,13,14,4,5,-,-,31
"S00136400",77,17,16,6,3,2,-,38
"S00136401",92,6,19,3,3,2,1,58
"S00136402",111,5,18,5,10,5,-,69
"S00136403",124,19,11,-,7,5,1,80
"S00136404",76,15,7,4,2,2,-,51
"S00136405",101,12,13,2,3,8,2,63
"S00136406",79,10,10,2,-,6,1,50
"S00136407",99,9,20,5,5,7,6,41
"S00136408",173,17,21,5,9,7,-,113
"S00136409",109,19,32,6,2,3,-,49
"S00136410",143,21,17,6,4,6,-,89
"S00136411",74,14,14,1,-,3,-,40
"S00136412",65,12,9,3,5,5,-,32
"S00136413",69,16,8,-,-,4,-,44
"S00136414",116,26,24,5,12,1,-,49
"S00136415",95,19,16,3,5,3,2,47
"S00136416",139,21,24,5,7,4,-,75
"S00136417",89,9,7,3,-,4,-,63
"S00136418",88,15,10,-,5,-,-,51
"S00136419",117,21,17,5,6,3,-,64
"S00136420",89,12,22,2,5,6,2,42
"S00136421",64,12,20,-,1,-,-,30
"S00136422",162,30,30,4,8,5,3,80
"S00136423",101,20,18,4,7,5,-,54
"S00136424",126,13,12,3,1,3,4,92
"S00136425",103,10,13,9,2,6,1,64
"S00136426",78,12,10,3,4,4,-,45
"S00136427",89,15,18,5,4,3,-,46
"S00136428",109,19,39,2,2,3,-,49
"S00136429",141,18,15,4,9,15,1,81
"S00136430",80,10,14,2,-,6,2,44
"S00136431",154,31,23,4,11,11,-,74
"S00136432",110,14,17,-,2,9,-,65
"S00136433",112,25,25,7,7,3,-,45
"S00136434",65,15,14,-,-,8,1,27
"S00136435",75,9,13,4,4,-,-,43
"S00136436",111,10,17,2,7,-,-,75
"S00136437",178,28,19,6,7,6,-,112
"S00136438",132,18,24,4,3,9,-,76
"S00136439",155,24,41,4,6,3,1,75
"S00136440",75,9,7,1,3,4,-,51
"S00136441",93,14,21,1,4,-,-,50
"S00136442",91,11,11,1,3,4,-,60
"S00136443",74,7,28,3,7,2,-,27
"S00136444",88,13,24,4,2,-,-,47
"S00136445",100,17,17,2,6,8,1,49
"S00136446",118,21,33,3,6,4,-,51
"S00136447",96,17,16,2,4,3,1,58
"S00136448",62,9,23,2,1,-,-,25
"S00136449",115,20,19,2,6,9,2,57
"S00136450",72,9,18,1,5,5,-,29
"S00136451",105,14,13,5,9,6,-,58
"S00136452",93,12,32,12,-,2,-,34
"S00136453",96,14,18,5,2,3,-,48
"S00136454",63,5,9,1,5,-,1,37
"S00136455",116,16,27,1,9,9,-,50
"S00136456",102,16,20,3,6,2,-,50
"S00136457",96,13,11,4,4,3,-,61
"S00136458",108,14,16,1,10,6,1,62
"S00136459",61,8,7,3,2,4,-,34
"S00136460",87,13,9,1,4,7,-,54
"S00136461",164,37,26,4,9,10,1,74
"S00136462",84,11,17,-,5,2,-,49
"S00136463",157,35,13,3,-,6,-,100
"S00136464",71,9,10,2,5,8,-,34
"S00136465",86,20,14,2,11,7,3,35
"S00136466",81,7,24,-,2,4,1,45
"S00136467",96,13,49,1,8,3,1,21
"S00136468",163,27,15,8,2,10,2,98
"S00136469",92,13,19,2,2,7,3,47
"S00136470",94,25,20,1,2,13,-,36
"S00136471",69,10,8,2,-,1,1,50
"S00136472",64,4,6,-,2,1,-,51
"S00136473",69,6,11,-,-,-,1,51
"S00136474",81,14,11,3,1,1,-,51
"S00136475",96,23,24,5,4,6,-,38
"S00136476",69,10,10,2,6,4,-,33
"S00136477",86,14,8,-,5,6,-,53
"S00136478",68,7,8,-,4,3,-,50
"S00136479",116,11,16,1,6,3,-,79
"S00136480",104,16,22,8,2,10,-,46
"S00136481",82,7,18,4,4,1,-,52
"S00136482",134,25,26,9,10,4,1,59
"S00136483",100,17,19,3,4,5,-,58
"S00136484",111,25,17,5,7,4,-,55
"S00136485",100,14,11,3,15,7,-,52
"S00136486",105,11,11,1,4,10,3,70
"S00136487",91,19,8,1,5,8,-,51
"S00136488",85,8,11,2,2,5,-,56
"S00136489",74,9,19,-,2,4,-,40
"S00136490",111,9,11,3,3,1,-,83
"S00136491",93,15,13,-,2,3,-,61
"S00136492",106,8,14,5,2,2,-,77
"S00136493",119,18,21,2,5,1,-,72
"S00136494",176,33,27,7,7,11,-,88
"S00136495",74,9,6,-,2,4,-,56
"S00136496",85,13,26,3,8,-,-,34
"S00136497",93,14,10,4,1,4,1,61
"S00136498",92,15,19,2,3,2,1,49
"S00136499",125,23,12,5,4,4,-,79
"S00136500",106,18,13,8,7,4,-,64
"S00136501",74,17,15,1,8,2,-,31
"S00136502",130,20,22,10,9,2,1,66
"S00136503",89,9,13,3,2,-,-,59
"S00136504",113,18,7,1,4,9,2,72
"S00136505",128,19,34,8,19,4,-,43
"S00136506",107,6,23,3,6,7,-,60
"S00136507",95,21,23,4,6,4,-,37
"S00136508",132,17,10,3,10,7,2,88
"S00136509",152,18,33,3,6,7,-,86
"S00136510",96,13,4,-,1,7,3,66
"S00136511",72,14,5,-,2,3,-,48
"S00136512",59,11,3,5,1,3,-,37
"S00136513",132,41,10,3,1,5,-,74
"S00136514",177,34,23,5,1,6,-,106
"S00136515",100,16,24,5,10,7,-,42
"S00136516",104,18,9,-,4,9,-,66
"S00136517",96,10,17,7,5,8,-,49
"S00136518",193,16,30,17,4,7,-,120
"S00136519",96,25,26,4,2,1,-,37
"S00136520",186,27,46,13,18,15,1,73
"S00136521",100,15,17,7,2,5,1,56
"S00136522",104,24,16,-,4,12,1,47
"S00136523",106,16,14,4,-,7,-,61
"S00136524",86,15,10,2,4,2,3,47
"S00136525",98,13,21,3,4,3,-,51
"S00136526",75,6,9,2,3,1,-,54
"S00136527",111,18,16,2,5,4,-,62
"S00136528",62,15,8,-,7,4,-,34
"S00136529",83,4,7,1,6,7,-,58
"S00136530",98,19,27,8,8,5,2,32
"S00136531",82,10,17,7,8,-,-,41
"S00136532",138,22,33,3,7,3,1,65
"S00136533",91,18,17,3,4,2,-,39
"S00136534",115,26,20,3,5,5,-,56
"S00136535",63,10,11,1,-,4,-,40
"S00136536",96,12,17,3,3,-,-,61
