Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00135655",106,13,31,3,8,8,2,39
"S00135656",104,15,14,4,2,-,1,68
"S00135657",116,17,37,5,-,5,2,50
"S00135658",84,10,19,5,3,2,-,45
"S00135659",132,27,17,9,6,1,2,70
"S00135660",108,24,18,12,2,1,-,61
"S00135661",63,17,20,-,2,2,2,15
"S00135662",111,14,26,6,7,7,-,58
"S00135663",107,22,27,9,3,1,-,46
"S00135664",169,32,46,5,2,2,2,80
"S00135665",100,11,31,7,1,2,-,48
"S00135666",86,18,27,3,5,2,1,35
"S00135667",157,37,31,8,2,2,-,75
"S00135668",128,20,19,5,3,1,-,81
"S00135669",137,28,35,13,2,-,-,59
"S00135670",153,12,32,2,6,5,-,96
"S00135671",82,12,24,7,8,4,-,27
"S00135672",98,13,20,6,-,1,-,59
"S00135673",84,10,35,3,3,-,3,32
"S00135674",94,13,22,6,5,5,-,43
"S00135675",138,24,46,2,2,5,-,61
"S00135676",73,17,24,6,5,1,-,22
"S00135677",72,6,27,2,2,2,-,29
"S00135678",99,8,27,8,-,2,-,48
"S00135679",75,11,8,3,8,6,-,45
"S00135680",111,17,34,5,4,-,-,51
"S00135681",122,16,24,6,6,2,3,61
"S00135682",87,15,28,3,5,1,-,33
"S00135683",97,15,18,-,-,4,-,61
"S00135684",70,9,16,5,1,2,-,38
"S00135685",142,35,33,7,4,-,1,60
"S00135686",103,13,39,8,3,-,1,38
"S00135687",116,22,25,6,9,5,2,48
"S00135688",121,13,46,6,1,-,2,54
"S00135689",92,14,27,5,5,-,-,41
"S00135690",119,24,38,12,5,5,-,33
"S00135691",116,24,33,5,1,4,-,50
"S00135692",71,10,15,5,7,-,1,30
"S00135693",103,23,23,8,2,1,-,46
"S00135694",85,15,25,6,2,2,-,34
"S00135695",74,17,26,3,2,2,-,24
"S00135696",61,7,15,-,2,9,2,26
"S00135697",115,17,28,6,1,5,2,58
"S00135698",134,20,50,6,1,-,-,57
"S00135699",151,27,46,5,8,1,-,68
"S00135700",64,4,18,4,-,2,-,40
"S00135701",94,16,36,2,2,-,3,39
"S00135702",104,20,48,6,2,2,-,32
"S00135703",66,9,16,1,6,-,1,33
"S00135704",62,18,24,2,2,-,-,16
"S00135705",99,23,21,6,-,-,-,47
"S00135706",138,17,28,17,2,10,-,62
"S00135707",61,15,18,2,5,1,-,21
"S00135708",119,16,29,5,7,2,-,60
"S00135709",113,13,38,1,-,4,-,56
"S00135710",70,20,25,4,2,-,-,18
"S00135711",86,8,23,8,4,1,-,42
"S00135712",130,18,26,7,2,2,-,74
"S00135713",80,6,14,4,4,2,-,46
"S00135714",118,20,35,6,5,1,-,51
"S00135715",113,18,36,2,5,-,2,45
"S00135716",119,23,32,6,1,6,-,56
"S00135717",104,30,13,5,4,10,-,45
"S00135718",68,2,17,-,2,-,-,47
"S00135719",177,31,41,13,2,6,1,80
"S00135720",198,45,61,10,9,-,-,73
"S00135721",153,45,50,5,6,-,1,43
"S00135722",73,10,26,-,1,-,-,34
"S00135723",77,12,22,2,5,1,-,37
"S00135724",86,9,23,3,2,-,-,50
"S00135725",122,15,33,14,2,3,-,55
"S00135726",161,39,56,3,6,3,1,52
"S00135727",133,24,21,4,4,1,-,82
"S00135728",97,17,34,6,2,1,-,33
"S00135729",96,13,43,3,9,1,-,33
"S00135730",103,21,20,8,3,1,-,49
"S00135731",84,23,21,8,7,-,-,28
"S00135732",96,12,30,7,4,2,5,37
"S00135733",78,16,17,10,1,-,-,34
"S00135734",189,18,27,2,5,12,2,120
"S00135735",96,10,25,5,8,2,-,47
"S00135736",81,11,25,-,5,4,1,33
"S00135737",87,22,8,2,3,-,-,52
"S00135738",172,22,51,16,3,5,-,78
"S00135739",112,15,26,3,1,-,1,66
"S00135740",96,12,32,3,1,-,-,49
"S00135741",66,2,28,8,4,1,1,20
"S00135742",88,8,21,5,8,5,-,46
"S00135743",95,9,23,6,6,4,1,47
"S00135744",95,16,26,6,-,-,3,45
"S00135745",109,31,18,6,5,1,2,47
"S00135746",61,16,17,6,1,1,-,20
"S00135747",89,18,42,5,8,-,-,19
"S00135748",119,15,34,2,7,4,-,56
"S00135749",63,13,19,4,5,-,-,26
"S00135750",101,24,23,3,5,2,1,43
"S00135751",120,19,46,2,3,3,-,46
"S00135752",87,13,13,4,-,1,1,57
"S00135753",94,11,21,3,4,3,-,53
"S00135754",116,24,18,7,5,2,1,56
"S00135755",163,27,23,8,6,4,-,97
"S00135756",86,15,23,4,1,2,-,49
"S00135757",106,18,22,2,2,4,-,59
"S00135758",108,25,41,4,7,-,-,31
"S00135759",80,23,20,7,3,-,2,22
"S00135760",72,6,17,6,-,-,-,42
"S00135761",110,16,27,12,1,-,-,54
"S00135762",104,19,28,1,3,1,2,51
"S00135763",82,11,17,6,6,1,2,42
"S00135764",98,7,35,4,3,2,-,47
"S00135765",139,28,29,1,3,1,-,76
"S00135766",99,15,22,4,5,8,-,47
"S00135767",128,18,34,10,4,2,-,66
"S00135768",213,27,72,14,12,3,1,83
"S00135769",122,17,44,10,-,4,-,51
"S00135770",105,30,24,6,5,-,-,50
"S00135771",120,18,28,3,1,1,1,63
"S00135772",178,18,62,11,6,-,3,75
"S00135773",157,25,42,5,5,4,2,77
"S00135774",76,9,17,2,6,2,-,41
"S00135775",174,20,58,15,1,2,4,78
"S00135776",92,12,24,7,4,5,-,36
"S00135777",157,20,51,7,5,3,-,67
"S00135778",72,25,12,1,1,3,-,33
"S00135779",103,17,24,7,3,5,-,47
"S00135780",98,23,8,4,6,-,-,61
"S00135781",128,17,27,6,5,3,-,71
"S00135782",91,14,30,8,6,4,-,30
"S00135783",152,21,39,9,1,5,-,79
"S00135784",87,12,32,1,1,-,2,42
"S00135785",66,2,29,2,-,2,-,34
"S00135786",157,29,28,7,3,4,2,83
"S00135787",59,8,11,-,3,2,1,34
"S00135788",103,15,46,3,6,-,-,34
"S00135789",99,13,44,4,1,4,-,32
"S00135790",112,18,32,5,6,1,2,54
"S00135791",160,14,32,9,4,5,-,99
"S00135792",100,13,8,4,6,-,-,74
"S00135793",98,21,14,4,2,3,-,51
"S00135794",146,16,35,9,10,4,-,72
"S00135795",86,13,27,8,1,-,1,43
"S00135796",99,12,20,11,6,1,-,48
"S00135797",207,20,23,2,2,7,2,148
"S00135798",77,16,16,2,1,2,2,38
"S00135799",194,40,47,11,4,2,1,86
"S00135800",105,19,35,6,2,2,-,41
"S00135801",75,13,26,4,2,1,2,28
"S00135802",79,8,24,-,2,-,-,43
"S00135803",99,13,30,6,7,4,1,37
"S00135804",108,24,43,5,6,-,-,30
"S00135805",71,6,13,2,4,6,-,41
"S00135806",125,15,46,11,-,1,6,48
"S00135807",99,22,22,3,2,5,1,46
"S00135808",120,20,33,4,3,1,6,53
"S00135809",101,24,21,6,6,2,-,43
"S00135810",128,34,20,3,7,-,-,60
"S00135811",176,34,20,10,3,4,1,104
"S00135812",113,26,16,-,4,7,-,62
"S00135813",113,17,24,4,9,5,-,56
"S00135814",67,11,14,2,2,2,-,36
"S00135815",69,9,21,4,2,1,2,28
"S00135816",100,10,25,6,5,-,-,52
"S00135817",119,29,44,9,3,-,-,31
"S00135818",100,12,29,3,2,3,-,51
"S00135819",115,18,42,8,5,4,2,30
"S00135820",175,37,54,3,5,1,-,73
"S00135821",74,14,12,2,5,2,2,35
"S00135822",136,18,30,8,3,3,-,71
"S00135823",172,37,41,4,4,3,9,76
"S00135824",182,29,62,16,7,1,2,66
"S00135825",102,26,44,4,4,1,-,27
"S00135826",99,25,26,6,1,-,-,42
"S00135827",66,4,26,2,3,1,-,33
"S00135828",131,14,47,10,3,8,1,51
"S00135829",84,15,15,3,2,2,-,47
"S00135830",63,6,26,2,8,-,-,27
"S00135831",108,28,33,5,1,3,-,38
"S00135832",163,14,30,8,7,1,-,106
"S00135833",117,26,43,6,5,-,1,35
"S00135834",103,14,20,2,4,2,1,57
"S00135835",151,17,36,8,3,1,-,85
"S00135836",106,19,29,6,5,-,-,43
"S00135837",139,25,39,6,3,-,-,65
"S00135838",164,7,22,1,1,13,-,123
"S00135839",260,37,27,8,4,15,-,171
"S00135840",151,12,45,3,4,8,1,78
"S00135841",61,15,10,5,1,5,-,21
"S00135842",83,10,12,4,3,5,2,47
"S00135843",79,11,21,7,4,2,-,34
"S00135844",69,15,23,5,1,-,2,24
"S00135845",74,13,27,8,4,3,-,19
"S00135846",111,16,31,1,4,3,-,53
"S00135847",217,19,27,6,7,16,-,146
"S00135848",109,17,40,11,3,2,-,37
"S00135849",68,7,22,6,2,1,-,32
"S00135850",88,21,9,2,7,3,2,43
"S00135851",123,10,36,7,7,-,-,65
"S00135852",65,5,18,1,5,4,-,34
"S00135853",78,16,27,5,6,-,-,24
"S00135854",75,8,23,8,5,3,1,30
"S00135855",96,14,27,1,5,5,-,49
"S00135856",62,9,12,3,2,-,-,32
"S00135857",59,4,15,4,1,1,-,35
"S00135858",62,8,22,1,4,-,-,26
"S00135859",73,10,18,3,3,6,-,35
"S00135860",135,11,31,5,1,-,-,87
"S00135861",100,7,34,8,6,2,-,43
"S00135862",82,6,16,8,1,-,-,46
"S00135863",90,11,25,3,-,1,-,47
"S00135864",87,15,23,1,6,3,8,35
"S00135865",92,17,24,3,4,6,-,38
"S00135866",105,15,18,5,2,-,-,66
"S00135867",96,2,30,2,7,12,2,44
"S00135868",113,12,17,5,10,15,-,58
"S00135869",76,14,12,3,5,-,-,37
"S00135870",74,8,9,4,2,5,-,45
"S00135871",178,29,25,2,4,3,-,115
"S00135872",92,15,21,7,4,2,-,40
"S00135873",115,14,36,7,4,3,-,51
"S00135874",116,15,18,8,2,4,-,73
"S00135875",125,11,31,17,3,1,1,61
"S00135876",106,27,31,7,4,1,1,34
"S00135877",150,28,53,13,7,4,1,49
"S00135878",151,10,20,4,7,8,-,107
"S00135879",86,10,32,7,3,2,3,28
"S00135880",184,22,12,7,5,8,-,127
"S00135881",117,19,42,10,-,1,-,49
"S00135882",105,23,23,7,6,1,3,39
"S00135883",73,26,21,7,2,-,1,19
"S00135884",71,16,21,3,3,2,1,21
"S00135885",80,22,12,4,2,-,2,38
"S00135886",88,19,24,5,3,7,-,28
"S00135887",65,9,12,2,2,4,-,36
"S00135888",102,2,15,7,4,1,2,69
"S00135889",74,10,16,4,2,-,-,46
"S00135890",91,14,39,6,4,-,-,28
"S00135891",78,14,19,3,4,3,1,33
"S00135892",112,16,35,7,5,1,-,48
"S00135893",109,20,19,5,4,5,-,56
"S00135894",111,19,38,8,4,3,-,41
"S00135895",154,19,32,13,3,2,-,87
"S00135896",145,24,34,6,5,2,1,75
"S00135897",147,19,37,4,4,5,2,74
"S00135898",113,32,28,6,-,-,-,42
"S00135899",92,19,11,4,4,4,-,53
"S00135900",121,28,25,4,-,5,-,56
"S00135901",111,12,36,4,5,-,1,48
"S00135902",85,13,31,4,7,1,-,29
"S00135903",111,15,22,7,2,1,-,59
"S00135904",77,13,29,2,-,-,-,33
"S00135905",77,10,39,3,3,-,-,24
"S00135906",63,2,15,6,5,7,-,27
"S00135907",97,18,12,3,4,6,-,54
