Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00152290",42,20,10,8,-,2,9,1,1,2,5,-,2,6,1,2,-,-,-,1,1
"S00152291",45,22,4,2,1,4,8,2,-,1,4,1,-,8,-,-,-,5,-,2,-
"S00152292",39,11,6,4,1,1,13,3,-,2,5,3,-,9,4,-,-,4,-,2,-
"S00152293",58,21,8,4,1,5,3,1,-,-,-,2,-,26,3,-,1,11,3,-,5
"S00152294",50,17,10,1,4,3,8,5,-,1,3,-,-,11,1,-,-,3,2,1,4
"S00152295",44,20,13,5,4,4,6,-,-,2,1,1,1,6,1,-,1,2,-,-,1
"S00152296",50,10,10,4,2,4,20,6,-,4,3,6,2,9,-,-,-,2,4,-,3
"S00152297",34,12,7,5,-,2,10,2,-,1,3,3,-,4,-,-,-,2,-,1,1
"S00152298",37,21,4,1,2,2,3,4,-,-,-,3,-,10,-,-,-,3,1,2,3
"S00152299",76,21,15,7,1,7,21,3,-,4,4,6,5,23,-,-,3,4,4,6,2
"S00152300",66,39,9,4,-,4,7,4,-,1,1,2,-,11,-,-,-,7,-,4,-
"S00152301",49,18,13,13,-,-,9,4,-,3,2,1,1,7,-,-,2,2,-,2,1
"S00152302",29,6,3,1,-,-,7,1,1,4,-,3,-,13,1,-,-,7,-,1,4
"S00152303",57,11,16,8,4,4,9,4,-,3,-,2,2,21,1,-,-,7,4,1,8
"S00152304",36,9,13,10,6,-,8,1,-,2,2,2,-,6,-,-,-,3,-,1,2
"S00152305",66,25,18,5,6,7,14,4,-,2,3,3,2,12,1,-,1,3,1,1,5
"S00152306",66,49,8,5,1,2,5,3,-,1,1,-,-,4,-,-,-,1,-,2,-
"S00152307",51,15,14,6,3,3,19,7,1,2,2,1,1,6,-,-,-,4,1,3,-
"S00152308",62,16,16,6,-,5,27,4,2,1,9,9,3,7,-,-,-,3,-,4,-
"S00152309",82,36,22,10,6,6,17,4,4,1,6,-,4,7,1,-,-,3,-,-,2
"S00152310",46,22,9,3,5,1,11,2,-,2,5,3,-,7,-,1,1,2,3,-,1
"S00152311",52,18,11,6,-,3,12,1,2,-,4,2,-,11,-,3,-,8,-,5,2
"S00152312",37,6,11,7,3,1,5,2,-,-,-,2,-,12,-,-,-,4,2,-,6
"S00152313",38,8,8,5,2,3,12,5,-,2,-,4,4,10,1,-,-,3,1,1,4
"S00152314",46,22,10,7,2,2,10,6,-,-,-,3,1,4,-,-,-,-,-,-,4
"S00152315",52,23,7,4,3,-,10,4,-,2,3,1,1,8,-,-,2,3,1,1,1
"S00152316",60,17,13,9,4,4,10,3,-,1,3,3,2,12,-,-,1,6,-,2,4
"S00152317",49,23,21,11,3,5,4,2,1,-,2,-,-,5,-,-,-,-,2,-,1
"S00152318",40,12,8,2,2,4,7,1,-,2,2,-,1,11,-,1,2,4,-,2,4
"S00152319",48,12,9,6,2,1,18,2,3,2,7,4,1,11,2,1,-,-,1,1,3
"S00152320",38,9,10,6,-,4,12,2,-,4,2,2,2,7,-,-,-,6,1,-,-
"S00152321",43,13,8,6,1,1,10,2,2,-,2,2,2,15,1,2,1,4,1,1,5
"S00152322",36,13,7,5,1,4,16,3,1,5,4,4,1,3,-,-,-,1,1,2,-
"S00152323",55,19,15,8,-,4,13,-,4,-,6,3,1,12,-,-,1,5,2,4,1
"S00152324",54,22,23,10,3,7,4,2,-,1,1,-,1,4,-,-,1,2,-,1,-
"S00152325",54,10,29,13,3,13,6,-,-,-,5,1,-,9,-,-,-,3,-,2,1
"S00152326",33,16,4,3,-,2,3,-,-,-,-,3,-,8,-,-,-,4,2,2,-
"S00152327",65,24,12,7,4,-,19,6,-,4,9,1,2,14,2,-,1,1,3,1,6
"S00152328",51,15,12,10,-,2,9,2,1,-,3,3,-,11,-,-,2,6,-,1,2
"S00152329",54,12,9,6,-,2,11,6,1,2,3,1,-,17,-,2,-,5,1,4,4
"S00152330",64,16,18,6,6,4,19,-,4,-,7,-,2,8,-,1,-,5,-,-,1
"S00152331",49,18,14,9,3,2,9,6,-,-,2,1,2,8,-,-,-,1,3,-,1
"S00152332",67,31,9,3,-,5,20,3,4,-,8,3,2,6,-,-,-,5,-,-,1
"S00152333",31,7,8,6,1,1,8,3,-,2,1,1,1,11,-,-,3,4,-,-,4
"S00152334",50,23,7,4,3,-,15,4,4,2,8,-,-,5,-,2,-,1,-,1,1
"S00152335",50,13,11,7,2,3,12,4,-,2,1,5,3,14,2,1,1,4,3,2,1
"S00152336",54,5,12,5,1,5,16,10,-,5,-,4,2,21,1,-,-,5,4,1,5
"S00152337",61,18,15,11,3,1,16,5,-,2,8,-,-,12,-,-,2,6,2,2,1
"S00152338",76,28,12,8,2,2,21,7,1,2,4,4,2,17,-,1,-,10,1,3,1
"S00152339",41,26,5,2,1,3,4,1,-,-,4,1,-,3,2,-,-,1,-,-,-
"S00152340",68,37,10,3,-,3,8,5,-,1,2,-,-,15,3,-,-,-,1,1,7
"S00152341",79,35,17,5,6,6,11,1,1,2,5,1,-,16,2,3,1,2,-,6,4
"S00152342",42,20,9,4,4,3,8,-,1,2,3,4,-,5,-,-,-,-,-,-,5
"S00152343",48,14,12,8,2,2,10,2,-,-,6,-,2,12,1,-,2,4,3,1,-
"S00152344",37,12,7,2,3,4,5,1,-,-,-,2,1,11,1,1,3,-,5,2,-
"S00152345",62,10,15,3,5,7,15,4,-,5,1,2,2,20,1,-,-,7,4,-,6
"S00152346",52,15,12,6,1,5,17,7,-,3,-,7,1,8,-,-,-,2,3,1,2
"S00152347",46,21,11,4,2,2,6,2,-,2,1,2,-,6,-,-,-,2,1,-,3
"S00152348",56,18,21,6,2,8,14,3,1,3,4,2,1,5,-,-,-,2,-,-,3
"S00152349",45,12,12,6,3,3,14,5,3,2,3,-,-,7,1,1,-,1,-,4,-
"S00152350",60,16,21,10,10,1,16,3,3,2,4,3,-,7,-,-,-,3,1,-,2
"S00152351",30,11,6,4,-,2,12,3,-,4,1,2,1,11,-,-,-,3,1,3,1
"S00152352",58,25,8,6,1,1,9,2,2,3,2,1,-,15,-,-,-,2,4,4,4
"S00152353",45,24,5,2,2,2,7,2,2,1,-,1,-,8,-,-,2,6,-,-,1
"S00152354",39,3,8,3,1,4,9,4,1,1,-,-,3,15,-,1,1,8,2,2,3
"S00152355",73,38,14,5,4,6,11,3,-,-,4,-,2,10,-,-,1,7,-,2,1
"S00152356",57,17,15,5,5,5,13,-,5,3,3,2,4,8,-,-,-,4,-,3,2
"S00152357",43,14,11,13,1,3,13,4,-,2,1,6,4,4,-,-,-,2,1,-,-
"S00152358",66,17,26,10,6,10,22,4,1,8,4,4,4,1,-,-,-,1,-,-,-
"S00152359",44,9,18,12,2,4,10,2,3,-,4,1,1,4,-,-,1,4,1,-,3
"S00152360",53,13,17,6,-,9,12,6,-,2,-,-,3,12,-,1,-,2,1,4,4
"S00152361",68,11,18,8,4,6,16,2,3,2,6,2,2,23,1,1,2,10,1,6,5
"S00152362",66,8,23,11,6,6,11,4,-,1,5,2,4,24,-,1,-,15,2,2,1
"S00152363",35,10,13,4,5,4,7,2,-,2,1,-,2,7,-,-,-,4,2,-,1
"S00152364",63,12,25,15,1,4,17,7,-,4,3,4,3,12,2,2,-,3,4,-,1
"S00152365",46,16,11,2,4,4,5,1,1,2,1,-,-,17,1,1,-,5,2,3,3
"S00152366",50,21,12,7,2,2,7,3,1,-,2,-,1,10,-,1,-,3,3,-,2
"S00152367",53,15,10,7,2,1,23,9,3,1,5,2,5,5,-,-,-,2,-,1,1
"S00152368",50,14,5,1,-,5,9,2,-,3,-,1,3,19,-,3,-,7,-,5,4
"S00152369",48,13,13,5,1,2,10,1,1,2,2,5,1,12,-,1,1,4,1,4,-
"S00152370",40,2,4,2,-,-,10,3,-,3,2,4,-,22,1,-,-,12,4,2,4
"S00152371",54,15,25,13,2,6,13,4,-,-,2,1,5,5,-,-,-,2,2,1,1
"S00152372",62,19,13,8,4,2,16,5,-,-,5,3,2,10,-,-,-,6,4,-,-
"S00152373",55,14,13,7,2,1,12,2,-,1,6,2,1,15,1,-,-,8,2,2,2
"S00152374",53,17,19,10,2,7,7,3,-,-,1,3,-,10,2,-,-,3,1,1,3
"S00152375",63,15,23,16,6,7,10,4,-,2,3,6,-,12,-,1,1,3,2,3,1
"S00152376",43,19,15,5,3,1,8,-,4,-,4,-,1,4,-,-,-,4,-,-,1
"S00152377",49,9,10,4,2,4,16,3,-,4,7,1,3,14,-,-,2,4,-,4,4
"S00152378",48,7,10,8,2,-,11,4,-,4,3,4,1,19,-,-,1,7,1,4,4
"S00152379",46,16,7,4,1,2,8,3,1,-,3,1,1,14,-,1,4,3,-,5,4
"S00152380",68,15,14,8,3,3,15,2,-,-,1,7,1,24,-,-,4,11,1,2,6
"S00152381",73,15,16,6,2,6,20,2,-,4,7,4,2,24,1,1,2,8,5,1,8
"S00152382",86,20,17,10,3,4,28,7,-,4,7,5,5,25,4,2,4,5,2,1,5
"S00152383",67,22,15,7,3,5,12,-,-,1,5,2,2,14,2,1,1,4,2,3,6
"S00152384",44,15,8,5,-,3,12,8,1,1,-,1,1,8,-,-,-,4,2,2,-
"S00152385",49,18,10,9,2,2,5,1,1,-,1,1,1,16,-,-,-,10,1,3,2
"S00152386",73,25,14,11,3,2,18,4,5,2,5,2,2,20,2,1,2,6,2,5,4
"S00152387",33,18,6,4,1,1,2,1,-,-,1,-,-,6,2,-,-,1,1,-,-
"S00152388",42,20,4,-,-,2,9,9,-,1,-,2,-,5,-,-,1,2,-,-,2
"S00152389",42,14,11,8,3,-,8,-,1,3,-,3,-,9,1,1,-,6,-,-,1
"S00152390",35,12,10,2,5,-,6,-,-,4,2,-,2,8,-,-,-,1,1,1,5
"S00152391",35,20,9,1,2,4,3,2,-,-,-,-,1,1,-,-,-,-,-,-,1
"S00152392",55,16,16,8,4,4,10,4,1,2,2,4,-,11,-,-,-,5,-,1,1
"S00152393",47,25,10,5,3,2,8,2,-,1,-,1,4,4,-,-,-,-,-,1,2
"S00152394",46,11,13,5,3,3,11,6,-,-,1,1,1,10,-,-,2,4,2,1,2
"S00152395",60,12,22,11,4,7,14,4,-,3,1,1,3,12,1,-,-,5,-,1,2
"S00152396",47,19,12,9,1,4,7,2,-,1,5,1,-,7,1,-,-,2,-,2,4
"S00152397",60,26,20,8,6,3,8,1,1,-,1,5,-,6,-,-,-,3,-,1,4
"S00152398",56,11,32,13,5,11,10,3,-,1,2,-,4,3,-,-,-,2,-,-,1
"S00152399",74,26,24,12,7,5,19,6,3,1,4,2,3,5,-,-,-,-,-,1,4
"S00152400",52,19,14,4,4,6,11,2,-,-,5,3,2,11,2,-,-,5,1,-,3
"S00152401",72,32,13,3,6,4,13,9,-,1,3,2,-,14,-,-,2,1,1,3,4
"S00152402",77,52,14,7,7,2,8,3,-,1,-,1,1,4,-,-,-,1,2,-,-
"S00152403",72,23,14,10,1,3,24,5,4,3,5,3,2,15,-,3,-,5,-,2,6
"S00152404",86,20,25,17,7,5,27,9,-,1,4,6,1,14,-,-,1,3,2,-,4
"S00152405",57,19,13,3,4,3,14,3,-,1,1,4,5,15,1,-,2,6,1,-,6
"S00152406",77,18,32,13,7,12,11,4,3,1,-,1,2,14,-,2,-,5,1,1,5
"S00152407",29,15,5,4,-,1,4,-,-,1,2,2,1,6,-,-,-,2,1,1,2
"S00152408",55,22,15,7,3,5,8,3,2,2,-,1,-,10,-,2,-,4,-,1,3
"S00152409",64,4,10,4,3,2,13,1,-,2,2,1,5,36,3,-,-,13,2,10,8
"S00152410",54,13,13,8,3,5,16,3,1,4,-,6,2,12,-,-,2,2,2,-,6
"S00152411",42,13,6,8,-,2,16,3,-,4,3,5,3,5,-,-,-,-,3,-,2
"S00152412",75,4,27,16,4,10,27,8,-,5,3,5,2,16,-,-,-,8,-,1,7
"S00152413",36,17,12,6,-,5,3,-,-,-,1,1,1,4,2,-,-,1,-,2,2
"S00152414",68,28,14,7,4,3,15,6,2,1,-,4,-,15,-,3,3,-,3,2,5
"S00152415",71,29,16,8,1,7,16,7,-,3,5,1,-,13,-,-,-,5,2,4,2
"S00152416",77,36,16,8,2,5,5,2,2,-,1,3,2,17,2,-,-,9,1,-,2
"S00152417",46,16,20,5,10,6,9,-,2,-,4,1,-,1,-,-,-,1,-,-,-
"S00152418",55,17,14,6,1,6,12,4,-,1,2,1,-,15,-,-,-,6,1,2,5
"S00152419",54,8,9,6,2,6,12,4,-,1,2,6,-,22,5,-,-,5,-,1,6
"S00152420",32,7,8,5,1,4,5,-,-,-,3,2,1,14,2,1,2,3,1,1,3
"S00152421",73,33,21,11,6,4,12,4,-,-,4,-,-,7,-,-,-,-,-,3,3
"S00152422",65,47,11,7,4,1,4,2,1,1,1,-,-,5,1,-,-,-,-,2,2
"S00152423",59,25,13,6,3,4,15,3,3,2,2,2,3,5,-,3,-,-,-,1,1
"S00152424",49,17,11,5,3,3,13,2,2,2,2,-,4,6,2,-,-,1,1,-,1
"S00152425",44,12,16,6,4,6,9,2,-,1,1,5,-,6,-,-,-,1,1,1,4
"S00152426",43,17,6,2,2,1,6,1,-,2,1,2,-,17,-,-,1,5,-,3,4
"S00152427",59,17,15,5,2,7,11,-,-,1,3,5,-,16,-,-,2,4,2,-,6
"S00152428",51,6,18,8,1,9,17,7,2,1,1,4,-,10,2,-,-,3,1,-,3
"S00152429",39,8,6,5,-,2,11,3,-,1,2,5,2,15,-,-,1,5,-,3,5
"S00152430",55,22,9,1,8,1,8,-,5,1,1,1,-,13,-,-,1,6,-,-,8
"S00152431",43,14,12,7,3,2,9,1,1,-,2,-,1,7,-,2,-,-,-,3,3
"S00152432",60,24,22,9,3,10,9,2,-,-,4,-,2,2,1,-,-,-,-,-,-
"S00152433",41,16,18,7,2,6,3,-,-,-,-,-,2,5,-,-,-,2,1,1,-
"S00152434",36,22,3,3,-,-,5,3,-,-,1,1,-,6,-,-,-,2,-,5,-
"S00152435",32,15,3,1,-,1,8,-,2,1,2,2,-,6,-,1,-,2,-,1,2
"S00152436",54,18,25,10,8,7,4,2,-,-,1,-,-,7,-,-,-,2,-,-,4
"S00152437",38,5,15,9,2,4,11,3,1,-,3,5,-,10,-,-,-,4,-,-,5
"S00152438",57,12,23,13,3,7,15,3,-,2,5,3,3,7,-,1,1,1,-,3,-
"S00152439",62,16,21,8,6,7,21,2,1,2,7,1,8,4,-,-,1,2,1,-,1
"S00152440",56,41,8,4,3,-,4,-,-,-,1,1,-,7,-,1,-,1,1,1,1
"S00152441",81,32,29,13,14,2,14,2,-,4,2,5,-,4,-,1,-,-,-,2,2
"S00152442",60,37,15,7,6,2,7,1,-,1,3,1,1,4,-,-,-,3,1,1,-
"S00152443",54,36,16,4,3,9,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
"S00152444",26,5,5,2,-,3,11,5,-,2,-,5,2,7,1,-,-,1,2,-,3
"S00152445",41,19,11,5,-,6,8,3,-,3,1,1,-,3,-,-,-,2,-,-,1
"S00152446",51,28,10,6,1,3,6,2,-,3,2,-,-,7,-,-,1,4,-,-,4
"S00152447",73,16,14,5,8,4,23,4,1,3,7,1,6,17,-,2,4,4,-,3,2
"S00152448",82,27,24,15,3,4,17,3,-,3,2,6,2,14,-,-,-,4,1,4,3
"S00152449",68,10,12,11,4,4,28,6,2,4,5,6,3,15,-,-,2,5,1,4,5
"S00152450",70,31,17,8,4,5,14,4,2,2,4,-,1,8,-,-,-,6,-,-,3
"S00152451",71,24,13,4,4,5,23,6,1,3,6,6,-,14,-,-,2,2,3,3,1
"S00152452",57,4,10,3,2,7,9,-,-,1,1,3,2,36,-,3,1,13,2,6,13
"S00152453",60,25,29,16,3,11,7,2,-,-,1,4,-,2,-,-,-,1,-,-,1
"S00152454",42,3,21,8,-,11,14,4,-,2,2,5,1,4,-,-,1,4,-,-,1
"S00152455",26,5,7,4,1,2,14,2,-,2,1,6,1,2,-,-,-,-,-,1,3
"S00152456",55,6,17,13,-,4,15,5,-,-,3,5,1,20,-,-,2,6,1,4,7
"S00152457",50,23,19,9,4,1,8,-,4,-,3,1,-,3,2,2,-,-,-,-,-
"S00152458",73,22,13,11,-,4,12,4,-,2,1,4,1,26,-,-,2,7,6,2,9
"S00152459",54,17,7,5,-,2,17,2,1,6,-,7,1,15,-,1,2,6,1,1,3
"S00152460",46,15,11,7,4,4,8,-,-,2,4,2,1,10,-,1,2,2,-,-,3
"S00152461",44,5,6,2,-,4,14,3,3,1,1,7,-,19,-,-,2,4,3,4,6
"S00152462",44,31,7,6,1,1,6,4,-,-,1,1,-,-,-,-,-,-,-,-,-
"S00152463",72,5,19,6,3,8,19,5,1,7,1,3,-,31,2,1,-,10,1,10,10
"S00152464",37,8,10,6,-,4,7,1,1,-,-,3,2,12,-,-,-,6,4,2,1
"S00152465",28,17,5,3,1,1,2,2,-,-,1,-,-,6,1,-,-,3,2,-,2
"S00152466",45,7,13,8,3,3,9,3,1,1,3,1,1,16,3,2,1,3,1,6,2
"S00152467",46,14,17,4,6,3,12,2,2,1,1,3,3,8,-,-,-,1,-,4,-
"S00152468",51,8,13,7,1,6,14,4,-,2,2,4,2,16,-,-,-,7,2,3,3
"S00152469",66,29,12,3,6,3,16,2,3,6,2,4,3,9,-,1,1,1,1,1,5
"S00152470",42,13,7,3,4,1,4,2,-,-,4,1,-,16,-,-,-,6,1,3,6
"S00152471",38,13,5,3,-,-,6,-,-,-,4,1,-,6,-,-,1,1,-,1,2
"S00152472",76,20,11,3,4,4,16,6,3,1,4,-,2,24,-,2,4,6,-,4,8
"S00152473",59,21,13,6,1,6,10,6,1,-,2,1,4,15,1,4,1,8,-,1,1
"S00152474",38,6,9,1,3,2,14,6,-,1,4,2,-,7,-,1,-,6,-,1,1
"S00152475",66,20,13,5,5,3,19,4,2,3,4,7,2,10,-,1,1,3,2,1,2
"S00152476",72,15,14,9,1,4,16,2,3,1,4,2,4,27,3,-,-,7,1,4,8
"S00152477",68,14,25,5,14,3,21,5,3,3,6,3,-,11,-,2,4,1,-,-,6
"S00152478",64,19,17,12,2,2,13,-,3,-,5,-,3,11,-,4,-,1,4,2,5
"S00152479",76,22,30,14,7,6,15,-,1,2,3,8,1,10,-,1,-,2,1,1,3
"S00152480",41,2,1,1,-,-,13,1,1,-,6,2,3,26,-,-,-,5,1,6,7
"S00152481",69,16,17,7,5,6,24,8,3,4,4,5,1,12,2,-,-,3,-,3,2
"S00152482",71,24,20,11,4,5,12,3,-,1,-,6,5,12,-,-,2,3,-,2,3
"S00152483",45,17,8,4,4,-,8,5,-,-,4,3,-,7,1,2,-,1,-,2,2
"S00152484",61,11,13,7,1,5,18,6,3,3,2,3,4,19,-,3,1,9,2,1,2
"S00152485",55,22,26,15,6,6,5,-,1,2,2,-,3,2,-,-,-,1,-,-,1
"S00152486",72,23,18,9,3,6,24,2,1,-,6,3,3,14,-,2,1,5,2,2,3
"S00152487",59,15,26,7,12,7,9,2,3,-,1,1,-,9,-,-,-,-,1,1,5
"S00152488",66,23,13,7,2,5,11,6,-,2,1,3,-,19,-,-,2,6,4,4,5
"S00152489",65,32,15,7,3,5,6,-,-,1,2,1,3,15,-,-,1,3,4,4,5
"S00152490",45,17,10,4,3,-,8,3,1,-,-,1,-,10,2,1,-,5,-,-,2
"S00152491",57,13,13,4,3,5,9,1,-,2,4,2,-,21,1,2,-,9,-,-,8
"S00152492",61,32,19,6,5,8,9,-,-,2,2,1,4,1,-,-,-,-,1,-,-
"S00152493",39,12,11,4,3,2,8,2,1,2,2,-,1,8,-,1,-,5,2,-,-
"S00152494",76,22,15,6,5,4,20,10,-,1,5,1,-,19,1,-,3,8,-,3,1
"S00152495",58,15,14,6,6,4,11,-,2,2,5,3,-,17,-,5,-,4,-,1,6
"S00152496",53,4,9,3,1,2,13,6,-,3,2,3,-,27,-,-,1,7,1,7,11
"S00152497",66,30,24,8,6,10,11,2,-,1,2,3,1,1,-,-,-,1,-,-,-
"S00152498",55,20,17,7,3,4,7,2,-,4,1,-,-,11,1,-,1,6,4,-,-
"S00152499",81,5,22,14,4,4,27,4,-,7,3,11,2,25,-,1,1,9,2,9,6
"S00152500",66,19,16,5,6,5,16,1,2,1,2,3,6,20,-,4,4,6,4,1,3
"S00152501",44,16,4,3,-,2,10,2,1,5,1,2,-,14,-,-,-,4,-,2,8
"S00152502",67,22,15,6,4,5,12,2,3,-,5,-,-,18,-,2,1,4,1,2,7
"S00152503",70,23,18,9,5,4,17,4,4,-,4,2,4,12,-,2,3,4,-,3,2
"S00152504",35,11,5,2,-,5,6,4,1,1,1,-,1,12,-,-,1,7,2,1,2
"S00152505",41,24,6,5,1,-,6,4,-,1,-,1,-,5,-,-,2,1,-,1,2
"S00152506",48,5,5,3,-,-,16,2,3,1,5,-,6,23,-,5,-,9,-,4,5
"S00152507",55,8,12,8,2,1,21,11,1,3,2,3,2,15,1,-,-,9,1,2,3
"S00152508",48,16,13,7,2,2,13,5,-,-,3,3,-,6,-,-,1,-,1,-,5
"S00152509",78,27,18,6,6,6,15,2,7,-,1,2,2,16,-,2,1,7,-,1,5
"S00152510",50,26,11,11,-,2,15,1,3,2,1,3,2,6,-,-,-,1,-,-,1
"S00152511",41,15,17,7,6,6,3,1,1,-,1,-,-,4,-,1,-,-,2,4,-
"S00152512",49,17,11,2,5,4,10,6,1,-,-,1,-,17,1,2,-,7,1,1,4
"S00152513",29,8,7,5,1,1,7,2,2,1,2,-,1,9,-,-,-,1,-,4,3
"S00152514",47,9,15,5,6,-,10,2,1,6,1,3,-,14,-,2,1,5,-,3,4
"S00152515",36,2,1,1,-,-,5,2,-,1,-,1,4,22,3,1,-,8,1,1,7
"S00152516",62,15,16,9,3,7,11,-,-,1,2,2,-,17,-,-,-,10,-,1,5
"S00152517",40,15,9,4,-,4,9,4,-,-,2,1,3,7,-,-,2,2,-,-,4
"S00152518",68,34,13,7,4,2,4,-,1,1,-,-,-,17,-,1,2,3,2,3,7
"S00152519",63,26,16,2,10,2,14,-,3,-,6,2,3,7,1,-,2,-,1,3,1
"S00152520",51,24,11,3,8,-,8,2,-,3,1,1,-,8,-,1,1,1,2,2,-
"S00152521",55,25,15,6,4,5,11,-,3,3,3,5,-,4,2,-,-,1,1,-,-
"S00152522",72,24,19,4,10,8,15,3,-,-,6,3,2,11,-,-,1,3,2,6,-
"S00152523",44,17,9,5,3,2,7,-,-,-,4,2,1,13,-,1,-,6,1,2,2
"S00152524",71,17,9,2,4,2,17,5,-,2,1,4,2,28,-,-,1,6,3,8,10
"S00152525",69,18,14,5,3,4,20,4,3,4,4,6,1,17,4,-,1,6,4,2,5
"S00152526",44,8,10,7,1,3,17,4,3,5,2,4,-,9,-,1,1,1,2,-,4
"S00152527",38,7,5,2,2,1,13,2,2,3,-,2,2,9,-,1,-,3,-,2,4
"S00152528",70,8,11,6,-,1,18,8,1,2,1,5,1,33,4,-,1,8,5,3,11
"S00152529",41,21,14,7,3,3,5,4,1,1,1,-,-,6,-,-,-,2,-,4,1
"S00152530",60,25,11,5,3,4,8,2,2,2,2,2,1,14,-,-,-,2,1,3,7
"S00152531",53,20,19,12,5,2,11,1,1,3,3,3,2,3,-,1,-,2,-,-,1
"S00152532",57,15,12,4,-,6,19,7,-,-,1,4,2,13,-,-,1,5,4,1,2
"S00152533",39,16,9,4,5,2,7,-,-,2,-,1,1,10,-,-,2,2,-,1,2
"S00152534",72,28,20,7,6,7,14,3,1,5,2,1,2,10,-,4,-,3,-,1,2
"S00152535",36,24,4,4,1,1,6,3,-,2,-,1,1,3,-,-,-,1,-,1,2
"S00152536",36,9,6,1,2,3,12,1,1,3,2,4,3,9,1,-,1,2,2,-,1
"S00152537",48,7,6,5,-,1,12,5,-,-,-,5,2,26,-,2,1,9,-,5,6
"S00152538",56,24,7,6,-,2,10,2,-,4,2,1,1,13,-,1,-,4,1,2,5
"S00152539",36,9,13,4,7,2,5,-,4,2,1,-,-,8,-,-,2,4,-,-,2
"S00152540",68,22,26,10,5,11,11,-,1,-,6,2,-,9,-,1,3,4,1,-,2
"S00152541",46,19,8,6,1,-,10,4,-,3,4,-,-,7,-,-,-,1,-,1,4
"S00152542",41,16,8,5,-,3,9,2,-,-,1,5,-,10,-,-,-,4,-,2,3
"S00152543",67,18,26,9,13,7,10,-,6,-,2,-,-,14,-,6,2,2,-,2,2
"S00152544",38,8,10,10,-,3,11,3,-,2,1,-,-,10,-,-,1,5,2,3,1
"S00152545",48,16,17,7,7,1,8,-,2,2,2,2,2,7,-,4,-,3,-,-,-
"S00152546",50,26,8,8,-,2,6,3,-,1,-,1,-,10,2,-,2,3,-,2,1
"S00152547",66,24,13,9,6,4,17,4,1,3,6,1,1,8,-,-,-,4,-,-,4
"S00152548",49,21,1,2,2,-,8,5,-,-,1,-,-,16,-,1,1,6,2,1,2
"S00152549",49,12,15,10,-,7,11,7,-,-,-,3,1,8,1,-,-,2,-,3,3
"S00152550",48,12,6,5,4,-,18,3,5,-,3,3,3,9,-,2,1,1,-,1,5
"S00152551",47,21,17,6,7,5,6,3,2,1,-,-,-,1,-,-,-,2,-,-,1
"S00152552",44,14,4,-,3,1,13,3,2,2,4,-,1,12,2,1,-,2,1,3,3
"S00152553",53,23,10,3,3,4,10,1,-,1,2,4,1,10,1,1,-,4,3,-,2
"S00152554",36,10,17,12,4,4,4,1,-,1,1,-,-,5,-,2,-,-,3,-,-
"S00152555",47,4,12,8,-,4,11,5,-,3,1,2,-,17,-,-,2,5,2,2,5
"S00152556",35,7,13,7,-,6,8,3,-,2,1,1,1,7,-,-,-,2,1,2,-
"S00152557",55,14,23,10,1,12,17,4,2,3,4,5,-,-,-,-,-,-,-,-,-
"S00152558",37,13,8,3,4,3,11,1,5,-,2,-,3,6,-,1,1,1,-,-,2
"S00152559",51,18,17,9,4,4,13,5,1,3,7,-,1,4,-,-,1,2,1,-,-
"S00152560",57,19,14,6,1,7,7,1,-,2,1,4,-,17,3,-,-,3,5,3,3
"S00152561",37,13,9,4,5,2,10,-,2,-,5,2,2,5,-,1,-,-,-,1,2
"S00152562",55,6,8,5,1,2,17,6,1,3,2,3,2,24,-,1,-,8,1,1,11
"S00152563",26,2,2,2,-,-,9,1,2,-,2,3,-,16,1,-,2,3,2,1,8
"S00152564",43,17,12,2,7,5,8,1,1,1,5,-,-,6,-,-,-,3,-,4,-
"S00152565",56,31,15,5,8,4,6,-,2,-,3,-,2,-,-,-,-,-,-,-,-
"S00152566",52,15,12,2,1,5,13,2,2,4,4,5,-,13,2,-,-,7,1,1,6
"S00152567",47,18,8,6,3,2,9,1,1,3,3,2,-,11,-,1,1,2,-,4,3
"S00152568",51,13,13,7,4,2,13,4,-,2,4,1,4,9,2,-,-,5,1,4,2
"S00152569",58,15,26,9,3,14,11,2,2,1,2,1,1,6,2,-,-,2,1,-,1
"S00152570",61,11,21,5,5,8,16,4,1,2,7,2,-,15,-,3,1,5,-,-,6
