Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00135454",64,6,34,16,3,14,19,3,4,3,3,4,2,9,-,-,1,2,-,3,3
"S00135455",60,17,27,17,6,8,7,2,-,1,3,2,-,9,-,-,-,4,2,2,1
"S00135456",41,9,14,7,5,2,11,1,1,-,3,1,-,7,-,-,-,4,2,2,1
"S00135457",39,18,7,3,1,-,9,5,-,-,-,1,-,2,-,-,-,1,-,-,2
"S00135458",28,2,7,3,3,2,10,4,-,2,-,-,-,12,-,-,1,5,1,1,2
"S00135459",73,39,12,5,5,2,15,4,3,3,1,-,-,9,3,-,-,1,-,-,4
"S00135460",55,26,6,3,1,4,9,4,-,1,1,-,3,11,-,1,2,5,-,1,2
"S00135461",51,20,5,2,2,2,9,4,-,-,2,3,-,15,-,-,2,4,-,1,10
"S00135462",64,21,11,4,1,6,13,3,1,2,3,1,1,19,1,2,1,6,1,3,4
"S00135463",74,23,27,19,5,3,8,4,2,-,2,1,-,12,-,2,-,6,2,-,3
"S00135464",56,15,19,11,6,2,16,8,-,1,4,3,1,6,2,-,-,-,-,1,4
"S00135465",64,25,14,4,1,6,17,10,2,1,5,2,2,7,-,-,-,1,-,2,2
"S00135466",46,13,8,5,-,3,10,4,2,2,6,-,1,13,-,-,3,3,1,-,2
"S00135467",42,10,14,7,3,4,7,2,-,1,1,-,1,11,-,-,2,2,-,4,5
"S00135468",45,1,32,22,1,7,15,6,1,-,1,3,2,1,-,-,-,-,-,-,1
"S00135469",59,33,9,6,1,1,11,4,-,2,5,-,-,6,2,-,-,1,-,-,3
"S00135470",53,10,15,7,3,5,7,3,-,-,1,2,-,19,2,-,-,9,1,2,5
"S00135471",69,20,14,6,2,7,19,6,1,1,6,3,2,15,-,4,1,8,-,1,3
"S00135472",69,25,10,5,4,2,14,3,-,5,4,3,1,16,1,-,3,7,-,2,1
"S00135473",53,15,12,5,4,6,14,6,-,2,5,-,2,12,2,1,2,5,-,-,3
"S00135474",49,7,15,7,2,6,9,6,-,1,4,3,-,12,-,-,2,6,1,1,1
"S00135475",40,9,12,8,2,3,8,1,-,1,1,-,-,13,2,-,-,7,-,2,5
"S00135476",49,23,6,2,1,3,9,2,-,-,3,3,-,11,-,-,2,3,-,-,5
"S00135477",47,6,10,6,-,1,21,7,-,2,2,5,1,10,1,-,4,5,-,-,4
"S00135478",72,52,12,5,3,1,2,2,-,-,-,1,-,3,1,-,-,-,-,1,-
"S00135479",50,14,7,4,1,1,13,5,-,3,2,4,1,15,2,-,3,7,-,1,2
"S00135480",69,20,25,15,4,7,13,3,1,-,3,3,3,11,1,1,-,2,-,5,2
"S00135481",60,31,12,4,3,3,8,2,-,3,3,-,-,9,-,-,-,8,-,1,1
"S00135482",41,25,6,2,2,4,7,1,2,-,-,1,2,8,-,-,-,3,2,1,2
"S00135483",57,24,15,4,4,7,6,3,1,-,-,-,-,12,-,1,-,4,2,-,5
"S00135484",37,17,5,3,1,4,4,1,-,2,-,-,-,7,2,-,-,3,-,-,2
"S00135485",78,31,24,13,4,4,19,3,-,-,6,5,-,14,-,1,1,4,1,3,5
"S00135486",44,12,5,2,1,-,13,4,-,2,2,-,3,14,-,-,1,4,-,4,5
"S00135487",71,25,17,6,2,9,20,5,-,-,5,10,1,9,-,-,-,4,-,-,5
"S00135488",48,14,12,5,1,6,7,4,-,-,-,2,-,18,1,-,-,4,1,-,6
"S00135489",78,16,43,25,9,9,12,3,3,2,5,-,-,7,-,-,2,2,-,1,4
"S00135490",58,23,11,6,-,2,11,2,-,3,6,4,-,13,2,-,-,3,1,-,5
"S00135491",72,5,45,22,14,9,16,4,2,1,2,4,2,6,-,-,-,3,-,1,4
"S00135492",61,24,13,7,-,8,7,2,-,1,4,-,1,13,-,1,1,3,2,-,3
"S00135493",79,4,37,18,5,16,23,12,1,1,5,3,-,18,-,-,1,5,-,3,5
"S00135494",42,16,6,1,3,2,10,3,-,1,3,5,-,10,-,-,1,4,-,4,1
"S00135495",43,11,7,4,2,1,9,4,1,-,2,4,-,15,-,-,2,5,-,6,3
"S00135496",41,17,5,2,2,1,5,2,-,2,1,1,-,12,-,-,-,7,1,1,3
"S00135497",85,25,14,6,1,5,19,7,-,-,3,5,3,26,5,-,-,9,-,3,9
"S00135498",79,5,42,26,6,11,27,10,1,1,10,3,2,5,-,-,-,2,2,-,1
"S00135499",51,23,6,2,1,3,9,5,-,1,2,-,-,14,3,-,-,3,2,2,4
"S00135500",41,1,5,1,2,1,17,5,-,4,3,4,2,18,-,-,1,9,-,7,2
"S00135501",66,26,20,9,6,5,11,4,1,3,-,1,2,10,-,-,-,4,5,2,-
"S00135502",82,11,44,26,8,7,25,6,6,3,2,6,4,4,-,-,1,2,-,-,-
"S00135503",47,24,14,7,5,-,6,-,-,1,3,2,-,4,-,-,1,1,-,-,2
"S00135504",75,44,17,9,6,2,8,3,-,2,1,2,1,6,2,-,-,1,1,-,2
"S00135505",69,16,17,8,5,4,18,6,-,2,8,3,1,18,2,2,-,8,1,5,3
"S00135506",43,5,15,10,4,-,17,4,1,2,3,3,1,10,2,-,-,4,2,-,3
"S00135507",58,9,13,9,4,-,16,-,-,5,3,7,-,24,1,-,-,6,2,5,12
"S00135508",38,15,22,12,5,5,5,2,-,-,-,1,-,-,-,-,-,-,-,-,-
