Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135414",89,5,10,9,9,23,32,2,-,-,-,1,-,4,11,-,-,-,4,4,5,73,5,10,8,7,24,23
"S00135415",104,17,11,11,17,30,18,6,-,1,-,-,1,2,18,1,3,3,2,4,2,86,12,7,8,16,25,14
"S00135416",199,37,14,23,40,42,43,16,-,2,-,1,3,6,25,2,-,1,4,7,11,162,39,13,21,35,32,26
"S00135417",107,12,8,21,21,39,7,1,-,-,1,1,-,-,9,-,1,-,2,2,3,98,12,7,20,15,35,3
"S00135418",178,49,7,11,62,36,13,1,-,-,-,-,1,-,11,-,-,-,5,2,4,166,49,7,11,57,33,9
"S00135419",77,5,9,15,19,24,5,2,-,-,-,-,1,-,10,-,2,3,4,-,3,65,5,8,12,16,22,3
"S00135420",142,17,6,19,25,24,57,16,-,-,-,-,4,12,28,-,1,2,-,4,22,102,17,3,20,25,16,23
"S00135421",116,14,7,20,29,28,18,7,-,-,-,4,1,2,14,1,3,1,2,2,7,96,13,5,19,26,24,12
"S00135422",109,17,6,18,31,24,13,5,-,1,-,-,2,1,18,2,-,3,2,4,8,88,12,5,15,32,19,4
"S00135423",190,36,11,21,44,38,36,9,-,-,2,-,1,6,15,1,-,1,1,6,6,166,37,11,19,42,31,24
"S00135424",115,15,10,7,16,36,34,11,-,-,-,-,2,2,17,2,-,-,1,3,11,88,10,10,7,16,28,18
"S00135425",116,16,5,14,27,22,34,22,-,-,2,2,1,10,19,-,-,-,4,3,9,81,16,3,13,21,16,15
"S00135426",141,23,17,11,22,40,28,4,-,-,-,-,3,4,15,3,1,-,3,4,8,119,21,16,11,19,34,19
"S00135427",126,8,6,2,5,33,72,11,1,-,-,-,2,8,20,3,-,-,1,4,12,95,4,6,2,6,27,52
"S00135428",75,20,6,9,18,20,7,5,-,-,1,-,2,1,4,1,-,-,1,-,3,66,19,6,6,17,15,1
"S00135429",85,10,8,4,12,21,30,5,-,-,-,-,1,4,10,-,2,-,-,-,7,69,10,4,4,12,18,23
"S00135430",113,15,10,4,20,27,35,4,-,-,-,-,1,3,16,-,1,-,2,3,11,96,15,9,4,19,23,24
"S00135431",109,23,10,15,24,18,19,5,-,1,1,4,-,-,7,2,-,-,-,-,6,96,21,9,14,22,18,12
"S00135432",117,13,5,3,17,31,49,6,-,-,-,-,3,2,17,-,-,-,2,3,13,94,13,5,3,16,25,33
