Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00135961",171,153,18,11,-,1,5
"S00135962",98,86,8,5,1,-,2
"S00135963",191,170,19,11,3,2,3
"S00135964",109,105,2,5,-,-,1
"S00135965",101,93,5,4,2,-,-
"S00135966",82,71,11,3,2,2,4
"S00135967",106,98,8,3,1,2,2
"S00135968",150,139,14,6,2,3,4
"S00135969",74,66,7,4,-,2,-
"S00135970",103,91,12,7,2,-,3
"S00135971",115,110,5,1,-,-,2
"S00135972",92,87,5,5,-,-,-
"S00135973",120,100,20,14,3,2,2
"S00135974",95,90,5,4,1,-,-
"S00135975",82,74,7,6,-,-,4
"S00135976",112,104,8,6,2,-,-
"S00135977",75,68,4,4,-,-,-
"S00135978",120,109,4,2,-,1,2
"S00135979",88,76,12,4,-,5,3
"S00135980",102,91,11,9,-,1,1
"S00135981",149,130,20,13,-,2,4
"S00135982",88,72,13,8,-,-,4
"S00135983",116,107,9,6,2,-,1
"S00135984",112,105,10,4,1,-,5
"S00135985",113,103,7,6,4,-,-
"S00135986",125,111,14,3,-,4,4
"S00135987",77,72,5,4,2,-,1
"S00135988",69,60,9,7,1,-,1
"S00135989",93,88,5,4,2,-,2
"S00135990",65,57,7,6,1,-,-
"S00135991",71,70,2,2,-,-,-
"S00135992",94,85,9,6,1,-,2
"S00135993",100,91,10,8,-,-,1
"S00135994",171,151,16,12,1,2,8
"S00135995",64,60,4,2,1,-,1
"S00135996",169,146,20,17,-,1,1
"S00135997",118,105,11,9,-,-,2
"S00135998",93,86,6,3,-,1,-
"S00135999",93,95,1,1,-,-,-
"S00136000",125,117,12,3,3,-,6
"S00136001",75,70,9,4,-,2,1
"S00136002",100,91,9,7,1,-,2
"S00136003",70,61,9,1,6,-,2
"S00136004",73,66,7,4,-,1,3
"S00136005",138,123,12,6,-,3,6
"S00136006",62,61,-,-,-,-,-
"S00136007",162,144,18,8,6,4,4
"S00136008",76,70,5,4,-,-,1
"S00136009",109,103,6,3,1,1,-
"S00136010",131,127,8,6,-,2,-
"S00136011",122,109,13,7,3,1,4
"S00136012",108,102,6,1,1,1,5
"S00136013",87,83,4,4,-,-,-
"S00136014",119,112,8,2,-,-,2
"S00136015",112,103,6,6,-,1,-
"S00136016",116,115,1,1,-,-,-
"S00136017",146,135,15,10,3,-,2
"S00136018",150,146,4,1,1,2,-
"S00136019",870,854,16,9,3,4,-
"S00136020",132,122,7,2,-,1,5
"S00136021",63,65,-,-,-,-,-
"S00136022",124,108,16,8,2,1,5
"S00136023",65,61,4,-,-,-,2
"S00136024",84,74,10,1,1,4,3
"S00136025",108,98,10,7,1,-,3
"S00136026",139,128,12,6,1,1,2
"S00136027",70,66,2,-,1,-,1
"S00136028",65,57,3,-,-,-,2
"S00136029",89,82,7,6,-,-,1
"S00136030",140,131,9,6,1,-,3
"S00136031",117,103,14,9,5,2,1
"S00136032",108,101,8,3,3,2,-
"S00136033",140,122,14,8,2,4,-
"S00136034",108,103,5,3,-,1,1
"S00136035",128,122,6,4,-,-,1
"S00136036",106,101,5,2,-,-,3
"S00136037",92,88,4,-,-,2,-
"S00136038",79,72,7,5,-,2,1
"S00136039",82,75,4,6,-,1,-
"S00136040",82,74,7,4,1,1,1
"S00136041",142,126,16,9,1,3,3
"S00136042",112,99,10,6,-,1,3
"S00136043",84,74,10,3,-,5,3
"S00136044",62,53,9,4,1,2,2
"S00136045",145,125,22,10,5,1,7
"S00136046",88,82,7,3,-,1,2
"S00136047",124,115,10,4,2,1,3
"S00136048",104,92,12,5,2,3,2
"S00136049",144,136,8,6,-,2,-
"S00136050",143,125,22,14,-,-,4
"S00136051",110,102,8,4,-,2,3
"S00136052",62,58,4,1,2,-,1
"S00136053",91,83,8,2,-,3,1
"S00136054",115,103,12,8,1,4,1
"S00136055",123,109,13,6,2,4,3
"S00136056",93,85,8,4,-,3,1
"S00136057",127,112,15,6,-,-,7
"S00136058",249,243,6,3,-,-,3
"S00136059",90,83,7,3,-,-,2
"S00136060",98,89,9,5,2,-,3
"S00136061",400,381,19,10,2,5,2
"S00136062",83,78,7,4,-,1,2
"S00136063",101,94,7,3,-,1,2
"S00136064",140,114,26,7,5,6,8
"S00136065",99,90,9,3,-,4,2
"S00136066",61,54,6,6,-,-,-
"S00136067",63,57,6,4,1,1,-
"S00136068",118,107,10,8,-,2,-
"S00136069",134,116,18,8,2,1,5
"S00136070",75,67,8,6,-,1,1
"S00136071",191,183,8,6,-,-,1
"S00136072",77,69,8,6,1,-,-
"S00136073",100,93,6,6,-,-,-
"S00136074",88,83,5,4,-,-,1
"S00136075",96,91,5,4,2,-,-
"S00136076",118,109,9,6,-,-,2
"S00136077",97,87,8,5,-,-,1
"S00136078",205,181,24,21,1,-,1
"S00136079",62,55,7,9,1,-,-
"S00136080",138,123,13,15,-,-,2
"S00136081",81,78,3,3,-,-,-
"S00136082",66,63,1,1,-,-,-
"S00136083",100,92,8,5,1,-,1
"S00136084",95,91,6,3,1,-,2
"S00136085",82,74,12,4,1,4,3
"S00136086",89,88,-,-,-,-,-
"S00136087",97,84,13,6,4,1,2
"S00136088",84,75,11,6,-,1,2
"S00136089",156,139,17,10,1,-,4
"S00136090",103,84,19,12,1,1,5
"S00136091",131,114,17,7,2,4,4
"S00136092",168,151,20,12,1,-,10
"S00136093",116,102,10,9,-,4,-
"S00136094",91,82,6,-,-,2,7
"S00136095",62,54,8,1,-,1,7
"S00136096",151,143,5,4,-,1,-
"S00136097",150,149,4,4,-,-,-
"S00136098",91,84,7,4,2,-,1
"S00136099",143,129,14,11,4,-,1
"S00136100",190,185,6,3,1,-,1
"S00136101",102,96,9,6,-,2,2
"S00136102",105,104,1,1,-,-,-
"S00136103",91,85,6,4,-,-,2
"S00136104",102,99,3,1,2,-,-
"S00136105",141,138,5,5,-,-,-
"S00136106",91,78,9,5,2,1,1
"S00136107",121,122,2,1,-,-,1
"S00136108",148,124,24,15,3,1,3
"S00136109",105,87,14,2,1,4,9
"S00136110",84,75,9,4,3,1,2
"S00136111",116,106,10,6,2,2,1
"S00136112",137,127,10,5,1,1,1
"S00136113",84,74,11,4,-,2,3
"S00136114",153,142,11,8,-,-,3
"S00136115",128,120,3,5,2,-,-
"S00136116",83,76,4,3,2,-,2
"S00136117",99,87,12,6,1,1,2
"S00136118",78,61,14,5,2,1,5
"S00136119",81,66,12,6,2,1,2
"S00136120",88,77,13,3,2,2,7
"S00136121",122,110,12,11,-,-,3
"S00136122",119,110,9,9,-,-,-
"S00136123",154,144,7,2,-,-,1
"S00136124",79,71,8,4,-,-,6
"S00136125",97,84,13,4,6,1,3
"S00136126",88,80,8,3,1,2,2
"S00136127",144,128,16,8,4,1,5
"S00136128",69,65,3,3,-,-,-
"S00136129",103,91,5,5,-,-,-
"S00136130",73,65,8,5,1,1,1
"S00136131",81,78,3,2,-,-,-
"S00136132",80,76,5,1,2,1,1
"S00136133",114,105,8,7,-,-,1
"S00136134",88,78,10,2,2,1,4
"S00136135",79,73,6,1,-,3,1
"S00136136",72,60,12,2,4,-,5
"S00136137",94,87,7,2,-,1,4
"S00136138",83,81,7,1,2,-,-
"S00136139",81,70,11,5,-,4,5
"S00136140",119,108,11,5,1,1,4
"S00136141",70,61,9,8,-,1,-
"S00136142",114,111,3,1,1,1,-
"S00136143",64,58,6,5,-,-,-
"S00136144",138,124,14,9,-,1,4
"S00136145",285,282,7,6,1,-,-
"S00136146",111,104,7,6,-,1,-
"S00136147",65,56,10,9,-,-,-
"S00136148",97,86,11,5,2,-,2
"S00136149",80,65,15,2,3,3,5
"S00136150",111,105,6,6,-,-,-
"S00136151",71,57,14,7,-,2,5
"S00136152",81,72,12,4,1,1,2
"S00136153",75,70,5,3,2,1,-
"S00136154",113,105,8,3,-,1,4
"S00136155",115,103,15,4,1,5,5
"S00136156",117,114,3,1,-,1,1
"S00136157",60,58,2,2,-,-,-
"S00136158",132,121,11,5,1,1,4
"S00136159",86,76,8,7,-,1,2
"S00136160",77,73,4,4,-,-,2
"S00136161",100,87,13,4,3,2,4
"S00136162",124,118,6,5,-,-,2
"S00136163",70,73,1,-,1,-,-
"S00136164",84,80,5,3,-,1,1
"S00136165",61,51,7,6,3,-,1
"S00136166",66,64,2,1,-,-,1
"S00136167",83,69,14,5,-,3,6
"S00136168",103,92,11,6,2,3,3
"S00136169",63,54,9,5,-,2,5
"S00136170",72,63,7,5,-,2,2
"S00136171",63,60,2,-,-,2,-
"S00136172",83,79,5,5,-,-,-
"S00136173",63,60,2,1,-,-,3
"S00136174",127,120,6,6,-,1,1
"S00136175",75,69,4,2,-,-,1
"S00136176",137,119,18,5,1,2,10
"S00136177",95,84,11,4,3,1,4
"S00136178",102,98,4,3,-,-,1
"S00136179",98,87,11,5,1,-,8
"S00136180",128,120,8,6,-,-,1
"S00136181",63,60,3,-,-,-,1
"S00136182",118,101,17,8,2,1,6
"S00136183",117,105,10,6,-,1,2
"S00136184",123,119,4,4,-,-,-
"S00136185",98,91,7,2,2,-,1
"S00136186",100,95,5,3,1,-,1
"S00136187",97,86,11,5,-,1,4
"S00136188",57,54,3,2,-,-,-
"S00136189",87,87,3,3,-,-,-
"S00136190",80,77,4,4,-,-,-
"S00136191",107,103,4,4,-,-,-
"S00136192",141,136,5,3,1,2,-
"S00136193",122,116,6,3,-,-,3
"S00136194",131,123,7,2,-,2,3
"S00136195",385,384,9,8,-,-,1
"S00136196",76,67,7,4,-,-,1
"S00136197",107,93,11,9,-,2,1
"S00136198",118,106,12,7,4,-,1
"S00136199",64,58,6,2,2,-,-
"S00136200",66,55,15,6,1,-,4
"S00136201",88,87,1,-,-,1,-
"S00136202",78,74,4,-,1,2,2
"S00136203",96,88,8,1,4,1,-
"S00136204",122,115,7,1,2,3,-
"S00136205",75,74,1,1,-,-,-
"S00136206",101,95,6,4,1,1,-
"S00136207",67,66,1,-,-,-,1
"S00136208",87,73,14,6,-,1,7
"S00136209",97,83,14,5,1,3,5
"S00136210",164,144,20,8,4,3,4
"S00136211",85,84,2,-,-,2,-
"S00136212",89,86,2,2,-,-,-
"S00136213",75,68,7,3,1,2,1
"S00136214",111,105,6,2,-,1,3
"S00136215",94,84,10,4,2,1,4
"S00136216",113,106,6,5,-,1,-
"S00136217",130,124,9,5,-,-,3
"S00136218",192,176,14,9,1,3,3
"S00136219",74,69,4,4,-,-,-
"S00136220",105,93,12,7,-,2,3
"S00136221",66,62,4,2,-,3,-
"S00136222",60,55,5,2,-,-,3
"S00136223",180,159,19,11,-,-,8
"S00136224",78,73,5,5,-,-,-
"S00136225",107,89,18,6,4,3,5
"S00136226",101,91,6,2,-,-,3
"S00136227",75,72,4,3,-,-,-
"S00136228",171,151,20,10,1,2,5
"S00136229",97,91,12,2,3,1,6
"S00136230",93,88,7,3,1,1,1
"S00136231",104,97,10,8,1,-,1
"S00136232",156,136,19,9,3,6,2
"S00136233",72,72,-,-,-,-,-
"S00136234",95,86,9,6,-,2,1
"S00136235",61,56,5,2,1,-,2
"S00136236",450,438,12,6,-,1,1
"S00136237",154,150,5,2,2,-,2
"S00136238",119,116,8,4,4,-,4
"S00136239",310,302,8,8,-,-,-
"S00136240",98,89,12,6,-,1,1
"S00136241",72,69,3,1,-,2,-
"S00136242",107,90,15,11,2,-,2
"S00136243",83,83,3,1,1,2,-
"S00136244",138,119,19,9,4,2,6
"S00136245",589,583,6,3,1,-,4
"S00136246",76,71,5,2,2,2,-
"S00136247",128,117,11,6,2,-,3
"S00136248",122,108,12,14,1,2,1
"S00136249",89,78,11,7,2,2,2
"S00136250",95,84,10,6,-,2,1
"S00136251",108,100,6,3,2,2,4
"S00136252",88,81,4,6,-,-,-
"S00136253",72,71,1,-,-,-,1
"S00136254",131,124,7,5,-,-,2
"S00136255",104,102,5,5,-,-,-
"S00136256",103,91,12,5,-,5,2
"S00136257",114,110,3,-,-,2,2
"S00136258",103,94,11,1,-,1,3
"S00136259",244,229,15,6,2,4,5
"S00136260",74,71,2,2,-,-,-
"S00136261",95,93,3,2,-,1,1
"S00136262",106,101,2,4,-,2,-
"S00136263",85,78,8,10,-,-,1
"S00136264",102,93,9,5,-,1,1
"S00136265",107,105,-,-,-,-,-
"S00136266",88,61,25,20,2,1,2
"S00136267",96,93,3,3,-,-,-
"S00136268",114,101,13,2,3,-,8
"S00136269",92,86,9,2,2,1,1
"S00136270",83,82,1,1,-,-,-
"S00136271",119,112,7,4,-,-,1
"S00136272",119,99,20,14,2,3,1
"S00136273",66,56,10,6,1,1,4
"S00136274",91,85,3,3,-,-,-
"S00136275",125,119,6,3,1,-,2
"S00136276",107,99,8,3,2,1,2
"S00136277",67,61,6,4,-,-,1
"S00136278",96,91,3,4,-,1,-
"S00136279",58,54,4,1,-,-,4
"S00136280",103,91,12,7,1,1,3
"S00136281",123,114,9,6,-,1,1
"S00136282",62,57,3,2,-,-,1
"S00136283",68,63,5,6,1,-,-
"S00136284",143,139,4,4,-,-,-
"S00136285",108,98,10,3,-,3,4
"S00136286",102,89,12,10,-,2,1
"S00136287",82,76,6,5,1,-,-
"S00136288",135,122,13,6,-,1,8
"S00136289",171,151,20,11,1,2,8
"S00136290",148,134,11,9,1,1,2
"S00136291",98,93,5,2,1,1,-
"S00136292",118,100,17,5,2,3,8
"S00136293",84,75,9,6,-,1,-
"S00136294",93,77,16,4,1,3,8
"S00136295",83,78,5,4,1,-,-
"S00136296",80,71,12,7,-,-,-
"S00136297",115,109,8,5,2,-,-
"S00136298",129,118,11,4,1,1,1
"S00136299",127,121,6,3,-,-,1
"S00136300",102,87,12,5,4,3,2
"S00136301",131,127,7,7,-,-,-
"S00136302",130,123,7,3,-,1,2
"S00136303",124,112,12,8,3,2,-
"S00136304",87,79,8,3,-,1,2
"S00136305",125,120,5,4,-,-,-
"S00136306",89,76,13,11,-,-,-
"S00136307",115,112,2,2,-,-,-
"S00136308",180,161,16,17,2,1,-
"S00136309",143,132,11,6,-,-,5
"S00136310",189,183,3,3,-,-,3
"S00136311",104,94,10,4,-,3,-
"S00136312",124,111,13,10,-,-,3
"S00136313",79,77,2,2,-,-,-
"S00136314",89,86,3,1,1,-,-
"S00136315",81,75,6,4,-,1,1
"S00136316",98,93,5,3,-,-,2
"S00136317",105,97,6,6,-,-,1
"S00136318",95,85,9,9,-,-,4
"S00136319",78,78,-,-,-,-,-
"S00136320",66,62,1,1,-,-,-
"S00136321",92,83,5,4,-,1,-
"S00136322",72,65,7,3,2,-,2
"S00136323",106,87,14,12,-,1,3
"S00136324",75,74,4,5,-,1,-
"S00136325",141,126,15,12,1,1,1
"S00136326",86,82,5,5,-,-,-
"S00136327",61,55,8,5,-,3,1
"S00136328",63,53,2,2,-,-,-
"S00136329",109,91,18,12,-,1,5
"S00136330",143,131,12,8,2,-,1
"S00136331",74,68,6,2,-,-,-
"S00136332",99,90,9,4,1,2,3
"S00136333",417,404,13,10,2,-,1
"S00136334",113,105,8,5,-,1,2
"S00136335",79,74,2,2,-,-,-
"S00136336",102,95,7,3,-,-,2
"S00136337",127,113,14,7,2,-,4
"S00136338",94,89,5,2,-,-,1
"S00136339",104,97,4,4,1,2,-
"S00136340",81,66,17,12,2,1,2
"S00136341",58,56,4,3,-,-,1
"S00136342",74,67,7,2,2,1,2
"S00136343",110,107,3,2,1,-,-
"S00136344",63,59,4,2,1,2,-
"S00136345",113,99,11,7,2,1,1
"S00136346",89,85,4,4,-,-,2
"S00136347",70,62,8,2,4,-,-
"S00136348",117,107,10,5,4,-,3
"S00136349",102,95,7,6,-,1,-
"S00136350",84,76,8,5,1,-,4
"S00136351",110,99,11,10,-,2,2
"S00136352",65,57,8,7,1,-,-
"S00136353",124,117,7,2,2,-,3
"S00136354",79,68,14,4,5,2,4
"S00136355",99,87,12,7,1,1,3
"S00136356",56,56,-,-,-,-,-
"S00136357",97,92,4,2,3,-,1
"S00136358",129,121,8,6,-,-,1
"S00136359",78,77,2,4,-,1,-
"S00136360",74,64,10,-,5,-,3
"S00136361",68,63,4,2,2,-,1
"S00136362",127,125,6,5,-,2,-
"S00136363",87,82,5,3,2,-,1
"S00136364",78,72,6,5,-,1,-
"S00136365",157,144,13,3,3,2,5
"S00136366",124,102,19,11,3,-,7
"S00136367",85,77,11,7,1,-,-
"S00136368",77,70,6,4,-,1,1
"S00136369",123,111,12,4,1,2,4
"S00136370",160,148,11,7,2,3,-
"S00136371",73,67,6,5,-,1,-
"S00136372",119,106,13,5,1,-,4
"S00136373",116,103,13,10,2,-,1
"S00136374",154,145,9,4,-,1,2
"S00136375",147,125,22,12,2,2,7
"S00136376",107,99,8,5,1,-,1
"S00136377",71,65,6,1,1,-,-
"S00136378",93,83,10,1,1,1,5
"S00136379",89,87,3,-,-,-,2
"S00136380",112,102,10,8,-,1,1
"S00136381",74,67,7,1,-,1,4
"S00136382",122,106,16,12,-,-,2
"S00136383",102,86,16,9,1,2,4
"S00136384",78,66,9,2,-,2,6
"S00136385",111,105,4,3,2,-,1
"S00136386",85,77,10,3,-,-,4
"S00136387",127,121,6,3,2,1,-
"S00136388",84,77,9,2,-,2,1
"S00136389",149,130,19,18,-,1,-
"S00136390",94,84,10,10,-,-,-
"S00136391",82,79,5,-,-,1,1
"S00136392",74,68,6,6,-,-,-
"S00136393",67,62,7,-,-,-,5
"S00136394",78,71,7,4,1,2,2
"S00136395",185,161,28,20,1,-,-
"S00136396",64,62,4,-,-,-,-
"S00136397",140,127,9,7,4,-,1
"S00136398",77,76,1,1,-,-,-
"S00136399",67,62,5,5,-,-,-
"S00136400",77,62,12,8,4,-,1
"S00136401",92,83,9,6,-,-,-
"S00136402",111,103,8,3,2,-,3
"S00136403",124,115,11,8,-,-,1
"S00136404",76,66,10,5,-,3,2
"S00136405",101,100,1,1,-,-,-
"S00136406",79,74,8,3,3,-,-
"S00136407",99,88,6,4,1,-,3
"S00136408",173,165,8,6,-,-,1
"S00136409",109,97,12,7,2,2,2
"S00136410",143,133,10,6,2,-,-
"S00136411",74,66,8,5,2,-,1
"S00136412",65,61,4,2,-,-,-
"S00136413",69,64,5,3,-,1,1
"S00136414",116,101,15,9,-,5,1
"S00136415",95,90,5,3,-,-,2
"S00136416",139,120,19,12,1,-,4
"S00136417",89,80,9,9,1,-,1
"S00136418",88,83,3,3,-,-,-
"S00136419",117,108,6,3,4,-,3
"S00136420",89,76,9,9,-,1,3
"S00136421",64,63,5,1,-,2,2
"S00136422",162,154,6,5,-,-,1
"S00136423",101,93,10,6,-,-,2
"S00136424",126,120,5,2,-,1,2
"S00136425",103,101,3,3,-,-,-
"S00136426",78,77,1,-,-,1,-
"S00136427",89,83,10,8,-,1,1
"S00136428",109,98,11,4,2,-,1
"S00136429",141,134,7,4,-,2,1
"S00136430",80,77,1,2,1,-,-
"S00136431",154,139,15,9,1,3,1
"S00136432",110,98,6,6,1,-,-
"S00136433",112,100,12,10,-,-,2
"S00136434",65,60,5,4,-,-,-
"S00136435",75,63,10,1,4,-,2
"S00136436",111,100,8,2,1,3,3
"S00136437",178,162,16,12,-,2,4
"S00136438",132,125,7,5,1,-,-
"S00136439",155,137,18,8,5,2,-
"S00136440",75,75,-,-,-,-,-
"S00136441",93,86,7,2,-,-,2
"S00136442",91,84,4,3,-,1,-
"S00136443",74,73,3,1,-,1,1
"S00136444",88,74,11,4,3,3,2
"S00136445",100,91,9,7,-,1,1
"S00136446",118,109,9,7,-,-,2
"S00136447",96,92,4,4,-,-,-
"S00136448",62,61,2,2,-,-,-
"S00136449",115,108,7,7,-,-,-
"S00136450",72,63,9,4,-,-,5
"S00136451",105,96,7,8,-,-,1
"S00136452",93,87,9,-,-,1,4
"S00136453",96,81,11,5,-,-,4
"S00136454",63,59,4,3,1,-,-
"S00136455",116,99,17,10,-,1,2
"S00136456",102,86,12,7,-,4,1
"S00136457",96,86,10,6,2,4,1
"S00136458",108,99,9,7,-,-,3
"S00136459",61,56,2,1,-,3,-
"S00136460",87,81,7,5,-,2,-
"S00136461",164,151,13,9,-,1,3
"S00136462",84,77,7,7,-,-,-
"S00136463",157,138,19,14,2,-,3
"S00136464",71,61,10,11,-,-,2
"S00136465",86,77,9,7,-,-,2
"S00136466",81,78,3,1,-,-,1
"S00136467",96,88,8,4,-,1,4
"S00136468",163,141,22,15,4,3,2
"S00136469",92,85,7,5,-,1,-
"S00136470",94,92,3,3,-,-,-
"S00136471",69,70,2,-,1,-,1
"S00136472",64,61,3,1,-,-,-
"S00136473",69,60,7,4,2,2,-
"S00136474",81,79,4,-,1,1,-
"S00136475",96,92,7,6,-,-,2
"S00136476",69,64,9,5,2,2,1
"S00136477",86,79,7,5,-,-,2
"S00136478",68,67,1,1,-,-,-
"S00136479",116,116,3,3,-,-,-
"S00136480",104,91,10,5,5,-,2
"S00136481",82,78,4,1,1,2,1
"S00136482",134,119,17,13,-,4,2
"S00136483",100,90,10,6,2,-,2
"S00136484",111,104,7,3,1,-,3
"S00136485",100,94,6,8,-,-,-
"S00136486",105,100,5,4,-,-,-
"S00136487",91,83,7,5,1,-,1
"S00136488",85,83,2,2,-,-,-
"S00136489",74,70,4,5,-,1,-
"S00136490",111,102,12,9,1,-,-
"S00136491",93,87,6,1,2,-,1
"S00136492",106,100,6,5,-,-,-
"S00136493",119,110,9,4,-,4,2
"S00136494",176,156,20,12,-,2,1
"S00136495",74,68,6,4,-,-,2
"S00136496",85,76,9,5,-,-,4
"S00136497",93,87,6,4,1,-,1
"S00136498",92,84,6,6,-,1,2
"S00136499",125,118,7,5,-,-,-
"S00136500",106,93,13,11,1,-,1
"S00136501",74,67,7,5,1,-,1
"S00136502",130,113,17,15,-,-,2
"S00136503",89,83,6,5,1,-,-
"S00136504",113,103,10,8,-,-,3
"S00136505",128,116,10,9,-,1,1
"S00136506",107,94,13,9,4,1,1
"S00136507",95,86,9,8,1,-,-
"S00136508",132,128,2,2,-,-,-
"S00136509",152,139,9,8,-,-,1
"S00136510",96,93,4,1,1,-,2
"S00136511",72,64,12,10,-,-,2
"S00136512",59,56,5,2,-,-,3
"S00136513",132,120,12,8,-,2,-
"S00136514",177,157,17,15,-,-,1
"S00136515",100,87,17,12,-,-,3
"S00136516",104,107,1,-,1,-,-
"S00136517",96,85,11,10,-,-,1
"S00136518",193,179,9,6,2,-,4
"S00136519",96,89,7,4,-,-,3
"S00136520",186,162,24,15,5,2,2
"S00136521",100,96,4,4,-,1,-
"S00136522",104,90,14,10,-,3,1
"S00136523",106,94,12,11,-,-,-
"S00136524",86,84,1,1,-,-,-
"S00136525",98,95,5,3,-,-,-
"S00136526",75,74,1,-,-,1,-
"S00136527",111,98,13,12,-,1,1
"S00136528",62,62,5,5,-,-,-
"S00136529",83,75,9,7,-,1,1
"S00136530",98,83,12,10,1,-,1
"S00136531",82,73,9,3,1,-,2
"S00136532",138,127,11,6,-,-,3
"S00136533",91,86,5,5,2,-,-
"S00136534",115,112,3,2,-,-,1
"S00136535",63,57,6,5,-,-,-
"S00136536",96,89,5,2,2,1,1
"S00136537",102,98,4,4,-,1,1
"S00136538",138,131,6,3,-,3,-
"S00136539",108,93,14,12,-,2,-
"S00136540",65,64,1,-,1,-,-
"S00136541",88,72,13,9,-,3,1
"S00136542",68,63,5,1,-,-,3
"S00136543",130,119,12,8,-,1,2
"S00136544",62,61,1,1,-,-,-
"S00136545",101,98,3,3,-,-,-
"S00136546",70,69,2,2,-,1,-
"S00136547",82,80,4,2,-,1,-
"S00136548",95,85,10,8,-,-,2
"S00136549",111,110,1,1,-,-,-
"S00136550",120,118,5,5,-,-,-
"S00136551",112,102,14,8,-,6,-
"S00136552",110,97,15,13,1,-,-
"S00136553",90,82,6,6,1,-,2
"S00136554",94,78,12,8,-,1,3
"S00136555",92,89,3,1,-,4,-
"S00136556",60,55,5,1,-,1,2
"S00136557",88,78,10,7,-,1,2
"S00136558",101,85,12,4,-,2,3
"S00136559",66,57,5,-,1,1,-
"S00136560",80,72,8,5,2,-,1
"S00136561",78,67,11,7,-,1,1
"S00136562",81,68,9,5,2,1,-
"S00136563",66,61,4,2,-,4,-
"S00136564",143,127,16,11,1,-,6
"S00136565",116,108,14,12,-,1,1
"S00136566",100,89,15,7,1,-,3
"S00136567",110,105,4,4,1,-,-
"S00136568",93,90,3,3,-,-,-
"S00136569",92,84,8,2,2,-,4
"S00136570",67,66,2,2,-,-,-
"S00136571",73,65,8,8,-,1,-
"S00136572",65,62,3,3,-,-,-
"S00136573",93,86,7,7,-,-,-
"S00136574",94,86,11,7,4,1,-
"S00136575",74,71,4,2,-,-,1
"S00136576",95,90,4,3,1,-,-
"S00136577",87,81,9,5,-,-,1
"S00136578",110,102,8,8,-,-,-
"S00136579",89,83,6,3,2,1,-
"S00136580",117,110,7,3,1,-,3
"S00136581",64,63,1,-,-,-,1
"S00136582",152,142,10,7,1,2,1
"S00136583",71,67,6,-,-,-,6
"S00136584",63,59,1,1,-,2,1
"S00136585",136,130,6,5,-,1,-
"S00136586",68,64,6,3,-,-,1
"S00136587",57,50,4,4,-,-,-
"S00136588",105,94,11,4,-,-,3
"S00136589",67,65,1,1,-,-,-
"S00136590",104,91,13,8,2,4,1
"S00136591",117,100,17,13,-,1,2
"S00136592",192,173,19,17,1,1,-
"S00136593",131,122,9,8,1,-,-
"S00136594",106,96,10,3,1,-,5
"S00136595",98,93,5,2,1,1,2
"S00136596",68,66,2,2,-,-,-
"S00136597",86,83,3,2,1,-,-
"S00136598",88,82,6,4,-,-,1
"S00136599",80,71,7,6,1,-,-
"S00136600",105,105,1,1,-,-,-
"S00136601",76,74,2,2,-,-,-
"S00136602",131,125,6,3,2,-,1
"S00136603",110,103,6,5,-,-,2
"S00136604",69,60,8,6,-,1,-
"S00136605",155,152,2,1,-,2,1
"S00136606",106,98,8,9,2,-,-
"S00136607",82,76,6,1,-,4,3
"S00136608",313,304,9,8,-,2,-
"S00136609",106,97,9,9,-,-,-
"S00136610",90,82,8,6,1,-,1
"S00136611",86,81,5,4,1,-,-
"S00136612",74,70,6,6,-,-,-
"S00136613",64,63,1,-,1,-,-
"S00136614",81,78,2,2,-,-,1
"S00136615",91,77,14,1,-,3,10
"S00136616",154,138,12,11,2,-,-
"S00136617",66,60,2,1,-,1,-
"S00136618",77,72,6,1,1,1,-
"S00136619",60,58,2,2,-,-,-
"S00136620",112,104,8,6,-,-,2
"S00136621",125,120,6,3,-,1,-
"S00136622",128,122,6,2,-,-,2
"S00136623",67,65,3,2,-,-,2
"S00136624",110,89,21,9,-,3,5
"S00136625",66,59,5,2,-,-,1
"S00136626",96,80,16,12,1,-,4
"S00136627",121,113,8,6,-,-,1
"S00136628",103,92,10,8,-,-,2
"S00136629",76,72,4,5,-,-,1
"S00136630",107,102,2,1,-,-,1
"S00136631",77,75,2,2,-,-,-
"S00136632",69,65,3,3,-,-,-
"S00136633",91,73,18,18,-,-,2
"S00136634",82,78,3,-,3,1,-
"S00136635",85,81,4,4,2,1,-
"S00136636",136,128,8,7,-,-,-
"S00136637",198,181,17,10,1,2,5
"S00136638",118,116,2,1,1,-,-
"S00136639",84,77,7,6,-,-,2
"S00136640",68,67,1,-,-,1,-
"S00136641",113,103,4,5,1,2,-
"S00136642",96,92,3,3,-,-,-
"S00136643",71,66,5,5,-,-,-
"S00136644",74,70,4,3,-,-,-
"S00136645",91,84,7,5,1,1,-
"S00136646",103,98,5,1,-,2,-
"S00136647",127,125,2,1,-,-,2
"S00136648",82,79,4,2,1,-,2
"S00136649",102,89,14,7,-,2,4
"S00136650",139,131,13,8,1,-,1
"S00136651",84,77,4,4,-,-,-
"S00136652",85,79,3,2,2,2,-
"S00136653",61,51,4,4,-,-,-
