Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00135911",117,106,15,5,2,1,3
"S00135912",113,111,5,4,1,-,-
"S00135913",124,115,9,3,4,1,1
"S00135914",116,105,11,11,-,-,-
"S00135915",129,119,10,6,1,-,3
"S00135916",93,91,5,2,-,3,-
"S00135917",140,131,9,5,1,-,2
"S00135918",118,105,13,6,3,2,3
"S00135919",89,78,9,6,-,2,2
"S00135920",121,105,12,3,1,1,5
"S00135921",117,104,13,2,1,1,7
"S00135922",131,112,19,7,6,3,5
"S00135923",206,195,11,9,2,1,-
"S00135924",95,86,9,5,2,-,1
"S00135925",80,77,3,-,1,-,1
"S00135926",96,90,6,3,1,-,-
"S00135927",124,100,24,20,-,-,-
"S00135928",86,74,12,8,-,1,3
"S00135929",64,57,10,6,-,1,-
"S00135930",140,127,10,9,-,-,1
"S00135931",117,110,7,6,1,-,-
"S00135932",99,83,16,3,2,1,10
"S00135933",128,115,12,7,-,-,3
"S00135934",119,114,5,3,1,-,1
"S00135935",102,88,14,8,2,1,3
"S00135936",116,103,13,10,-,1,3
"S00135937",118,108,10,9,-,1,-
"S00135938",112,101,10,7,-,1,2
"S00135939",70,69,3,2,1,-,-
"S00135940",93,82,11,5,2,1,3
"S00135941",120,115,5,4,-,-,1
"S00135942",140,121,19,13,3,2,1
"S00135943",115,97,18,11,3,1,4
"S00135944",169,145,24,6,3,8,6
"S00135945",80,71,9,5,2,1,2
"S00135946",167,148,15,10,1,1,1
"S00135947",126,113,13,6,-,2,6
"S00135948",129,121,8,7,-,2,1
"S00135949",167,153,12,10,-,-,1
"S00135950",77,69,9,3,2,-,6
"S00135951",133,118,10,4,4,-,-
"S00135952",72,70,2,-,1,2,-
"S00135953",113,110,4,1,-,-,2
"S00135954",143,125,12,10,2,1,-
"S00135955",130,115,15,3,5,1,6
"S00135956",115,100,11,7,2,3,5
"S00135957",103,100,1,1,-,-,-
"S00135958",80,74,6,2,2,1,2
"S00135959",127,111,17,10,2,2,4
"S00135960",161,141,20,12,3,3,2
