Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00167984",128,7,127
"S00167985",123,12,113
"S00167986",67,2,65
"S00167987",68,3,61
"S00167988",57,3,55
"S00167989",164,5,159
"S00167990",145,4,144
"S00167991",65,2,63
"S00167992",108,-,108
"S00167993",108,2,104
"S00167994",71,1,70
"S00167995",76,2,74
"S00167996",63,2,61
"S00167997",91,4,87
"S00167998",133,4,129
"S00167999",73,6,67
"S00168000",83,5,80
"S00168001",63,1,62
"S00168002",109,5,106
"S00168003",117,7,110
"S00168004",135,10,123
"S00168005",119,2,117
"S00168006",149,8,140
"S00168007",93,2,94
"S00168008",61,-,58
"S00168009",116,9,107
"S00168010",85,2,83
"S00168011",83,4,79
"S00168012",78,9,69
"S00168013",150,15,134
"S00168014",91,3,88
"S00168015",95,6,89
"S00168016",142,3,139
"S00168017",123,9,115
"S00168018",90,3,87
"S00168019",70,5,69
"S00168020",58,4,56
"S00168021",83,2,81
"S00168022",103,4,101
"S00168023",73,1,71
"S00168024",68,4,64
"S00168025",193,2,191
"S00168026",138,-,133
"S00168027",156,2,147
"S00168028",89,4,85
"S00168029",66,4,65
"S00168030",151,6,145
"S00168031",103,4,99
"S00168032",51,3,49
"S00168033",83,-,83
"S00168034",57,2,55
"S00168035",51,-,51
"S00168036",89,2,87
"S00168037",70,-,70
"S00168038",157,6,151
"S00168039",126,4,125
"S00168040",86,1,85
"S00168041",142,15,127
"S00168042",86,-,86
"S00168043",153,3,150
"S00168044",120,2,118
"S00168045",94,10,82
"S00168046",88,5,83
"S00168047",72,1,71
"S00168048",57,-,56
"S00168049",131,4,127
"S00168050",116,2,116
"S00168051",106,-,104
"S00168052",93,1,92
"S00168053",120,6,114
"S00168054",77,2,75
"S00168055",114,-,114
"S00168056",116,4,112
"S00168057",70,3,67
"S00168058",92,3,89
"S00168059",97,4,95
"S00168060",101,-,100
"S00168061",96,1,95
"S00168062",153,6,148
"S00168063",78,4,76
"S00168064",80,1,81
"S00168065",76,3,76
"S00168066",109,-,109
"S00168067",172,2,170
"S00168068",112,3,107
"S00168069",102,3,101
"S00168070",91,-,85
"S00168071",116,3,113
"S00168072",130,4,126
"S00168073",65,-,65
"S00168074",73,3,73
"S00168075",57,6,52
"S00168076",76,3,73
"S00168077",87,6,81
"S00168078",112,-,111
"S00168079",129,4,129
"S00168080",81,6,77
"S00168081",91,3,89
"S00168082",106,5,101
"S00168083",134,4,127
"S00168084",62,1,65
"S00168085",97,5,92
"S00168086",94,7,85
"S00168087",66,7,59
"S00168088",75,4,71
"S00168089",127,2,125
"S00168090",148,5,142
"S00168091",69,4,63
"S00168092",67,1,67
"S00168093",59,4,55
"S00168094",110,3,103
"S00168095",102,7,95
"S00168096",100,6,96
"S00168097",145,3,142
"S00168098",83,4,79
"S00168099",74,2,72
"S00168100",73,8,65
"S00168101",137,3,133
"S00168102",91,3,88
"S00168103",96,6,90
"S00168104",92,4,89
"S00168105",85,3,76
"S00168106",103,7,98
"S00168107",115,4,111
"S00168108",103,6,97
"S00168109",76,3,73
"S00168110",145,4,138
"S00168111",114,-,114
"S00168112",153,-,156
"S00168113",146,2,144
"S00168114",94,5,89
"S00168115",126,3,123
"S00168116",149,5,144
"S00168117",75,3,68
"S00168118",68,-,68
"S00168119",61,-,61
"S00168120",60,3,54
"S00168121",66,2,64
"S00168122",153,3,150
"S00168123",87,1,86
"S00168124",192,6,186
"S00168125",56,6,50
"S00168126",86,4,82
"S00168127",81,4,77
"S00168128",68,1,67
"S00168129",121,5,118
"S00168130",76,3,73
"S00168131",105,2,103
"S00168132",113,4,111
"S00168133",110,2,104
"S00168134",80,-,80
"S00168135",142,3,139
"S00168136",136,3,132
"S00168137",74,-,73
"S00168138",63,3,58
"S00168139",110,3,108
"S00168140",83,3,80
"S00168141",80,4,76
"S00168142",124,8,116
"S00168143",132,-,132
"S00168144",112,4,107
"S00168145",135,7,124
"S00168146",140,2,137
"S00168147",76,5,68
"S00168148",73,-,73
"S00168149",95,8,87
"S00168150",104,4,104
"S00168151",142,4,138
"S00168152",68,4,65
"S00168153",72,2,65
"S00168154",111,6,105
"S00168155",108,7,101
"S00168156",136,2,134
"S00168157",56,2,54
"S00168158",124,5,119
"S00168159",115,3,110
"S00168160",81,1,80
"S00168161",57,2,55
"S00168162",108,9,96
"S00168163",106,1,109
"S00168164",102,3,99
"S00168165",114,1,113
"S00168166",91,4,87
"S00168167",68,1,67
"S00168168",160,5,154
"S00168169",132,7,125
"S00168170",76,2,74
"S00168171",91,2,90
"S00168172",62,1,61
"S00168173",60,3,57
"S00168174",78,-,78
"S00168175",52,1,49
"S00168176",104,3,101
"S00168177",98,2,96
"S00168178",105,2,107
"S00168179",84,3,81
"S00168180",98,8,90
"S00168181",106,-,106
"S00168182",44,-,44
"S00168183",115,5,111
"S00168184",85,2,85
"S00168185",104,4,100
"S00168186",69,4,64
"S00168187",130,4,126
"S00168188",85,4,81
"S00168189",118,7,121
"S00168190",68,2,61
"S00168191",101,8,94
"S00168192",101,1,100
"S00168193",84,3,81
"S00168194",69,-,69
"S00168195",79,7,68
"S00168196",101,5,96
"S00168197",131,3,131
"S00168198",99,8,94
"S00168199",118,9,110
"S00168200",75,1,74
"S00168201",89,5,84
"S00168202",70,4,66
"S00168203",157,5,149
"S00168204",124,8,116
"S00168205",86,4,82
"S00168206",116,3,113
"S00168207",116,5,111
"S00168208",145,8,137
"S00168209",55,-,48
"S00168210",126,3,123
"S00168211",86,3,85
"S00168212",89,4,85
"S00168213",102,3,99
"S00168214",107,1,106
"S00168215",139,2,138
"S00168216",109,6,103
"S00168217",110,3,108
"S00168218",93,2,92
"S00168219",97,3,98
"S00168220",116,3,113
"S00168221",82,6,77
"S00168222",104,4,100
"S00168223",95,5,90
"S00168224",103,4,99
"S00168225",141,-,141
"S00168226",77,1,76
"S00168227",55,2,53
"S00168228",147,7,142
"S00168229",103,-,97
"S00168230",108,-,106
"S00168231",98,-,98
"S00168232",87,5,82
"S00168233",64,5,63
"S00168234",73,4,69
"S00168235",69,8,65
"S00168236",101,1,100
"S00168237",147,4,143
"S00168238",140,3,137
"S00168239",124,-,122
"S00168240",83,6,81
"S00168241",72,5,67
"S00168242",59,-,59
"S00168243",116,-,116
"S00168244",132,3,129
"S00168245",119,6,113
"S00168246",122,-,122
"S00168247",89,-,89
"S00168248",116,5,111
"S00168249",77,-,77
"S00168250",115,6,109
"S00168251",64,1,63
"S00168252",128,3,128
"S00168253",71,6,71
"S00168254",102,-,102
"S00168255",64,1,63
"S00168256",94,-,93
"S00168257",108,3,109
"S00168258",128,1,125
"S00168259",170,9,161
"S00168260",108,-,108
"S00168261",68,1,67
"S00168262",75,3,73
"S00168263",166,8,158
"S00168264",109,1,107
"S00168265",96,2,94
"S00168266",68,3,64
"S00168267",89,5,84
"S00168268",179,5,176
"S00168269",57,2,56
"S00168270",62,-,62
"S00168271",93,-,91
"S00168272",110,4,106
"S00168273",80,4,76
"S00168274",161,9,152
"S00168275",88,5,83
"S00168276",113,4,109
"S00168277",117,4,113
"S00168278",79,2,77
"S00168279",129,4,121
"S00168280",117,4,113
"S00168281",78,5,73
"S00168282",83,3,80
"S00168283",112,8,104
"S00168284",80,5,79
"S00168285",148,3,145
"S00168286",153,2,147
"S00168287",60,2,58
"S00168288",105,2,103
"S00168289",83,1,82
"S00168290",125,1,120
"S00168291",85,-,83
"S00168292",95,3,92
"S00168293",79,3,76
"S00168294",101,4,97
"S00168295",65,3,59
"S00168296",120,2,113
"S00168297",134,-,132
"S00168298",153,8,145
"S00168299",112,-,112
"S00168300",102,1,101
"S00168301",134,3,130
"S00168302",106,3,103
"S00168303",186,4,182
"S00168304",124,4,120
"S00168305",114,-,114
"S00168306",77,-,77
"S00168307",74,1,73
"S00168308",83,3,80
"S00168309",86,-,86
"S00168310",117,4,111
"S00168311",89,6,85
"S00168312",86,2,84
"S00168313",121,1,120
"S00168314",101,4,97
"S00168315",79,3,76
"S00168316",89,4,85
"S00168317",94,3,92
"S00168318",158,6,154
"S00168319",115,5,110
"S00168320",80,1,79
"S00168321",81,5,79
"S00168322",65,4,61
"S00168323",74,6,70
"S00168324",54,-,52
"S00168325",106,5,101
"S00168326",117,2,115
"S00168327",119,3,116
"S00168328",181,3,175
"S00168329",96,1,95
"S00168330",128,2,124
"S00168331",134,9,128
"S00168332",100,4,96
"S00168333",61,3,61
"S00168334",90,-,90
"S00168335",98,1,97
"S00168336",50,1,53
"S00168337",75,1,70
"S00168338",185,7,175
"S00168339",56,1,55
"S00168340",161,3,158
"S00168341",65,-,65
"S00168342",82,2,84
"S00168343",143,4,140
"S00168344",78,4,75
"S00168345",76,4,72
"S00168346",84,2,82
"S00168347",87,2,85
"S00168348",94,3,91
"S00168349",75,1,74
"S00168350",115,6,113
"S00168351",63,2,63
"S00168352",67,-,67
"S00168353",109,4,102
"S00168354",82,2,77
"S00168355",80,3,75
"S00168356",111,4,104
"S00168357",60,6,54
"S00168358",96,2,86
"S00168359",80,3,77
"S00168360",118,2,116
"S00168361",82,-,82
"S00168362",78,3,75
"S00168363",84,3,81
"S00168364",76,4,73
"S00168365",123,-,123
"S00168366",104,3,101
"S00168367",169,5,163
"S00168368",68,3,65
"S00168369",128,3,125
"S00168370",86,-,86
"S00168371",112,3,109
"S00168372",88,1,91
"S00168373",64,2,59
"S00168374",88,2,87
"S00168375",103,5,94
"S00168376",110,4,106
"S00168377",84,-,84
"S00168378",93,1,92
"S00168379",98,-,98
"S00168380",84,3,81
"S00168381",114,6,108
"S00168382",81,2,81
"S00168383",90,4,86
"S00168384",78,1,77
"S00168385",87,2,82
"S00168386",69,1,71
"S00168387",94,4,90
"S00168388",77,2,75
"S00168389",139,8,131
"S00168390",100,-,98
"S00168391",147,4,143
"S00168392",61,4,57
"S00168393",133,6,127
"S00168394",78,3,75
"S00168395",85,1,82
"S00168396",71,1,69
"S00168397",97,-,97
"S00168398",56,-,54
"S00168399",81,4,77
"S00168400",102,4,100
"S00168401",139,5,134
"S00168402",64,3,61
"S00168403",175,3,176
"S00168404",51,-,50
"S00168405",142,-,141
"S00168406",137,4,133
"S00168407",91,2,89
"S00168408",77,1,76
"S00168409",89,-,86
"S00168410",121,-,121
"S00168411",79,3,76
"S00168412",125,3,125
"S00168413",99,4,95
"S00168414",75,-,75
"S00168415",157,3,154
"S00168416",97,4,95
"S00168417",84,-,82
"S00168418",151,3,148
"S00168419",118,5,111
"S00168420",81,4,77
"S00168421",150,1,149
"S00168422",164,6,158
"S00168423",91,5,86
"S00168424",48,2,46
"S00168425",103,1,102
"S00168426",148,6,143
"S00168427",86,3,83
"S00168428",113,10,106
"S00168429",74,2,72
"S00168430",102,1,101
"S00168431",96,3,93
"S00168432",62,-,62
"S00168433",110,5,105
"S00168434",168,4,164
"S00168435",70,2,68
"S00168436",119,5,110
"S00168437",122,3,119
"S00168438",61,1,58
"S00168439",126,2,122
"S00168440",66,-,66
"S00168441",95,-,95
"S00168442",76,1,75
"S00168443",76,2,74
"S00168444",96,1,95
"S00168445",90,3,86
"S00168446",73,1,72
"S00168447",106,-,105
"S00168448",107,4,103
"S00168449",95,4,91
"S00168450",85,-,85
"S00168451",100,1,98
"S00168452",158,3,155
"S00168453",107,3,104
"S00168454",104,2,105
"S00168455",110,3,111
"S00168456",94,3,91
"S00168457",93,1,88
"S00168458",142,10,133
"S00168459",83,3,80
"S00168460",177,2,175
"S00168461",89,-,88
"S00168462",128,-,129
"S00168463",128,2,126
"S00168464",96,-,96
"S00168465",71,-,71
"S00168466",101,3,98
"S00168467",69,1,70
"S00168468",98,5,94
"S00168469",102,4,100
"S00168470",191,2,184
"S00168471",107,6,100
"S00168472",131,2,132
"S00168473",135,5,127
"S00168474",127,-,127
"S00168475",153,4,148
"S00168476",146,9,137
"S00168477",65,1,64
"S00168478",120,-,119
"S00168479",56,-,54
"S00168480",123,-,123
"S00168481",85,4,81
"S00168482",57,1,56
"S00168483",120,6,114
"S00168484",113,2,108
"S00168485",115,1,114
"S00168486",133,4,129
"S00168487",72,2,70
"S00168488",158,6,151
"S00168489",50,-,49
"S00168490",64,1,62
"S00168491",89,2,87
"S00168492",113,4,109
"S00168493",113,-,112
"S00168494",94,2,92
"S00168495",110,6,104
"S00168496",101,4,97
"S00168497",73,-,73
"S00168498",92,8,84
"S00168499",142,9,135
"S00168500",100,-,100
"S00168501",129,6,124
"S00168502",102,1,101
"S00168503",78,1,77
"S00168504",100,1,99
"S00168505",98,2,96
"S00168506",174,5,173
"S00168507",95,6,89
"S00168508",113,6,109
"S00168509",57,2,56
"S00168510",195,5,190
"S00168511",75,1,74
"S00168512",88,1,87
"S00168513",96,5,91
"S00168514",65,3,66
"S00168515",198,1,196
"S00168516",63,1,62
"S00168517",72,-,72
"S00168518",92,2,90
"S00168519",117,-,117
"S00168520",77,4,73
"S00168521",75,1,70
"S00168522",151,4,146
"S00168523",82,4,79
"S00168524",85,1,84
"S00168525",103,4,99
"S00168526",65,3,58
"S00168527",100,-,100
"S00168528",99,4,96
"S00168529",81,-,81
"S00168530",170,8,162
"S00168531",156,1,155
"S00168532",112,5,111
"S00168533",93,-,93
"S00168534",91,-,90
"S00168535",111,3,108
"S00168536",67,4,63
"S00168537",156,9,147
"S00168538",95,-,95
"S00168539",56,1,55
"S00168540",71,2,70
"S00168541",98,2,97
"S00168542",62,3,59
"S00168543",81,2,78
"S00168544",152,6,147
"S00168545",112,-,112
"S00168546",96,-,96
"S00168547",72,3,69
"S00168548",169,1,170
"S00168549",99,2,93
"S00168550",68,-,68
"S00168551",79,2,77
"S00168552",91,-,90
"S00168553",57,4,55
"S00168554",98,1,97
"S00168555",113,2,112
"S00168556",102,6,97
"S00168557",114,4,109
"S00168558",112,2,110
"S00168559",112,-,112
"S00168560",112,-,112
"S00168561",154,9,147
"S00168562",105,2,103
"S00168563",124,7,117
"S00168564",77,1,76
"S00168565",103,3,96
"S00168566",87,7,80
"S00168567",154,11,145
"S00168568",99,3,95
"S00168569",71,2,69
"S00168570",179,-,177
"S00168571",96,3,89
"S00168572",117,4,113
"S00168573",150,2,146
"S00168574",112,3,107
"S00168575",116,2,118
"S00168576",155,4,151
"S00168577",93,8,82
"S00168578",70,1,68
"S00168579",99,1,98
"S00168580",103,1,102
"S00168581",114,6,108
"S00168582",81,1,80
"S00168583",130,5,128
"S00168584",85,1,84
"S00168585",127,2,125
"S00168586",152,1,151
"S00168587",106,1,105
"S00168588",105,-,105
"S00168589",71,3,66
"S00168590",83,1,82
"S00168591",81,2,82
"S00168592",108,3,105
"S00168593",90,2,88
"S00168594",93,1,92
"S00168595",76,1,75
"S00168596",134,-,134
"S00168597",72,2,68
"S00168598",146,5,139
"S00168599",93,-,93
"S00168600",64,2,62
"S00168601",67,-,67
"S00168602",84,-,84
"S00168603",131,3,128
"S00168604",121,2,118
"S00168605",155,4,151
"S00168606",102,2,100
"S00168607",103,3,100
"S00168608",124,2,122
"S00168609",108,5,104
"S00168610",62,3,59
"S00168611",67,1,66
"S00168612",73,3,70
"S00168613",106,5,101
"S00168614",74,2,72
"S00168615",99,3,96
"S00168616",76,4,74
"S00168617",70,8,65
"S00168618",102,4,98
"S00168619",131,3,128
"S00168620",118,4,114
"S00168621",95,5,90
"S00168622",99,7,94
"S00168623",123,4,121
"S00168624",113,3,110
"S00168625",85,-,85
"S00168626",107,6,97
"S00168627",156,6,150
"S00168628",98,4,99
"S00168629",90,1,89
"S00168630",75,4,71
"S00168631",92,1,90
"S00168632",98,1,97
"S00168633",136,4,132
"S00168634",120,4,116
"S00168635",96,4,94
"S00168636",87,7,80
"S00168637",90,2,92
"S00168638",55,5,50
"S00168639",90,2,88
"S00168640",146,3,143
"S00168641",120,4,116
"S00168642",137,2,136
"S00168643",95,3,92
"S00168644",104,1,107
"S00168645",66,5,60
"S00168646",130,-,130
"S00168647",58,2,56
"S00168648",190,4,184
"S00168649",97,3,94
"S00168650",97,4,93
"S00168651",79,4,75
"S00168652",113,4,109
"S00168653",111,4,107
"S00168654",63,1,62
"S00168655",59,-,59
"S00168656",71,1,70
"S00168657",84,1,83
"S00168658",107,3,104
"S00168659",106,2,105
"S00168660",80,6,75
"S00168661",48,-,48
"S00168662",141,6,135
"S00168663",101,1,101
"S00168664",125,4,125
"S00168665",87,1,86
"S00168666",101,1,100
"S00168667",97,3,94
"S00168668",69,-,67
"S00168669",65,5,60
"S00168670",103,7,96
"S00168671",81,2,79
"S00168672",97,-,96
"S00168673",76,-,77
"S00168674",118,-,116
"S00168675",92,1,90
"S00168676",150,2,150
"S00168677",135,4,131
"S00168678",114,-,113
"S00168679",69,2,65
"S00168680",79,5,74
"S00168681",128,-,128
"S00168682",56,-,56
"S00168683",131,1,130
"S00168684",71,4,67
"S00168685",113,2,110
"S00168686",94,3,91
"S00168687",57,2,56
"S00168688",85,6,79
"S00168689",72,2,70
"S00168690",133,1,129
"S00168691",159,3,153
"S00168692",71,-,69
"S00168693",87,-,87
"S00168694",95,2,93
"S00168695",146,6,140
"S00168696",53,-,53
"S00168697",78,7,73
"S00168698",53,1,52
"S00168699",71,4,67
"S00168700",57,-,54
"S00168701",108,1,105
"S00168702",98,5,93
"S00168703",77,1,76
"S00168704",67,2,64
"S00168705",150,8,147
"S00168706",71,2,69
"S00168707",89,7,78
"S00168708",88,1,88
"S00168709",49,-,47
"S00168710",113,3,105
"S00168711",110,1,107
"S00168712",124,9,115
"S00168713",149,10,136
"S00168714",116,3,110
"S00168715",95,1,94
"S00168716",125,1,124
"S00168717",76,4,72
"S00168718",59,5,53
"S00168719",72,-,72
"S00168720",85,2,87
"S00168721",66,2,58
"S00168722",77,1,76
"S00168723",40,-,40
"S00168724",68,6,62
"S00168725",147,3,148
"S00168726",110,6,104
"S00168727",108,2,106
"S00168728",74,5,68
"S00168729",65,2,63
"S00168730",76,4,72
"S00168731",64,6,58
"S00168732",129,1,125
"S00168733",111,1,112
"S00168734",74,5,70
"S00168735",50,-,50
"S00168736",69,2,66
"S00168737",87,2,85
"S00168738",62,2,63
"S00168739",77,2,75
"S00168740",70,3,67
"S00168741",93,3,86
"S00168742",112,5,109
"S00168743",89,4,83
"S00168744",61,2,58
"S00168745",83,3,80
"S00168746",122,5,117
"S00168747",90,-,90
"S00168748",90,2,88
"S00168749",104,4,100
"S00168750",119,-,119
"S00168751",89,4,86
"S00168752",109,6,106
"S00168753",60,4,56
"S00168754",56,1,53
"S00168755",82,5,79
"S00168756",123,4,119
"S00168757",73,3,70
"S00168758",92,2,90
"S00168759",104,2,102
"S00168760",128,3,125
"S00168761",126,2,124
"S00168762",123,1,118
"S00168763",138,3,135
"S00168764",108,1,107
"S00168765",92,6,90
"S00168766",72,3,69
"S00168767",113,2,111
"S00168768",87,1,85
"S00168769",79,2,78
"S00168770",109,5,104
"S00168771",88,2,90
"S00168772",74,-,74
"S00168773",92,-,92
"S00168774",73,-,73
"S00168775",125,8,119
"S00168776",66,4,65
"S00168777",83,-,83
"S00168778",112,-,112
"S00168779",82,5,80
"S00168780",55,3,52
"S00168781",115,2,114
"S00168782",96,5,91
"S00168783",68,1,67
"S00168784",70,-,66
"S00168785",84,-,84
"S00168786",71,3,69
"S00168787",98,4,94
"S00168788",126,4,122
"S00168789",184,11,173
"S00168790",117,7,112
"S00168791",97,2,91
"S00168792",119,5,114
"S00168793",59,-,59
"S00168794",114,4,110
"S00168795",99,5,97
"S00168796",72,2,73
"S00168797",97,5,92
"S00168798",78,1,77
"S00168799",121,1,120
"S00168800",79,-,79
"S00168801",57,1,56
"S00168802",155,5,150
"S00168803",134,5,129
"S00168804",82,3,79
"S00168805",61,6,55
"S00168806",66,3,63
"S00168807",63,1,62
"S00168808",63,4,60
"S00168809",62,4,60
"S00168810",123,3,120
"S00168811",111,1,111
"S00168812",62,-,62
"S00168813",72,1,71
"S00168814",89,3,86
"S00168815",114,5,109
"S00168816",102,6,96
"S00168817",117,8,109
"S00168818",132,6,122
"S00168819",55,2,57
"S00168820",81,2,79
"S00168821",75,4,71
"S00168822",67,3,65
"S00168823",56,-,56
"S00168824",74,2,73
"S00168825",125,-,125
"S00168826",119,2,117
"S00168827",109,-,108
"S00168828",89,5,87
"S00168829",137,5,128
"S00168830",76,3,70
"S00168831",103,3,100
"S00168832",180,3,176
"S00168833",90,2,89
"S00168834",84,3,86
"S00168835",89,4,85
"S00168836",133,3,130
"S00168837",81,3,78
"S00168838",90,2,88
"S00168839",108,-,108
"S00168840",71,7,64
"S00168841",132,4,128
"S00168842",124,4,120
"S00168843",115,1,114
"S00168844",85,4,84
"S00168845",167,10,157
"S00168846",80,3,81
"S00168847",65,-,65
"S00168848",96,-,96
"S00168849",68,-,68
"S00168850",88,6,82
"S00168851",77,-,77
"S00168852",122,-,121
"S00168853",105,9,99
"S00168854",113,3,110
"S00168855",111,5,106
"S00168856",152,2,150
"S00168857",89,3,86
"S00168858",95,1,94
"S00168859",93,1,92
"S00168860",107,5,102
"S00168861",108,1,107
"S00168862",119,-,114
"S00168863",156,-,152
"S00168864",132,3,129
"S00168865",73,2,71
"S00168866",152,4,149
"S00168867",193,4,187
"S00168868",61,3,62
"S00168869",105,3,103
"S00168870",130,1,128
"S00168871",61,5,58
"S00168872",70,4,66
"S00168873",130,5,129
"S00168874",84,8,81
"S00168875",91,2,85
"S00168876",97,1,96
"S00168877",99,2,97
"S00168878",68,1,67
"S00168879",62,-,62
"S00168880",89,-,88
"S00168881",134,5,129
"S00168882",100,6,87
"S00168883",55,3,52
"S00168884",84,2,83
"S00168885",155,2,153
"S00168886",132,2,130
"S00168887",127,2,124
"S00168888",133,2,130
"S00168889",87,3,84
"S00168890",80,1,79
"S00168891",77,2,75
"S00168892",106,-,106
"S00168893",126,6,122
"S00168894",73,-,69
"S00168895",77,-,77
"S00168896",103,4,99
"S00168897",118,3,115
"S00168898",113,2,111
"S00168899",84,2,78
"S00168900",85,2,83
"S00168901",74,6,68
"S00168902",93,5,88
"S00168903",152,3,149
"S00168904",120,2,118
"S00168905",106,5,105
"S00168906",74,2,71
"S00168907",76,3,70
"S00168908",87,3,84
"S00168909",162,7,155
"S00168910",101,3,98
"S00168911",95,2,93
"S00168912",94,1,96
"S00168913",69,2,67
"S00168914",117,4,111
"S00168915",173,2,171
"S00168916",78,11,69
"S00168917",112,-,112
"S00168918",69,3,65
"S00168919",58,3,55
"S00168920",85,7,78
"S00168921",86,3,81
"S00168922",68,4,64
"S00168923",80,-,80
"S00168924",93,2,91
"S00168925",97,2,95
"S00168926",105,3,102
"S00168927",79,6,73
"S00168928",138,-,138
"S00168929",64,1,63
"S00168930",114,4,110
"S00168931",95,3,92
"S00168932",101,5,96
"S00168933",72,2,70
"S00168934",54,1,53
"S00168935",113,3,110
"S00168936",117,4,113
"S00168937",157,7,147
"S00168938",86,2,88
"S00168939",54,1,57
"S00168940",94,6,90
"S00168941",70,2,66
"S00168942",83,4,79
"S00168943",149,4,145
"S00168944",117,3,116
"S00168945",147,2,143
"S00168946",122,7,115
"S00168947",130,7,123
"S00168948",127,-,127
"S00168949",141,6,135
"S00168950",96,7,90
"S00168951",81,-,81
"S00168952",62,1,60
"S00168953",65,2,63
"S00168954",99,2,97
"S00168955",81,4,78
"S00168956",118,4,114
"S00168957",88,3,85
"S00168958",88,3,88
"S00168959",142,-,142
"S00168960",119,-,119
"S00168961",176,3,173
"S00168962",122,3,119
"S00168963",84,1,83
"S00168964",66,1,65
"S00168965",91,5,86
"S00168966",81,-,81
"S00168967",71,3,66
"S00168968",82,2,80
"S00168969",59,2,57
"S00168970",186,3,185
"S00168971",72,3,69
"S00168972",95,-,95
"S00168973",114,6,108
"S00168974",70,-,70
"S00168975",112,1,111
"S00168976",114,3,111
"S00168977",113,1,112
"S00168978",129,3,126
"S00168979",57,-,57
"S00168980",70,4,72
"S00168981",92,1,91
"S00168982",94,3,91
"S00168983",59,1,58
"S00168984",173,2,170
"S00168985",87,-,87
"S00168986",104,5,99
"S00168987",91,1,87
"S00168988",90,2,84
"S00168989",98,4,94
"S00168990",160,5,153
"S00168991",156,4,155
"S00168992",59,2,57
"S00168993",55,-,55
"S00168994",111,4,110
"S00168995",103,1,101
"S00168996",141,1,142
"S00168997",62,2,60
"S00168998",61,1,64
"S00168999",86,-,86
"S00169000",92,3,89
"S00169001",93,5,87
"S00169002",97,2,94
"S00169003",54,4,50
"S00169004",154,1,153
"S00169005",80,3,78
"S00169006",73,2,71
"S00169007",86,2,84
"S00169008",60,1,59
"S00169009",95,5,86
"S00169010",117,6,111
"S00169011",62,4,58
"S00169012",78,3,75
"S00169013",105,-,103
"S00169014",71,2,70
"S00169015",130,4,126
"S00169016",74,-,74
"S00169017",51,1,50
"S00169018",77,2,74
"S00169019",163,4,161
"S00169020",59,5,54
"S00169021",65,2,65
"S00169022",81,4,77
"S00169023",75,6,69
"S00169024",86,4,82
"S00169025",84,-,82
"S00169026",80,8,72
"S00169027",61,-,61
"S00169028",80,2,78
"S00169029",102,-,102
"S00169030",68,-,68
"S00169031",120,4,116
"S00169032",149,4,146
"S00169033",65,1,60
"S00169034",83,3,76
"S00169035",70,1,73
"S00169036",66,3,64
"S00169037",91,7,85
"S00169038",128,4,124
"S00169039",71,2,67
"S00169040",67,5,62
"S00169041",125,5,122
"S00169042",77,1,76
"S00169043",89,3,87
"S00169044",84,-,84
"S00169045",74,5,69
"S00169046",125,3,122
"S00169047",81,-,81
"S00169048",99,1,98
"S00169049",56,-,56
"S00169050",151,1,149
"S00169051",80,2,78
"S00169052",114,3,111
"S00169053",62,3,58
"S00169054",138,-,138
"S00169055",122,1,121
"S00169056",67,5,60
"S00169057",185,6,179
"S00169058",89,-,89
"S00169059",92,4,92
"S00169060",133,3,126
"S00169061",94,2,94
"S00169062",61,3,58
"S00169063",109,-,109
"S00169064",85,2,83
"S00169065",83,3,76
"S00169066",110,3,107
"S00169067",128,3,125
"S00169068",91,3,89
"S00169069",90,3,86
"S00169070",55,3,48
"S00169071",122,6,116
"S00169072",81,4,74
"S00169073",76,2,74
"S00169074",155,3,152
"S00169075",76,3,73
"S00169076",98,-,98
"S00169077",54,-,54
"S00169078",71,3,68
"S00169079",78,4,76
"S00169080",102,3,103
"S00169081",74,3,72
"S00169082",93,-,93
"S00169083",97,4,93
"S00169084",90,5,85
"S00169085",71,2,69
"S00169086",141,-,141
"S00169087",71,-,71
"S00169088",86,4,86
"S00169089",73,3,69
"S00169090",103,2,102
"S00169091",81,1,79
"S00169092",117,1,114
"S00169093",107,3,104
"S00169094",94,6,89
"S00169095",118,3,118
"S00169096",62,2,60
"S00169097",77,2,75
"S00169098",78,5,73
"S00169099",72,1,69
"S00169100",71,4,67
"S00169101",97,5,92
"S00169102",90,2,91
"S00169103",143,3,135
"S00169104",73,2,71
"S00169105",52,1,49
"S00169106",116,3,109
"S00169107",80,3,77
"S00169108",87,4,83
"S00169109",124,6,119
"S00169110",145,5,140
"S00169111",96,-,96
"S00169112",53,-,53
"S00169113",107,5,102
"S00169114",77,4,73
"S00169115",103,8,95
"S00169116",114,1,111
"S00169117",80,-,80
"S00169118",75,1,71
"S00169119",133,4,129
"S00169120",126,5,121
"S00169121",62,3,59
"S00169122",73,1,70
"S00169123",122,4,121
"S00169124",78,-,78
"S00169125",40,2,39
"S00169126",86,1,81
"S00169127",54,2,52
"S00169128",147,3,144
"S00169129",67,-,66
"S00169130",118,12,109
"S00169131",155,2,151
"S00169132",67,1,67
"S00169133",149,4,145
"S00169134",136,5,129
"S00169135",86,2,84
"S00169136",147,4,143
"S00169137",104,4,100
"S00169138",101,1,100
"S00169139",89,-,89
"S00169140",149,3,147
"S00169141",136,2,134
"S00169142",73,-,73
