Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00135782",86,6,82
"S00135783",135,2,133
"S00135784",64,2,62
"S00135785",55,-,55
"S00135786",114,1,113
"S00135787",51,1,49
"S00135788",93,4,90
"S00135789",80,3,77
"S00135790",91,1,90
"S00135791",143,2,141
"S00135792",70,-,70
"S00135793",76,-,76
"S00135794",117,2,121
"S00135795",78,-,77
"S00135796",88,3,85
"S00135797",194,5,185
"S00135798",72,-,71
"S00135799",141,2,139
"S00135800",88,5,83
"S00135801",65,-,65
"S00135802",68,2,69
"S00135803",83,5,78
"S00135804",92,6,86
"S00135805",66,2,68
"S00135806",90,5,85
"S00135807",85,-,85
"S00135808",99,6,93
"S00135809",81,-,81
