Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00135783",158,117,59,-,59,-,2,-,-,39,-
"S00135784",89,61,54,-,7,-,-,-,-,28,-
"S00135785",66,47,25,-,21,1,4,-,-,14,-
"S00135786",162,99,81,-,18,-,6,1,-,55,-
"S00135787",60,44,33,1,10,-,7,-,-,7,-
"S00135788",105,72,56,-,13,-,-,-,-,31,2
"S00135789",101,74,67,-,7,-,-,2,-,25,-
"S00135790",115,77,55,-,21,1,-,1,-,32,3
"S00135791",165,130,67,-,64,-,2,-,-,32,1
"S00135792",102,58,31,-,28,-,11,-,-,33,-
"S00135793",99,77,38,-,38,1,-,2,-,21,2
"S00135794",151,140,139,-,2,-,-,2,-,8,1
"S00135795",92,69,52,-,19,2,4,3,-,14,-
"S00135796",107,80,70,-,13,-,7,4,-,18,-
"S00135797",211,133,91,1,41,-,35,29,-,10,4
"S00135798",77,61,50,-,11,-,-,-,-,16,-
"S00135799",201,108,99,-,14,-,-,7,-,79,-
"S00135800",109,76,67,-,12,-,2,-,-,23,6
"S00135801",78,61,51,-,9,1,-,-,-,12,-
"S00135802",84,56,41,-,15,-,4,5,-,20,2
"S00135803",102,73,60,-,11,-,1,-,-,30,-
"S00135804",109,84,79,2,3,-,-,2,-,23,-
"S00135805",73,38,29,-,6,-,7,7,-,21,-
"S00135806",128,88,77,-,11,-,-,-,-,40,-
"S00135807",104,73,37,-,36,-,2,2,-,25,-
"S00135808",121,78,39,-,42,-,4,7,-,28,-
"S00135809",101,66,57,-,9,-,5,2,-,28,1
"S00135810",129,119,115,-,4,-,-,-,-,6,4
"S00135811",182,116,64,-,52,-,9,10,-,50,-
"S00135812",117,86,55,2,30,-,2,-,-,28,1
"S00135813",113,81,40,-,39,-,4,6,-,26,-
"S00135814",71,49,26,-,26,-,3,-,-,18,-
"S00135815",70,41,22,-,19,-,-,-,-,29,-
"S00135816",106,77,75,-,2,-,6,4,-,19,-
"S00135817",122,93,72,-,21,-,-,2,-,22,8
"S00135818",102,77,53,1,21,-,4,-,-,18,3
"S00135819",116,88,72,-,15,-,-,-,-,22,6
"S00135820",190,130,83,-,47,-,1,1,-,58,-
"S00135821",77,59,47,-,12,-,1,1,-,13,1
"S00135822",141,112,78,-,34,-,3,2,-,21,-
"S00135823",182,137,75,-,62,-,-,4,-,41,-
"S00135824",187,145,134,-,11,-,-,2,-,40,-
"S00135825",107,86,67,1,18,-,-,4,-,17,-
"S00135826",100,65,38,-,23,-,1,4,-,30,-
"S00135827",71,54,45,-,12,-,-,-,-,13,-
"S00135828",139,98,82,-,19,-,4,3,-,34,-
"S00135829",85,62,44,-,18,-,-,-,-,22,1
"S00135830",68,54,48,-,4,1,7,-,-,8,-
"S00135831",115,96,78,-,18,-,-,-,-,21,-
"S00135832",171,137,54,-,81,-,-,3,-,30,3
"S00135833",118,87,66,-,21,-,-,-,-,31,-
"S00135834",104,91,73,-,18,-,5,-,-,8,1
"S00135835",155,119,76,-,46,-,4,5,-,25,2
"S00135836",110,87,66,-,21,-,1,-,-,21,1
"S00135837",143,99,77,1,21,-,-,-,-,44,-
"S00135838",164,122,103,1,19,-,11,21,-,7,4
"S00135839",266,207,153,3,50,-,5,9,1,37,6
"S00135840",166,128,101,2,23,1,9,6,-,23,2
"S00135841",62,53,47,-,3,3,-,-,-,9,-
"S00135842",86,62,57,-,7,-,3,8,-,12,2
"S00135843",80,41,32,-,7,-,-,-,-,36,2
"S00135844",69,44,35,-,9,-,-,-,-,25,-
"S00135845",79,62,53,-,7,-,-,-,-,17,-
"S00135846",113,81,79,1,1,-,5,13,-,11,3
"S00135847",218,145,119,3,20,2,27,17,-,21,8
"S00135848",119,59,55,-,4,-,2,-,-,56,-
"S00135849",68,56,47,-,9,-,2,-,-,15,-
"S00135850",87,80,75,-,5,-,-,2,-,2,2
"S00135851",126,85,78,-,7,-,1,-,-,43,-
"S00135852",71,44,27,-,16,1,5,5,-,19,-
"S00135853",78,45,42,-,3,-,-,2,-,31,-
"S00135854",75,65,65,-,-,-,1,1,-,7,-
"S00135855",94,64,46,2,15,-,3,4,-,26,5
"S00135856",64,44,36,-,7,1,5,4,-,14,-
"S00135857",62,49,43,-,4,-,-,7,-,4,-
"S00135858",64,49,41,-,8,-,-,3,-,12,-
"S00135859",75,61,44,-,15,-,1,2,-,13,2
"S00135860",139,76,59,-,15,-,4,1,-,55,-
"S00135861",101,73,73,-,-,-,8,4,-,18,-
"S00135862",84,62,45,-,16,-,-,-,-,22,-
"S00135863",95,64,57,-,8,-,2,-,-,29,-
"S00135864",90,65,60,-,5,-,2,14,-,9,-
"S00135865",94,76,70,1,4,-,-,3,-,14,1
"S00135866",106,83,52,-,28,3,-,6,-,19,1
"S00135867",104,80,75,1,4,-,8,1,-,15,-
"S00135868",118,100,94,1,5,-,1,8,-,6,3
"S00135869",77,56,57,-,1,1,-,10,-,4,-
"S00135870",74,64,47,-,16,1,4,1,-,3,3
"S00135871",185,128,83,-,39,4,8,20,-,27,1
"S00135872",92,59,57,-,9,-,-,2,-,28,-
"S00135873",119,101,80,2,20,-,-,-,-,18,-
"S00135874",118,99,79,-,18,2,1,14,-,5,-
"S00135875",131,107,94,-,12,-,1,-,-,20,1
"S00135876",107,76,61,-,15,-,-,-,-,31,-
"S00135877",160,112,97,-,17,-,-,-,-,48,-
"S00135878",156,119,112,-,5,-,5,24,-,5,1
"S00135879",86,69,51,-,18,-,-,-,-,16,-
"S00135880",190,127,100,-,21,1,17,22,-,22,6
"S00135881",118,104,76,-,28,-,-,-,-,14,-
"S00135882",107,90,78,-,12,-,-,1,-,16,-
"S00135883",75,51,37,-,12,-,-,-,-,24,-
"S00135884",71,58,51,-,7,-,4,-,-,11,-
"S00135885",80,42,35,2,6,-,5,2,-,30,4
"S00135886",86,61,58,-,3,-,-,5,-,20,-
"S00135887",65,48,37,1,10,-,5,2,-,12,-
"S00135888",106,63,33,2,28,-,1,13,-,28,1
"S00135889",75,68,68,-,-,-,3,3,-,-,2
"S00135890",91,74,68,-,6,-,-,1,-,20,-
"S00135891",82,61,55,-,4,-,-,-,-,22,-
"S00135892",116,106,107,-,4,-,-,-,-,10,-
"S00135893",110,89,73,5,12,-,6,2,-,12,1
"S00135894",114,92,82,-,10,-,-,-,-,20,-
"S00135895",164,124,69,2,56,-,-,-,-,36,1
"S00135896",148,106,69,-,37,-,2,4,-,39,2
"S00135897",147,101,71,-,29,1,13,5,-,29,-
"S00135898",115,86,68,-,18,-,-,2,-,27,-
"S00135899",94,83,58,-,25,-,4,2,-,8,-
"S00135900",123,95,76,1,17,1,2,10,-,14,2
"S00135901",109,79,62,-,17,-,-,1,-,29,-
"S00135902",89,70,50,-,20,-,-,-,-,23,-
"S00135903",117,94,59,-,29,6,4,3,-,16,-
"S00135904",77,54,47,-,8,-,-,7,-,14,-
"S00135905",78,57,57,-,-,-,-,-,-,25,-
"S00135906",64,54,50,-,4,-,-,-,-,12,-
"S00135907",97,80,75,1,8,-,2,1,-,9,1
"S00135908",109,97,85,-,12,-,-,-,-,10,-
"S00135909",70,50,45,1,4,-,-,-,-,20,-
"S00135910",74,58,47,-,11,-,-,2,-,14,-
"S00135911",121,109,74,-,34,-,-,-,-,11,-
"S00135912",120,93,76,10,7,-,2,22,-,4,-
"S00135913",127,92,74,5,13,-,-,23,-,6,5
"S00135914",121,96,88,3,4,1,3,18,-,1,1
"S00135915",131,121,102,3,13,-,1,4,-,5,2
"S00135916",103,75,61,-,9,1,1,22,-,8,5
"S00135917",147,114,97,1,16,-,2,-,-,30,-
"S00135918",120,101,88,1,12,-,-,-,-,19,-
"S00135919",89,68,62,-,6,-,4,1,-,14,-
"S00135920",126,98,97,1,8,-,-,2,-,22,-
"S00135921",121,82,75,-,10,-,5,3,-,34,-
"S00135922",135,114,109,-,4,-,6,4,-,9,4
"S00135923",209,135,110,4,21,-,30,21,-,19,4
"S00135924",99,83,74,-,9,-,1,2,-,12,-
"S00135925",81,65,63,-,2,-,4,-,-,10,-
"S00135926",97,60,55,-,6,-,3,-,-,29,-
"S00135927",126,94,87,2,5,-,2,3,-,25,2
"S00135928",86,62,35,-,24,-,9,2,-,9,4
"S00135929",64,52,49,-,2,-,-,-,-,13,-
"S00135930",140,138,135,3,1,-,-,-,-,3,2
"S00135931",120,104,104,-,-,-,-,3,-,14,-
"S00135932",103,66,61,-,5,-,4,-,-,33,-
"S00135933",131,115,111,-,3,1,5,2,-,7,2
"S00135934",121,85,62,-,23,-,12,9,-,12,2
"S00135935",102,83,80,-,4,-,-,6,-,14,-
"S00135936",118,80,35,-,42,5,4,13,-,23,-
"S00135937",122,104,90,2,13,-,-,2,-,16,-
"S00135938",117,100,84,-,16,-,-,1,-,11,-
"S00135939",73,56,41,-,12,2,-,4,-,13,-
"S00135940",94,55,49,2,4,-,-,-,-,35,-
"S00135941",120,91,60,2,29,-,-,18,-,7,6
"S00135942",142,121,114,-,7,-,-,1,-,20,-
"S00135943",119,98,90,2,4,-,-,3,-,18,1
"S00135944",170,125,112,1,12,-,-,1,-,44,-
"S00135945",79,59,46,-,9,-,2,7,-,13,-
"S00135946",173,163,150,-,13,-,1,1,-,6,2
"S00135947",128,108,91,-,12,-,-,4,-,18,1
"S00135948",134,102,84,-,14,4,8,15,-,15,1
"S00135949",174,152,147,-,4,-,-,5,-,16,1
"S00135950",77,54,51,-,3,-,-,8,-,14,-
"S00135951",135,111,92,2,14,-,3,6,-,8,5
"S00135952",78,63,57,-,7,-,6,2,-,5,-
"S00135953",117,94,85,2,3,1,1,6,-,7,6
"S00135954",151,136,127,-,8,2,4,2,-,4,2
"S00135955",134,109,102,-,7,-,1,-,-,23,-
"S00135956",115,86,79,1,5,-,-,4,-,28,-
"S00135957",110,82,64,1,15,2,10,12,-,4,2
"S00135958",81,70,62,-,8,-,-,-,-,10,2
"S00135959",131,110,101,-,9,-,-,2,-,19,-
"S00135960",165,123,121,-,2,-,6,1,-,32,3
"S00135961",177,114,91,4,21,-,9,3,-,50,-
"S00135962",100,70,57,2,14,-,9,1,-,16,-
"S00135963",192,176,168,-,8,-,-,5,-,9,-
"S00135964",114,94,83,-,7,2,-,7,-,7,3
"S00135965",103,78,58,6,14,-,6,5,-,4,12
"S00135966",86,63,63,-,-,-,-,4,-,17,-
"S00135967",106,83,75,-,8,-,-,9,-,12,-
"S00135968",158,129,121,-,10,-,-,-,-,27,-
"S00135969",79,48,39,-,9,-,3,20,-,3,-
"S00135970",102,76,71,-,5,-,-,3,-,27,-
"S00135971",117,86,68,-,20,-,7,7,-,13,4
"S00135972",94,76,64,1,11,-,1,-,-,11,4
"S00135973",120,100,87,-,15,-,-,4,-,17,1
"S00135974",96,66,66,-,3,-,-,11,-,16,-
"S00135975",82,67,58,1,8,-,-,-,-,18,-
"S00135976",112,90,76,-,13,1,-,8,-,15,2
"S00135977",78,61,57,-,4,-,-,1,-,13,-
"S00135978",117,83,70,4,11,-,9,8,-,6,11
"S00135979",89,64,64,-,-,-,2,-,-,23,-
"S00135980",106,92,79,4,10,1,4,-,-,10,-
"S00135981",156,138,137,1,-,-,-,5,1,12,-
"S00135982",82,56,44,-,15,1,4,6,1,15,-
"S00135983",116,96,84,1,11,-,3,5,-,10,4
"S00135984",117,97,83,-,11,-,-,1,-,19,-
"S00135985",119,76,66,1,9,-,15,10,-,21,-
"S00135986",126,91,88,-,3,-,-,-,-,35,-
"S00135987",77,60,49,-,10,-,1,4,-,7,4
"S00135988",69,63,58,4,1,-,-,2,-,2,-
"S00135989",95,70,60,-,8,2,-,2,-,23,-
"S00135990",69,59,55,-,8,-,-,-,-,9,1
"S00135991",71,62,54,-,8,-,1,3,-,5,1
"S00135992",99,71,71,-,-,-,-,-,-,24,-
"S00135993",107,96,89,1,5,2,1,-,-,10,-
"S00135994",175,153,143,-,10,-,10,2,-,8,-
"S00135995",65,64,55,2,7,-,-,-,-,1,-
"S00135996",176,151,148,-,3,-,2,5,-,20,-
"S00135997",118,77,72,-,4,1,-,-,-,41,-
"S00135998",93,79,60,4,17,-,8,5,-,3,-
"S00135999",99,82,57,1,24,-,1,4,-,10,-
"S00136000",131,104,95,-,9,-,1,3,-,23,-
"S00136001",75,55,43,-,12,-,1,5,-,14,-
"S00136002",108,84,68,1,13,2,3,2,-,19,-
"S00136003",70,48,29,1,12,6,2,7,-,7,6
"S00136004",76,45,40,-,5,-,1,9,-,18,-
"S00136005",146,91,86,-,7,2,-,1,-,54,-
"S00136006",66,49,42,1,6,-,6,5,-,5,1
"S00136007",168,127,113,1,13,-,6,15,-,21,-
"S00136008",78,41,34,2,5,2,8,15,-,19,-
"S00136009",113,84,75,-,7,1,3,-,-,22,-
"S00136010",131,122,119,1,4,-,-,-,-,8,2
"S00136011",126,91,74,-,17,-,1,-,-,32,-
"S00136012",110,64,53,-,10,1,-,3,-,41,1
"S00136013",88,68,45,-,19,4,4,4,-,12,2
"S00136014",121,85,77,-,8,-,12,16,-,12,-
"S00136015",113,87,70,-,14,3,3,1,-,22,-
"S00136016",114,76,54,1,21,-,5,24,-,3,11
"S00136017",153,130,104,1,22,-,5,1,3,12,2
"S00136018",154,101,82,3,17,-,21,10,-,11,11
"S00136019",871,702,571,32,97,2,62,55,-,36,16
"S00136020",134,117,107,-,10,-,-,1,-,16,-
"S00136021",66,56,35,-,17,-,4,3,-,7,-
"S00136022",133,101,94,-,7,-,5,1,-,26,-
"S00136023",65,39,39,-,-,-,-,-,-,26,-
"S00136024",88,75,58,-,17,-,-,-,-,13,-
"S00136025",115,84,76,-,6,-,-,-,-,31,-
"S00136026",139,125,107,2,12,-,2,7,-,7,2
"S00136027",71,59,45,-,14,-,1,1,-,7,4
"S00136028",62,46,39,-,3,-,-,-,-,16,-
"S00136029",92,84,84,-,-,-,-,4,-,4,-
"S00136030",143,89,84,-,5,-,-,6,-,48,-
"S00136031",118,87,59,-,32,-,5,2,-,24,-
"S00136032",108,98,77,-,18,-,2,7,-,5,-
"S00136033",145,109,87,-,22,-,2,23,-,10,-
"S00136034",108,88,64,-,28,-,-,6,-,14,-
"S00136035",129,104,81,1,20,1,9,10,-,5,-
"S00136036",109,89,79,-,11,-,5,6,-,7,-
"S00136037",99,73,52,1,20,-,8,3,-,14,-
"S00136038",81,56,52,-,4,-,-,-,-,25,-
"S00136039",85,68,56,-,13,-,4,2,-,11,-
"S00136040",84,63,56,-,8,-,-,-,-,20,1
"S00136041",146,122,107,-,15,-,-,3,-,21,-
"S00136042",113,93,80,-,11,-,-,-,-,18,-
"S00136043",91,78,58,-,20,-,-,-,-,17,-
"S00136044",63,43,34,-,10,-,1,4,-,14,-
"S00136045",146,124,112,-,12,-,-,-,-,21,1
"S00136046",90,73,66,-,8,-,-,-,-,17,-
"S00136047",131,98,86,-,16,-,6,10,-,15,-
"S00136048",107,99,79,-,16,-,-,-,-,12,-
"S00136049",148,113,99,4,9,-,8,18,-,9,-
"S00136050",143,136,131,5,-,-,-,1,-,5,-
"S00136051",111,85,66,-,19,-,-,-,-,26,-
"S00136052",64,57,46,3,9,-,2,1,-,1,2
"S00136053",94,66,56,-,8,-,2,1,-,23,-
"S00136054",118,104,90,-,11,3,1,3,-,10,-
"S00136055",127,95,76,-,19,-,6,-,-,23,-
"S00136056",94,67,58,-,9,-,3,1,-,22,1
"S00136057",130,109,105,1,1,-,-,5,-,16,-
"S00136058",249,171,150,4,21,-,23,11,-,39,1
"S00136059",91,78,72,-,6,-,-,-,-,16,2
"S00136060",100,82,52,2,22,1,3,2,-,13,-
"S00136061",405,288,228,9,49,2,40,38,-,28,11
"S00136062",90,81,73,-,8,-,4,2,-,5,-
"S00136063",101,78,64,-,14,-,1,3,-,19,-
"S00136064",142,104,92,-,16,-,4,13,-,21,2
"S00136065",102,74,62,-,12,-,1,5,-,22,-
"S00136066",58,48,44,-,4,-,-,4,-,11,-
"S00136067",64,58,46,-,12,-,4,1,-,5,-
"S00136068",123,88,60,4,24,1,10,10,-,16,2
"S00136069",135,93,76,1,16,-,1,6,-,33,-
"S00136070",76,68,66,-,6,-,2,3,-,1,2
"S00136071",204,149,77,-,69,-,17,6,-,31,1
"S00136072",78,59,39,2,17,-,8,-,-,11,-
"S00136073",105,85,66,3,20,-,5,7,-,2,4
"S00136074",96,73,48,-,25,-,12,3,-,9,-
"S00136075",101,82,59,-,24,-,3,8,-,2,3
"S00136076",124,78,53,-,25,-,8,14,-,24,1
"S00136077",98,84,68,6,9,2,6,1,-,7,-
"S00136078",204,202,188,4,9,-,-,-,-,6,-
"S00136079",63,46,36,3,7,-,-,11,-,5,1
"S00136080",140,114,105,1,7,-,-,6,-,20,-
"S00136081",80,67,49,1,15,-,1,13,-,1,-
"S00136082",73,48,41,-,8,-,2,6,-,12,-
"S00136083",105,90,74,3,14,-,4,7,-,7,-
"S00136084",97,85,78,-,7,-,-,-,-,12,-
"S00136085",88,70,62,-,7,-,-,-,-,18,-
"S00136086",90,74,57,2,16,-,5,10,-,2,1
"S00136087",98,79,74,2,2,1,7,4,-,10,-
"S00136088",84,54,41,1,12,-,9,4,-,13,6
"S00136089",155,151,146,-,2,-,-,1,-,5,-
"S00136090",106,93,86,-,3,-,1,-,-,15,1
"S00136091",138,95,85,1,12,-,-,-,-,35,-
"S00136092",173,137,127,-,10,-,3,-,-,33,-
"S00136093",118,81,55,1,25,-,1,18,-,17,1
"S00136094",89,75,45,-,30,-,4,1,-,11,-
"S00136095",62,50,50,-,-,-,-,-,-,12,-
"S00136096",153,95,76,-,16,5,3,22,2,26,1
"S00136097",158,108,88,1,18,-,27,4,-,16,3
"S00136098",94,65,51,-,14,-,-,-,-,29,-
"S00136099",147,117,103,1,12,1,-,-,-,30,-
"S00136100",195,127,114,1,12,-,8,21,2,39,1
"S00136101",102,75,69,-,6,-,2,2,-,26,-
"S00136102",109,87,57,7,23,-,3,3,-,8,5
"S00136103",92,66,52,-,14,-,-,1,-,25,-
"S00136104",102,82,61,-,20,1,-,3,-,12,1
"S00136105",149,106,70,4,34,-,13,9,-,21,1
"S00136106",110,75,44,5,28,2,5,7,-,23,-
"S00136107",125,90,73,3,11,-,19,6,-,4,6
"S00136108",154,131,131,1,1,-,-,8,-,10,-
"S00136109",113,87,78,-,8,-,-,-,-,23,-
"S00136110",85,73,75,-,1,-,-,2,-,10,-
"S00136111",115,101,68,2,32,-,3,5,-,10,1
"S00136112",139,125,111,-,13,-,-,-,-,16,-
"S00136113",85,65,57,-,4,-,-,-,-,24,-
"S00136114",159,124,83,4,37,-,10,13,-,8,3
"S00136115",129,91,64,3,24,-,8,19,-,7,4
"S00136116",87,59,56,-,5,-,2,16,-,9,1
"S00136117",100,64,45,-,17,-,5,10,-,20,2
"S00136118",84,60,53,-,3,-,1,-,-,20,-
"S00136119",86,69,64,-,1,-,-,4,-,18,-
"S00136120",90,64,60,-,4,-,-,3,-,23,-
"S00136121",126,100,92,4,3,-,4,5,-,19,-
"S00136122",121,83,50,1,33,-,16,6,-,16,-
"S00136123",155,141,122,1,19,-,4,1,-,8,-
"S00136124",82,70,60,-,10,-,-,-,-,11,1
"S00136125",102,85,80,-,5,-,-,-,-,14,-
"S00136126",88,43,40,-,3,-,-,-,-,45,-
"S00136127",145,117,107,-,10,-,-,-,-,28,-
"S00136128",70,43,22,-,18,-,14,1,-,13,-
"S00136129",103,86,77,-,8,1,-,4,-,6,4
"S00136130",74,63,57,-,6,-,-,2,-,6,-
"S00136131",81,52,42,1,7,3,7,2,-,24,-
"S00136132",84,61,59,-,2,-,-,-,-,23,-
"S00136133",117,105,94,-,11,-,-,3,-,7,-
"S00136134",92,75,71,-,2,-,-,-,-,19,-
"S00136135",83,64,51,1,14,1,1,2,-,12,1
"S00136136",74,56,50,-,5,-,-,-,-,20,-
"S00136137",97,61,38,-,23,-,-,-,-,32,-
"S00136138",83,50,50,-,-,-,-,-,-,33,-
"S00136139",82,56,56,-,-,-,-,-,-,30,-
"S00136140",121,106,103,-,4,-,-,2,-,14,-
"S00136141",71,61,52,-,5,-,-,4,-,4,2
"S00136142",120,83,51,-,29,-,21,8,-,11,-
"S00136143",67,60,49,3,8,-,-,3,1,1,2
"S00136144",141,119,112,2,5,-,-,-,-,18,1
"S00136145",293,189,144,3,40,-,61,19,-,13,10
"S00136146",112,79,57,2,23,-,4,2,-,26,-
"S00136147",69,52,48,-,4,-,4,-,-,12,-
"S00136148",97,77,63,-,14,-,-,-,-,19,-
"S00136149",80,65,55,-,8,-,-,-,2,15,-
"S00136150",113,99,96,-,6,-,-,10,-,1,1
"S00136151",74,56,51,1,6,-,-,-,-,16,-
"S00136152",84,60,59,-,3,-,-,1,-,23,-
"S00136153",76,61,55,5,4,-,3,2,-,7,3
"S00136154",116,90,62,-,28,-,10,-,-,13,1
"S00136155",117,95,94,-,-,1,-,1,-,21,-
"S00136156",123,101,97,2,2,1,4,13,-,5,-
"S00136157",60,53,37,11,8,-,2,1,-,2,2
"S00136158",133,92,82,-,10,-,4,1,1,37,-
"S00136159",90,86,75,-,8,-,-,-,-,7,-
"S00136160",77,60,53,-,7,-,-,-,-,17,-
"S00136161",107,82,71,-,8,-,-,-,-,23,-
"S00136162",124,86,70,-,16,-,-,1,-,36,-
"S00136163",71,56,50,1,2,-,-,-,-,15,-
"S00136164",84,60,55,-,7,-,-,-,-,27,-
"S00136165",62,41,36,-,5,-,-,-,-,21,-
"S00136166",66,47,37,-,8,2,-,4,-,15,-
"S00136167",83,45,45,-,-,-,-,-,-,35,-
"S00136168",106,84,80,4,2,1,5,3,-,9,2
"S00136169",70,53,47,-,8,-,-,-,-,12,-
"S00136170",72,51,36,-,16,-,1,7,-,10,3
"S00136171",68,47,28,-,19,-,2,8,-,11,-
"S00136172",83,68,53,3,13,-,4,6,-,4,2
"S00136173",63,51,51,1,2,-,1,2,-,10,-
"S00136174",131,124,104,1,19,-,-,-,-,3,4
"S00136175",78,56,54,-,3,-,-,3,-,19,-
"S00136176",139,115,104,-,11,-,-,1,-,21,-
"S00136177",97,88,69,-,11,-,-,-,-,13,-
"S00136178",104,92,55,-,31,2,1,3,-,6,-
"S00136179",101,85,64,2,20,-,1,-,-,8,-
"S00136180",128,122,107,5,12,2,-,2,-,3,1
"S00136181",65,48,33,-,15,-,-,-,-,14,-
"S00136182",120,100,89,-,11,-,-,3,-,17,-
"S00136183",121,104,83,-,21,-,-,1,-,16,-
"S00136184",125,95,85,-,8,-,-,3,-,27,-
"S00136185",98,78,51,1,22,4,7,8,1,3,1
"S00136186",103,78,61,2,14,1,5,4,-,14,4
"S00136187",100,80,68,-,12,-,2,1,-,17,-
"S00136188",61,41,26,1,11,-,4,5,-,6,5
"S00136189",93,62,42,3,18,2,8,8,-,14,1
"S00136190",80,66,49,-,16,-,4,1,-,6,3
"S00136191",110,66,52,-,13,1,20,6,-,14,4
"S00136192",146,97,61,3,33,-,19,22,-,8,2
"S00136193",127,105,79,5,21,2,-,9,-,12,1
"S00136194",137,107,87,-,19,1,-,7,-,22,1
"S00136195",385,304,252,10,41,1,31,19,-,19,16
"S00136196",76,58,51,-,2,4,10,-,-,8,-
"S00136197",112,95,62,1,31,-,5,-,-,8,3
"S00136198",119,85,81,-,4,-,-,-,-,34,-
"S00136199",61,51,48,-,1,-,12,-,-,3,-
"S00136200",66,41,32,1,4,-,-,-,-,25,-
"S00136201",89,83,76,-,7,-,2,4,-,1,-
"S00136202",83,57,38,-,24,-,-,-,-,22,-
"S00136203",102,82,67,-,14,-,-,2,-,17,-
"S00136204",124,97,83,1,11,-,7,10,-,8,2
"S00136205",77,60,36,1,22,-,1,2,-,17,-
"S00136206",101,62,47,-,15,-,6,13,-,20,-
"S00136207",67,53,32,-,20,1,6,3,-,4,2
"S00136208",88,47,45,-,5,-,-,6,-,30,2
"S00136209",101,74,68,-,2,-,-,2,-,21,-
"S00136210",166,151,146,1,4,-,-,-,-,12,-
"S00136211",89,68,50,2,15,-,3,6,1,2,3
"S00136212",89,71,66,-,5,-,-,-,-,17,-
"S00136213",75,56,51,-,5,-,-,-,-,16,2
"S00136214",118,85,59,-,26,-,5,1,-,26,-
"S00136215",96,76,68,-,8,-,3,-,-,19,-
"S00136216",115,83,59,-,28,-,19,4,-,9,-
"S00136217",138,109,108,-,2,-,-,-,-,28,-
"S00136218",195,119,86,3,30,-,33,20,1,15,7
"S00136219",77,67,55,2,9,-,-,6,-,4,-
"S00136220",113,51,35,-,13,3,14,18,-,30,-
"S00136221",68,64,55,1,8,-,-,1,-,2,-
"S00136222",61,39,38,-,1,-,-,-,-,22,-
"S00136223",180,159,153,-,2,4,-,8,-,13,-
"S00136224",81,57,42,-,19,-,13,6,-,7,2
"S00136225",109,82,71,-,11,-,-,-,-,27,-
"S00136226",102,83,73,-,10,-,-,1,-,18,-
"S00136227",82,60,31,-,29,-,1,9,-,10,-
"S00136228",177,145,138,-,7,-,-,1,-,36,-
"S00136229",101,72,66,-,1,1,1,-,-,24,-
"S00136230",93,88,61,-,23,6,1,3,-,6,-
"S00136231",104,66,66,-,4,-,1,-,-,36,1
"S00136232",158,123,116,-,7,-,-,7,-,28,-
"S00136233",78,60,40,1,17,2,6,2,-,4,2
"S00136234",97,84,74,2,8,-,2,1,-,8,2
"S00136235",65,58,58,-,-,-,-,-,-,4,-
"S00136236",450,373,291,20,61,1,22,13,1,36,3
"S00136237",159,130,104,1,20,5,8,11,-,8,1
"S00136238",130,97,51,-,45,-,15,2,-,14,-
"S00136239",312,248,205,10,29,2,19,20,-,24,6
"S00136240",101,74,67,-,7,-,-,-,-,27,-
"S00136241",72,66,54,1,13,1,-,1,-,1,-
"S00136242",109,91,67,1,22,1,4,2,-,10,3
"S00136243",92,60,43,2,12,-,11,9,-,10,1
"S00136244",141,97,95,-,2,-,-,8,-,35,-
"S00136245",589,432,345,10,71,5,47,44,1,57,11
"S00136246",78,62,38,2,22,-,-,2,-,13,-
"S00136247",132,118,104,-,15,-,-,-,-,13,-
"S00136248",127,107,101,-,4,2,3,3,-,12,-
"S00136249",91,78,72,-,6,-,-,-,-,13,-
"S00136250",95,84,80,-,1,-,-,-,-,13,-
"S00136251",109,73,42,-,31,-,11,13,-,11,-
"S00136252",90,45,37,-,8,-,4,5,-,38,1
"S00136253",72,51,41,-,10,-,8,5,-,7,2
"S00136254",136,102,76,1,21,-,6,5,-,18,6
"S00136255",111,102,97,2,4,-,-,1,-,4,1
"S00136256",104,83,81,-,5,-,3,-,-,18,-
"S00136257",116,83,67,-,16,-,14,1,-,16,3
"S00136258",105,89,76,-,13,-,2,-,-,14,-
"S00136259",250,225,208,-,17,-,-,8,-,16,1
"S00136260",74,33,32,-,-,1,-,-,-,35,-
"S00136261",97,67,49,-,20,-,7,10,-,18,-
"S00136262",106,95,81,2,13,-,-,-,-,9,-
"S00136263",87,69,48,-,23,-,-,-,-,13,-
"S00136264",108,75,50,1,23,1,16,2,-,13,2
"S00136265",111,96,75,-,21,-,2,10,-,2,1
"S00136266",88,81,80,1,-,-,-,-,-,7,-
"S00136267",97,69,49,1,19,-,5,11,1,14,-
"S00136268",117,92,69,-,26,-,-,5,-,16,1
"S00136269",91,73,51,-,25,-,4,3,-,13,-
"S00136270",85,73,59,-,11,-,8,3,-,4,1
"S00136271",122,101,92,-,10,-,-,11,-,12,-
"S00136272",121,97,83,-,14,-,-,1,-,23,-
"S00136273",70,46,41,-,5,-,-,-,-,22,2
"S00136274",93,74,55,-,17,-,-,-,-,17,2
"S00136275",126,98,73,4,21,-,10,2,-,11,5
"S00136276",107,62,60,-,2,-,5,3,-,37,-
"S00136277",67,57,47,-,10,-,3,2,-,3,-
