Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00135717",108,88,67,-,21,-,4,4,2,11,-
"S00135718",71,47,44,-,4,-,5,3,-,16,-
"S00135719",183,134,89,2,44,-,-,1,-,45,-
"S00135720",204,156,136,-,21,-,-,-,-,48,-
"S00135721",161,115,95,-,20,-,5,1,-,39,-
"S00135722",75,51,25,-,26,-,2,1,-,21,-
"S00135723",77,48,35,-,14,-,-,7,-,22,-
"S00135724",88,63,57,-,5,-,-,-,-,29,-
"S00135725",128,78,50,-,28,-,2,1,-,46,-
"S00135726",169,116,84,-,35,-,-,4,-,49,-
"S00135727",135,97,57,2,38,-,-,14,-,16,6
"S00135728",100,73,57,1,15,-,-,-,-,23,1
"S00135729",96,66,62,-,7,-,-,-,-,28,1
"S00135730",107,84,71,-,13,-,2,-,-,21,-
"S00135731",85,66,60,1,5,-,-,-,-,18,1
"S00135732",98,71,63,-,6,-,1,-,-,26,-
"S00135733",84,64,31,-,33,-,-,2,-,18,-
"S00135734",192,129,105,7,17,-,32,11,-,17,4
"S00135735",102,71,64,-,9,-,2,2,-,23,-
"S00135736",81,68,57,4,4,-,-,-,-,12,-
"S00135737",89,61,20,-,41,-,6,-,-,22,-
"S00135738",185,129,116,-,8,-,5,-,-,49,-
"S00135739",120,86,36,-,50,-,-,2,-,31,-
"S00135740",98,75,59,-,12,-,6,-,-,17,-
"S00135741",69,47,44,-,3,-,-,-,-,22,-
"S00135742",99,58,57,-,4,-,4,2,-,33,-
"S00135743",100,61,32,-,29,-,5,2,-,32,-
"S00135744",98,73,49,-,19,-,-,-,-,25,-
"S00135745",116,91,71,-,18,-,2,1,-,24,1
"S00135746",61,37,34,1,-,-,-,-,-,24,-
"S00135747",90,76,61,-,11,-,-,-,-,14,-
"S00135748",121,96,86,-,10,-,-,5,-,20,-
"S00135749",63,40,34,-,6,-,2,3,-,16,-
"S00135750",101,74,55,-,18,-,1,2,-,25,-
"S00135751",120,76,53,-,23,-,4,1,-,35,4
"S00135752",92,71,32,-,42,-,-,6,-,15,-
"S00135753",97,65,50,1,13,-,7,7,-,16,-
"S00135754",119,72,50,-,22,-,-,1,-,46,-
"S00135755",166,149,37,-,108,-,4,8,-,10,-
"S00135756",86,76,59,3,19,-,1,1,1,3,-
"S00135757",111,77,56,1,20,-,9,1,-,24,-
"S00135758",108,70,60,1,9,-,-,-,-,37,1
"S00135759",83,50,37,-,9,-,-,-,-,34,-
"S00135760",72,51,19,1,31,-,1,2,-,16,-
"S00135761",114,85,64,-,25,-,6,-,-,23,-
"S00135762",110,85,51,-,31,-,2,-,-,23,1
"S00135763",86,59,50,-,5,-,-,-,-,24,-
"S00135764",103,67,38,-,29,-,-,-,-,36,-
"S00135765",141,105,47,2,50,-,3,10,-,23,1
"S00135766",103,78,63,3,12,-,5,4,-,13,2
"S00135767",137,85,72,-,13,-,5,4,-,42,-
"S00135768",218,162,123,-,41,1,-,-,-,56,-
"S00135769",130,95,86,-,9,-,-,3,-,36,-
"S00135770",111,81,44,-,37,-,2,-,-,26,-
"S00135771",124,96,54,-,42,-,14,-,-,14,-
"S00135772",185,158,135,2,22,-,-,-,-,26,-
"S00135773",171,117,84,-,36,-,4,6,-,40,-
"S00135774",78,49,41,-,8,-,-,1,-,28,-
"S00135775",189,138,89,1,47,-,-,2,-,51,-
"S00135776",96,61,54,3,4,-,8,4,-,22,1
"S00135777",159,91,85,-,6,-,-,-,-,68,-
"S00135778",75,48,31,1,12,-,9,-,-,23,-
"S00135779",110,73,61,-,14,2,-,3,-,29,1
"S00135780",105,78,28,-,53,-,-,6,-,19,-
"S00135781",134,109,87,-,23,-,5,1,-,15,-
"S00135782",96,64,58,-,6,-,-,4,2,25,-
