OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00135608,57.17672589,-2.190550939,39,5,15,14,2,1
S00135609,57.17675194,-2.085277136,53,6,36,10,1,-
S00135610,57.17337661,-2.133990252,85,50,31,7,-,-
S00135611,57.17706834,-2.177569071,51,16,26,8,1,-
S00135612,57.17726387,-2.159062041,76,12,45,18,1,-
S00135613,57.17685694,-2.161177353,43,4,19,20,2,1
S00135614,57.17501146,-2.189682091,45,7,24,10,2,2
S00135615,57.17611802,-2.123696258,78,4,40,29,5,2
S00135616,57.17690823,-2.123996616,46,2,28,12,-,-
S00135617,57.17714582,-2.087262806,45,6,23,12,4,-
S00135618,57.17696379,-2.090603372,34,3,15,13,3,-
S00135619,57.17649834,-2.1674773,45,17,23,5,-,-
S00135620,57.17708382,-2.166289097,54,16,33,5,-,-
S00135621,57.17442832,-2.115222911,75,49,20,12,1,-
S00135622,57.17660362,-2.123168622,59,6,47,9,-,-
S00135623,57.1761923,-2.146454517,71,8,46,13,3,1
S00135624,57.17632956,-2.179103681,42,5,27,9,-,-
S00135625,57.17615535,-2.122274009,35,2,6,16,6,3
S00135626,57.17644897,-2.164053426,36,13,17,5,-,-
S00135627,57.17568678,-2.188627056,50,5,19,23,3,-
S00135628,57.17533136,-2.179859635,82,26,43,11,3,-
S00135629,57.17529794,-2.164974495,86,10,64,14,-,-
S00135630,57.1754097,-2.181596602,48,3,30,12,3,-
S00135631,57.17446609,-2.113205335,74,23,37,13,-,1
S00135632,57.17485471,-2.120318145,78,50,23,5,5,1
S00135633,57.17533621,-2.163188467,36,12,21,5,1,-
S00135634,57.1754386,-2.14570728,57,6,44,10,-,-
S00135635,57.1755202,-2.185880737,71,23,35,9,-,-
S00135636,57.17464336,-2.183511314,49,10,19,13,7,-
S00135637,57.1749391,-2.183992404,57,11,36,13,4,-
S00135638,57.17333122,-2.095241627,45,15,23,7,-,-
S00135639,57.17392899,-2.16078421,37,2,23,10,2,-
S00135640,57.17418265,-2.185262095,72,22,36,13,1,-
S00135641,57.17440239,-2.188504736,44,15,25,2,-,-
S00135642,57.17418847,-2.112261799,79,15,39,21,1,-
S00135643,57.17352045,-2.115865065,44,19,22,6,-,2
S00135644,57.17375632,-2.122861446,41,7,25,8,-,-
S00135645,57.17436028,-2.19257298,49,20,18,9,-,-
S00135646,57.1738958,-2.190850584,47,18,25,3,-,-
S00135647,57.17333133,-2.189888468,71,15,42,15,-,2
S00135648,57.17449622,-2.119456976,58,28,20,11,1,-
S00135649,57.17411824,-2.120183441,50,19,23,5,-,-
S00135650,57.17406269,-2.121886705,52,17,24,10,2,-
S00135651,57.17239386,-2.128860048,67,23,32,11,1,-
S00135652,57.17336819,-2.124745486,51,10,25,11,-,1
S00135653,57.17334506,-2.111151192,32,6,22,3,-,2
S00135654,57.1739057,-2.116957795,43,22,16,5,-,-
S00135655,57.17361497,-2.15330762,52,9,26,13,-,2
S00135656,57.17402044,-2.119124673,61,39,17,5,-,-
S00135657,57.17358582,-2.113136486,67,43,20,4,-,-
S00135658,57.1731589,-2.143994891,40,16,19,5,-,-
S00135659,57.17381499,-2.117900185,70,37,22,11,-,-
S00135660,57.17363447,-2.118809205,63,38,16,12,-,-
S00135661,57.17279697,-2.192746756,38,15,18,6,-,-
S00135662,57.17317133,-2.156117225,55,8,36,8,1,-
S00135663,57.17255308,-2.187718041,52,15,29,6,2,-
S00135664,57.17345283,-2.120875874,75,27,34,14,-,-
S00135665,57.17293056,-2.139379956,83,57,24,2,-,-
S00135666,57.17283397,-2.186098765,50,23,22,5,-,-
S00135667,57.17069452,-2.154105815,73,27,34,10,2,-
S00135668,57.17181453,-2.149050069,62,35,20,8,-,-
S00135669,57.17167576,-2.119249413,66,27,23,12,2,2
S00135670,57.17263546,-2.111082907,82,25,38,13,2,-
S00135671,57.17255911,-2.125354647,44,9,23,10,-,-
S00135672,57.17281733,-2.136154669,60,29,27,4,1,-
S00135673,57.17227017,-2.190660283,47,26,18,3,-,-
S00135674,57.17237401,-2.121765373,48,5,28,14,-,-
S00135675,57.17204257,-2.120805112,49,15,19,8,4,2
S00135676,57.17259666,-2.132515574,58,28,26,3,1,-
S00135677,57.17228194,-2.141031261,42,27,13,2,-,-
S00135678,57.17214801,-2.123219923,56,18,26,11,-,-
S00135679,57.16798964,-2.102453904,38,14,10,11,2,1
S00135680,57.17210121,-2.157038803,52,11,27,11,2,-
S00135681,57.17252464,-2.092725832,61,25,34,4,-,-
S00135682,57.17200363,-2.188707496,41,8,20,13,2,-
S00135683,57.1720708,-2.119465674,45,24,18,3,-,-
S00135684,57.17138589,-2.112137525,54,40,12,1,-,-
S00135685,57.17223956,-2.161272989,67,20,28,17,1,-
S00135686,57.17222,-2.091666669,90,71,18,1,-,-
S00135687,57.17228692,-2.136533078,74,34,36,7,-,-
S00135688,57.17185027,-2.189136684,57,14,29,12,2,-
S00135689,57.17225588,-2.113645076,47,24,15,7,-,-
S00135690,57.17163992,-2.136745672,68,26,30,11,-,-
S00135691,57.17187743,-2.09331955,65,22,34,8,1,-
S00135692,57.1721586,-2.11194142,39,17,15,7,-,-
S00135693,57.17100312,-2.158753981,50,20,21,6,-,-
S00135694,57.17175753,-2.191054536,44,14,18,9,4,-
S00135695,57.17118412,-2.125945316,45,15,18,6,2,-
S00135696,57.17088743,-2.09579758,36,13,19,4,-,-
S00135697,57.17157344,-2.131718121,69,31,31,2,1,-
S00135698,57.16943938,-2.108973198,78,50,25,7,1,1
S00135699,57.17155201,-2.164990858,64,11,38,13,3,-
S00135700,57.17157921,-2.15052093,32,18,16,1,-,-
S00135701,57.17149504,-2.160442884,46,22,13,13,-,-
S00135702,57.17036408,-2.166639223,77,41,30,6,-,-
S00135703,57.17155686,-2.130395088,40,25,13,-,-,-
S00135704,57.17170356,-2.127501587,52,35,15,2,-,-
S00135705,57.17132615,-2.11848758,48,18,21,7,4,-
S00135706,57.17116253,-2.153380137,59,29,23,7,1,-
S00135707,57.17141,-2.141557123,46,17,20,6,-,-
S00135708,57.17129308,-2.093929945,64,38,24,5,1,-
S00135709,57.17119862,-2.160425061,48,17,29,1,-,-
S00135710,57.17078045,-2.116071453,36,24,8,4,-,-
S00135711,57.1710134,-2.125994345,53,23,22,5,-,-
S00135712,57.17069815,-2.151129205,54,29,17,3,1,1
S00135713,57.17119657,-2.13131989,39,12,25,6,-,-
S00135714,57.17114582,-2.136776919,74,30,31,12,-,-
S00135715,57.17103985,-2.165087794,46,6,26,12,1,1
S00135716,57.17064006,-2.122007712,71,31,32,9,-,1
S00135717,57.17036397,-2.128604922,68,25,35,8,-,-
S00135718,57.17083557,-2.141124965,33,9,18,8,-,-
S00135719,57.17082333,-2.118237915,67,35,26,9,-,-
S00135720,57.17045023,-2.169384703,79,16,39,18,6,1
S00135721,57.17057767,-2.161298815,73,18,37,15,-,3
S00135722,57.17115856,-2.115179642,37,23,6,5,-,-
S00135723,57.17101753,-2.112202555,44,22,15,6,-,-
