Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00135888",42,1,15,25,-,1
"S00135889",27,-,2,1,19,5
"S00135890",42,-,32,10,-,-
"S00135891",37,2,21,11,1,-
"S00135892",51,-,7,27,14,2
"S00135893",51,3,23,12,5,7
"S00135894",56,-,25,30,1,-
"S00135895",94,25,65,4,2,1
"S00135896",106,35,69,1,-,1
"S00135897",99,26,68,3,1,1
"S00135898",47,1,4,37,1,-
"S00135899",35,4,3,27,2,-
"S00135900",71,35,28,5,1,2
"S00135901",56,7,16,31,2,-
"S00135902",42,3,16,23,-,-
"S00135903",45,3,14,27,2,-
"S00135904",37,1,12,21,2,1
"S00135905",48,16,13,14,-,1
"S00135906",33,2,22,8,-,1
"S00135907",45,13,17,9,2,5
"S00135908",47,-,25,21,1,-
"S00135909",33,1,10,20,1,-
"S00135910",49,25,6,16,2,1
"S00135911",45,-,17,27,1,-
"S00135912",64,13,29,20,1,1
"S00135913",65,18,30,8,2,7
"S00135914",52,1,16,22,8,6
"S00135915",65,4,15,24,19,3
"S00135916",54,16,25,9,2,2
"S00135917",60,-,23,33,4,-
"S00135918",47,-,21,24,-,-
"S00135919",41,3,29,7,3,-
"S00135920",60,-,30,29,1,-
"S00135921",50,6,12,33,2,1
"S00135922",46,-,4,19,19,5
"S00135923",76,44,25,3,1,-
"S00135924",47,3,19,23,2,-
"S00135925",33,2,1,24,-,-
"S00135926",61,29,20,10,2,1
"S00135927",68,15,19,26,6,3
"S00135928",38,4,24,7,-,1
"S00135929",46,33,8,4,5,-
"S00135930",51,-,1,5,41,4
"S00135931",50,1,6,37,4,1
"S00135932",28,-,4,16,7,1
"S00135933",74,20,35,17,1,1
"S00135934",78,40,24,12,2,-
"S00135935",53,-,10,29,7,-
"S00135936",60,28,17,13,-,-
"S00135937",52,2,25,15,6,2
"S00135938",49,-,16,29,1,-
"S00135939",45,11,22,6,3,-
"S00135940",45,15,5,21,-,1
"S00135941",74,41,28,7,-,-
"S00135942",68,3,14,41,8,-
"S00135943",47,-,7,29,10,2
"S00135944",70,2,6,58,4,1
"S00135945",41,-,18,19,4,-
"S00135946",66,-,14,46,6,1
"S00135947",63,15,29,12,3,1
"S00135948",68,10,51,5,1,1
"S00135949",65,1,9,32,21,1
"S00135950",33,-,14,16,3,1
"S00135951",69,4,58,6,1,-
"S00135952",34,-,14,11,5,-
"S00135953",50,5,18,15,9,6
"S00135954",51,-,2,22,25,6
"S00135955",67,6,33,27,3,-
"S00135956",55,1,20,31,3,1
"S00135957",68,13,47,7,-,-
"S00135958",39,9,3,22,4,-
"S00135959",73,4,45,23,3,-
"S00135960",66,3,8,54,2,-
"S00135961",72,8,33,28,2,2
"S00135962",53,18,24,11,5,-
"S00135963",67,-,3,14,46,4
"S00135964",54,11,17,18,7,-
"S00135965",54,17,20,13,1,3
"S00135966",39,-,12,25,3,-
"S00135967",42,5,5,25,6,1
"S00135968",73,6,42,23,1,1
"S00135969",52,37,11,2,-,-
"S00135970",49,12,16,20,2,-
"S00135971",74,38,29,7,-,-
"S00135972",69,67,4,-,-,-
"S00135973",55,2,25,24,4,-
"S00135974",51,-,30,19,2,-
"S00135975",55,23,26,1,1,-
"S00135976",76,48,23,4,-,-
"S00135977",35,-,26,9,-,-
"S00135978",43,19,22,1,-,-
"S00135979",46,14,16,10,6,1
"S00135980",40,-,9,25,5,1
"S00135981",55,-,3,6,31,14
"S00135982",54,29,24,2,-,1
"S00135983",54,10,17,23,1,-
"S00135984",65,3,53,9,-,-
"S00135985",68,28,26,7,4,3
"S00135986",66,20,23,20,1,2
"S00135987",44,11,19,12,2,-
"S00135988",30,2,10,7,8,3
"S00135989",63,15,44,4,2,-
"S00135990",28,3,6,13,7,2
"S00135991",43,27,13,8,-,-
"S00135992",49,11,2,35,2,-
"S00135993",51,-,16,26,5,1
"S00135994",66,-,3,16,34,6
"S00135995",27,1,9,11,3,2
"S00135996",62,-,3,46,13,3
"S00135997",77,38,20,19,-,-
"S00135998",48,6,18,19,4,2
"S00135999",69,37,26,4,1,1
"S00136000",79,5,58,13,4,-
"S00136001",59,50,7,-,1,1
"S00136002",59,20,37,6,-,-
"S00136003",53,40,5,4,-,1
"S00136004",35,-,21,14,-,-
"S00136005",61,8,33,17,3,-
"S00136006",43,7,35,-,1,-
"S00136007",65,-,6,53,1,1
"S00136008",38,1,37,2,-,-
"S00136009",75,19,55,1,-,-
"S00136010",60,1,12,40,6,-
"S00136011",79,25,51,2,2,-
"S00136012",72,23,46,6,-,-
"S00136013",57,37,20,4,-,-
"S00136014",56,10,15,30,-,-
"S00136015",78,42,27,9,-,-
"S00136016",61,23,23,6,9,-
"S00136017",79,7,38,14,9,4
"S00136018",81,20,46,12,2,1
"S00136019",62,42,12,7,1,-
"S00136020",65,-,55,8,-,1
"S00136021",35,2,27,5,1,-
"S00136022",56,3,32,21,-,-
"S00136023",41,25,8,7,-,-
"S00136024",40,4,26,9,1,-
"S00136025",49,-,34,10,-,-
"S00136026",62,6,18,21,14,3
"S00136027",35,12,13,5,2,1
"S00136028",50,27,16,1,1,-
"S00136029",35,-,1,27,6,1
"S00136030",43,-,14,27,2,-
"S00136031",63,13,48,2,-,-
"S00136032",67,23,36,10,2,-
"S00136033",70,3,48,23,-,-
"S00136034",65,24,26,8,3,1
"S00136035",88,11,72,1,-,-
"S00136036",61,25,24,7,2,3
"S00136037",44,1,38,8,-,-
"S00136038",41,2,35,3,-,-
"S00136039",50,3,46,1,-,-
"S00136040",39,1,24,14,-,-
"S00136041",63,8,6,50,3,-
"S00136042",46,-,18,24,1,-
"S00136043",38,2,22,15,-,-
"S00136044",41,6,34,1,-,-
"S00136045",62,-,44,19,1,-
"S00136046",40,1,20,21,1,-
"S00136047",62,2,26,32,-,-
"S00136048",52,-,34,17,1,-
"S00136049",67,-,30,27,7,1
"S00136050",57,-,2,15,26,10
"S00136051",47,2,14,26,5,-
"S00136052",34,18,13,4,-,-
"S00136053",38,3,22,13,3,-
"S00136054",81,28,53,-,-,-
"S00136055",81,23,55,1,-,2
"S00136056",63,21,39,2,-,-
"S00136057",57,14,-,39,3,2
"S00136058",76,70,3,1,3,-
