Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00135569",57,6,2,-,2,21,4,6,11,16,11,6,3,6,3,4,-,7,3,1,-
"S00135570",55,3,2,1,-,12,2,3,5,10,-,10,-,16,5,9,2,14,6,8,-
"S00135571",58,11,7,2,2,23,10,5,8,13,5,7,1,6,2,2,-,5,4,1,-
"S00135572",49,6,2,4,4,10,-,1,8,14,1,13,-,6,1,5,-,13,4,9,-
"S00135573",45,3,-,1,2,17,2,4,12,17,3,9,-,5,4,1,-,6,3,3,-
"S00135574",41,6,-,-,6,12,-,1,10,7,-,8,2,3,-,-,-,13,10,2,-
"S00135575",77,6,4,1,1,25,4,8,12,19,9,9,1,10,7,3,-,17,13,4,-
"S00135576",72,14,8,3,3,23,12,3,7,12,9,6,1,11,7,3,-,8,1,6,-
"S00135577",66,31,13,15,6,20,11,7,4,8,5,-,1,3,3,-,-,-,-,-,-
"S00135578",61,7,4,3,-,18,4,6,12,15,6,8,2,8,-,4,-,12,8,5,-
"S00135579",48,6,-,4,2,17,3,5,6,9,7,2,-,9,4,5,-,4,4,3,-
"S00135580",79,14,8,4,2,25,10,9,7,17,13,6,-,11,6,3,-,14,10,4,-
"S00135581",56,6,3,1,4,16,3,2,11,12,2,9,1,12,1,7,-,10,3,6,1
"S00135582",53,16,14,1,2,22,13,5,6,10,2,6,4,1,-,1,-,3,3,-,-
"S00135583",81,26,13,7,10,34,15,4,15,15,13,4,-,1,1,-,-,2,2,-,-
"S00135584",67,20,5,7,10,28,11,6,10,10,8,2,-,4,2,1,-,5,4,1,-
"S00135585",46,12,4,2,6,22,7,5,7,7,-,7,1,3,2,1,-,2,1,-,-
"S00135586",55,4,-,3,2,15,7,3,9,14,5,8,1,6,3,2,-,16,9,7,-
"S00135587",57,20,16,3,1,21,20,-,1,12,8,3,1,-,-,-,-,4,2,2,-
"S00135588",50,16,4,10,-,6,2,3,1,8,6,5,-,10,7,2,1,7,2,5,-
"S00135589",40,6,1,-,4,13,4,5,4,8,3,5,-,4,-,4,-,14,4,8,-
"S00135590",34,12,3,2,5,21,3,8,10,4,-,2,-,1,-,1,-,1,1,-,-
"S00135591",30,1,-,1,1,12,-,4,7,11,2,8,1,3,1,3,-,3,1,1,-
"S00135592",43,17,-,8,7,25,7,2,14,2,-,-,1,-,-,-,-,1,1,-,-
"S00135593",36,3,1,-,2,14,-,5,7,9,2,6,2,5,1,4,-,8,1,3,-
"S00135594",44,4,-,4,-,15,2,3,10,12,1,9,-,8,-,5,-,5,3,3,-
"S00135595",75,14,4,2,11,25,5,6,14,16,9,6,1,11,3,8,-,9,3,6,-
"S00135596",80,36,22,9,2,32,6,14,12,3,-,3,-,2,-,2,-,4,2,1,-
"S00135597",73,6,1,2,3,14,-,4,9,17,10,6,3,12,8,4,-,21,23,1,-
"S00135598",41,6,2,3,3,8,1,3,4,10,4,5,-,8,1,7,-,7,-,7,-
"S00135599",67,22,8,10,4,36,13,12,13,4,1,2,-,3,-,1,-,4,1,-,1
"S00135600",47,2,2,1,-,6,3,-,2,6,2,2,-,6,2,4,-,28,26,2,-
"S00135601",50,12,6,4,6,28,5,6,17,6,2,1,2,-,-,-,-,-,-,-,-
"S00135602",67,24,14,9,-,15,2,7,6,15,4,9,2,9,6,2,-,3,3,-,-
"S00135603",32,1,-,-,1,10,2,-,7,11,1,8,4,8,2,6,-,2,2,-,-
"S00135604",63,30,21,11,-,25,20,3,-,5,5,-,1,3,3,-,-,1,1,-,-
"S00135605",40,6,3,2,2,11,-,9,4,13,6,6,1,6,3,2,-,-,-,-,-
"S00135606",62,6,-,3,4,36,2,6,25,10,1,8,1,4,1,3,-,6,2,2,1
"S00135607",69,24,9,19,-,27,10,9,8,7,8,4,-,4,2,3,-,7,5,2,-
"S00135608",39,5,-,1,4,13,4,3,7,12,2,10,-,6,1,5,-,3,-,3,-
"S00135609",53,7,1,4,2,16,3,2,8,4,5,3,-,11,4,9,2,12,8,5,-
"S00135610",85,18,12,5,-,11,7,-,5,14,12,-,-,17,11,2,-,29,24,5,-
"S00135611",51,13,8,1,4,26,17,2,7,7,3,4,-,6,3,3,-,1,1,3,-
"S00135612",76,38,21,12,5,30,9,3,18,6,3,-,2,2,2,-,-,-,-,-,-
"S00135613",43,7,3,3,1,33,6,8,19,3,-,1,2,-,-,-,-,-,-,-,-
"S00135614",45,3,1,2,1,20,3,7,10,5,-,2,2,8,3,5,-,7,5,2,-
"S00135615",78,36,17,12,6,34,8,11,15,6,-,5,-,3,1,2,-,1,1,-,-
"S00135616",46,23,15,7,2,18,7,2,6,3,1,1,-,-,-,-,-,2,2,-,-
"S00135617",45,4,1,2,1,15,2,4,9,12,2,9,1,7,6,3,-,6,2,3,-
"S00135618",34,1,-,1,-,12,3,2,6,9,3,5,1,4,-,4,-,9,2,7,-
"S00135619",45,13,12,-,1,11,6,-,5,11,9,-,-,7,4,2,-,3,3,-,-
"S00135620",54,24,7,1,17,27,8,4,15,2,1,-,-,1,-,1,-,-,-,-,-
"S00135621",75,15,8,3,4,25,14,2,6,17,10,6,1,8,5,5,-,14,9,5,-
"S00135622",59,27,23,8,-,18,12,3,7,7,7,4,-,-,-,-,-,1,1,-,-
"S00135623",71,19,10,2,2,23,13,6,4,17,4,12,1,9,3,3,-,6,3,3,-
"S00135624",42,8,5,2,1,17,3,4,12,7,4,4,-,6,2,3,-,4,3,1,-
"S00135625",35,1,1,-,-,17,-,3,14,9,-,8,6,4,1,2,1,-,-,-,-
"S00135626",36,16,6,2,5,13,8,2,2,2,2,1,-,1,1,-,-,3,3,-,-
"S00135627",50,4,2,1,3,24,-,2,22,10,3,5,1,3,1,4,-,7,5,2,-
"S00135628",82,8,4,1,5,28,14,3,11,22,5,16,1,15,11,6,-,9,6,2,-
"S00135629",86,36,21,9,9,34,14,11,17,3,4,-,1,6,3,4,-,-,1,1,-
"S00135630",48,3,1,-,2,23,2,6,12,8,4,4,-,7,3,3,2,7,3,4,-
"S00135631",74,20,4,11,9,35,12,5,18,6,2,5,2,3,6,1,-,3,2,1,-
"S00135632",78,12,1,-,8,15,4,5,11,24,13,10,1,13,13,4,-,14,7,5,-
"S00135633",36,3,1,2,-,16,5,3,10,5,5,-,-,6,3,3,-,6,2,1,-
"S00135634",57,29,24,6,-,22,16,5,1,3,2,2,-,3,3,-,-,1,1,-,-
"S00135635",71,31,8,10,13,26,13,4,6,8,6,1,1,2,2,-,-,3,3,-,-
"S00135636",49,4,2,-,2,15,5,3,8,12,4,8,1,9,4,7,-,9,6,-,-
"S00135637",57,10,3,2,5,18,2,2,14,12,5,7,-,7,5,3,-,10,4,6,-
"S00135638",45,12,3,8,1,4,3,1,-,8,1,6,-,7,4,3,-,12,10,5,-
"S00135639",37,9,10,3,-,18,9,5,6,9,2,6,1,1,-,1,-,-,-,-,-
"S00135640",72,8,2,3,2,21,4,12,6,17,11,6,-,10,3,4,-,16,11,6,-
"S00135641",44,11,-,-,11,11,5,2,5,9,5,3,-,10,4,4,-,13,5,5,-
"S00135642",79,20,8,4,5,48,7,6,31,12,2,5,1,-,-,-,-,-,-,-,-
"S00135643",44,3,-,-,3,13,2,4,7,9,5,4,-,10,6,5,-,9,5,4,-
"S00135644",41,5,1,-,-,14,6,6,2,3,-,3,-,6,1,5,-,12,2,11,-
"S00135645",49,5,2,1,2,11,5,1,1,12,6,4,-,2,1,4,-,15,8,4,-
"S00135646",47,2,2,-,-,9,1,5,4,10,7,3,-,7,9,1,-,19,14,5,-
"S00135647",71,10,2,2,6,23,2,9,9,14,6,8,-,7,4,6,-,15,8,7,-
"S00135648",58,6,2,-,5,38,17,7,14,10,8,2,-,3,2,-,-,-,-,-,-
"S00135649",50,17,7,1,9,21,9,1,11,6,4,2,-,1,1,-,-,2,1,2,-
"S00135650",52,8,3,3,2,16,3,5,8,15,6,8,1,6,5,1,-,7,2,5,-
"S00135651",67,13,5,4,2,19,8,4,7,19,12,7,-,8,2,6,-,10,7,3,-
"S00135652",51,6,2,3,1,21,10,9,4,9,1,6,-,7,2,4,-,8,3,5,-
"S00135653",32,12,3,1,6,17,3,1,13,2,-,2,-,-,-,-,-,1,-,1,-
"S00135654",43,11,5,2,5,24,15,3,5,6,1,3,-,2,2,-,-,-,-,-,-
"S00135655",52,10,5,3,2,21,8,2,10,12,2,8,1,1,-,1,-,3,3,3,-
"S00135656",61,16,8,1,8,33,17,2,10,11,11,2,1,4,3,1,-,1,-,1,-
"S00135657",67,16,7,3,6,29,12,4,15,15,7,10,1,5,5,-,-,2,1,1,-
"S00135658",40,15,7,3,5,18,3,2,4,6,-,1,3,4,2,3,-,1,-,1,-
"S00135659",70,13,6,3,4,41,15,6,20,9,5,4,-,6,3,2,-,2,-,2,-
"S00135660",63,12,7,-,5,34,18,5,14,15,8,4,1,4,4,-,-,1,1,-,-
"S00135661",38,9,4,-,4,12,5,1,6,5,4,1,-,6,5,2,-,7,4,3,-
"S00135662",55,14,4,4,3,22,4,11,7,13,7,9,-,4,1,3,-,2,1,1,-
"S00135663",52,8,1,-,5,11,1,4,6,14,6,7,-,4,2,4,-,15,9,6,-
"S00135664",75,11,7,2,6,42,12,12,20,16,7,9,-,3,4,1,-,2,-,2,-
"S00135665",83,6,5,1,-,24,19,1,4,17,12,5,-,12,11,-,-,23,22,2,-
"S00135666",50,5,1,-,4,11,6,1,5,6,3,2,2,10,8,4,-,18,14,4,-
"S00135667",73,13,7,-,6,32,8,5,18,18,11,8,-,6,3,3,-,5,3,2,-
"S00135668",62,23,10,5,7,24,6,6,12,10,5,4,2,1,-,-,-,1,1,1,-
"S00135669",66,10,3,5,4,33,14,4,15,11,5,8,-,5,4,-,-,7,3,2,-
"S00135670",82,35,12,15,8,34,17,8,13,6,3,1,2,7,3,6,-,-,-,-,-
"S00135671",44,7,1,4,3,11,4,2,5,11,5,6,-,5,2,4,-,12,5,5,-
"S00135672",60,18,8,5,7,27,18,4,1,6,3,2,1,5,4,2,-,5,4,1,-
"S00135673",47,2,-,-,2,14,4,-,9,9,7,2,-,4,3,-,1,19,19,3,-
"S00135674",48,10,2,5,5,16,6,7,4,7,4,2,1,7,-,5,-,8,1,7,-
"S00135675",49,4,-,2,1,22,3,4,11,14,3,10,2,6,2,4,-,4,5,3,-
"S00135676",58,14,13,3,1,21,14,7,-,9,6,3,-,9,9,-,-,5,5,-,-
"S00135677",42,13,8,1,5,20,11,4,5,8,10,-,-,1,-,1,-,-,-,-,-
"S00135678",56,12,4,5,1,25,7,8,10,10,8,2,-,6,4,2,-,3,2,-,-
"S00135679",38,6,6,3,-,15,7,3,5,11,2,6,-,6,2,4,-,4,4,-,-
"S00135680",52,8,1,2,6,18,4,7,5,10,3,7,-,6,2,6,-,9,5,4,-
"S00135681",61,19,9,4,6,26,8,4,11,8,2,6,-,3,2,2,-,9,9,1,-
"S00135682",41,2,-,1,1,23,6,6,11,7,6,1,-,4,2,2,-,4,4,5,-
"S00135683",45,7,-,2,3,20,7,2,11,8,4,6,-,6,3,3,-,4,3,1,-
"S00135684",54,7,3,4,-,28,23,6,-,11,7,-,-,3,3,-,-,6,4,2,-
"S00135685",67,12,2,5,6,25,5,5,15,17,10,6,1,5,4,1,-,11,4,7,-
"S00135686",90,2,1,1,-,4,4,-,-,16,15,2,-,24,20,3,-,43,38,7,-
"S00135687",74,22,12,7,3,33,19,5,9,18,14,1,1,2,2,-,-,-,-,-,-
"S00135688",57,8,1,3,4,10,1,6,5,9,4,4,1,13,10,5,-,15,10,5,-
"S00135689",47,6,-,2,4,24,9,2,13,11,2,3,1,4,4,-,-,5,2,1,-
"S00135690",68,8,3,3,4,29,11,11,7,17,10,7,-,6,4,3,1,6,1,1,-
"S00135691",65,13,6,-,6,26,9,5,12,16,9,7,-,2,1,1,-,7,6,2,-
"S00135692",39,13,2,8,3,14,7,4,3,5,1,4,-,2,2,-,-,5,4,1,-
"S00135693",50,13,4,-,8,21,2,5,13,9,6,5,-,2,-,2,-,1,1,1,-
"S00135694",44,-,-,-,-,11,2,1,10,15,4,7,1,3,3,-,-,16,7,9,-
"S00135695",45,4,1,3,-,15,9,3,3,17,11,8,-,4,2,1,-,5,3,2,-
"S00135696",36,27,11,16,-,5,1,-,2,4,1,3,-,-,-,-,-,-,-,-,-
"S00135697",69,21,11,6,4,30,16,6,8,13,8,5,-,-,1,2,-,3,1,2,-
"S00135698",78,19,5,5,6,22,15,2,8,18,11,7,-,11,6,5,-,9,8,1,-
"S00135699",64,6,3,1,3,30,5,7,18,15,5,9,1,7,3,4,-,6,3,3,-
"S00135700",32,13,4,-,9,14,4,-,8,4,-,4,-,2,-,1,-,-,-,-,-
"S00135701",46,10,2,3,6,13,-,7,6,8,2,7,-,10,7,3,-,5,3,1,1
"S00135702",77,10,8,-,2,20,15,4,1,24,20,8,-,10,6,4,-,9,4,5,-
"S00135703",40,16,12,2,1,14,5,4,5,8,3,4,-,3,3,-,-,-,-,-,-
"S00135704",52,13,9,3,-,21,20,1,-,15,14,1,-,3,4,-,-,-,-,-,-
"S00135705",48,13,11,-,2,25,6,6,12,9,3,6,1,-,-,-,-,1,-,1,-
"S00135706",59,31,6,4,21,24,5,2,14,4,1,1,2,3,1,1,2,-,-,-,-
"S00135707",46,11,6,-,5,22,13,4,4,5,5,3,-,2,2,-,-,-,-,-,-
"S00135708",64,19,6,6,7,25,6,7,12,6,3,-,1,5,2,1,-,11,9,4,-
"S00135709",48,15,1,-,14,16,1,6,8,8,4,4,-,8,4,3,1,2,1,-,-
"S00135710",36,9,-,1,6,16,6,9,4,10,5,2,1,1,1,-,-,-,-,-,-
"S00135711",53,28,18,7,3,18,13,4,4,5,1,2,-,3,3,-,-,2,-,2,-
"S00135712",54,6,2,-,4,30,6,11,15,15,10,2,2,2,2,2,-,2,-,2,-
"S00135713",39,13,4,4,5,19,6,4,9,6,3,3,-,1,-,1,-,2,1,2,-
"S00135714",74,21,9,3,8,21,9,5,10,21,14,7,-,5,3,2,-,6,4,2,-
"S00135715",46,4,-,1,3,20,1,5,14,8,-,7,-,8,3,5,-,6,2,4,-
"S00135716",71,23,12,7,3,24,11,8,5,11,8,4,-,8,6,2,-,5,5,2,-
"S00135717",68,28,19,5,4,27,16,5,6,7,3,2,-,4,4,-,-,2,-,2,-
"S00135718",33,11,3,5,3,9,2,2,5,8,2,6,-,1,-,1,-,2,4,2,-
"S00135719",67,18,1,3,12,32,7,10,15,15,5,8,2,4,-,3,-,-,-,-,-
"S00135720",79,7,-,1,6,23,2,7,14,19,4,12,3,12,6,6,-,18,4,14,-
"S00135721",73,10,1,2,12,26,6,9,14,20,6,15,1,9,7,2,-,7,2,2,-
"S00135722",37,18,7,2,6,11,6,-,3,7,1,5,1,-,-,-,-,1,-,1,-
"S00135723",44,6,4,1,-,17,7,3,7,7,5,2,1,9,3,4,-,8,5,1,-
"S00135724",38,5,-,-,5,15,6,-,6,8,1,8,2,6,1,2,-,4,3,-,-
"S00135725",53,11,6,-,5,19,8,4,9,10,6,8,1,4,4,1,-,3,2,1,-
"S00135726",66,15,4,-,13,36,11,9,16,10,-,9,1,4,4,-,-,5,1,2,-
"S00135727",51,16,6,4,6,30,6,7,17,5,1,4,1,-,-,-,-,2,1,1,-
"S00135728",65,9,4,2,5,27,21,2,4,14,5,9,-,12,8,6,-,3,2,2,-
"S00135729",82,17,12,2,-,19,16,3,-,11,9,-,-,16,11,5,-,22,20,-,-
"S00135730",43,8,1,2,3,16,1,4,9,9,1,7,2,5,2,7,-,6,2,4,-
"S00135731",45,12,4,4,4,20,7,4,9,4,1,2,-,5,4,1,-,5,4,1,-
"S00135732",61,8,3,4,1,26,16,6,4,12,6,6,-,5,4,6,-,7,2,2,2
"S00135733",48,21,12,1,8,13,5,-,2,9,8,1,-,4,5,2,-,2,1,1,-
"S00135734",65,24,17,6,1,17,7,5,5,9,5,3,1,4,1,2,-,7,5,2,-
"S00135735",50,13,8,2,6,18,8,3,9,7,2,3,-,6,1,4,-,1,1,2,-
"S00135736",57,15,12,1,-,19,13,5,-,12,8,4,-,6,2,1,-,6,5,1,-
"S00135737",46,11,3,4,5,27,10,5,6,9,3,4,-,4,4,-,-,-,-,-,-
"S00135738",73,17,4,1,11,33,3,7,23,18,-,14,-,2,3,4,-,3,2,1,-
"S00135739",44,15,3,4,6,21,8,3,12,7,1,4,-,1,-,1,-,-,-,-,-
"S00135740",41,7,-,5,2,17,2,2,10,11,6,5,-,4,1,3,-,5,6,-,-
"S00135741",36,9,2,6,1,11,3,-,8,5,3,2,-,6,3,3,-,2,1,2,-
"S00135742",51,17,4,6,7,13,7,2,4,12,6,8,-,1,-,1,-,8,3,5,-
"S00135743",38,8,2,-,5,13,2,4,11,9,2,3,2,8,6,3,-,-,-,-,-
"S00135744",38,2,-,-,2,28,3,10,15,8,-,5,-,-,-,-,-,1,-,1,-
"S00135745",66,13,3,8,5,24,12,6,9,11,7,4,-,8,5,1,-,6,4,2,-
"S00135746",38,9,5,-,1,14,8,-,5,9,5,1,-,3,1,1,-,4,5,1,-
"S00135747",41,3,-,-,3,12,1,4,6,9,3,8,-,11,6,8,-,3,3,2,-
"S00135748",65,8,4,3,1,22,10,3,9,15,5,11,1,10,6,7,-,6,5,3,-
"S00135749",52,20,17,2,-,26,24,-,2,6,7,1,-,1,1,-,-,-,-,-,-
"S00135750",59,13,8,5,2,25,12,7,6,13,4,8,1,4,4,2,-,6,4,1,1
"S00135751",78,20,12,4,7,29,21,6,4,22,13,6,-,7,6,1,-,-,-,-,-
"S00135752",35,6,2,-,2,21,3,2,13,7,4,2,1,1,-,1,-,1,1,-,-
"S00135753",63,32,18,8,6,22,12,9,-,5,6,2,-,3,1,2,-,1,1,-,-
"S00135754",46,18,-,5,13,13,3,4,8,7,-,5,2,4,2,2,-,4,-,4,-
"S00135755",62,14,4,-,10,42,13,4,25,4,2,1,2,-,-,-,-,2,-,2,-
"S00135756",55,18,10,9,-,14,7,2,4,10,7,3,-,7,3,1,-,8,8,-,-
"S00135757",63,10,5,4,2,31,20,2,10,9,8,3,-,9,5,4,-,2,-,-,-
"S00135758",78,6,5,-,2,14,6,2,6,17,15,1,-,21,17,3,2,20,18,3,-
"S00135759",27,7,1,1,7,14,-,4,12,-,1,1,-,1,1,-,-,1,-,1,-
"S00135760",27,5,1,2,2,16,4,1,9,6,1,5,-,-,-,-,-,-,-,-,-
"S00135761",45,13,4,1,9,21,3,4,14,8,2,2,1,5,5,2,-,1,-,1,-
"S00135762",68,17,5,8,4,25,13,9,6,14,8,8,1,5,3,1,-,4,2,4,-
"S00135763",46,20,6,9,5,10,3,1,4,1,-,1,-,9,4,5,-,8,2,6,-
"S00135764",42,7,-,-,7,17,5,5,9,6,2,4,2,5,-,5,-,4,-,1,-
"S00135765",69,28,10,11,5,27,7,10,10,9,9,1,-,3,1,2,-,3,3,-,-
"S00135766",45,12,5,5,3,14,4,5,5,9,2,7,-,5,4,4,-,4,1,1,-
"S00135767",56,8,-,1,3,32,6,7,19,7,2,2,1,5,2,3,-,5,3,2,-
"S00135768",67,21,4,3,15,27,3,7,17,13,1,11,3,5,3,1,-,1,1,-,-
"S00135769",45,4,-,-,2,25,3,10,12,10,2,7,1,6,1,4,1,1,-,1,-
"S00135770",73,24,11,10,2,31,14,9,10,12,7,1,-,6,5,1,-,3,3,-,-
"S00135771",63,21,8,4,8,26,15,4,7,10,4,2,2,5,2,3,-,5,5,-,-
"S00135772",76,9,-,1,8,31,5,11,15,21,2,16,-,14,4,10,-,3,3,-,-
"S00135773",79,42,13,13,16,28,9,2,17,4,3,-,-,1,1,-,-,1,1,-,-
"S00135774",32,2,2,-,1,15,-,4,11,14,5,5,4,1,1,-,-,-,-,-,-
"S00135775",81,50,13,10,27,22,8,3,11,7,2,5,-,2,1,1,-,1,-,1,-
"S00135776",48,11,6,2,2,17,9,5,4,14,5,6,3,2,1,-,-,4,3,1,-
"S00135777",41,3,1,1,1,17,1,4,12,10,3,6,-,8,4,4,-,5,1,2,-
"S00135778",36,7,4,2,4,11,6,2,5,8,4,3,2,5,3,2,-,2,1,2,-
"S00135779",63,15,6,4,3,14,7,2,7,14,7,6,-,9,2,4,-,14,6,4,1
"S00135780",39,10,1,2,7,20,4,6,10,8,4,4,-,1,-,1,-,-,-,-,-
"S00135781",48,7,-,2,6,16,-,2,11,18,6,9,3,7,1,6,1,2,1,-,-
"S00135782",58,8,6,1,5,10,5,1,4,17,11,6,-,9,6,3,-,13,7,4,-
"S00135783",96,18,10,4,4,48,24,8,16,13,11,5,-,12,10,2,-,9,6,3,-
"S00135784",36,4,1,-,3,20,6,4,10,6,1,4,1,4,2,-,-,2,-,2,-
"S00135785",27,1,-,1,-,16,5,6,5,8,4,6,-,2,2,-,-,-,-,-,-
"S00135786",54,8,1,-,7,25,-,10,14,13,2,8,-,-,1,-,-,4,1,3,-
"S00135787",35,5,3,4,-,13,4,1,5,5,4,2,-,4,1,1,-,4,3,1,-
"S00135788",47,8,2,5,-,16,3,3,10,10,3,6,2,9,4,5,-,4,-,5,-
"S00135789",47,5,1,-,2,16,6,2,9,13,8,6,-,4,6,1,-,10,5,4,-
"S00135790",53,14,3,8,4,28,13,9,6,5,4,3,2,4,2,1,-,1,1,-,-
"S00135791",107,29,22,5,2,45,25,7,13,24,15,8,1,7,6,1,-,1,1,1,-
"S00135792",37,3,1,-,2,27,8,5,14,2,1,1,-,2,-,2,-,1,-,1,-
"S00135793",46,4,1,-,2,29,5,8,16,8,4,4,-,1,-,1,-,1,-,1,-
"S00135794",58,4,1,2,1,29,7,5,19,16,2,14,1,9,2,4,-,3,1,-,-
"S00135795",47,13,2,4,7,18,10,6,3,10,5,4,1,4,2,-,-,-,-,-,-
"S00135796",56,9,3,4,1,21,5,4,13,11,10,2,-,8,6,2,-,7,1,4,-
"S00135797",71,30,11,18,1,26,12,8,9,10,5,4,2,4,3,1,-,1,1,-,-
"S00135798",50,18,13,5,-,18,13,3,2,6,4,-,1,4,4,-,-,4,1,2,-
"S00135799",70,12,1,2,10,31,5,5,21,23,7,10,4,6,2,4,-,2,1,-,-
"S00135800",57,11,5,3,5,17,3,3,11,14,10,3,1,8,6,2,-,7,9,2,-
"S00135801",43,9,7,2,-,20,7,6,7,9,3,6,-,3,2,1,-,2,-,2,-
"S00135802",42,12,3,5,6,15,5,5,5,5,3,2,-,3,2,3,-,10,10,-,-
"S00135803",45,4,2,1,3,19,-,9,10,10,2,5,2,3,3,-,-,10,7,3,-
"S00135804",51,8,-,1,5,17,1,5,8,9,1,7,1,15,5,10,-,6,4,2,-
"S00135805",54,16,11,5,-,14,6,3,2,5,4,4,-,4,4,-,-,17,15,1,-
"S00135806",49,8,1,1,5,27,5,5,17,6,4,4,-,3,1,1,-,5,1,2,-
"S00135807",55,19,3,10,5,22,10,3,7,7,8,-,-,7,4,3,-,1,1,-,-
"S00135808",67,7,-,5,3,12,2,1,9,12,8,4,-,24,20,4,-,12,12,-,-
"S00135809",45,6,4,1,3,21,4,7,12,9,3,3,1,6,4,2,-,2,1,1,-
"S00135810",41,-,-,-,-,28,-,5,23,7,-,5,2,5,2,3,-,1,-,1,-
"S00135811",64,16,3,4,9,29,3,7,23,11,4,3,4,5,2,3,-,3,1,-,-
"S00135812",61,13,5,4,4,31,14,7,12,11,9,1,-,4,1,2,1,4,1,1,-
"S00135813",57,10,5,2,2,33,16,8,11,7,4,3,-,3,1,2,-,4,2,4,-
"S00135814",38,17,7,4,6,16,6,7,3,3,3,1,-,-,1,1,-,-,-,-,-
"S00135815",56,2,-,1,1,5,-,4,1,21,15,1,-,14,13,-,-,14,13,2,-
"S00135816",60,13,6,1,6,16,7,2,7,11,3,5,-,12,9,7,-,6,4,4,-
"S00135817",46,7,1,2,3,20,2,7,14,7,1,5,1,8,5,3,-,4,3,-,-
"S00135818",58,17,10,7,6,19,8,6,5,12,8,4,-,5,-,5,-,5,4,1,-
"S00135819",46,9,1,1,4,16,2,4,7,15,3,11,1,2,-,2,-,4,-,2,-
"S00135820",71,15,4,-,11,46,11,8,27,6,1,3,2,3,2,2,-,1,-,1,-
"S00135821",43,10,6,1,3,8,3,2,3,12,3,7,-,6,4,1,-,8,7,-,-
"S00135822",53,9,3,2,2,31,6,2,23,9,5,2,1,1,-,1,-,2,-,2,-
"S00135823",67,18,4,2,9,38,7,5,26,5,5,5,1,1,2,1,1,4,4,-,-
"S00135824",71,11,1,2,8,28,3,5,17,15,4,10,2,7,2,7,2,10,6,4,-
"S00135825",39,8,-,2,7,21,3,6,9,2,-,1,2,1,1,1,-,6,3,4,-
"S00135826",36,7,-,3,2,24,6,6,16,6,3,1,1,-,-,-,-,-,-,-,-
"S00135827",30,2,-,-,-,8,2,-,6,5,2,3,-,7,4,1,-,5,6,4,-
"S00135828",69,21,2,7,9,20,10,7,7,16,6,8,1,4,2,1,-,4,2,2,-
"S00135829",65,3,1,1,1,8,3,2,4,20,20,4,-,19,14,3,-,13,13,-,-
"S00135830",41,8,1,1,1,13,10,4,1,8,6,3,-,5,5,-,-,7,7,-,-
"S00135831",47,7,1,2,5,19,2,9,8,8,-,4,3,8,5,3,-,2,2,4,-
"S00135832",98,20,10,2,7,50,28,11,11,16,8,6,2,10,3,5,-,2,1,-,-
"S00135833",50,4,1,1,1,21,5,7,11,7,4,6,1,11,1,9,-,3,1,2,-
"S00135834",51,17,10,5,1,17,4,3,9,11,6,5,-,-,-,-,-,5,-,4,-
"S00135835",102,24,24,3,4,41,22,6,13,22,16,4,2,6,3,2,-,6,6,-,-
"S00135836",43,6,-,5,3,19,3,6,8,7,2,4,1,8,-,8,-,3,-,3,-
"S00135837",63,9,1,-,7,31,9,10,12,11,5,5,1,9,5,2,2,3,1,1,1
"S00135838",61,13,8,5,-,26,10,8,5,10,3,2,3,6,4,2,-,6,2,7,-
"S00135839",71,26,10,9,7,29,6,7,16,12,8,5,-,3,3,-,-,1,1,-,-
"S00135840",70,23,4,7,13,32,8,8,16,11,3,6,2,2,2,1,-,3,1,1,-
"S00135841",38,3,-,3,-,8,4,4,2,8,5,5,-,10,6,2,-,9,6,3,-
"S00135842",50,11,4,5,1,13,7,2,5,9,10,4,-,4,4,3,-,14,12,2,-
"S00135843",62,7,4,-,4,8,4,-,4,10,9,1,-,23,21,4,-,14,10,4,-
"S00135844",42,5,5,-,-,14,6,1,5,7,3,3,1,7,7,-,-,7,6,-,-
"S00135845",35,6,-,4,4,12,1,2,7,8,2,4,1,3,5,1,-,7,2,3,-
"S00135846",69,9,6,5,1,23,10,6,7,10,5,6,-,9,10,1,-,14,9,5,-
"S00135847",37,17,3,9,1,5,3,-,2,7,5,4,-,6,3,2,-,6,4,2,-
"S00135848",58,17,3,2,13,28,11,9,9,8,3,5,-,4,4,-,-,1,-,1,-
"S00135849",57,12,10,2,-,14,12,2,2,16,13,3,-,9,9,-,-,9,2,4,-
