Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00135694",90,80,-,-,-,2,-,-,1,5,3,2,-,-
"S00135695",75,59,-,-,2,-,-,-,5,3,3,6,-,-
"S00135696",56,39,-,-,-,-,-,-,-,4,4,1,9,3
"S00135697",121,75,-,-,-,-,-,-,1,18,3,7,6,19
"S00135698",139,101,-,-,1,-,1,-,4,14,9,3,7,1
"S00135699",152,128,-,-,-,-,1,-,-,9,2,6,-,7
"S00135700",66,52,-,-,-,-,-,-,-,10,2,1,1,-
"S00135701",97,72,-,-,-,-,1,-,3,11,3,1,2,10
"S00135702",104,102,-,-,-,-,-,2,-,4,-,-,1,-
"S00135703",68,49,-,-,-,-,2,2,1,7,3,-,3,3
"S00135704",62,46,-,-,-,-,-,-,2,8,6,-,-,1
"S00135705",100,57,-,-,-,-,-,1,1,27,11,4,2,-
"S00135706",149,102,-,-,-,-,-,4,3,8,4,9,21,-
"S00135707",65,53,-,-,-,-,-,-,-,5,4,1,1,1
"S00135708",125,85,-,-,-,-,-,-,3,20,4,5,7,2
"S00135709",122,90,-,-,-,-,-,-,1,9,3,7,1,5
"S00135710",70,49,-,-,-,1,-,-,3,11,2,4,-,1
"S00135711",90,58,-,-,-,1,-,-,-,6,1,6,6,11
"S00135712",135,76,-,-,-,1,1,-,3,36,6,2,1,9
"S00135713",85,52,-,-,-,-,-,-,-,6,4,6,9,2
"S00135714",120,98,1,-,-,-,-,-,1,6,3,7,6,3
"S00135715",117,98,-,-,-,-,1,-,2,7,2,5,2,2
"S00135716",121,90,-,-,-,-,-,-,-,12,10,5,2,6
"S00135717",108,78,-,-,-,-,-,-,2,9,8,3,7,2
"S00135718",71,55,-,-,-,1,-,-,-,7,-,3,3,5
"S00135719",183,127,-,-,-,2,1,-,-,37,4,4,4,1
"S00135720",204,177,-,-,-,2,-,-,-,15,2,5,3,-
"S00135721",161,129,-,-,-,-,2,-,-,21,1,3,2,4
"S00135722",75,49,-,-,-,-,-,1,-,12,3,5,3,1
"S00135723",77,55,-,-,-,-,-,-,-,7,4,4,4,2
"S00135724",88,78,-,-,-,-,1,-,-,5,-,-,-,2
"S00135725",128,86,-,-,-,-,-,-,1,21,13,-,1,5
"S00135726",169,129,-,-,-,1,-,-,-,12,14,7,5,2
"S00135727",135,65,-,-,-,-,-,2,-,23,8,6,13,18
"S00135728",100,79,-,-,-,-,1,5,1,11,2,2,-,-
"S00135729",96,84,1,-,-,-,1,-,-,4,1,3,-,1
"S00135730",107,90,-,-,-,-,-,-,2,11,1,1,2,-
"S00135731",85,76,-,-,-,-,1,-,1,4,-,1,-,-
"S00135732",98,85,-,-,-,-,-,2,2,3,3,1,1,2
"S00135733",84,53,-,-,-,-,-,-,1,9,7,7,7,3
"S00135734",192,116,-,-,-,-,-,2,3,9,-,2,4,53
"S00135735",102,80,-,-,-,-,-,-,-,4,10,2,5,1
"S00135736",81,65,-,-,-,-,-,1,3,2,1,2,3,2
"S00135737",89,44,-,-,-,-,-,-,1,20,10,7,3,2
"S00135738",185,162,-,-,-,1,1,2,-,15,1,4,2,1
"S00135739",120,65,-,-,-,1,-,-,2,28,16,8,-,-
"S00135740",98,73,-,-,-,-,-,2,-,10,6,1,4,1
"S00135741",69,59,-,-,-,-,-,-,2,1,-,2,-,-
"S00135742",99,88,-,-,-,-,-,-,-,3,2,2,-,4
"S00135743",100,70,-,-,-,2,-,-,-,15,-,5,6,4
"S00135744",98,73,-,-,-,-,-,1,-,12,-,10,-,4
"S00135745",116,89,-,-,-,-,-,-,-,16,5,4,4,-
"S00135746",61,57,-,-,-,-,-,-,1,-,1,1,-,1
"S00135747",90,79,-,-,-,-,-,-,-,8,3,-,-,-
"S00135748",121,101,-,-,-,-,2,-,1,6,5,-,-,5
"S00135749",63,50,-,-,-,-,1,-,2,7,2,-,1,2
"S00135750",101,73,-,-,-,-,-,4,-,14,3,7,-,1
"S00135751",120,84,-,-,-,-,-,1,-,19,4,5,5,8
"S00135752",92,51,-,-,-,-,-,2,-,21,6,-,2,11
"S00135753",97,64,-,-,-,-,1,1,1,6,2,5,-,16
"S00135754",119,100,-,-,-,-,-,-,-,7,5,7,1,1
"S00135755",166,73,-,-,-,-,-,-,-,45,12,17,10,9
"S00135756",86,63,-,-,-,-,1,-,-,8,2,2,8,3
"S00135757",111,67,-,-,-,-,-,-,3,17,5,11,-,10
"S00135758",108,99,-,-,-,-,-,3,-,3,4,1,3,1
"S00135759",83,69,-,-,-,-,-,-,2,8,4,1,-,-
"S00135760",72,34,-,-,-,-,-,-,2,21,3,6,2,1
"S00135761",114,86,-,-,-,-,-,-,-,15,3,1,4,5
"S00135762",110,70,-,-,-,-,-,-,1,19,3,6,9,1
"S00135763",86,76,-,-,-,-,-,-,2,-,-,2,3,1
"S00135764",103,80,-,-,-,-,-,-,-,14,4,4,1,-
"S00135765",141,70,-,-,-,-,-,1,2,33,11,5,5,15
"S00135766",103,66,-,-,1,-,-,1,2,9,4,4,4,11
"S00135767",137,109,-,-,-,-,2,-,-,7,3,5,4,9
"S00135768",218,182,-,-,-,-,1,-,-,15,8,11,1,-
"S00135769",130,112,-,-,-,-,-,-,-,10,3,6,1,-
"S00135770",111,62,-,-,-,-,-,-,-,20,7,12,2,7
"S00135771",124,76,-,-,-,-,-,-,-,18,9,13,4,14
"S00135772",185,159,-,-,1,1,2,1,1,13,3,5,2,-
"S00135773",171,119,-,-,-,-,-,-,1,9,4,3,21,11
"S00135774",78,64,-,-,-,-,-,-,1,10,-,1,1,1
"S00135775",189,138,-,-,-,-,-,-,2,17,6,10,9,7
"S00135776",96,68,-,-,-,-,-,-,4,11,2,-,1,9
"S00135777",159,152,-,-,-,-,1,-,-,4,-,3,-,-
"S00135778",75,51,-,-,-,-,-,1,1,4,1,-,7,7
"S00135779",110,85,-,-,-,-,-,1,-,7,1,7,1,6
"S00135780",105,47,-,-,-,-,-,-,-,31,4,13,7,3
"S00135781",134,104,-,-,-,-,-,-,1,13,5,5,4,5
"S00135782",96,79,-,-,-,1,1,-,1,3,-,4,4,3
"S00135783",158,91,-,-,2,-,-,2,2,29,18,11,5,2
"S00135784",89,84,-,-,-,-,-,-,-,3,-,2,-,-
"S00135785",66,36,-,-,-,-,1,-,-,7,9,7,3,4
"S00135786",162,127,-,-,-,2,-,2,-,13,2,8,1,5
"S00135787",60,34,-,-,-,-,-,-,-,12,4,2,4,4
"S00135788",105,89,2,-,-,-,-,-,-,11,-,4,-,-
"S00135789",101,86,-,-,-,1,1,-,-,9,-,3,-,-
"S00135790",115,82,-,-,-,-,-,1,2,17,4,-,2,4
"S00135791",165,97,-,-,-,1,1,-,4,22,20,20,-,-
"S00135792",102,59,-,-,-,-,-,-,-,8,14,14,6,1
"S00135793",99,56,-,-,-,-,-,-,3,26,9,1,3,-
"S00135794",151,133,-,-,-,2,-,3,2,8,2,1,-,-
"S00135795",92,69,-,-,-,-,-,-,-,8,5,5,-,7
"S00135796",107,79,-,-,-,1,-,1,1,8,5,5,2,3
"S00135797",211,95,-,-,-,-,1,1,2,10,-,6,33,63
"S00135798",77,57,-,-,-,-,-,-,1,8,4,2,6,-
"S00135799",201,164,-,-,-,-,1,-,-,23,1,5,-,-
"S00135800",109,82,-,-,-,-,-,-,2,8,6,-,4,6
"S00135801",78,66,-,-,-,-,-,-,-,3,4,3,-,-
"S00135802",84,64,-,-,-,-,-,-,-,6,4,4,5,10
"S00135803",102,89,-,-,-,-,-,-,1,5,5,-,2,1
"S00135804",109,100,-,-,-,-,-,-,-,2,1,4,3,-
"S00135805",73,48,-,-,-,-,-,2,2,2,2,3,7,8
"S00135806",128,113,-,-,1,-,-,-,-,6,9,-,-,-
"S00135807",104,60,-,-,-,-,-,-,2,10,9,5,11,7
"S00135808",121,72,-,-,-,1,-,1,-,14,13,10,6,4
"S00135809",101,78,-,-,-,-,1,3,1,3,5,2,3,6
"S00135810",129,112,-,-,-,-,-,-,-,9,-,2,-,4
"S00135811",182,111,-,-,-,-,-,-,4,35,4,10,7,8
"S00135812",117,78,-,-,-,-,-,3,1,13,8,1,8,5
"S00135813",113,70,-,-,-,-,2,-,-,21,5,3,4,7
"S00135814",71,45,-,-,-,-,-,-,-,16,1,7,3,2
"S00135815",70,50,-,-,-,-,-,-,-,4,7,5,-,2
"S00135816",106,90,-,-,-,-,-,-,1,4,-,2,2,7
"S00135817",122,97,-,-,-,-,-,-,-,17,4,3,3,1
"S00135818",102,67,-,-,-,-,-,-,5,16,3,5,2,6
"S00135819",116,90,-,-,1,-,-,-,-,14,1,5,-,4
"S00135820",190,141,-,-,-,-,-,-,-,23,14,15,1,-
"S00135821",77,54,-,-,-,-,-,1,1,12,-,5,4,2
"S00135822",141,93,-,-,-,-,-,-,3,13,6,8,18,-
"S00135823",182,117,-,-,-,-,-,1,-,34,7,10,10,3
"S00135824",187,166,1,-,-,-,1,2,1,13,1,5,-,-
"S00135825",107,82,-,-,-,-,-,1,1,4,6,9,4,-
"S00135826",100,62,-,-,-,-,-,1,-,11,3,12,10,1
"S00135827",71,59,-,1,-,-,-,-,-,8,-,-,-,-
"S00135828",139,110,-,-,-,-,2,-,-,8,6,2,8,4
"S00135829",85,61,-,-,1,-,-,-,1,15,2,4,-,1
"S00135830",68,49,-,-,-,-,2,-,-,4,-,3,5,8
"S00135831",115,99,-,-,-,-,-,-,-,4,-,8,3,-
"S00135832",171,81,-,-,-,-,-,2,5,31,24,8,17,5
"S00135833",118,96,-,-,-,-,-,-,-,15,6,1,-,-
"S00135834",104,79,-,-,-,-,-,-,1,16,6,1,2,1
"S00135835",155,93,-,-,-,-,-,1,4,26,11,6,12,1
"S00135836",110,89,-,-,-,1,1,-,-,10,6,2,-,-
"S00135837",143,120,-,-,-,2,-,-,-,10,5,5,2,-
"S00135838",164,100,-,-,-,2,-,-,2,7,2,6,8,38
"S00135839",266,170,-,-,-,-,-,-,2,27,7,9,21,25
"S00135840",166,122,-,-,-,2,-,-,1,7,3,6,15,9
"S00135841",62,56,-,-,-,-,-,-,2,1,1,-,-,-
"S00135842",86,57,-,-,1,1,-,1,4,7,1,-,7,4
"S00135843",80,65,-,-,-,1,1,1,-,6,-,5,-,2
"S00135844",69,59,-,-,-,-,1,-,-,4,-,2,-,-
"S00135845",79,74,-,-,-,-,-,-,-,1,1,2,-,-
"S00135846",113,85,-,-,-,-,-,-,-,6,1,1,9,7
"S00135847",218,134,-,-,-,-,-,-,2,4,4,2,10,60
"S00135848",119,106,-,-,-,-,-,-,-,5,1,-,3,2
"S00135849",68,56,-,-,-,-,-,-,1,3,-,7,2,2
"S00135850",87,74,-,-,-,-,-,-,1,11,3,1,-,-
"S00135851",126,117,-,-,-,-,-,-,-,6,2,1,-,1
"S00135852",71,48,-,-,-,-,-,-,-,9,3,3,2,3
"S00135853",78,72,-,-,-,-,-,-,-,2,2,-,-,2
"S00135854",75,66,-,-,-,-,-,-,1,7,-,-,-,-
"S00135855",94,69,-,-,1,-,1,2,-,9,3,2,4,8
"S00135856",64,44,-,-,-,-,-,-,1,5,2,1,4,5
"S00135857",62,43,-,-,-,-,-,-,-,7,3,2,6,-
"S00135858",64,49,-,-,-,-,-,-,-,3,7,1,3,3
"S00135859",75,52,-,-,-,-,-,-,-,11,1,4,1,7
"S00135860",139,111,-,-,-,-,1,-,3,7,4,8,3,5
"S00135861",101,89,-,-,-,2,-,1,-,-,-,-,6,3
"S00135862",84,65,-,-,-,-,-,1,1,10,2,3,1,1
"S00135863",95,78,-,-,-,-,-,-,-,10,1,2,4,-
"S00135864",90,62,-,-,-,1,-,-,-,4,1,2,1,16
"S00135865",94,81,-,-,-,-,1,3,1,-,2,2,2,3
"S00135866",106,46,-,-,-,-,1,-,5,27,4,8,10,8
"S00135867",104,87,-,-,-,-,-,-,3,2,2,3,-,8
"S00135868",118,92,-,-,-,1,-,-,2,8,1,4,6,4
"S00135869",77,59,-,-,-,-,-,-,1,-,-,16,1,1
"S00135870",74,46,-,-,-,-,-,-,1,6,4,4,8,7
"S00135871",185,93,-,-,-,1,-,1,3,34,4,12,8,27
"S00135872",92,78,-,1,-,-,-,-,2,4,6,-,1,1
"S00135873",119,96,-,-,-,-,-,-,-,15,5,2,1,-
"S00135874",118,76,-,-,2,-,1,-,-,4,3,8,20,5
"S00135875",131,112,-,-,-,-,2,1,-,12,3,1,-,-
"S00135876",107,92,-,-,-,-,-,-,-,13,-,-,1,-
"S00135877",160,143,-,-,-,1,-,-,-,12,6,1,-,-
"S00135878",156,100,-,-,-,2,-,1,-,21,1,18,7,5
"S00135879",86,71,-,-,-,-,-,-,-,8,6,-,-,-
"S00135880",190,105,-,-,-,-,-,-,1,8,6,6,12,50
"S00135881",118,95,-,-,-,-,-,-,-,12,4,9,-,-
"S00135882",107,91,-,-,-,-,-,-,1,9,8,-,-,-
"S00135883",75,61,-,-,-,-,-,-,1,4,6,2,1,-
"S00135884",71,62,-,-,-,-,2,-,-,6,-,4,-,-
"S00135885",80,59,-,-,-,-,1,-,-,6,-,3,6,4
"S00135886",86,74,-,-,-,1,-,1,-,5,1,2,-,2
"S00135887",65,45,-,-,-,2,1,-,-,2,2,-,5,6
"S00135888",106,55,-,-,-,1,1,1,-,16,5,5,8,16
"S00135889",75,53,-,-,-,1,-,-,2,8,-,12,-,-
"S00135890",91,83,-,-,-,-,-,-,-,2,2,-,2,-
"S00135891",82,77,-,-,-,-,-,-,-,1,3,-,-,1
"S00135892",116,112,-,-,-,-,-,-,-,8,-,-,-,1
"S00135893",110,78,-,-,1,-,-,1,4,8,-,3,8,9
"S00135894",114,102,-,-,-,1,-,-,-,3,3,7,-,-
"S00135895",164,102,-,-,-,1,2,1,1,14,11,18,9,1
"S00135896",148,102,-,-,-,1,1,-,2,20,5,12,3,2
"S00135897",147,99,-,-,-,-,-,-,-,17,5,4,7,17
"S00135898",115,92,-,-,-,-,-,-,2,6,6,2,3,2
"S00135899",94,53,-,-,-,2,1,-,4,12,10,3,5,2
"S00135900",123,86,-,-,-,-,1,-,-,5,5,4,8,13
"S00135901",109,90,-,-,-,-,-,-,-,2,6,4,1,3
"S00135902",89,67,-,-,-,-,-,-,-,9,1,4,2,-
"S00135903",117,73,-,-,-,1,-,-,1,16,1,14,5,7
"S00135904",77,54,-,-,-,-,-,2,-,7,5,2,-,8
"S00135905",78,79,-,-,-,1,-,-,-,4,-,-,-,-
"S00135906",64,56,-,-,-,-,2,-,1,4,2,-,2,-
"S00135907",97,76,-,-,-,-,2,-,1,6,-,4,4,4
"S00135908",109,85,-,-,-,3,-,-,-,9,2,4,-,-
"S00135909",70,66,-,-,-,-,-,-,-,4,1,1,-,-
"S00135910",74,57,-,-,-,-,1,-,-,4,2,2,8,-
"S00135911",121,90,-,-,-,-,-,-,-,17,5,6,-,-
"S00135912",120,68,-,-,-,-,-,-,-,15,3,13,7,10
"S00135913",127,65,-,-,-,-,1,2,5,14,4,12,11,18
"S00135914",121,83,-,-,-,-,-,-,1,8,1,3,11,14
"S00135915",131,110,-,-,1,-,-,-,-,9,3,2,3,3
"S00135916",103,57,-,-,1,-,1,2,2,8,5,2,5,18
"S00135917",147,128,-,-,-,1,-,-,-,8,6,-,2,1
"S00135918",120,94,-,-,1,1,2,-,-,9,2,5,1,1
"S00135919",89,66,-,-,-,1,-,-,1,6,-,-,11,3
"S00135920",126,115,-,-,-,1,-,-,-,5,5,-,-,-
"S00135921",121,93,-,2,-,1,1,-,-,14,-,1,-,8
"S00135922",135,110,-,-,-,-,2,1,1,2,4,-,7,4
"S00135923",209,124,-,-,-,-,-,1,1,3,3,1,18,58
"S00135924",99,82,-,-,-,-,-,-,-,6,4,3,2,-
"S00135925",81,65,-,-,-,-,-,1,-,4,3,-,-,5
"S00135926",97,85,1,-,-,-,-,-,-,6,-,2,-,-
"S00135927",126,101,1,-,1,-,-,-,1,9,2,3,8,-
"S00135928",86,41,-,-,-,1,-,-,-,11,4,4,13,16
"S00135929",64,56,1,-,-,-,-,-,1,4,-,1,-,-
"S00135930",140,132,-,-,-,1,2,1,-,4,1,-,-,-
"S00135931",120,110,-,-,-,-,-,-,1,7,3,-,-,-
"S00135932",103,84,-,-,-,-,1,-,-,7,-,1,4,4
"S00135933",131,108,-,-,1,-,-,2,1,7,1,4,3,3
"S00135934",121,66,-,1,-,-,-,2,-,2,-,6,15,29
"S00135935",102,86,-,-,-,-,1,-,-,8,2,4,-,-
"S00135936",118,60,-,-,-,-,4,-,-,13,2,6,13,19
"S00135937",122,90,-,-,-,-,-,1,3,9,7,3,1,5
"S00135938",117,96,-,-,-,-,-,-,-,14,1,2,-,4
"S00135939",73,52,-,-,-,-,1,-,3,1,1,6,2,5
"S00135940",94,87,-,-,-,1,-,-,-,8,-,-,-,-
"S00135941",120,60,-,-,2,-,1,-,4,7,6,15,8,24
"S00135942",142,123,-,-,-,-,1,1,5,10,-,-,-,-
"S00135943",119,101,-,-,-,-,-,-,1,11,1,2,-,6
"S00135944",170,158,-,-,-,-,-,-,-,8,2,4,-,-
"S00135945",79,55,-,-,-,-,-,-,4,4,2,1,5,8
"S00135946",173,154,-,-,-,-,-,2,-,7,3,2,1,1
"S00135947",128,97,-,-,-,1,-,-,-,10,6,-,3,7
"S00135948",134,80,-,-,-,4,1,2,1,13,2,11,8,12
"S00135949",174,136,-,-,-,-,-,2,-,19,12,-,1,3
"S00135950",77,61,-,-,-,-,-,-,1,7,-,-,9,-
"S00135951",135,90,-,-,-,-,1,1,4,8,3,8,11,13
"S00135952",78,46,-,-,-,-,-,4,1,2,4,5,12,2
"S00135953",117,88,-,1,-,1,-,-,2,9,-,-,1,9
"S00135954",151,101,-,-,-,-,2,4,2,20,12,3,6,2
"S00135955",134,119,-,-,-,2,-,1,-,12,2,-,1,-
"S00135956",115,102,-,-,-,1,1,-,-,5,5,1,2,1
"S00135957",110,63,-,-,-,-,-,1,2,5,2,7,11,18
"S00135958",81,73,-,-,-,-,-,-,-,4,-,4,-,-
"S00135959",131,116,-,-,-,-,-,-,-,9,-,-,1,2
"S00135960",165,129,-,-,-,2,-,-,-,12,5,7,3,6
"S00135961",177,135,-,-,-,1,-,-,-,23,3,9,4,1
"S00135962",100,66,-,-,-,-,-,-,2,11,2,2,9,4
"S00135963",192,161,-,-,-,-,-,2,-,18,1,3,4,2
"S00135964",114,87,-,-,-,-,-,-,4,5,2,1,9,11
"S00135965",103,58,-,-,-,1,-,-,1,4,7,8,16,12
"S00135966",86,75,-,-,-,1,-,-,1,1,1,-,1,2
"S00135967",106,67,-,-,-,-,1,1,3,16,1,5,5,5
"S00135968",158,143,-,1,-,-,-,-,-,10,2,2,-,-
"S00135969",79,40,-,-,-,3,-,-,-,4,-,1,7,22
"S00135970",102,95,-,-,-,-,-,-,-,3,6,1,2,-
"S00135971",117,76,-,-,-,-,-,2,-,6,3,11,12,7
"S00135972",94,76,-,-,-,-,-,-,-,3,5,2,3,5
"S00135973",120,95,-,2,-,-,1,1,3,6,-,10,-,-
"S00135974",96,74,-,-,-,-,2,-,-,9,1,3,2,5
"S00135975",82,71,-,-,-,-,-,4,-,7,1,-,1,-
"S00135976",112,80,-,-,-,1,2,2,-,-,5,-,4,14
"S00135977",78,72,-,-,-,1,3,1,-,-,-,-,-,-
"S00135978",117,73,-,-,-,2,-,-,-,9,-,2,8,24
"S00135979",89,85,-,-,-,1,-,-,-,1,-,-,2,-
"S00135980",106,81,-,-,-,-,-,1,1,5,2,2,10,5
"S00135981",156,134,-,-,-,1,1,3,5,12,-,-,-,-
"S00135982",82,49,-,-,-,-,-,4,1,11,3,6,10,3
"S00135983",116,93,-,-,-,-,-,1,-,3,-,1,7,11
"S00135984",117,102,-,-,1,-,-,-,-,7,4,3,-,-
"S00135985",119,80,-,-,-,-,2,-,1,6,3,3,11,13
"S00135986",126,114,-,-,-,1,-,-,-,6,2,-,4,-
"S00135987",77,51,-,-,-,1,-,2,2,-,2,3,7,13
"S00135988",69,58,-,-,2,-,-,2,-,4,-,2,-,3
"S00135989",95,80,-,-,-,-,-,2,-,1,2,4,1,4
"S00135990",69,60,-,-,-,-,-,-,2,-,-,-,1,6
"S00135991",71,51,-,-,-,1,-,-,-,2,-,2,8,5
"S00135992",99,99,-,-,-,-,-,-,-,-,-,-,-,-
"S00135993",107,96,-,-,-,1,-,-,1,2,1,-,3,3
"S00135994",175,135,-,-,-,1,-,2,1,13,7,4,8,5
"S00135995",65,53,-,-,-,-,-,-,2,4,1,4,3,-
"S00135996",176,162,-,-,-,2,-,-,2,8,9,-,-,-
"S00135997",118,109,-,-,-,-,-,-,-,4,-,2,2,-
"S00135998",93,56,-,-,-,-,2,-,-,13,-,-,8,13
"S00135999",99,65,-,-,-,-,-,-,-,1,10,7,9,7
"S00136000",131,112,-,-,-,-,-,-,5,4,2,2,1,4
"S00136001",75,53,-,-,-,1,2,-,-,4,4,5,-,5
"S00136002",108,83,-,1,-,-,-,2,1,9,-,-,5,6
"S00136003",70,32,-,-,-,-,-,-,-,3,4,10,9,11
"S00136004",76,55,-,-,-,-,-,2,-,8,4,1,1,3
"S00136005",146,134,-,-,-,-,-,2,-,2,-,1,-,-
"S00136006",66,42,-,-,-,-,-,1,-,6,4,2,4,3
"S00136007",168,114,-,-,1,2,-,-,4,18,12,-,10,5
"S00136008",78,44,-,-,-,1,-,-,1,5,2,1,4,20
"S00136009",113,99,-,-,-,-,-,-,-,1,4,5,3,-
"S00136010",131,120,-,-,-,-,-,1,1,6,-,2,-,-
"S00136011",126,101,-,-,-,-,-,2,1,11,6,1,4,2
"S00136012",110,93,-,-,1,-,-,-,-,6,2,8,3,1
"S00136013",88,55,-,-,-,-,1,-,-,1,4,8,7,12
"S00136014",121,73,-,-,-,-,-,-,1,11,6,6,-,21
"S00136015",113,85,-,-,-,-,-,2,1,4,3,5,4,8
"S00136016",114,50,-,-,-,-,-,1,2,8,2,9,10,35
"S00136017",153,104,-,-,1,2,1,2,4,10,6,6,8,7
"S00136018",154,80,-,-,-,-,1,-,2,9,6,14,11,31
"S00136019",871,557,-,-,-,-,1,1,-,31,2,5,42,229
"S00136020",134,118,-,-,-,1,-,-,-,11,-,1,4,1
"S00136021",66,34,-,-,-,-,-,-,2,3,-,-,13,11
"S00136022",133,110,-,-,-,-,-,-,1,10,4,3,1,4
"S00136023",65,64,-,-,-,-,-,-,-,5,-,-,-,-
"S00136024",88,74,-,-,1,-,-,-,-,4,6,4,-,-
"S00136025",115,107,-,-,-,-,-,-,-,7,-,-,2,1
"S00136026",139,103,-,-,-,-,1,1,2,3,-,2,14,12
"S00136027",71,49,-,-,-,-,-,-,-,5,2,3,12,4
"S00136028",62,53,-,-,-,-,-,-,-,4,4,-,-,-
"S00136029",92,76,-,-,-,-,-,1,2,4,6,-,-,3
"S00136030",143,126,-,-,-,-,-,-,-,8,6,1,2,4
"S00136031",118,77,-,-,-,-,-,2,2,9,2,8,16,7
"S00136032",108,78,-,-,-,-,-,-,2,8,-,6,4,12
"S00136033",145,89,-,-,1,-,-,-,1,23,11,7,10,4
"S00136034",108,65,-,-,-,-,-,-,1,5,3,8,21,8
"S00136035",129,82,-,-,-,-,2,-,3,7,1,12,13,12
"S00136036",109,75,-,-,-,1,-,-,7,8,5,3,7,2
"S00136037",99,67,-,-,-,-,-,-,-,10,2,10,10,3
"S00136038",81,78,-,-,-,-,-,-,-,-,3,-,-,-
"S00136039",85,59,-,-,-,-,1,1,3,3,1,5,6,5
"S00136040",84,76,-,-,-,-,-,-,-,-,4,5,1,-
"S00136041",146,117,-,-,-,-,-,1,1,16,3,5,3,-
"S00136042",113,95,-,-,-,-,1,-,3,10,-,-,-,-
"S00136043",91,74,-,-,-,-,-,-,-,15,2,-,-,-
"S00136044",63,44,-,-,-,1,-,-,-,6,-,5,6,-
"S00136045",146,130,-,-,-,-,1,-,2,10,3,1,1,-
"S00136046",90,74,-,-,-,-,-,-,-,11,1,1,1,2
"S00136047",131,83,-,-,-,-,-,-,3,13,2,5,6,14
"S00136048",107,85,-,-,-,-,-,-,-,17,4,2,2,-
"S00136049",148,92,-,-,-,-,1,-,5,16,15,3,4,11
"S00136050",143,117,-,-,-,1,1,-,4,14,-,-,-,4
"S00136051",111,91,-,-,-,-,-,-,-,10,8,2,2,1
"S00136052",64,42,-,1,-,-,1,-,1,3,-,2,7,1
"S00136053",94,80,-,-,-,-,-,-,1,4,-,4,-,2
"S00136054",118,94,-,-,-,-,-,-,7,3,4,2,4,4
"S00136055",127,102,-,-,-,1,-,-,1,9,1,1,1,7
"S00136056",94,77,-,-,-,-,-,-,-,4,6,1,-,5
"S00136057",130,101,-,-,1,2,1,1,1,19,-,3,-,4
"S00136058",249,176,-,-,-,2,-,-,-,6,1,1,10,51
"S00136059",91,82,-,-,-,-,-,-,-,6,2,-,-,-
"S00136060",100,61,-,-,-,-,-,-,3,17,7,1,5,3
"S00136061",405,236,-,-,-,-,-,-,-,15,5,1,35,113
"S00136062",90,69,-,-,2,-,-,1,2,6,3,3,-,7
"S00136063",101,81,-,-,-,-,-,-,-,7,2,-,5,8
"S00136064",142,96,-,-,-,-,-,-,-,13,4,10,4,15
"S00136065",102,64,-,-,1,-,-,1,1,10,2,7,10,1
"S00136066",58,50,-,-,-,-,-,1,2,4,-,2,2,1
"S00136067",64,42,-,-,-,-,-,-,1,11,5,4,2,4
"S00136068",123,66,-,-,-,-,1,-,1,10,5,10,6,24
"S00136069",135,101,-,-,-,-,-,-,2,12,4,-,4,9
"S00136070",76,61,-,-,-,2,-,2,2,1,-,4,2,5
"S00136071",204,108,-,-,-,1,2,3,2,24,10,7,29,20
"S00136072",78,42,-,-,-,-,-,2,-,4,1,8,8,12
"S00136073",105,68,-,-,-,-,-,1,2,4,-,-,12,15
"S00136074",96,57,-,-,-,-,-,1,-,4,5,4,14,11
"S00136075",101,58,-,-,-,-,-,-,-,4,7,10,11,8
"S00136076",124,75,-,-,-,-,-,-,-,9,3,6,14,18
"S00136077",98,74,-,-,-,-,-,-,5,5,5,-,8,6
"S00136078",204,173,-,-,1,2,1,2,4,8,2,4,-,9
"S00136079",63,42,-,-,-,-,-,-,-,1,-,-,6,14
"S00136080",140,120,-,-,-,1,-,1,2,3,3,1,1,4
"S00136081",80,44,-,-,-,-,-,-,1,-,4,8,8,12
"S00136082",73,46,-,-,-,-,1,-,2,4,1,-,6,6
"S00136083",105,80,-,-,-,-,-,-,-,5,1,5,11,4
"S00136084",97,88,-,-,-,2,-,-,-,8,-,2,-,-
"S00136085",88,79,-,-,-,-,-,-,-,5,-,2,4,-
"S00136086",90,54,-,-,-,-,-,-,-,8,-,3,10,15
"S00136087",98,81,1,-,-,-,-,-,2,2,1,-,11,-
"S00136088",84,54,-,-,-,-,-,-,-,1,-,4,7,18
"S00136089",155,141,-,-,-,1,2,4,3,3,-,2,1,-
"S00136090",106,94,-,-,-,-,3,2,-,8,-,-,-,1
"S00136091",138,121,-,-,-,-,-,-,1,8,4,-,-,1
"S00136092",173,151,-,-,-,-,1,-,-,18,1,-,-,-
"S00136093",118,69,-,-,-,-,-,-,-,15,4,8,7,16
"S00136094",89,46,-,-,-,-,-,-,3,12,7,15,6,3
"S00136095",62,57,-,-,-,-,-,-,-,5,-,-,-,-
"S00136096",153,90,-,-,-,-,-,1,2,13,4,8,10,20
"S00136097",158,95,-,-,-,-,-,-,-,4,7,10,17,21
"S00136098",94,81,-,-,-,-,-,-,-,10,2,-,-,-
