Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00135744",95,70,-,-,-,25
"S00135745",109,98,1,-,-,11
"S00135746",61,59,-,-,-,-
"S00135747",89,76,1,-,-,12
"S00135748",119,106,-,-,-,13
"S00135749",63,56,1,-,-,5
"S00135750",101,90,-,-,-,11
"S00135751",120,95,-,-,-,24
"S00135752",87,58,-,-,-,28
"S00135753",94,77,3,-,-,18
"S00135754",116,93,4,-,-,18
"S00135755",163,77,-,-,-,86
"S00135756",86,77,-,-,-,7
"S00135757",106,86,3,-,-,18
"S00135758",108,102,-,-,-,6
"S00135759",80,67,-,-,-,13
"S00135760",72,43,-,-,-,27
"S00135761",110,89,-,-,-,21
"S00135762",104,77,1,-,-,29
"S00135763",82,78,-,-,-,4
"S00135764",98,72,2,-,-,21
"S00135765",139,82,1,-,-,56
"S00135766",99,82,-,-,-,19
"S00135767",128,118,-,-,1,12
"S00135768",213,186,-,-,-,26
"S00135769",122,112,-,-,-,14
"S00135770",105,79,1,-,-,30
"S00135771",120,84,-,-,-,36
"S00135772",178,162,2,-,-,16
"S00135773",157,114,-,-,-,44
"S00135774",76,65,-,-,-,11
"S00135775",174,132,-,-,-,42
"S00135776",92,81,-,-,-,11
"S00135777",157,149,1,-,4,6
"S00135778",72,66,-,-,-,7
"S00135779",103,85,1,-,-,17
"S00135780",98,59,-,-,-,47
"S00135781",128,105,-,-,-,23
"S00135782",91,80,-,-,-,7
"S00135783",152,97,2,-,-,56
"S00135784",87,83,-,-,-,1
"S00135785",66,51,-,-,-,15
"S00135786",157,141,1,-,-,11
"S00135787",59,43,-,-,-,16
"S00135788",103,90,-,-,-,11
"S00135789",99,94,-,-,-,6
"S00135790",112,92,-,-,-,20
"S00135791",160,110,-,-,-,50
"S00135792",100,74,-,-,-,26
"S00135793",98,70,-,-,-,31
"S00135794",146,138,-,-,-,8
"S00135795",86,71,-,-,-,16
"S00135796",99,90,-,-,-,8
"S00135797",207,146,-,-,-,61
"S00135798",77,67,2,-,-,9
"S00135799",194,180,1,-,-,13
"S00135800",105,87,1,-,-,17
"S00135801",75,66,1,-,-,7
"S00135802",79,58,-,-,-,21
"S00135803",99,88,-,-,-,11
"S00135804",108,103,-,-,-,5
"S00135805",71,58,-,-,-,9
"S00135806",125,118,-,-,-,7
"S00135807",99,66,-,-,-,32
"S00135808",120,82,-,-,-,38
"S00135809",101,82,2,-,-,14
"S00135810",128,118,-,-,-,10
"S00135811",176,131,-,-,-,48
"S00135812",113,85,2,-,-,24
"S00135813",113,75,-,-,-,38
"S00135814",67,48,-,-,-,21
"S00135815",69,52,2,-,-,15
"S00135816",100,93,-,-,-,7
"S00135817",119,100,3,-,1,16
"S00135818",100,84,-,-,-,19
"S00135819",115,99,-,-,-,13
"S00135820",175,137,1,-,-,37
"S00135821",74,62,-,-,-,12
"S00135822",136,103,-,-,-,33
"S00135823",172,122,1,-,-,46
"S00135824",182,167,-,-,1,15
"S00135825",102,85,1,-,-,16
"S00135826",99,71,-,-,-,31
"S00135827",66,57,-,-,-,12
"S00135828",131,112,-,-,-,17
"S00135829",84,64,2,-,-,19
"S00135830",63,51,2,-,-,6
"S00135831",108,91,-,-,-,17
"S00135832",163,86,2,-,-,77
"S00135833",117,103,-,-,-,14
"S00135834",103,90,-,-,-,13
"S00135835",151,108,-,-,-,41
"S00135836",106,86,1,-,1,18
"S00135837",139,117,-,-,-,21
"S00135838",164,138,2,-,-,24
"S00135839",260,208,-,-,-,52
"S00135840",151,136,-,-,-,15
"S00135841",61,57,-,-,-,4
"S00135842",83,69,-,-,-,11
"S00135843",79,69,2,-,-,7
"S00135844",69,66,-,-,-,3
"S00135845",74,69,-,-,-,5
"S00135846",111,105,-,-,-,7
"S00135847",217,184,3,-,-,31
"S00135848",109,99,5,-,-,5
"S00135849",68,61,-,-,-,8
"S00135850",88,86,-,-,-,2
"S00135851",123,115,-,-,-,8
"S00135852",65,57,-,-,-,12
"S00135853",78,74,-,-,-,4
"S00135854",75,71,-,-,-,3
"S00135855",96,82,2,-,-,12
"S00135856",62,49,-,-,-,13
"S00135857",59,47,-,-,1,11
"S00135858",62,59,-,-,-,4
"S00135859",73,54,-,-,4,12
"S00135860",135,111,1,-,-,23
"S00135861",100,100,-,-,-,-
"S00135862",82,66,-,-,-,15
"S00135863",90,79,2,-,-,9
"S00135864",87,64,-,-,-,23
"S00135865",92,86,-,-,-,7
"S00135866",105,57,-,-,-,49
"S00135867",96,96,-,-,-,3
"S00135868",113,99,-,-,-,17
"S00135869",76,62,-,-,-,14
"S00135870",74,65,-,-,-,10
"S00135871",178,117,4,-,-,63
"S00135872",92,84,-,-,-,8
"S00135873",115,97,-,-,-,18
"S00135874",116,86,-,-,-,29
"S00135875",125,111,2,-,-,12
"S00135876",106,95,-,-,-,11
"S00135877",150,134,1,-,-,11
"S00135878",151,128,-,-,-,23
"S00135879",86,67,-,-,2,15
"S00135880",184,136,2,-,-,47
"S00135881",117,91,1,-,-,25
"S00135882",105,92,-,-,-,13
"S00135883",73,61,-,-,-,12
"S00135884",71,66,-,-,-,5
"S00135885",80,65,-,-,-,15
"S00135886",88,76,-,-,-,8
"S00135887",65,52,-,-,-,14
"S00135888",102,64,1,-,-,34
"S00135889",74,70,-,-,-,4
"S00135890",91,87,-,-,-,4
"S00135891",78,73,-,-,-,5
"S00135892",112,106,-,-,-,6
"S00135893",109,99,-,-,-,10
"S00135894",111,104,-,-,-,7
"S00135895",154,102,-,-,-,52
