OA_Code,Latitude,Longitude,All People (16+),UK Armed Forces veteran,Not a UK Armed Forces veteran
S00135819,57.16693345,-2.151808295,89,-,89
S00135820,57.16717875,-2.141788953,126,5,123
S00135821,57.16676916,-2.121217788,68,1,67
S00135822,57.1671684,-2.117019152,88,3,89
S00135823,57.16723457,-2.122972051,122,1,120
S00135824,57.16694409,-2.164722275,142,7,135
S00135825,57.16664598,-2.15182365,75,4,71
S00135826,57.16680205,-2.114918041,69,1,68
S00135827,57.1668964,-2.159926881,50,5,49
S00135828,57.16664638,-2.127269191,111,4,110
S00135829,57.1673518,-2.090877429,81,5,76
S00135830,57.16710411,-2.127667611,60,1,59
S00135831,57.16545333,-2.171114475,96,2,94
S00135832,57.16738013,-2.088959403,148,-,146
S00135833,57.16633778,-2.146613905,97,5,92
S00135834,57.16677185,-2.11840684,86,-,86
S00135835,57.16675175,-2.088346094,130,5,125
S00135836,57.16580053,-2.14512366,84,5,76
S00135837,57.16702097,-2.167715482,106,3,103
S00135838,57.16507913,-2.102478903,155,3,152
S00135839,57.16541773,-2.105786729,225,-,223
S00135840,57.16631433,-2.126953886,128,-,128
S00135841,57.16659085,-2.119811732,59,-,55
S00135842,57.16613131,-2.130227139,75,2,73
S00135843,57.16678626,-2.090346917,72,7,65
S00135844,57.16648596,-2.164720234,55,3,48
S00135845,57.16652165,-2.17159893,66,3,60
S00135846,57.16578004,-2.13111877,102,10,95
S00135847,57.16648509,-2.096679049,214,3,211
S00135848,57.16535098,-2.160201284,89,3,86
S00135849,57.16589423,-2.09403196,68,8,60
S00135850,57.16594506,-2.21881935,69,3,66
S00135851,57.16609134,-2.149903343,91,3,88
S00135852,57.16630621,-2.11683454,63,-,61
S00135853,57.1652877,-2.137879587,78,5,73
S00135854,57.16558523,-2.119312437,65,3,59
S00135855,57.1655636,-2.09168322,96,10,86
S00135856,57.1656908,-2.08969939,60,-,60
S00135857,57.16581195,-2.126290776,50,-,45
S00135858,57.16551615,-2.142443957,55,8,47
S00135859,57.16569525,-2.095817186,69,4,69
S00135860,57.16545256,-2.150727476,86,1,85
S00135861,57.16531085,-2.133084699,90,4,86
S00135862,57.16266141,-2.155973665,72,3,67
S00135863,57.16590772,-2.167230929,73,-,73
S00135864,57.16487522,-2.119690432,73,3,70
S00135865,57.16546557,-2.122304788,89,2,87
S00135866,57.16524089,-2.112846392,73,4,71
S00135867,57.16527188,-2.118203623,89,-,89
S00135868,57.16474541,-2.123856615,102,2,102
S00135869,57.16437283,-2.128104597,62,5,57
S00135870,57.16482526,-2.115490591,74,5,70
S00135871,57.16394797,-2.112148027,137,3,138
S00135872,57.16487478,-2.1376135,86,11,75
S00135873,57.16558412,-2.167394811,98,5,93
S00135874,57.1650212,-2.126536089,101,-,101
S00135875,57.16465301,-2.171722535,98,4,94
S00135876,57.16506593,-2.143384677,85,1,84
S00135877,57.16418916,-2.148043836,124,3,120
S00135878,57.16447349,-2.126286204,131,-,131
S00135879,57.1652694,-2.167624868,72,2,70
