OA_Code,Latitude,Longitude,All people,"Female, All","Male, All","All people, 0 - 4","All people, 5 - 9","All people, 10 - 14","All people, 15","All people, 16 - 17","All people, 18 - 19","All people, 20 - 24","All people, 25 - 29","All people, 30 - 34","All people, 35 - 39","All people, 40 - 44","All people, 45 - 49","All people, 50 - 54","All people, 55 - 59","All people, 60 - 64","All people, 65 - 69","All people, 70 - 74","All people, 75 - 79","All people, 80 - 84","All people, 85 and over","Female, 0 - 4","Female, 5 - 9","Female, 10 - 14","Female, 15","Female, 16 - 17","Female, 18 - 19","Female, 20 - 24","Female, 25 - 29","Female, 30 - 34","Female, 35 - 39","Female, 40 - 44","Female, 45 - 49","Female, 50 - 54","Female, 55 - 59","Female, 60 - 64","Female, 65 - 69","Female, 70 - 74","Female, 75 - 79","Female, 80 - 84","Female, 85 and over"
S00135371,57.20035336,-2.124389797,149,72,75,9,7,8,2,3,1,9,13,15,17,6,10,15,12,10,10,4,-,-,-,4,6,3,2,2,-,3,4,10,6,3,5,9,6,5,5,2,-,-,-
S00135372,57.20098527,-2.121214263,152,75,77,14,20,12,2,2,2,4,16,10,16,16,15,11,3,-,1,-,2,-,1,9,6,2,1,1,1,4,9,4,9,7,8,5,4,-,1,-,2,-,1
S00135373,57.20038465,-2.12897427,226,115,111,12,14,7,-,3,7,13,8,16,22,20,13,14,28,16,18,5,3,-,1,8,9,3,-,1,2,8,2,8,16,12,4,10,11,10,9,5,2,-,-
S00135374,57.20065339,-2.100343398,141,78,66,9,12,4,-,2,2,6,11,17,16,5,13,12,5,7,3,3,6,2,2,4,7,2,-,2,1,3,7,10,9,5,6,10,2,4,3,4,3,-,-
S00135375,57.1995019,-2.181681906,98,43,53,7,8,5,-,-,1,3,9,25,10,10,5,5,5,1,-,2,-,-,-,3,3,3,-,1,-,-,5,12,6,3,3,1,2,-,-,1,-,-,-
S00135376,57.19985567,-2.18547356,75,40,35,7,6,6,-,3,4,4,2,2,5,2,4,3,-,1,3,4,4,5,2,3,5,4,-,-,2,3,1,3,2,-,3,1,-,1,2,3,2,1,1
S00135377,57.2002608,-2.127103687,119,56,63,3,4,5,1,2,2,8,12,11,5,6,8,10,10,15,10,7,1,-,-,-,2,4,1,-,2,4,4,5,4,3,3,6,5,6,2,4,-,-,-
S00135378,57.2006026,-2.096387773,127,61,66,10,13,12,-,6,4,4,5,5,13,15,11,9,5,4,1,3,3,1,1,5,5,5,-,5,2,3,3,3,9,5,5,5,3,3,-,3,-,1,-
S00135379,57.19992386,-2.102708042,60,33,26,2,6,-,-,2,1,2,4,-,5,4,4,6,10,7,3,2,4,2,2,2,6,-,-,1,1,2,1,-,2,4,1,4,6,4,1,2,2,2,-
S00135380,57.20004768,-2.105041924,132,65,67,4,3,7,1,2,3,10,10,3,7,3,8,14,14,15,6,10,3,4,1,2,1,4,1,-,1,4,5,1,3,1,7,10,5,10,4,4,-,1,-
S00135381,57.20005842,-2.122866211,133,73,64,6,10,13,2,1,-,16,11,7,11,6,12,15,7,4,4,-,2,-,-,4,3,8,2,1,-,5,7,5,7,4,5,10,5,-,2,-,2,-,-
S00135382,57.20009183,-2.125415012,101,54,45,4,6,5,2,4,3,6,5,4,14,8,9,5,2,6,8,4,1,2,-,2,3,2,2,1,1,3,-,6,9,4,6,-,1,3,4,3,-,-,-
S00135383,57.19936983,-2.179827699,153,74,81,13,16,12,-,4,6,2,12,9,21,21,12,10,11,2,1,1,-,-,-,4,10,6,-,4,3,1,4,6,10,10,5,3,5,-,-,1,-,-,-
S00135384,57.19849027,-2.098119922,61,30,31,3,5,1,-,-,2,7,6,6,1,4,11,7,2,5,-,-,-,-,-,3,2,1,-,-,-,2,3,3,1,2,5,5,1,1,-,-,-,-,-
S00135385,57.19807339,-2.181840372,90,44,46,9,13,5,2,1,4,5,4,13,18,3,4,5,5,1,-,-,-,-,-,6,7,3,2,-,1,2,-,7,8,1,2,2,-,-,-,-,-,-,-
S00135386,57.19947642,-2.100604992,113,54,63,1,4,1,1,-,-,3,7,1,2,10,4,5,11,6,14,10,6,11,16,-,3,-,1,-,-,-,3,1,-,3,1,1,4,3,7,4,2,6,8
S00135387,57.19881829,-2.103515884,171,91,79,7,6,7,-,6,2,7,6,9,7,6,6,10,27,23,13,19,10,4,-,5,3,4,-,-,2,3,5,5,4,1,3,5,12,12,7,11,7,-,-
S00135388,57.19310185,-2.178341075,200,94,106,14,19,18,2,5,5,7,2,6,23,22,13,18,7,16,8,8,4,1,5,6,7,6,-,1,2,1,1,4,11,17,8,10,4,7,4,3,-,-,3
S00135389,57.19859498,-2.13097048,132,66,66,3,4,6,5,4,3,3,3,3,2,7,11,13,4,11,20,17,10,5,-,-,3,3,2,2,-,1,-,1,2,3,4,8,3,7,10,8,6,3,-
S00135390,57.19862073,-2.123291708,85,46,43,7,6,4,-,-,-,11,5,5,10,10,11,8,2,5,5,-,-,-,-,3,2,4,-,-,-,5,1,4,5,4,7,6,2,1,4,-,-,-,-
S00135391,57.19775695,-2.124728577,203,108,97,14,15,14,6,3,2,12,10,22,18,19,11,19,19,12,6,4,-,-,-,6,7,8,5,2,1,8,8,11,12,15,6,9,9,3,1,2,-,-,-
S00135392,57.19815982,-2.126086961,70,37,33,1,4,3,-,-,1,7,8,4,7,6,6,2,3,6,1,2,-,4,-,2,3,2,-,-,1,4,3,4,5,4,3,-,4,3,1,2,-,1,-
S00135393,57.19829765,-2.182056615,207,97,114,24,17,4,-,6,15,29,20,30,11,11,9,10,10,1,2,1,3,-,-,7,8,3,-,3,10,13,9,16,4,7,4,3,3,1,2,1,-,-,-
S00135394,57.19703995,-2.103179925,152,75,77,8,6,6,1,2,4,7,11,11,10,9,7,7,16,12,10,13,4,3,1,4,3,1,-,-,2,4,4,4,8,4,2,6,10,4,6,7,2,-,-
S00135395,57.19734625,-2.102105116,79,35,44,5,5,5,-,-,2,4,2,5,6,4,5,4,9,12,5,4,2,-,-,4,1,2,-,-,2,1,1,4,2,2,4,2,5,5,4,2,-,-,-
S00135396,57.19731061,-2.130783889,133,60,73,5,6,9,2,1,-,7,2,12,12,9,7,7,6,18,7,9,8,2,3,1,4,7,1,1,-,1,2,5,3,7,2,3,-,12,5,3,3,1,-
S00135397,57.1899883,-2.131932687,121,68,52,12,7,13,3,-,-,5,4,18,20,16,5,3,7,4,1,-,-,-,4,9,6,8,3,-,-,1,3,11,12,8,3,3,4,-,-,-,-,-,1
S00135398,57.1965936,-2.09972007,129,59,70,11,5,5,-,6,6,7,8,16,9,11,10,9,6,4,9,2,2,2,-,3,4,-,-,1,1,6,4,8,4,6,1,4,3,2,4,3,1,-,-
