OA_Code,Latitude,Longitude,Constituency
S00177730,55.74620399,-4.22177615,"East Kilbride, Strathaven and Lesmahagow"
S00177731,55.74713997,-4.204748187,"East Kilbride, Strathaven and Lesmahagow"
S00177732,55.74762667,-4.209173464,"East Kilbride, Strathaven and Lesmahagow"
S00177733,55.74720419,-4.202170515,"East Kilbride, Strathaven and Lesmahagow"
S00177734,55.74728652,-4.188009894,"East Kilbride, Strathaven and Lesmahagow"
S00177735,55.7496597,-3.978684142,Lanark and Hamilton East
S00177736,55.75245855,-3.877670134,Lanark and Hamilton East
S00177737,55.74693649,-4.210568489,"East Kilbride, Strathaven and Lesmahagow"
S00177738,55.75211932,-3.875168011,Lanark and Hamilton East
S00177739,55.74664679,-4.211683395,"East Kilbride, Strathaven and Lesmahagow"
S00177740,55.74662597,-4.179161619,"East Kilbride, Strathaven and Lesmahagow"
S00177741,55.74621694,-4.218574235,"East Kilbride, Strathaven and Lesmahagow"
S00177742,55.74892747,-4.049106849,Lanark and Hamilton East
S00177743,55.74819589,-3.96686705,Lanark and Hamilton East
S00177744,55.74755354,-4.183611128,"East Kilbride, Strathaven and Lesmahagow"
S00177745,55.74700784,-4.198080388,"East Kilbride, Strathaven and Lesmahagow"
S00177746,55.74554007,-4.201248205,"East Kilbride, Strathaven and Lesmahagow"
S00177747,55.74692558,-4.188595166,"East Kilbride, Strathaven and Lesmahagow"
S00177748,55.75038949,-3.969622572,Lanark and Hamilton East
S00177749,55.75187146,-3.884318542,Lanark and Hamilton East
S00177750,55.74705626,-4.19033927,"East Kilbride, Strathaven and Lesmahagow"
S00177751,55.75102536,-3.877362247,Lanark and Hamilton East
S00177752,55.75126564,-3.881628278,Lanark and Hamilton East
S00177753,55.74617218,-4.183964139,"East Kilbride, Strathaven and Lesmahagow"
S00177754,55.74907077,-4.050213817,Lanark and Hamilton East
S00177755,55.74936054,-3.981075023,Lanark and Hamilton East
S00177756,55.74653797,-4.199726989,"East Kilbride, Strathaven and Lesmahagow"
S00177757,55.74362412,-4.225771938,"East Kilbride, Strathaven and Lesmahagow"
S00177758,55.74983236,-3.980796195,Lanark and Hamilton East
S00177759,55.74529093,-4.214108166,"East Kilbride, Strathaven and Lesmahagow"
S00177760,55.7453238,-4.213281502,"East Kilbride, Strathaven and Lesmahagow"
S00177761,55.74612592,-4.188582245,"East Kilbride, Strathaven and Lesmahagow"
S00177762,55.74501399,-4.194988763,"East Kilbride, Strathaven and Lesmahagow"
S00177763,55.74514225,-4.210387325,"East Kilbride, Strathaven and Lesmahagow"
S00177764,55.75030968,-3.880674005,Lanark and Hamilton East
S00177765,55.73805322,-3.843224713,Lanark and Hamilton East
S00177766,55.75069208,-3.882110552,Lanark and Hamilton East
S00177767,55.745399,-4.191043036,"East Kilbride, Strathaven and Lesmahagow"
S00177768,55.74580047,-4.181617107,"East Kilbride, Strathaven and Lesmahagow"
